,community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg
1283,Evansburg,AB,795.0,Designated place,53.5998,-115.0177,1017.0,2011,1346.6
1284,Evansburg,AB,795.0,Designated place,53.5998,-115.0177,1061.0,2012,1310.8
1285,Evansburg,AB,795.0,Designated place,53.5998,-115.0177,1473.0,2013,1200.9
1286,Evansburg,AB,795.0,Designated place,53.5998,-115.0177,1706.0,2014,1088.4
1287,Evansburg,AB,795.0,Designated place,53.5998,-115.0177,1719.0,2015,1113.9
1288,Exeter (South Huron),ON,10096.0,Census subdivision,43.3473,-81.4806,1055.0,2008,1357.159959
1289,Exeter (South Huron),ON,10096.0,Census subdivision,43.3473,-81.4806,825.0,2009,1450.0
1290,Exeter (South Huron),ON,10096.0,Census subdivision,43.3473,-81.4806,671.0,2010,1493.7
1291,Exeter (South Huron),ON,10096.0,Census subdivision,43.3473,-81.4806,727.0,2011,1346.6
1292,Exeter (South Huron),ON,10096.0,Census subdivision,43.3473,-81.4806,857.0,2012,1310.8
1293,Exeter (South Huron),ON,10096.0,Census subdivision,43.3473,-81.4806,722.0,2013,1200.9
1294,Exeter (South Huron),ON,10096.0,Census subdivision,43.3473,-81.4806,785.0,2014,1088.4
1295,Exeter (South Huron),ON,10096.0,Census subdivision,43.3473,-81.4806,552.0,2015,1113.9
1296,Fairview,AB,2998.0,Census subdivision,56.0696,-118.3917,1294.0,2008,1357.159959
1297,Fairview,AB,2998.0,Census subdivision,56.0696,-118.3917,1391.0,2009,1450.0
1298,Fairview,AB,2998.0,Census subdivision,56.0696,-118.3917,1828.0,2010,1493.7
1299,Fairview,AB,2998.0,Census subdivision,56.0696,-118.3917,1141.0,2011,1346.6
1300,Fairview,AB,2998.0,Census subdivision,56.0696,-118.3917,920.0,2012,1310.8
1301,Fairview,AB,2998.0,Census subdivision,56.0696,-118.3917,792.0,2013,1200.9
1302,Fairview,AB,2998.0,Census subdivision,56.0696,-118.3917,753.0,2014,1088.4
1303,Fairview,AB,2998.0,Census subdivision,56.0696,-118.3917,987.0,2015,1113.9
1304,Fernie,BC,5249.0,Census subdivision,49.504,-115.0631,1248.0,2008,1357.159959
1305,Fernie,BC,5249.0,Census subdivision,49.504,-115.0631,1429.0,2009,1450.0
1306,Fernie,BC,5249.0,Census subdivision,49.504,-115.0631,1404.0,2010,1493.7
1307,Fernie,BC,5249.0,Census subdivision,49.504,-115.0631,1169.0,2011,1346.6
1308,Fernie,BC,5249.0,Census subdivision,49.504,-115.0631,796.0,2012,1310.8
1309,Fernie,BC,5249.0,Census subdivision,49.504,-115.0631,904.0,2013,1200.9
1310,Fernie,BC,5249.0,Census subdivision,49.504,-115.0631,686.0,2014,1088.4
1311,Fernie,BC,5249.0,Census subdivision,49.504,-115.0631,595.0,2015,1113.9
1312,Ferryland,NL,414.0,Census subdivision,47.0339,-52.8827,,2008,1357.159959
1313,Ferryland,NL,414.0,Census subdivision,47.0339,-52.8827,,2009,1450.0
1314,Ferryland,NL,414.0,Census subdivision,47.0339,-52.8827,,2010,1493.7
1315,Ferryland,NL,414.0,Census subdivision,47.0339,-52.8827,,2011,1346.6
1316,Ferryland,NL,414.0,Census subdivision,47.0339,-52.8827,,2012,1310.8
1317,Ferryland,NL,414.0,Census subdivision,47.0339,-52.8827,,2013,1200.9
1318,Ferryland,NL,414.0,Census subdivision,47.0339,-52.8827,322.0,2014,1088.4
1319,Ferryland,NL,414.0,Census subdivision,47.0339,-52.8827,344.0,2015,1113.9
1320,Fjord-du-Saguenay Region,QC,161635.0,Census division,48.45,-70.9,705.0,2008,1357.159959
1321,Fjord-du-Saguenay Region,QC,161635.0,Census division,48.45,-70.9,644.0,2009,1450.0
1322,Fjord-du-Saguenay Region,QC,161635.0,Census division,48.45,-70.9,680.0,2010,1493.7
1323,Fjord-du-Saguenay Region,QC,161635.0,Census division,48.45,-70.9,846.0,2011,1346.6
1324,Fjord-du-Saguenay Region,QC,161635.0,Census division,48.45,-70.9,888.0,2012,1310.8
1325,Fjord-du-Saguenay Region,QC,161635.0,Census division,48.45,-70.9,781.0,2013,1200.9
1326,Fjord-du-Saguenay Region,QC,161635.0,Census division,48.45,-70.9,686.0,2014,1088.4
1327,Fjord-du-Saguenay Region,QC,161635.0,Census division,48.45,-70.9,961.0,2015,1113.9
1328,Flin Flon,MB,4982.0,Census subdivision,54.7658,-101.8762,2304.0,2008,1357.159959
1329,Flin Flon,MB,4982.0,Census subdivision,54.7658,-101.8762,2844.0,2009,1450.0
1330,Flin Flon,MB,4982.0,Census subdivision,54.7658,-101.8762,2163.0,2010,1493.7
1331,Flin Flon,MB,4982.0,Census subdivision,54.7658,-101.8762,2433.0,2011,1346.6
1332,Flin Flon,MB,4982.0,Census subdivision,54.7658,-101.8762,2903.0,2012,1310.8
1333,Flin Flon,MB,4982.0,Census subdivision,54.7658,-101.8762,1387.0,2013,1200.9
1334,Flin Flon,MB,4982.0,Census subdivision,54.7658,-101.8762,2809.0,2014,1088.4
1335,Flin Flon,MB,4982.0,Census subdivision,54.7658,-101.8762,4186.0,2015,1113.9
1336,Fort Francis (Rainy River District),ON,20110.0,Census division,48.6099,-93.3955,2257.0,2008,1357.159959
1337,Fort Francis (Rainy River District),ON,20110.0,Census division,48.6099,-93.3955,2417.0,2009,1450.0
1338,Fort Francis (Rainy River District),ON,20110.0,Census division,48.6099,-93.3955,2006.0,2010,1493.7
1339,Fort Francis (Rainy River District),ON,20110.0,Census division,48.6099,-93.3955,1681.0,2011,1346.6
1340,Fort Francis (Rainy River District),ON,20110.0,Census division,48.6099,-93.3955,2215.0,2012,1310.8
1341,Fort Francis (Rainy River District),ON,20110.0,Census division,48.6099,-93.3955,1774.0,2013,1200.9
1342,Fort Francis (Rainy River District),ON,20110.0,Census division,48.6099,-93.3955,2458.0,2014,1088.4
1343,Fort Francis (Rainy River District),ON,20110.0,Census division,48.6099,-93.3955,2211.0,2015,1113.9
1344,Fort Qu'Appelle,SK,2027.0,Census subdivision,50.7681,-103.78299999999999,3842.0,2008,1357.159959
1345,Fort Qu'Appelle,SK,2027.0,Census subdivision,50.7681,-103.78299999999999,4171.0,2009,1450.0
1346,Fort Qu'Appelle,SK,2027.0,Census subdivision,50.7681,-103.78299999999999,5179.0,2010,1493.7
1347,Fort Qu'Appelle,SK,2027.0,Census subdivision,50.7681,-103.78299999999999,4346.0,2011,1346.6
1348,Fort Qu'Appelle,SK,2027.0,Census subdivision,50.7681,-103.78299999999999,2947.0,2012,1310.8
1349,Fort Qu'Appelle,SK,2027.0,Census subdivision,50.7681,-103.78299999999999,2184.0,2013,1200.9
1350,Fort Qu'Appelle,SK,2027.0,Census subdivision,50.7681,-103.78299999999999,2813.0,2014,1088.4
1351,Fort Qu'Appelle,SK,2027.0,Census subdivision,50.7681,-103.78299999999999,2280.0,2015,1113.9
1352,Fort Saskatchewan,AB,24149.0,Census subdivision,53.7007,-113.2095,1235.0,2008,1357.159959
1353,Fort Saskatchewan,AB,24149.0,Census subdivision,53.7007,-113.2095,1602.0,2009,1450.0
1354,Fort Saskatchewan,AB,24149.0,Census subdivision,53.7007,-113.2095,1985.0,2010,1493.7
1355,Fort Saskatchewan,AB,24149.0,Census subdivision,53.7007,-113.2095,2039.0,2011,1346.6
1356,Fort Saskatchewan,AB,24149.0,Census subdivision,53.7007,-113.2095,1894.0,2012,1310.8
1357,Fort Saskatchewan,AB,24149.0,Census subdivision,53.7007,-113.2095,1525.0,2013,1200.9
1358,Fort Saskatchewan,AB,24149.0,Census subdivision,53.7007,-113.2095,1166.0,2014,1088.4
1359,Fort Saskatchewan,AB,24149.0,Census subdivision,53.7007,-113.2095,1386.0,2015,1113.9
1360,Fort St. John,BC,20155.0,Census subdivision,56.2524,-120.8464,3519.0,2008,1357.159959
1361,Fort St. John,BC,20155.0,Census subdivision,56.2524,-120.8464,4257.0,2009,1450.0
1362,Fort St. John,BC,20155.0,Census subdivision,56.2524,-120.8464,4017.0,2010,1493.7
1363,Fort St. John,BC,20155.0,Census subdivision,56.2524,-120.8464,3110.0,2011,1346.6
1364,Fort St. John,BC,20155.0,Census subdivision,56.2524,-120.8464,3019.0,2012,1310.8
1365,Fort St. John,BC,20155.0,Census subdivision,56.2524,-120.8464,2481.0,2013,1200.9
1366,Fort St. John,BC,20155.0,Census subdivision,56.2524,-120.8464,2560.0,2014,1088.4
1367,Fort St. John,BC,20155.0,Census subdivision,56.2524,-120.8464,2534.0,2015,1113.9
1368,Fredericton,NB,58220.0,Census subdivision,45.9636,-66.6431,1126.0,2008,1357.159959
1369,Fredericton,NB,58220.0,Census subdivision,45.9636,-66.6431,1365.0,2009,1450.0
1370,Fredericton,NB,58220.0,Census subdivision,45.9636,-66.6431,1392.0,2010,1493.7
1371,Fredericton,NB,58220.0,Census subdivision,45.9636,-66.6431,1248.0,2011,1346.6
1372,Fredericton,NB,58220.0,Census subdivision,45.9636,-66.6431,1510.0,2012,1310.8
1373,Fredericton,NB,58220.0,Census subdivision,45.9636,-66.6431,1031.0,2013,1200.9
1374,Fredericton,NB,58220.0,Census subdivision,45.9636,-66.6431,1121.0,2014,1088.4
1375,Fredericton,NB,58220.0,Census subdivision,45.9636,-66.6431,1063.0,2015,1113.9
1376,Frontenac,ON,150475.0,Census division,44.5797,-76.5654,401.0,2008,1357.159959
1377,Frontenac,ON,150475.0,Census division,44.5797,-76.5654,379.0,2009,1450.0
1378,Frontenac,ON,150475.0,Census division,44.5797,-76.5654,401.0,2010,1493.7
1379,Frontenac,ON,150475.0,Census division,44.5797,-76.5654,314.0,2011,1346.6
1380,Frontenac,ON,150475.0,Census division,44.5797,-76.5654,475.0,2012,1310.8
1381,Frontenac,ON,150475.0,Census division,44.5797,-76.5654,430.0,2013,1200.9
1382,Frontenac,ON,150475.0,Census division,44.5797,-76.5654,257.0,2014,1088.4
1383,Frontenac,ON,150475.0,Census division,44.5797,-76.5654,394.0,2015,1113.9
1384,Gananoque,ON,5159.0,Census subdivision,44.3306,-76.1619,925.0,2008,1357.159959
1385,Gananoque,ON,5159.0,Census subdivision,44.3306,-76.1619,1004.0,2009,1450.0
1386,Gananoque,ON,5159.0,Census subdivision,44.3306,-76.1619,1038.0,2010,1493.7
1387,Gananoque,ON,5159.0,Census subdivision,44.3306,-76.1619,466.0,2011,1346.6
1388,Gananoque,ON,5159.0,Census subdivision,44.3306,-76.1619,1328.0,2012,1310.8
1389,Gananoque,ON,5159.0,Census subdivision,44.3306,-76.1619,1833.0,2013,1200.9
1390,Gananoque,ON,5159.0,Census subdivision,44.3306,-76.1619,1263.0,2014,1088.4
1391,Gananoque,ON,5159.0,Census subdivision,44.3306,-76.1619,1223.0,2015,1113.9
1392,Gander,NL,11688.0,Census subdivision,48.9544,-54.6103,771.0,2008,1357.159959
1393,Gander,NL,11688.0,Census subdivision,48.9544,-54.6103,783.0,2009,1450.0
1394,Gander,NL,11688.0,Census subdivision,48.9544,-54.6103,979.0,2010,1493.7
1395,Gander,NL,11688.0,Census subdivision,48.9544,-54.6103,865.0,2011,1346.6
1396,Gander,NL,11688.0,Census subdivision,48.9544,-54.6103,1067.0,2012,1310.8
1397,Gander,NL,11688.0,Census subdivision,48.9544,-54.6103,880.0,2013,1200.9
1398,Gander,NL,11688.0,Census subdivision,48.9544,-54.6103,799.0,2014,1088.4
1399,Gander,NL,11688.0,Census subdivision,48.9544,-54.6103,847.0,2015,1113.9
1400,Gatineau,QC,276245.0,Census subdivision,45.4765,-75.7013,1196.0,2008,1357.159959
1401,Gatineau,QC,276245.0,Census subdivision,45.4765,-75.7013,1218.0,2009,1450.0
1402,Gatineau,QC,276245.0,Census subdivision,45.4765,-75.7013,1088.0,2010,1493.7
1403,Gatineau,QC,276245.0,Census subdivision,45.4765,-75.7013,1231.0,2011,1346.6
1404,Gatineau,QC,276245.0,Census subdivision,45.4765,-75.7013,1215.0,2012,1310.8
1405,Gatineau,QC,276245.0,Census subdivision,45.4765,-75.7013,1079.0,2013,1200.9
1406,Gatineau,QC,276245.0,Census subdivision,45.4765,-75.7013,1026.0,2014,1088.4
1407,Gatineau,QC,276245.0,Census subdivision,45.4765,-75.7013,1096.0,2015,1113.9
1408,Golden/Field,BC,6011.0,Census subdivision,51.2961,-116.9631,1840.0,2008,1357.159959
1409,Golden/Field,BC,6011.0,Census subdivision,51.2961,-116.9631,1555.0,2009,1450.0
1410,Golden/Field,BC,6011.0,Census subdivision,51.2961,-116.9631,1395.0,2010,1493.7
1411,Golden/Field,BC,6011.0,Census subdivision,51.2961,-116.9631,1163.0,2011,1346.6
1412,Golden/Field,BC,6011.0,Census subdivision,51.2961,-116.9631,868.0,2012,1310.8
1413,Golden/Field,BC,6011.0,Census subdivision,51.2961,-116.9631,1115.0,2013,1200.9
1414,Golden/Field,BC,6011.0,Census subdivision,51.2961,-116.9631,807.0,2014,1088.4
1415,Golden/Field,BC,6011.0,Census subdivision,51.2961,-116.9631,1342.0,2015,1113.9
1416,Granby,QC,66222.0,Census subdivision,45.4032,-72.7341,832.0,2008,1357.159959
1417,Granby,QC,66222.0,Census subdivision,45.4032,-72.7341,900.0,2009,1450.0
1418,Granby,QC,66222.0,Census subdivision,45.4032,-72.7341,802.0,2010,1493.7
1419,Granby,QC,66222.0,Census subdivision,45.4032,-72.7341,825.0,2011,1346.6
1420,Granby,QC,66222.0,Census subdivision,45.4032,-72.7341,821.0,2012,1310.8
1421,Granby,QC,66222.0,Census subdivision,45.4032,-72.7341,818.0,2013,1200.9
1422,Granby,QC,66222.0,Census subdivision,45.4032,-72.7341,761.0,2014,1088.4
1423,Granby,QC,66222.0,Census subdivision,45.4032,-72.7341,710.0,2015,1113.9
1424,Grand Bay Westfield,NB,4964.0,Census subdivision,45.3615,-66.2417,,2008,1357.159959
1425,Grand Bay Westfield,NB,4964.0,Census subdivision,45.3615,-66.2417,,2009,1450.0
1426,Grand Bay Westfield,NB,4964.0,Census subdivision,45.3615,-66.2417,,2010,1493.7
1427,Grand Bay Westfield,NB,4964.0,Census subdivision,45.3615,-66.2417,,2011,1346.6
1428,Grand Bay Westfield,NB,4964.0,Census subdivision,45.3615,-66.2417,,2012,1310.8
1429,Grand Bay Westfield,NB,4964.0,Census subdivision,45.3615,-66.2417,,2013,1200.9
1430,Grand Bay Westfield,NB,4964.0,Census subdivision,45.3615,-66.2417,933.0,2014,1088.4
1431,Grand Bay Westfield,NB,4964.0,Census subdivision,45.3615,-66.2417,734.0,2015,1113.9
1432,Grand Falls,NB,5326.0,Census subdivision,47.048,-67.7399,1640.0,2008,1357.159959
1433,Grand Falls,NB,5326.0,Census subdivision,47.048,-67.7399,1640.0,2009,1450.0
1434,Grand Falls,NB,5326.0,Census subdivision,47.048,-67.7399,1640.0,2010,1493.7
1435,Grand Falls,NB,5326.0,Census subdivision,47.048,-67.7399,1640.0,2011,1346.6
1436,Grand Falls,NB,5326.0,Census subdivision,47.048,-67.7399,1640.0,2012,1310.8
1437,Grand Falls,NB,5326.0,Census subdivision,47.048,-67.7399,1640.0,2013,1200.9
1438,Grand Falls,NB,5326.0,Census subdivision,47.048,-67.7399,1640.0,2014,1088.4
1439,Grand Falls,NB,5326.0,Census subdivision,47.048,-67.7399,1640.0,2015,1113.9
1440,Grand Falls,NL,1109.0,Census subdivision,48.9277,-55.6575,,2008,1357.159959
1441,Grand Falls,NL,1109.0,Census subdivision,48.9277,-55.6575,,2009,1450.0
1442,Grand Falls,NL,1109.0,Census subdivision,48.9277,-55.6575,,2010,1493.7
1443,Grand Falls,NL,1109.0,Census subdivision,48.9277,-55.6575,,2011,1346.6
1444,Grand Falls,NL,1109.0,Census subdivision,48.9277,-55.6575,,2012,1310.8
1445,Grand Falls,NL,1109.0,Census subdivision,48.9277,-55.6575,,2013,1200.9
1446,Grand Falls,NL,1109.0,Census subdivision,48.9277,-55.6575,1325.0,2014,1088.4
1447,Grand Falls,NL,1109.0,Census subdivision,48.9277,-55.6575,1498.0,2015,1113.9
1448,Grand Falls-Windsor District,NL,14171.0,Census subdivision,48.9277,-55.6575,939.0,2008,1357.159959
1449,Grand Falls-Windsor District,NL,14171.0,Census subdivision,48.9277,-55.6575,1039.0,2009,1450.0
1450,Grand Falls-Windsor District,NL,14171.0,Census subdivision,48.9277,-55.6575,1139.0,2010,1493.7
1451,Grand Falls-Windsor District,NL,14171.0,Census subdivision,48.9277,-55.6575,1129.0,2011,1346.6
1452,Grand Falls-Windsor District,NL,14171.0,Census subdivision,48.9277,-55.6575,1105.0,2012,1310.8
1453,Grand Falls-Windsor District,NL,14171.0,Census subdivision,48.9277,-55.6575,1019.0,2013,1200.9
1454,Grand Falls-Windsor District,NL,14171.0,Census subdivision,48.9277,-55.6575,0.0,2014,1088.4
1455,Grand Falls-Windsor District,NL,14171.0,Census subdivision,48.9277,-55.6575,0.0,2015,1113.9
1456,Grand Prairie,AB,63166.0,Census subdivision,55.1699,-118.7986,1866.0,2008,1357.159959
1457,Grand Prairie,AB,63166.0,Census subdivision,55.1699,-118.7986,2151.0,2009,1450.0
1458,Grand Prairie,AB,63166.0,Census subdivision,55.1699,-118.7986,2603.0,2010,1493.7
1459,Grand Prairie,AB,63166.0,Census subdivision,55.1699,-118.7986,2317.0,2011,1346.6
1460,Grand Prairie,AB,63166.0,Census subdivision,55.1699,-118.7986,2103.0,2012,1310.8
1461,Grand Prairie,AB,63166.0,Census subdivision,55.1699,-118.7986,2063.0,2013,1200.9
1462,Grand Prairie,AB,63166.0,Census subdivision,55.1699,-118.7986,2368.0,2014,1088.4
1463,Grand Prairie,AB,63166.0,Census subdivision,55.1699,-118.7986,2161.0,2015,1113.9
1464,Granit Region,QC,21462.0,Census division,45.5955,-70.9075,721.0,2008,1357.159959
1465,Granit Region,QC,21462.0,Census division,45.5955,-70.9075,474.0,2009,1450.0
1466,Granit Region,QC,21462.0,Census division,45.5955,-70.9075,556.0,2010,1493.7
1467,Granit Region,QC,21462.0,Census division,45.5955,-70.9075,550.0,2011,1346.6
1468,Granit Region,QC,21462.0,Census division,45.5955,-70.9075,533.0,2012,1310.8
1469,Granit Region,QC,21462.0,Census division,45.5955,-70.9075,919.0,2013,1200.9
1470,Granit Region,QC,21462.0,Census division,45.5955,-70.9075,905.0,2014,1088.4
1471,Granit Region,QC,21462.0,Census division,45.5955,-70.9075,749.0,2015,1113.9
1472,Greater Sudbury,ON,161531.0,Census subdivision,46.5221,-80.953,1087.0,2008,1357.159959
1473,Greater Sudbury,ON,161531.0,Census subdivision,46.5221,-80.953,1108.0,2009,1450.0
1474,Greater Sudbury,ON,161531.0,Census subdivision,46.5221,-80.953,1053.0,2010,1493.7
1475,Greater Sudbury,ON,161531.0,Census subdivision,46.5221,-80.953,969.0,2011,1346.6
1476,Greater Sudbury,ON,161531.0,Census subdivision,46.5221,-80.953,910.0,2012,1310.8
1477,Greater Sudbury,ON,161531.0,Census subdivision,46.5221,-80.953,860.0,2013,1200.9
1478,Greater Sudbury,ON,161531.0,Census subdivision,46.5221,-80.953,837.0,2014,1088.4
1479,Greater Sudbury,ON,161531.0,Census subdivision,46.5221,-80.953,788.0,2015,1113.9
1480,Greenstone,ON,4636.0,Census subdivision,49.7667,-87.2833,3500.0,2008,1357.159959
1481,Greenstone,ON,4636.0,Census subdivision,49.7667,-87.2833,3280.0,2009,1450.0
1482,Greenstone,ON,4636.0,Census subdivision,49.7667,-87.2833,2765.0,2010,1493.7
1483,Greenstone,ON,4636.0,Census subdivision,49.7667,-87.2833,2831.0,2011,1346.6
1484,Greenstone,ON,4636.0,Census subdivision,49.7667,-87.2833,2801.0,2012,1310.8
1485,Greenstone,ON,4636.0,Census subdivision,49.7667,-87.2833,2696.0,2013,1200.9
1486,Greenstone,ON,4636.0,Census subdivision,49.7667,-87.2833,2675.0,2014,1088.4
1487,Greenstone,ON,4636.0,Census subdivision,49.7667,-87.2833,2388.0,2015,1113.9
1488,Grenville County (Edwardsburgh/Cardinal),ON,7093.0,Census subdivision,44.8447,-75.5073,1134.0,2008,1357.159959
1489,Grenville County (Edwardsburgh/Cardinal),ON,7093.0,Census subdivision,44.8447,-75.5073,1302.0,2009,1450.0
1490,Grenville County (Edwardsburgh/Cardinal),ON,7093.0,Census subdivision,44.8447,-75.5073,949.0,2010,1493.7
1491,Grenville County (Edwardsburgh/Cardinal),ON,7093.0,Census subdivision,44.8447,-75.5073,545.0,2011,1346.6
1492,Grenville County (Edwardsburgh/Cardinal),ON,7093.0,Census subdivision,44.8447,-75.5073,859.0,2012,1310.8
1493,Grenville County (Edwardsburgh/Cardinal),ON,7093.0,Census subdivision,44.8447,-75.5073,718.0,2013,1200.9
1494,Grenville County (Edwardsburgh/Cardinal),ON,7093.0,Census subdivision,44.8447,-75.5073,460.0,2014,1088.4
1495,Grenville County (Edwardsburgh/Cardinal),ON,7093.0,Census subdivision,44.8447,-75.5073,519.0,2015,1113.9
1496,Grenville County (North Grenville),ON,16451.0,Census subdivision,44.9552,-75.6282,776.0,2008,1357.159959
1497,Grenville County (North Grenville),ON,16451.0,Census subdivision,44.9552,-75.6282,797.0,2009,1450.0
1498,Grenville County (North Grenville),ON,16451.0,Census subdivision,44.9552,-75.6282,695.0,2010,1493.7
1499,Grenville County (North Grenville),ON,16451.0,Census subdivision,44.9552,-75.6282,402.0,2011,1346.6
1500,Grenville County (North Grenville),ON,16451.0,Census subdivision,44.9552,-75.6282,573.0,2012,1310.8
1501,Grenville County (North Grenville),ON,16451.0,Census subdivision,44.9552,-75.6282,551.0,2013,1200.9
1502,Grenville County (North Grenville),ON,16451.0,Census subdivision,44.9552,-75.6282,382.0,2014,1088.4
1503,Grenville County (North Grenville),ON,16451.0,Census subdivision,44.9552,-75.6282,464.0,2015,1113.9
1504,Grenville County (Prescott/Augusta),ON,11575.0,Census subdivision,44.7093,-75.51899999999999,371.0,2008,1357.159959
1505,Grenville County (Prescott/Augusta),ON,11575.0,Census subdivision,44.7093,-75.51899999999999,560.0,2009,1450.0
1506,Grenville County (Prescott/Augusta),ON,11575.0,Census subdivision,44.7093,-75.51899999999999,559.0,2010,1493.7
1507,Grenville County (Prescott/Augusta),ON,11575.0,Census subdivision,44.7093,-75.51899999999999,589.0,2011,1346.6
1508,Grenville County (Prescott/Augusta),ON,11575.0,Census subdivision,44.7093,-75.51899999999999,401.0,2012,1310.8
1509,Grenville County (Prescott/Augusta),ON,11575.0,Census subdivision,44.7093,-75.51899999999999,536.0,2013,1200.9
1510,Grenville County (Prescott/Augusta),ON,11575.0,Census subdivision,44.7093,-75.51899999999999,511.0,2014,1088.4
1511,Grenville County (Prescott/Augusta),ON,11575.0,Census subdivision,44.7093,-75.51899999999999,404.0,2015,1113.9
1512,Grey County (Chatsworth),ON,6630.0,Census subdivision,44.4562,-80.8975,370.0,2008,1357.159959
1513,Grey County (Chatsworth),ON,6630.0,Census subdivision,44.4562,-80.8975,709.0,2009,1450.0
1514,Grey County (Chatsworth),ON,6630.0,Census subdivision,44.4562,-80.8975,832.0,2010,1493.7
1515,Grey County (Chatsworth),ON,6630.0,Census subdivision,44.4562,-80.8975,586.0,2011,1346.6
1516,Grey County (Chatsworth),ON,6630.0,Census subdivision,44.4562,-80.8975,464.0,2012,1310.8
1517,Grey County (Chatsworth),ON,6630.0,Census subdivision,44.4562,-80.8975,340.0,2013,1200.9
1518,Grey County (Chatsworth),ON,6630.0,Census subdivision,44.4562,-80.8975,465.0,2014,1088.4
1519,Grey County (Chatsworth),ON,6630.0,Census subdivision,44.4562,-80.8975,777.0,2015,1113.9
1520,Grey County (Georgian Bluffs),ON,10479.0,Census subdivision,44.684,-81.0198,325.0,2008,1357.159959
1521,Grey County (Georgian Bluffs),ON,10479.0,Census subdivision,44.684,-81.0198,731.0,2009,1450.0
1522,Grey County (Georgian Bluffs),ON,10479.0,Census subdivision,44.684,-81.0198,406.0,2010,1493.7
1523,Grey County (Georgian Bluffs),ON,10479.0,Census subdivision,44.684,-81.0198,292.0,2011,1346.6
1524,Grey County (Georgian Bluffs),ON,10479.0,Census subdivision,44.684,-81.0198,409.0,2012,1310.8
1525,Grey County (Georgian Bluffs),ON,10479.0,Census subdivision,44.684,-81.0198,253.0,2013,1200.9
1526,Grey County (Georgian Bluffs),ON,10479.0,Census subdivision,44.684,-81.0198,429.0,2014,1088.4
1527,Grey County (Georgian Bluffs),ON,10479.0,Census subdivision,44.684,-81.0198,195.0,2015,1113.9
1528,Grey County (Meaford),ON,10991.0,Census subdivision,44.6059,-80.5937,648.0,2008,1357.159959
1529,Grey County (Meaford),ON,10991.0,Census subdivision,44.6059,-80.5937,680.0,2009,1450.0
1530,Grey County (Meaford),ON,10991.0,Census subdivision,44.6059,-80.5937,537.0,2010,1493.7
1531,Grey County (Meaford),ON,10991.0,Census subdivision,44.6059,-80.5937,552.0,2011,1346.6
1532,Grey County (Meaford),ON,10991.0,Census subdivision,44.6059,-80.5937,516.0,2012,1310.8
1533,Grey County (Meaford),ON,10991.0,Census subdivision,44.6059,-80.5937,0.0,2013,1200.9
1534,Grey County (Meaford),ON,10991.0,Census subdivision,44.6059,-80.5937,0.0,2014,1088.4
1535,Grey County (Meaford),ON,10991.0,Census subdivision,44.6059,-80.5937,0.0,2015,1113.9
1536,Grimshaw,AB,2718.0,Census subdivision,56.1894,-117.6105,2241.0,2008,1357.159959
1537,Grimshaw,AB,2718.0,Census subdivision,56.1894,-117.6105,1650.0,2009,1450.0
1538,Grimshaw,AB,2718.0,Census subdivision,56.1894,-117.6105,1769.0,2010,1493.7
1539,Grimshaw,AB,2718.0,Census subdivision,56.1894,-117.6105,0.0,2011,1346.6
1540,Grimshaw,AB,2718.0,Census subdivision,56.1894,-117.6105,0.0,2012,1310.8
1541,Grimshaw,AB,2718.0,Census subdivision,56.1894,-117.6105,0.0,2013,1200.9
1542,Grimshaw,AB,2718.0,Census subdivision,56.1894,-117.6105,0.0,2014,1088.4
1543,Grimshaw,AB,2718.0,Census subdivision,56.1894,-117.6105,0.0,2015,1113.9
1544,Guelph,ON,131794.0,Census subdivision,43.5448,-80.2482,724.0,2008,1357.159959
1545,Guelph,ON,131794.0,Census subdivision,43.5448,-80.2482,780.0,2009,1450.0
1546,Guelph,ON,131794.0,Census subdivision,43.5448,-80.2482,841.0,2010,1493.7
1547,Guelph,ON,131794.0,Census subdivision,43.5448,-80.2482,865.0,2011,1346.6
1548,Guelph,ON,131794.0,Census subdivision,43.5448,-80.2482,940.0,2012,1310.8
1549,Guelph,ON,131794.0,Census subdivision,43.5448,-80.2482,829.0,2013,1200.9
1550,Guelph,ON,131794.0,Census subdivision,43.5448,-80.2482,684.0,2014,1088.4
1551,Guelph,ON,131794.0,Census subdivision,43.5448,-80.2482,673.0,2015,1113.9
1552,Guysborough County,NS,7625.0,Census division,44.878,-59.8066,1166.0,2008,1357.159959
1553,Guysborough County,NS,7625.0,Census division,44.878,-59.8066,1140.0,2009,1450.0
1554,Guysborough County,NS,7625.0,Census division,44.878,-59.8066,1191.0,2010,1493.7
1555,Guysborough County,NS,7625.0,Census division,44.878,-59.8066,1346.0,2011,1346.6
1556,Guysborough County,NS,7625.0,Census division,44.878,-59.8066,716.0,2012,1310.8
1557,Guysborough County,NS,7625.0,Census division,44.878,-59.8066,997.0,2013,1200.9
1558,Guysborough County,NS,7625.0,Census division,44.878,-59.8066,707.0,2014,1088.4
1559,Guysborough County,NS,7625.0,Census division,44.878,-59.8066,698.0,2015,1113.9
1560,Haldimand County,ON,45608.0,Census subdivision,42.9277,-79.8762,721.0,2008,1357.159959
1561,Haldimand County,ON,45608.0,Census subdivision,42.9277,-79.8762,672.0,2009,1450.0
1562,Haldimand County,ON,45608.0,Census subdivision,42.9277,-79.8762,726.0,2010,1493.7
1563,Haldimand County,ON,45608.0,Census subdivision,42.9277,-79.8762,681.0,2011,1346.6
