,community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg
137,Athabasca,AB,2965.0,Census subdivision,54.7214,-113.2862,3395.0,2009,1450.0
138,Athabasca,AB,2965.0,Census subdivision,54.7214,-113.2862,2533.0,2010,1493.7
139,Athabasca,AB,2965.0,Census subdivision,54.7214,-113.2862,2692.0,2011,1346.6
140,Athabasca,AB,2965.0,Census subdivision,54.7214,-113.2862,3003.0,2012,1310.8
141,Athabasca,AB,2965.0,Census subdivision,54.7214,-113.2862,2649.0,2013,1200.9
142,Athabasca,AB,2965.0,Census subdivision,54.7214,-113.2862,3198.0,2014,1088.4
143,Athabasca,AB,2965.0,Census subdivision,54.7214,-113.2862,3102.0,2015,1113.9
144,Athabaska Region,QC,,,45.9394,-72.0236,852.0,2008,1357.159959
145,Athabaska Region,QC,,,45.9394,-72.0236,792.0,2009,1450.0
146,Athabaska Region,QC,,,45.9394,-72.0236,729.0,2010,1493.7
147,Athabaska Region,QC,,,45.9394,-72.0236,883.0,2011,1346.6
148,Athabaska Region,QC,,,45.9394,-72.0236,909.0,2012,1310.8
149,Athabaska Region,QC,,,45.9394,-72.0236,1045.0,2013,1200.9
150,Athabaska Region,QC,,,45.9394,-72.0236,1027.0,2014,1088.4
151,Athabaska Region,QC,,,45.9394,-72.0236,869.0,2015,1113.9
152,Avalon East District,NL,86494.0,Federal Electoral District,47.29,-53.35,823.0,2008,1357.159959
153,Avalon East District,NL,86494.0,Federal Electoral District,47.29,-53.35,896.0,2009,1450.0
154,Avalon East District,NL,86494.0,Federal Electoral District,47.29,-53.35,858.0,2010,1493.7
155,Avalon East District,NL,86494.0,Federal Electoral District,47.29,-53.35,1095.0,2011,1346.6
156,Avalon East District,NL,86494.0,Federal Electoral District,47.29,-53.35,1164.0,2012,1310.8
157,Avalon East District,NL,86494.0,Federal Electoral District,47.29,-53.35,919.0,2013,1200.9
158,Avalon East District,NL,86494.0,Federal Electoral District,47.29,-53.35,0.0,2014,1088.4
159,Avalon East District,NL,86494.0,Federal Electoral District,47.29,-53.35,0.0,2015,1113.9
