,Unnamed: 0,Characters,Gender,Movie,Word_count
173,203,Mace Windu,Male,Attack of the Clones,53
174,204,Poggle,Male,Attack of the Clones,42
175,205,Shmi,Female,Attack of the Clones,39
176,206,Sun Rit,Male,Attack of the Clones,38
177,207,Nute Gunray,Male,Attack of the Clones,34
178,208,Orn Free Taa,Male,Attack of the Clones,33
179,209,Amidala,Female,Attack of the Clones,26
180,210,Hermione Bagwa,Female,Attack of the Clones,26
181,211,Zam Wessel,Female,Attack of the Clones,26
182,212,Ki-Adi-Mundi,Male,Attack of the Clones,26
183,213,Dorme,Female,Attack of the Clones,20
184,214,Ambassador Darsana,Male,Attack of the Clones,17
185,215,Elan,Male,Attack of the Clones,17
186,216,Boba Fett,Male,Attack of the Clones,14
187,217,Clone Captain,Male,Attack of the Clones,11
188,218,Cordé,Female,Attack of the Clones,8
189,219,Plo Koon,Male,Attack of the Clones,8
190,220,Beru,Female,Attack of the Clones,7
191,221,Dar Wac,Male,Attack of the Clones,7
192,222,Ryoo & Pooja,Female,Attack of the Clones,5
193,223,Droid Captain,Droid,Attack of the Clones,2
194,224,Qui-Gon,Male,The Phantom Menace,2118
195,225,Anakin,Male,The Phantom Menace,1565
196,226,Padme,Female,The Phantom Menace,659
197,227,Obi-Wan,Male,The Phantom Menace,630
198,228,Amidala,Female,The Phantom Menace,611
199,229,Nute,Male,The Phantom Menace,598
200,230,Jar Jar,Male,The Phantom Menace,583
201,231,Watto,Male,The Phantom Menace,482
202,232,Fode/Beed,Male,The Phantom Menace,373
203,233,Capt. Panaka,Male,The Phantom Menace,364
204,234,Palpatine,Male,The Phantom Menace,274
205,235,Mace Windu,Male,The Phantom Menace,228
206,236,Boss Nass,Male,The Phantom Menace,192
207,237,Ric Olie,Male,The Phantom Menace,118
208,238,Yoda,Male,The Phantom Menace,74
209,239,Threepio,Droid,The Phantom Menace,66
210,240,Darth Maul,Male,The Phantom Menace,65
211,241,Tc-14,Droid,The Phantom Menace,50
212,242,Sebulba,Male,The Phantom Menace,39
213,243,Jabba,Male,The Phantom Menace,35
214,244,Captain,Male,The Phantom Menace,20
215,245,Battle Droid Captain,Droid,The Phantom Menace,20
216,246,Pk-4,Droid,The Phantom Menace,17
217,247,Eg-9,Droid,The Phantom Menace,7
218,248,General Ceel,Male,The Phantom Menace,5
219,249,P-59,Droid,The Phantom Menace,5
220,250,Owo-1,Droid,The Phantom Menace,4
221,251,Guard Droid,Droid,The Phantom Menace,4
222,252,Anakin,Male,Revenge of the Sith,3191
223,253,Obi-Wan,Male,Revenge of the Sith,2708
224,254,Palpatine,Male,Revenge of the Sith,2422
225,255,Padme,Female,Revenge of the Sith,1299
226,256,Yoda,Male,Revenge of the Sith,802
227,257,Mace Windu,Male,Revenge of the Sith,539
228,258,Bail Organa,Male,Revenge of the Sith,409
229,259,Threepio,Robots,Revenge of the Sith,271
230,260,General Grievous,Robots,Revenge of the Sith,263
231,261,Mon Mothma,Female,Revenge of the Sith,115
232,262,Qui-Gon,Male,Revenge of the Sith,102
233,263,Kl-Adi-Mundi,Male,Revenge of the Sith,91
234,264,Clone Commander Cody,Male,Revenge of the Sith,82
235,265,Count Dooku,Male,Revenge of the Sith,65
236,266,Medical Droid,Robots,Revenge of the Sith,56
237,267,Nute Gunray,Male,Revenge of the Sith,55
238,268,Clone Sergeant,Male,Revenge of the Sith,43
239,269,Mas Amedda,Male,Revenge of the Sith,34
240,270,Giddean Danu,Male,Revenge of the Sith,31
241,271,Odd Ball,Male,Revenge of the Sith,26
242,272,Captain Typho,Male,Revenge of the Sith,23
243,273,Fang Zar,Male,Revenge of the Sith,23
244,274,Clone Commander Gree,Male,Revenge of the Sith,20
245,275,Bana Breemu,Female,Revenge of the Sith,19
246,276,Jar Jar,Male,Revenge of the Sith,18
247,277,Creature,Male,Revenge of the Sith,18
248,278,Glddean Danu,Male,Revenge of the Sith,16
249,279,Aayla,Female,Revenge of the Sith,14
250,280,Super Battle Droid G21,Robots,Revenge of the Sith,14
251,281,Younglings,Male,Revenge of the Sith,14
252,282,Super Battle Droid 1,Robots,Revenge of the Sith,13
253,283,Bodyguard,Male,Revenge of the Sith,13
254,284,Bodyguard I,Male,Revenge of the Sith,9
255,285,Clone Commander Bacara,Male,Revenge of the Sith,8
256,286,Plo Koon,Male,Revenge of the Sith,8
257,287,Battle Droid,Robots,Revenge of the Sith,7
258,288,Super Battle Droid R77,Robots,Revenge of the Sith,7
259,289,Rune Haako,Male,Revenge of the Sith,6
260,290,Super Battle Droid,Robots,Revenge of the Sith,6
261,291,Super Battle Droid 2,Robots,Revenge of the Sith,6
262,292,Droid 1,Robots,Revenge of the Sith,5
263,293,Anakin/Obi-Wan,Male,Revenge of the Sith,4
264,294,At-St Clone Sergeant,Male,Revenge of the Sith,4
265,295,Terr Taneel,Female,Revenge of the Sith,4
266,296,Motee,Female,Revenge of the Sith,3
267,297,Droid 2,Robots,Revenge of the Sith,2
268,298,Chi Eekway,Female,Revenge of the Sith,2
269,0,Rey,Female,The Force Awakens,1059
270,1,Maz Kanata,Female,The Force Awakens,256
271,2,Leia,Female,The Force Awakens,238
272,3,Phasma,Female,The Force Awakens,72
273,4,Jess,Female,The Force Awakens,18
274,5,Rey / Han,Female,The Force Awakens,16
275,6,Woman,Female,The Force Awakens,9
276,7,Girl Officer,Female,The Force Awakens,8
277,8,Rey / Finn,Female,The Force Awakens,4
278,9,Unknown Lady,Female,The Force Awakens,2
279,10,Villager,Female,The Force Awakens,2
280,11,Finn (FN-2187),Male,The Force Awakens,1417
281,12,Han Solo,Male,The Force Awakens,1235
282,13,Poe Dameron,Male,The Force Awakens,625
283,14,Kylo Ren,Male,The Force Awakens,604
284,15,General Hux,Male,The Force Awakens,315
285,16,Snoke,Male,The Force Awakens,143
286,17,Bala-Tik,Male,The Force Awakens,104
287,18,Lor San Tekka,Male,The Force Awakens,94
288,19,Unkar,Male,The Force Awakens,46
289,20,Statura,Male,The Force Awakens,41
290,21,Captain,Male,The Force Awakens,31
291,22,Pilot,Male,The Force Awakens,24
292,23,Rey / Han,Male,The Force Awakens,16
293,24,Obi Wan,Male,The Force Awakens,10
294,25,Medic,Male,The Force Awakens,8
295,26,Some Guy,Male,The Force Awakens,8
296,27,Yoda,Male,The Force Awakens,7
297,28,Emmat,Male,The Force Awakens,4
298,29,Rey / Finn,Male,The Force Awakens,4
299,30,Unknown Man,Male,The Force Awakens,4
300,31,Threepio,Robots,The Force Awakens,209
