,Characters,Dialogue,Test,Movie,Gender,length
296,DEXTER JETTSTER,Take a seat! Be right with ya!,True,Attack of the Clones,Male,7
297,HERMIONE BAGWA,You want a cup of ardees?,True,Attack of the Clones,Female,6
298,OBI-WAN,Thank you.,True,Attack of the Clones,Male,2
299,DEXTER JETTSTER,Hey ol' buddy!,True,Attack of the Clones,Male,3
300,OBI-WAN,Hey Dex.,True,Attack of the Clones,Male,2
301,DEXTER JETTSTER,So my friend. What can I do for ya?,True,Attack of the Clones,Male,9
302,OBI-WAN,You can tell me what this is.,True,Attack of the Clones,Male,7
303,DEXTER JETTSTER,Well whattaya know...,True,Attack of the Clones,Male,3
304,DEXTER JETTSTER, I ain't seen one of these since I was prospecting on Subterrel beyond the Outer Rim!,True,Attack of the Clones,Male,16
305,OBI-WAN,Do you know where it came from?,True,Attack of the Clones,Male,7
306,DEXTER JETTSTER,This baby belongs to them cloners. What you got here is a Kamino Kyberdart.,True,Attack of the Clones,Male,14
307,OBI-WAN,Kamino Kyberdart... I wonder why it didn't show up in any analysis archive.,True,Attack of the Clones,Male,13
308,DEXTER JETTSTER,It's these funny little cuts on the side give it away... Those analysis droids you've got over there only focus on symbols you know. I should think you Jedi would have more respect for the difference between knowledge and wisdom.,True,Attack of the Clones,Male,40
309,OBI-WAN,Well Dex if droids could think we wouldn't be here would we?  Kamino... doesn't sound familiar. Is it part of the Republic?,True,Attack of the Clones,Male,22
310,DEXTER JETTSTER,No it's beyond the Outer Rim. I'd say about twelve parsecs outside the Rishi Maze toward the south. It should be easy to find even for those droids in your archive to find. Those Kaminoans keep to themselves. They're cloners. Damned good ones too.,True,Attack of the Clones,Male,44
311,OBI-WAN,Cloners? Are they friendly?,True,Attack of the Clones,Male,4
312,DEXTER JETTSTER,It depends.,True,Attack of the Clones,Male,2
313,OBI-WAN,On what Dex?,True,Attack of the Clones,Male,3
314,DEXTER JETTSTER,On how good your manners are... and how big your pocketbook is...,True,Attack of the Clones,Male,12
315,ANAKIN,If I grew up here I don't think I'd ever leave.,True,Attack of the Clones,Male,11
316,PADME, I doubt that.,True,Attack of the Clones,Female,3
317,ANAKIN,No really. When I started my training I was very homesick and very lonely. This city and my Mom were the only pleasant things I had to think about... The problem was the more I thought about my Mom the worse I felt. But I would feel better if I thought about the palace - the way it shimmers in the sunlight - the way the air always smells of flowers...,True,Attack of the Clones,Male,71
318,PADME,...and the soft sound of the distant waterfalls. The first time I saw the Capital I was very young... I'd never seen a waterfall before. I though they were so beautiful... I never dreamed one day I'd live in the palace.,True,Attack of the Clones,Female,41
319,ANAKIN,Well tell me did you dream of power and politics when you were a little girl?,True,Attack of the Clones,Male,16
320,PADME," No! That was the last thing I thought of. My dream was to help in the ""Refugee Relief Movement."" I never thought of running for elected office. But the more history I studied the more I realised how much good politicians could do. So when I was eight I joined the ""Apprentice Legislators"" then later on became a Senatorial advisor with such a passion that before I knew it I was elected Queen. Partly because I scored so high on my education certificate but for the most part it was my conviction that reform was possible. I wasn't the youngest Queen ever elected but now that I think back on it I'm not sure I was old enough. I'm not sure I was ready.",True,Attack of the Clones,Female,124
321,ANAKIN,The people you served thought you did a good job. I heard they tried to amend the Constitution so you could stay in office.,True,Attack of the Clones,Male,24
322,PADME,Popular rule is not democracy Annie. It gives the people what they want not what they need. And truthfully I was relieved when my two terms were up. So were my parents. They worried About me during the blockade and couldn't wait for it all to be over. Actually I was hoping to have a family by now... My sisters have the most amazing wonderful kids... but when the Queen asked me to serve as Senator I couldn't refuse her.,True,Attack of the Clones,Female,80
323,ANAKIN,I agree! I think the Republic needs you... I'm glad you chose to serve. I feel things are going to happen in our generation that will change the galaxy in profound ways.,True,Attack of the Clones,Male,32
324,PADME,I think so too.,True,Attack of the Clones,Female,4
325,QUEEN JAMILLIA,We've been worried about you.  I'm so glad you're safe Padmé.,True,Attack of the Clones,Female,11
326,PADME,Thank you Your Highness. I only Wish I could have served you better by staying on Coruscant for the vote.,True,Attack of the Clones,Female,20
327,SIO BIBBLE,Given the circumstances Senator you know it was the only decision Her Highness could have made.,True,Attack of the Clones,Male,16
328,QUEEN JAMILLIA,How many systems have joined Count Dooku and the separatists?,True,Attack of the Clones,Female,10
329,PADME,About two hundred. And more are leaving the Republic every day. If the Senate votes to create an army I'm sure it's going to push us into a civil war.,True,Attack of the Clones,Female,30
330,SIO BIBBLE,It's unthinkable! There hasn't been a full-scale war since the formation of the Republic!,True,Attack of the Clones,Male,14
331,QUEEN JAMILLIA,Do you see any way through negotiations to bring the separatists back into the Republic?,True,Attack of the Clones,Female,15
332,PADME,Not if they feel threatened. The separatists don't have an army but if they are provoked they will move to defend themselves. I'm sure of that. And with no time or money to build an army my guess is they will turn to the Commerce Guilds or the Trade Federation for help.,True,Attack of the Clones,Female,52
333,QUEEN JAMILLIA,The armies of commerce! Why has Nothing been done in the Senate to restrain them?,True,Attack of the Clones,Female,15
334,PADME,I'm afraid that despite the Chancellor's best efforts there are still many bureaucrats judges and even Senators on the payrolls of the Guilds.,True,Attack of the Clones,Female,23
335,SIO BIBBLE,It's outrageous! After all of those hearings and the four trials in the Supreme Court Nute Gunray is still the Viceroy of the Trade Federation. Do those money mongers control everything?,True,Attack of the Clones,Male,31
336,QUEEN JAMILLIA,Remember Counsellor the courts were able to reduce the Federation's armies. That's a move in the right direction.,True,Attack of the Clones,Female,18
337,PADME,There are rumours Your Highness that the Federation Army was not reduced as they were ordered.,True,Attack of the Clones,Female,16
338,ANAKIN,The Jedi have not been allowed to investigate. It would be to be too dangerous for the economy we were told.,True,Attack of the Clones,Male,21
339,QUEEN JAMILLIA,We must keep our faith in the Republic. The day we stop believing democracy can work is the day we lose it.,True,Attack of the Clones,Female,22
340,PADME,Let's pray that day never comes.,True,Attack of the Clones,Female,6
341,QUEEN JAMILLIA,In the meantime we must consider your own safety.,True,Attack of the Clones,Female,9
342,SIO BIBBLE, What is your suggestion Master Jedi?,True,Attack of the Clones,Male,6
343,PADME,Anakin's not a Jedi yet Counsellor. He's still a Padawan learner. I was thinking...,True,Attack of the Clones,Female,14
344,ANAKIN, Hey hold on a minute!,True,Attack of the Clones,Male,5
345,PADME,Excuse me! I was thinking I would stay in the Lake Country. There are some places up there that are very isolated.,True,Attack of the Clones,Female,22
346,ANAKIN,Excuse me?! I am in charge of security here M'Lady.,True,Attack of the Clones,Male,10
347,PADME,Annie my life is at risk and this is my home. I know it very well... that is why we're here. I think it would be wise for you to take advantage of my knowledge in this instance.,True,Attack of the Clones,Female,38
348,ANAKIN, Sorry M'Lady.,True,Attack of the Clones,Male,2
349,SIO BIBBLE, She is right. The Lake Country is the most remote part of Naboo. Not many people and a clear view of the surrounding terrain.,True,Attack of the Clones,Male,24
350,QUEEN JAMILLIA,Perfect. It's settled then.,True,Attack of the Clones,Female,4
351,QUEEN JAMILLIA, Padmé I had an audience with your father yesterday. I told him what was happening. He hopes you will visit your mother before you leave... your family's very worried about you.,True,Attack of the Clones,Female,31
352,JOCASTA NU,Did you call for assistance?,True,Attack of the Clones,Female,5
353,OBI-WAN, Yes... yes I did...,True,Attack of the Clones,Male,4
354,JOCASTA NU,He has a powerful face doesn't he? He was one of the most brilliant Jedi I have had the privilege of knowing.,True,Attack of the Clones,Female,22
355,OBI-WAN,I never understood why he quit. Only twenty Jedi have ever left the Order.,True,Attack of the Clones,Male,14
356,JOCASTA NU, The Lost Twenty... and Count Dooku was the most recent and the most painful. No one likes to talk about it. His leaving was a great loss to the Order.,True,Attack of the Clones,Female,30
357,OBI-WAN,What happened?,True,Attack of the Clones,Male,2
358,JOCASTA NU,Well one might say he was always a bit out of step with the decisions of the Council... much like your old Master Qui-Gon Jinn.,True,Attack of the Clones,Female,25
359,OBI-WAN, Really?,True,Attack of the Clones,Male,1
360,JOCASTA NU,Oh yes. They were alike in many ways. Very individual thinkers... idealists...,True,Attack of the Clones,Female,12
361,JOCASTA NU,(continuing He was always striving to become a more powerful Jedi. He wanted to be the best. With a lightsaber in the old style of fencing he had no match. His knowledge of the Force was... unique. In the end I think he left because he lost faith in the Republic. He believed that politics were corrupt and he felt the Jedi betrayed themselves by serving the politicians. He always had very high expectations of government. He disappeared for nine or ten years then he just showed up recently as the head of the separatist movement.,True,Attack of the Clones,Female,96
362,OBI-WAN,Interesting... I'm still not sure I understand.,True,Attack of the Clones,Male,7
363,JOCASTA NU,Well I'm sure you didn't call me over here for a history lesson. Are you having a problem Master Kenobi?,True,Attack of the Clones,Female,20
364,OBI-WAN,Yes I'm trying to find a planet system called Kamino. It doesn't seem to show upon any of the archive charts.,True,Attack of the Clones,Male,21
365,JOCASTA NU,Kamino? It's not a system I'M familiar with... Let me see...,True,Attack of the Clones,Female,11
366,JOCASTA NU, Are you sure you have the right co-ordinates?,True,Attack of the Clones,Female,8
367,OBI-WAN, According to my information it should be in this quadrant somewhere... just south of the Rishi Maze.,True,Attack of the Clones,Male,17
368,JOCASTA NU,No co-ordinates? It sounds like the kind of directions you'd get from a street tout... some old miner or Furbog trader.,True,Attack of the Clones,Female,21
369,OBI-WAN,All three actually.,True,Attack of the Clones,Male,3
370,JOCASTA NU,Are you sure it exists?,True,Attack of the Clones,Female,5
371,OBI-WAN,Absolutely.,True,Attack of the Clones,Male,1
372,JOCASTA NU,Let me do a gravitational scan.,True,Attack of the Clones,Female,6
373,JOCASTA NU,There are some inconsistencies here. Maybe the planet you're looking for was destroyed.,True,Attack of the Clones,Female,13
374,OBI-WAN,Wouldn't that be on record?,True,Attack of the Clones,Male,5
375,JOCASTA NU,It ought to be. Unless it was very recent.  I hate to say it but it looks like the system you're searching for doesn't exist.,True,Attack of the Clones,Female,25
376,OBI-WAN,That's impossible... perhaps the archives are incomplete.,True,Attack of the Clones,Male,7
377,JOCASTA NU,The archives are comprehensive and totally secure my young Jedi. One thing you may be absolutely sure of - if an item does not appear in our records it does not exist!,True,Attack of the Clones,Female,32
378,PADME,There's my house!,True,Attack of the Clones,Female,3
379,PADME, What? Don't say you're shy!,True,Attack of the Clones,Female,5
380,ANAKIN, No but I...,True,Attack of the Clones,Male,3
381,RYOO & POOJA,Aunt Padme!! Aunt Padme!!,True,Attack of the Clones,Female,4
382,PADME,Ryoo!! Pooja!!,True,Attack of the Clones,Female,2
383,PADME, I'm so happy to see you! This is Anakin. Anakin this is Ryoo and this is Pooja.,True,Attack of the Clones,Female,17
384,RYOO & POOJA,Artoo!!!,True,Attack of the Clones,Female,1
385,SOLA, They're eating over at Jev Narran's later Mom. They just had a snack. They'll be fine.,True,Attack of the Clones,Female,16
386,PADME,Anakin this is my sister Sola.,True,Attack of the Clones,Female,6
387,SOLA,Hello Anakin.,True,Attack of the Clones,Female,2
388,ANAKIN,Hello.,True,Attack of the Clones,Male,1
389,JOBAL,You're just in time for dinner. I hope you're hungry Anakin.,True,Attack of the Clones,Female,11
390,ANAKIN,A little.,True,Attack of the Clones,Male,2
391,PADME,He's being polite Mom. We're starving.,True,Attack of the Clones,Female,6
392,RUWEE, You came to the right place at the right time. Sit down son.,True,Attack of the Clones,Male,13
393,JOBAL, Honey it's so good to see you safe. We were so worried.,True,Attack of the Clones,Female,12
394,RUWEE,Dear...,True,Attack of the Clones,Male,1
395,JOBAL,I know I know... but I had to say it. Now it's done.,True,Attack of the Clones,Female,13
396,SOLA,Well this is exciting! Do you know Anakin you're the first boyfriend my sister's ever brought home?,True,Attack of the Clones,Female,17
397,PADME, Sola!! He isn't my boyfriend! He's a Jedi assigned by the Senate to protect me.,True,Attack of the Clones,Female,15
398,JOVAL,A bodyguard?! Oh Padme! They didn't tell us it was that serious!,True,Attack of the Clones,,12
399,PADME,It's not Mom I promise.  Anyway Anakin's a friend. I've known him for years. Remember that little boy who was with the Jedi during the blockade crisis?,True,Attack of the Clones,Female,27
400,PADME, He grew up.,True,Attack of the Clones,Female,3
401,JOBAL,Honey when are you going to settle down? Haven't you had enough of that life? I certainly have!,True,Attack of the Clones,Female,18
402,PADME,Mom I'm not in any danger.,True,Attack of the Clones,Female,6
403,RUWEE, Is she?,True,Attack of the Clones,Male,2
404,ANAKIN,...Yes... I'm afraid she is.,True,Attack of the Clones,Male,5
405,PADME, But not much.,True,Attack of the Clones,Female,3
406,RUWEE,Sometimes I wish I'd traveled more... but I must say I'm happy here.,True,Attack of the Clones,Male,13
407,ANAKIN,Padme tells me you teach at the university?,True,Attack of the Clones,Male,8
408,RUWEE, Yes and before that I was a builder. I also worked for the Refugee Relief Movement when I was very young.,True,Attack of the Clones,Male,21
409,SOLA,Why haven't you told us about him?,True,Attack of the Clones,Female,7
410,PADME,What's there to talk about?  He's just a boy.,True,Attack of the Clones,Female,9
411,SOLA,A boy? Have you seen the way he looks at you?,True,Attack of the Clones,Female,11
412,PADME,Sola - stop it!,True,Attack of the Clones,Female,4
413,SOLA,It's obvious he has feelings for you. Are you saying little baby sister that you haven't noticed?,True,Attack of the Clones,Female,17
414,PADME,I'm not your baby sister Sola. Anakin and I are friends... our relationship is strictly professional.  Mom would you tell her to stop it?,True,Attack of the Clones,Female,24
415,SOLA, Well maybe you haven't noticed the way he looks at you. I think you're afraid to.,True,Attack of the Clones,Female,16
416,PADME,Cut it out.,True,Attack of the Clones,Female,3
417,JOBAL,Sola's just concerned... we all are.,True,Attack of the Clones,Female,6
418,PADME,Oh Mom you're impossible. What I'm doing is important.,True,Attack of the Clones,Female,9
419,JOBAL,You've done your service Padmé. It's time you had a life of your own. You're missing so much!,True,Attack of the Clones,Female,18
420,RUWEE,Now tell me son. How serious is this thing? How much danger is my daughter really in?,True,Attack of the Clones,Male,17
421,ANAKIN,There have been two attempts on her life. Chances are there'll be more. My Master is tracking down the assassins. I'm sure he'll find out who they are. This situation won't last long.,True,Attack of the Clones,Male,33
422,RUWEE,I don't want anything to happen to her.,True,Attack of the Clones,Male,8
423,ANAKIN,I don't either.,True,Attack of the Clones,Male,3
424,PADME,Don't worry this won't take long.,True,Attack of the Clones,Female,6
425,ANAKIN,I just want to get there before dark.,True,Attack of the Clones,Male,8
426,ANAKIN, You still live at home.,True,Attack of the Clones,Male,5
427,PADME,I move around so much I've never had a place of my own. Official residences have no warmth. I feel good here. I feel at home.,True,Attack of the Clones,Female,26
428,ANAKIN,I never had a real home. Home was always where my Mom was.,True,Attack of the Clones,Male,13
429,ANAKIN, Is this you?,True,Attack of the Clones,Male,3
430,PADME,That was when I went with the Relief Group to Shadda-Bi-Boran. Their sun was imploding and the planet was dying. I was helping to relocate the children. See that little one I'm holding? His name was N'a-kee-tula which means sweethear. He was so full of  life. All those kids were. I did everything I could to save him but he died... they all did. They were never able to adapt... to live off their native planet.,True,Attack of the Clones,Female,76
431,PADME, My first day as an Apprentice Legislator. Notice the difference?,True,Attack of the Clones,Female,10
432,YODA,Don't think... feel... be as one with the Force. Help you it will.  Younglings - enough! A visitor we have. Welcome him.,True,Attack of the Clones,Male,22
433,YODA, Master Obi-Wan Kenobi meet the mighty Bear Clan.,True,Attack of the Clones,Male,8
434,CHILDREN,Welcome Master Obi-Wan!,True,Attack of the Clones,,3
435,OBI-WAN,I am sorry to disturb you Master.,True,Attack of the Clones,Male,7
436,YODA,What help to you can I be?,True,Attack of the Clones,Male,7
437,OBI-WAN,Im looking for a planet described to me by an old friend. I trust him. But the system doesnt show up on the archive maps.,True,Attack of the Clones,Male,25
438,YODA,An interesting puzzle. Gather round the map reader younglings. Master Obi-Wan has lost a planet. Find it we will try...,True,Attack of the Clones,Male,20
439,OBI-WAN,This is where it ought to be... but it isnt. Gravity is pulling all the stars in this area inward to this spot. There should be a star here... but there isnt.,True,Attack of the Clones,Male,32
440,YODA,Most interesting. Gravitys silhouette remains but the star and all its planets have disappeared. How can this be?,True,Attack of the Clones,Male,18
441,JEDI CHILD JACK,Because someone erased it from the archive memory.,True,Attack of the Clones,,8
442,CHILDREN,Thats right! Yes! Thats what happened! Someone erased it!,True,Attack of the Clones,,9
443,JEDI CHILD MAY,If the planet blew up the gravity would go away.,True,Attack of the Clones,,10
444,YODA,Truly wonderful the mind of a child is. Uncluttered. To the centre of the pull of gravity go and find your planet you will.,True,Attack of the Clones,Male,24
445,OBI-WAN,But Master Yoda who could have erased information from the archives? Thats impossible isnt it?,True,Attack of the Clones,Male,15
446,YODA, Much harder to answer that question is.,True,Attack of the Clones,Male,7
447,PADME,When I was in Level Three we used to come here for school retreat. See that island? We used to swim there every day. I love the water.,True,Attack of the Clones,Female,28
448,ANAKIN,I do too. I guess it comes from growing up on a desert planet.,True,Attack of the Clones,Male,14
449,PADME,...We used to lie on the sand and let the sun dry us... and try to guess the names of the birds singing.,True,Attack of the Clones,Female,23
450,ANAKIN,I dont like sand. Its coarse and rough and irritating and it gets everywhere. Not like here. Here everythings soft... and smooth...,True,Attack of the Clones,Male,22
451,PADME,There was a very old man who lived on the island. He used to make glass out of sand - and vases and necklaces out of the glass. They were magical.,True,Attack of the Clones,Female,31
452,ANAKIN, Everything here is magical.,True,Attack of the Clones,Male,4
453,PADME,You could look into the glass and see the water. The way it ripples and moves. It looked so real... but it wasnt.,True,Attack of the Clones,Female,23
454,ANAKIN,Sometimes when you believe something to be real it becomes real. Real enough anyway...,True,Attack of the Clones,Male,14
455,PADME,I used to think if you looked too deeply into glass you would lose yourself.,True,Attack of the Clones,Female,15
456,ANAKIN,I think it's true...,True,Attack of the Clones,Male,4
457,PADME,I shouldn't have done that.,True,Attack of the Clones,Female,5
458,ANAKIN,I'm sorry. When I'm around you my mind is no longer my own.,True,Attack of the Clones,Male,13
459,PADME,It's the situation... the stress...,True,Attack of the Clones,Female,5
460,ANAKIN,...the view.,True,Attack of the Clones,Male,2
461,MACE WINDU ,Be wary this disturbance in the Force is growing stronger.,True,Attack of the Clones,,10
462,OBI-WAN,I am concerned for my Padawan. He is not ready to be on his own.,True,Attack of the Clones,Male,15
463,YODA,The Council is confident in this decision Obi-Wan.,True,Attack of the Clones,Male,8
464,MACE WINDU,He has exceptional skills. The Council is confident in its decision Obi-Wan. If the prophecy is true he weill be the one to bring balance to the Force.,True,Attack of the Clones,Male,28
465,OBI-WAN,But he still has much to learn. And his abilities have made him... well... arrogant. I realise now what you and Master Yoda knew from the beginning... the boy was too old to start the training and...,True,Attack of the Clones,Male,37
466,MACE WINDU ,There's something else?,True,Attack of the Clones,,3
467,OBI-WAN,Master he should not have been given this assignment. I'm afraid Anakin won't be able to protect the Senator. ,True,Attack of the Clones,Male,19
468,MACE WINDU ,Why?,True,Attack of the Clones,,1
469,OBI-WAN,He has a... an emotional connection with her. It's been there since he was boy. Now he's confused... distracted.,True,Attack of the Clones,Male,19
470,MACE WINDU ,Obi-Wan you must have faith that he will take the right path.,True,Attack of the Clones,,12
471,OBI-WAN,Has Master Yoda gained any insight into whether or not this war will come about?,True,Attack of the Clones,Male,15
472,MACE WINDU ,Probing the Dark Side is a dangerous process. He could be in seclusion for days... May the force be with you.,True,Attack of the Clones,,21
473,PADME,You did that?,True,Attack of the Clones,Female,3
474,ANAKIN,What?,True,Attack of the Clones,Male,1
475,PADME,That! Now stop it!,True,Attack of the Clones,Female,4
476,PADME, Anakin!!,True,Attack of the Clones,Female,1
477,ANAKIN,I'm not really supposed to do that... for fun I mean. If Master Obi-Wan were here he'd be very grumpy.,True,Attack of the Clones,Male,20
478,ANAKIN,May I tell you something?,True,Attack of the Clones,Male,5
479,PADME,I don't know.,True,Attack of the Clones,Female,3
480,ANAKIN,Then how can I tell you?,True,Attack of the Clones,Male,6
481,PADME,Maybe you should use your Jedi intuition.,True,Attack of the Clones,Female,7
482,ANAKIN,It doesn't work around you. My mind is always a muddle... I can only think of you.,True,Attack of the Clones,Male,17
483,PADME,Anakin don't...,True,Attack of the Clones,Female,2
484,ANAKIN,From the moment I met you all those years ago a day hasn't gone by when I haven't thought of you. And now that I'm close to you again I'm in agony. The closer I get to you the worse it gets. The thought of not being with you mskes my stomach turn over - my mouth goes dry. I feel dizzy. I can't breathe. I'm haunted by the kiss you should never have given me. My heart is beating hoping that kiss will not become a scar. You are in my very soul tormenting me. What can I do? I will do anything you ask...,True,Attack of the Clones,Male,106
485,ANAKIN, If you are suffering as much as I am tell me.,True,Attack of the Clones,Male,11
486,PADME,...I can't. We can't. It's just not possible.,True,Attack of the Clones,Female,8
487,ANAKIN,Anything's possible. Padme please listen...,True,Attack of the Clones,Male,5
488,PADME,You listen. We live in a real world. Come back to it. You're studying to become a Jedi Knight. I'm a Senator. If you follow your thoughts through to conclusion they will take us to a place we cannot go... regardless of the way we feel about each other.,True,Attack of the Clones,Female,49
489,ANAKIN,Then you do feel something! There's an extraordinary connection between us. You can't deny that.,True,Attack of the Clones,Male,15
490,PADME,Annie it doesn't make any difference. Jedi aren't allowed to marry. You swore an oath remember? You'd be expelled from the Order. I will not let you give up your responsibilities... your future for me.,True,Attack of the Clones,Female,35
491,ANAKIN,I was destined to be a Jedi. I don't think I could be anything else. But you are asking me to be rational. That is something I know I cannot do. I wish I could wish my feelings away... but I can't.,True,Attack of the Clones,Male,42
492,PADME,I am not going to give into this. I'm not going to throw my life away. I have more important things to do than fall in love.,True,Attack of the Clones,Female,27
493,ANAKIN,It wouldn't have to be that way... we could keep it a secret.,True,Attack of the Clones,Male,13
494,PADME,Then we'd be living a lie - one we couldn't keep even if we wanted to. Mt sister saw it. So did my mother. I couldn't do that. Could you Anakin? Could you live like that?,True,Attack of the Clones,Female,36
495,ANAKIN,...No you're right. It would destroy us.,True,Attack of the Clones,Male,7
496,TAUN WE,Welcome to Tipoca City Master Jedi.,True,Attack of the Clones,Female,6
497,TAUN WE,Everything is ready. The Prime Minister expects you.,True,Attack of the Clones,Female,8
498,OBI-WAN, I'm expected?,True,Attack of the Clones,Male,2
499,TAUN WE,Of course! He is anxious to see you. After all these years we were beginning to think you weren't coming. Now please this way!,True,Attack of the Clones,Female,24
500,TAUN WE,May I present Lama Su Prime Minister of Kamino... and this is Master Jedi...,True,Attack of the Clones,Female,14
501,OBI-WAN,Obi-Wan Kenobi.,True,Attack of the Clones,Male,2
502,LAMA SU,Please...,True,Attack of the Clones,Male,1
503,LAMA SU,I trust you are going to enjoy your stay. We are most happy you have arrived at the best part of the season.,True,Attack of the Clones,Male,23
504,OBI-WAN,You make me feel most welcome.,True,Attack of the Clones,Male,6
505,LAMA SU,And now to business. You will be delighted to hear we are on schedule. Two hundred thousand units are ready with another million well on the way.,True,Attack of the Clones,Male,27
506,OBI-WAN, That is... good news.,True,Attack of the Clones,Male,4
507,LAMA SU,Please tell your Master Sido-Dyas that we have every confidence his order will be met on time and in full. He is well I hope?,True,Attack of the Clones,Male,25
508,OBI-WAN,I'm sorry Master - ?,True,Attack of the Clones,Male,5
509,LAMA SU,Jedi Master Sifo-Dyas. He's still a leading member of the Jedi Council is he not?,True,Attack of the Clones,Male,15
510,OBI-WAN,Oh yes. Sido-Dyas.,True,Attack of the Clones,Male,3
511,LAMA SU, You must be anxious to inspect the units for yourself.,True,Attack of the Clones,Male,10
512,OBI-WAN,That's why I'm here.,True,Attack of the Clones,Male,4
513,PADME,I don't know...,True,Attack of the Clones,Female,3
514,ANAKIN,Sure you do... you just don't want to tell me.,True,Attack of the Clones,Male,10
515,PADME,Are you going to use one of your Jedi mind tricks on me?,True,Attack of the Clones,Female,13
516,ANAKIN,They only work on the weak-minded. You are anything but weak-minded.,True,Attack of the Clones,Male,11
517,PADME,All right... his name was Palo. I was twelve. We were both in the Legislative Youth Program. He was a few years older then I... very cute... dark curly hair... dreamy eyes.,True,Attack of the Clones,Female,32
518,ANAKIN,All right I get the picture... whatever happened to him?,True,Attack of the Clones,Male,10
519,PADME,I went on to become a Queen. He went on to become an artist.,True,Attack of the Clones,Female,14
520,ANAKIN,Maybe he was the smart one.,True,Attack of the Clones,Male,6
521,PADME,You really don't like politicians do you?,True,Attack of the Clones,Female,7
522,ANAKIN,I like two or three but I'm not really sure about one of them.  I don't think the system works.,True,Attack of the Clones,Male,20
523,PADME,How would you have it work?,True,Attack of the Clones,Female,6
524,ANAKIN,We need a system where the politicians sit down and discuss the problems agree what's in the best interests of all the people and then do it.,True,Attack of the Clones,Male,27
525,PADME,That is exactly what we do. The trouble is that people don't wlways agree. In fact they hardly ever do.,True,Attack of the Clones,Female,20
526,ANAKIN,Then they should be made to.,True,Attack of the Clones,Male,6
527,PADME,By whom? Who's going to make them?,True,Attack of the Clones,Female,7
528,ANAKIN,I don't know. Someone.,True,Attack of the Clones,Male,4
529,PADME,You?,True,Attack of the Clones,Female,1
530,ANAKIN,Of course not me.,True,Attack of the Clones,Male,4
531,PADME,But someone.,True,Attack of the Clones,Female,2
532,ANAKIN,Someone wise.,True,Attack of the Clones,Male,2
533,PADME,That sounds an awful lot like a dictatorship to me.,True,Attack of the Clones,Female,10
534,ANAKIN,Well if it works...,True,Attack of the Clones,Male,4
535,PADME,You're making fun of me.,True,Attack of the Clones,Female,5
536,ANAKIN,  On no I'd be much too frightened to tease a Senator.,True,Attack of the Clones,Male,11
537,PADME,You're so bad!,True,Attack of the Clones,Female,3
538,ANAKIN,You're always so serious. Always carrying the weight of the universe on your shoulders.,True,Attack of the Clones,Male,14
539,LAMA SU, Magnificent aren't they?,True,Attack of the Clones,Male,3
540,LAMA SU,We modified their genetic structure to make them less independent than the original host. As a result they are totally obedient taking any order without question.,True,Attack of the Clones,Male,26
541,OBI-WAN,Who was the original host?,True,Attack of the Clones,Male,5
542,LAMA SU,A bounty hunter called Jango Fett. We felt a Jedi would be the perfect choice but Sido-Dyas hand- picked Jango Fett himself.,True,Attack of the Clones,Male,22
543,OBI-WAN,Where is this bounty hunter now?,True,Attack of the Clones,Male,6
544,LAMA SU,Oh we keep him here. After a few hundred thousand clones the genetic pattern starts to fade so we take a fresh supply. He lives here but he's free to come and go as he pleases.,True,Attack of the Clones,Male,36
545,LAMA SU,Apart from his pay which is considerable Fett demanded only one thing - an unaltered clone for himself. Curious isn't it?,True,Attack of the Clones,Male,21
546,OBI-WAN,Unaltered?,True,Attack of the Clones,Male,1
547,LAMA SU,Pure genetic replication. No tampering with the structure to make it more docile... and no growth acceleration...,True,Attack of the Clones,Male,17
548,OBI-WAN,I would like to meet this Jango Fett.,True,Attack of the Clones,Male,8
549,TAUN WE,I would be most happy to arrange it for you.,True,Attack of the Clones,Female,10
550,OBI-WAN,You mentioned growth acceleration...,True,Attack of the Clones,Male,4
551,LAMA SU,Oh yes it's essential. Otherwise a mature clone would take a lifetime to grow. Now we can do it in half the time. Those items you saw on the parade ground were started ten years ago when Sido-dyas first placed the order and they're already mature...,True,Attack of the Clones,Male,46
552,OBI-WAN,And these?,True,Attack of the Clones,Male,2
553,LAMA SU,About five years ago.,True,Attack of the Clones,Male,4
554,LAMA SU,They're immensely superior to droids capable of independent thought and action.,True,Attack of the Clones,Male,11
555,OBI-WAN,Very impressive.,True,Attack of the Clones,Male,2
556,LAMA SU,I'd hoped you would be pleased. ,True,Attack of the Clones,Male,6
557,OBI-WAN, Tell me prime minister when my Master Sido-dyas first contacted you did he say the order was for... himself... or?,True,Attack of the Clones,Male,20
558,LAMA SU,Himself? Of course not. This army is for the Republic?,True,Attack of the Clones,Male,10
559,OBI-WAN, The Repubic?,True,Attack of the Clones,Male,2
560,LAMA SU,We are also very much agasint this Count Dooku and his seccessionist movement. We are proud to be of help to the Republic.,True,Attack of the Clones,Male,23
561,TAUN WE,I have arranged for you to meet Jango Fett in the morning. Sleep well.,True,Attack of the Clones,Female,14
562,OBI-WAN,Arfour Arfour...,True,Attack of the Clones,Male,2
563,OBI-WAN,"Arfour relay this ""scramble code five"" to Courscant: care of ""the old folks home.""",True,Attack of the Clones,Male,14
564,OBI-WAN (V.O.),...I've never heard of a Jedi called Sido-Dyas have you Master?,True,Attack of the Clones,Male,11
