,Characters,Dialogue,Movie
316,OBI-WAN,  Artoo do you copy? Artoo do you hear me? Artoo we need to be going up not down.,Revenge of the Sith
319,OBI-WAN, Stop. Artoo! We need to go up! Stop stop!,Revenge of the Sith
323,SUPER BATTLE DROID 1, Hey you!,Revenge of the Sith
327,OBI-WAN, Now that's better . . .,Revenge of the Sith
330,SUPER BATTLE DROID 1, You stupid little astro droid!,Revenge of the Sith
334,OBI-WAN, Oh it's you . . .,Revenge of the Sith
338,ANAKIN, What was that all about?,Revenge of the Sith
339,OBI-WAN, Well Artoo has been . . .,Revenge of the Sith
340,ANAKIN, No loose wire jokes . . . He's doing the best he can.,Revenge of the Sith
341,OBI-WAN, Did I say anything?,Revenge of the Sith
342,ANAKIN, He's trying!,Revenge of the Sith
343,OBI-WAN, I didn't say anything!,Revenge of the Sith
348,OBI-WAN,  Chancellor.,Revenge of the Sith
349,ANAKIN, Are you all right?,Revenge of the Sith
350,PALPATINE,  Count Dooku.,Revenge of the Sith
352,OBI-WAN,  This time we will do it together.,Revenge of the Sith
353,ANAKIN, I was about to say that.,Revenge of the Sith
355,PALPATINE, Get help! You're no match for him. He's a Sith Lord.,Revenge of the Sith
356,OBI-WAN, Chancellor Palpatine Sith Lords are our specialty.,Revenge of the Sith
358,COUNT DOOKU, Your swords please Master Jedi. We don't want to make a mess of things in front of the Chancellor.,Revenge of the Sith
360,OBI-WAN, You won't get away this time Dooku.,Revenge of the Sith
362,COUNT DOOKU, I've been looking forward to this.,Revenge of the Sith
363,ANAKIN, My powers have doubled since the last time we met Count.,Revenge of the Sith
364,COUNT DOOKU, Good. Twice the pride double the fall.,Revenge of the Sith
366,COUNT DOOKU,  Your moves are clumsy Kenobi . . . too predictable. You'll have to do better.,Revenge of the Sith
368,COUNT DOOKU,  I sense great fear in you Skywalker. You have hate you have anger but you dont use them.,Revenge of the Sith
372,PALPATINE, Good Anakin good. I knew you could do it. Kill him. Kill him now!,Revenge of the Sith
373,ANAKIN, I shouldn't . . .,Revenge of the Sith
374,PALPATINE, Do it!!,Revenge of the Sith
376,ANAKIN, ... I couldn't stop myself.,Revenge of the Sith
377,PALPATINE, You did well Anakin. He was too dangerous to be kept alive.,Revenge of the Sith
379,ANAKIN, Yes but he was an unarmed prisoner.,Revenge of the Sith
381,ANAKIN,  I shouldn't have done that Chancellor. It's not the Jedi way.,Revenge of the Sith
383,PALPATINE, It is only natural. He cut off your arm and you wanted revenge. It wasn't the first time Anakin. Remember what you told me about your mother and the Sand People. Now we must leave before more security droids arrive.,Revenge of the Sith
385,PALPATINE,  Anakin there is no time. We must get off the ship before it's too late.,Revenge of the Sith
386,ANAKIN, He seems to be all right. No broken bones breathing's all right.,Revenge of the Sith
387,PALPATINE, Leave him or we'll never make it.,Revenge of the Sith
388,ANAKIN, His fate will be the same as ours.,Revenge of the Sith
391,GENERAL GRIEVOUS, Prepare for attack.,Revenge of the Sith
392,PILOT, All batteries fire! Fire!,Revenge of the Sith
397,ANAKIN, The elevator's not working  Artoo . . .,Revenge of the Sith
399,ANAKIN,  . . . Activate Elevator 3224.,Revenge of the Sith
401,ANAKIN,  Artoo ... do you copy? Artoo come in!,Revenge of the Sith
404,PILOT, Reverse stabilizers.,Revenge of the Sith
412,PILOT, Magnetize! Magnetize!,Revenge of the Sith
419,ANAKIN, We can't wait. Come on we have to be fast.,Revenge of the Sith
422,GENERAL GRIEVOUS, Fire the emergency booster engines.,Revenge of the Sith
423,PILOT, Leveling out sir.,Revenge of the Sith
428,ANAKIN, Easy. . . . We're in a bit of a situation.,Revenge of the Sith
429,OBI-WAN, Did I miss something?,Revenge of the Sith
431,ANAKINN, Hold on.,Revenge of the Sith
432,OBI-WAN, What is that?,Revenge of the Sith
434,OBI-WAN,  Oops.,Revenge of the Sith
435,ANAKIN, Artoo Artoo shut down the elevator!,Revenge of the Sith
436,OBI-WAN, Too late! Jump!,Revenge of the Sith
440,OBI-WAN, Let's see if we can find something in the hangar bay that's still flyable. Come on.,Revenge of the Sith
441,ANAKIN, Artoo get down here. Artoo do you copy?,Revenge of the Sith
448,OBI-WAN,  of those ships will get us anywhere.,Revenge of the Sith
449,ANAKIN, I agree.,Revenge of the Sith
450,PALPATINE, What are we going to do?,Revenge of the Sith
451,ANAKIN, I don't know.,Revenge of the Sith
452,OBI-WAN, Don't look at me. I don't know.,Revenge of the Sith
454,ANAKIN, Here Chancellor lock this around your waist and hold on.,Revenge of the Sith
455,OBI-WAN, We'll head toward the bridge and see if we can find an escape pod.,Revenge of the Sith
461,ANAKIN/OBI-WAN, Well that was close.,Revenge of the Sith
464,BODYGUARD, General we found the Jedi. They're in hallway 328.,Revenge of the Sith
465,GENERAL GRIEVOUS, Activate ray shields.,Revenge of the Sith
468,ANAKIN, Ray shields!,Revenge of the Sith
470,OBI-WAN, Wait a minute how'd this happen! We're smarter than this.,Revenge of the Sith
471,ANAKIN, Apparently not Master. This is the oldest trap in the book . . . Well ... I was distracted.,Revenge of the Sith
472,OBI-WAN, Oh so all of a sudden it's my fault.,Revenge of the Sith
473,ANAKIN, You're the Master. I'm just a hero.,Revenge of the Sith
474,OBI-WAN, I'm open to suggestions here.,Revenge of the Sith
475,PALPATINE, Why don't we let them take us to General Grievous. Perhaps with Count Dooku's demise we can negotiate our release.,Revenge of the Sith
477,ANAKIN, I say . . . patience.,Revenge of the Sith
478,OBI-WAN, Patience! That's your plan is it?,Revenge of the Sith
479,ANAKIN, Yes Artoo will be along in a few moments and he'll release the ray shields . . .,Revenge of the Sith
481,ANAKIN,  See! No problem.,Revenge of the Sith
483,SUPER BATTLE DROID, Don't move dummy. Ouch! Zap this.,Revenge of the Sith
484,OBI-WAN, Do you have a plan B?,Revenge of the Sith
487,GENERAL GRIEVOUS, Oh yes. General Kenobi the Negotiator. We've been waiting for you. That wasn't much of a rescue.,Revenge of the Sith
489,OBI-WAN, That depends upon your point of view. Hah!,Revenge of the Sith
490,GENERAL GRIEVOUS, And Anakin Skywalker ... I was expecting someone with your reputation to be a little older.,Revenge of the Sith
491,ANAKIN, General Grievous . . . Supreme Commander of the Droid Armies. You're shorter than I expected.,Revenge of the Sith
492,GENERAL GRIEVOUS, Ahhhh Jedi scum . . .,Revenge of the Sith
493,OBI-WAN, Anakin try not to upset him. We have a job to do.,Revenge of the Sith
494,GENERAL GRIEVOUS, Your lightsabers will make a fine addition to my collection.,Revenge of the Sith
495,OBI-WAN, Not this time. And this time you won't escape.,Revenge of the Sith
496,ANAKIN, Artoo.,Revenge of the Sith
498,GENERAL GRIEVOUS, Crush them! Make them suffer!,Revenge of the Sith
502,GENERAL GRIEVOUS, Stay and watch your stations.,Revenge of the Sith
504,PILOT, Sir we are falling out of orbit. All aft control cells are dead.,Revenge of the Sith
505,GENERAL GRIEVOUS, Stay on course . . . Don't bother with them. Keep the ship in orbit.,Revenge of the Sith
507,GENERAL GRIEVOUS, You lose General Kenobi.,Revenge of the Sith
509,PILOT, The ship is breaking up!,Revenge of the Sith
510,GENERAL GRIEVOUS, We've run out of time.,Revenge of the Sith
514,PALPATINE, The hull is burning up!,Revenge of the Sith
519,GENERAL GRIEVOUS, Time to abandon ship.,Revenge of the Sith
525,ANAKIN, All the escape pods have been launched.,Revenge of the Sith
526,OBI-WAN, Grievous. Can you fly a cruiser like this?,Revenge of the Sith
527,ANAKIN, You mean do I know how to land what's left of this thing?,Revenge of the Sith
529,OBI-WAN, Well?,Revenge of the Sith
530,ANAKIN, Under the circumstances I'd say the ability to pilot this thing is irrelevant. Strap yourselves in.,Revenge of the Sith
532,OBI-WAN, Steady . . . Attitude . . . eighteen degrees.,Revenge of the Sith
534,ANAKIN, Pressure rising. We've got to slow this wreck down. Open all hatches extend all flaps and drag fins.,Revenge of the Sith
