,Movie,gender,tropes
0,Attack of the Clones,she,was
1,Attack of the Clones,she,was
2,Attack of the Clones,she,gathers
3,Attack of the Clones,she,looks
4,Attack of the Clones,she,gets
5,Attack of the Clones,she,and
6,Attack of the Clones,she,pulls
7,Attack of the Clones,she,pulls
8,Attack of the Clones,she,is
9,Attack of the Clones,she,now
10,Attack of the Clones,she,stares
11,Attack of the Clones,she,winces
12,Attack of the Clones,she,shakes
13,Attack of the Clones,she,hands
14,Attack of the Clones,she,goes
15,Attack of the Clones,she,is
16,Attack of the Clones,she,doesn
17,Attack of the Clones,she,comes
18,Attack of the Clones,she,frowns
19,Attack of the Clones,she,lokk
20,Attack of the Clones,she,turns
21,Attack of the Clones,she,yelps
22,Attack of the Clones,she,struggles
23,Attack of the Clones,she,take
24,Attack of the Clones,she,puts
25,Attack of the Clones,she,sees
26,Attack of the Clones,she,has
27,Attack of the Clones,she,goes
28,Attack of the Clones,she,could
29,Attack of the Clones,she,stares
30,Attack of the Clones,she,is
31,Attack of the Clones,she,turns
32,Attack of the Clones,she,hits
33,Attack of the Clones,she,swings
