,Characters,Dialogue,Movie,Gender,length
1146,GALEN ERSO, Saw if you're watching this then perhaps there is a chance to save the Alliance.Perhaps there's a chance to explain myself and though I don't dare hope for too much a chance for Jyn if she's alive if you can possibly find her to let her know that my love for her has never faded and how desperately I've missed her. Jyn my Stardust I can't imagine what you think of me. When I was taken I faced some bitter truths. I was told that soon enough Krennic would have you as well. As time went by I knew that you were either dead or so well hidden that he would never find you. I knew if I refused to work if I took my own life it would only be a matter of time before Krennic realized he no longer needed me to complete the project. So I did the one thing that nobody expected: I lied. I learned to lie. I played the part of a beaten man resigned to the sanctuary of his work. I made myself indispensable and all the while I laid the groundwork of my revenge. We call it the Death Star. There is no better name. And the day is coming soon when it will be unleashed. I've placed a weakness deep within the system. A flaw so small and powerful they'll never find it. But Jyn. Jyn if you're listening My beloved so much of my life has been wasted. I try to think of you only in the moments when I'm strong because the pain of not having you with me Your mother. Our family. The pain of that loss is so overwhelming I risk failing even now. It's just so hard not to think of you. Think of where you are. My Stardust. Saw the reactor module that's the key. That's the place I've laid my trap. It's well hidden and unstable one blast to any part of it will destroy the entire station. You'll need the plans the structural plans for the Death Star to find the reactor. I know there's a complete engineering archive in the data vault at the Citadel Tower on Scarif. Any pressurized explosion to the reactor module will set off a chain reaction that will destroy the entire station...,Rogue One,Male,385
1147,CASSIAN, Go. Go.,Rogue One,Male,2
1148,CASSIAN, K-2? K-2 where are you?,Rogue One,Male,5
1149,K-2SO, There you are. I'm standing by as you requested. Although there's a problem on the horizon. There is no horizon.,Rogue One,Droid,20
1150,K-2SO, There you are. I'm standing by as you requested. Although there's a problem on the horizon. There is no horizon.,Rogue One,Droid,20
1151,CASSIAN, Locate our position. Bring that ship in here now!,Rogue One,Male,9
1152,CHIRRUT,Where are you going?,Rogue One,Male,4
1153,CASSIAN, I've got to find Jyn. Get the pilot. We need him.,Rogue One,Male,11
1154,BAZE, All right. I'll get the pilot.,Rogue One,Male,6
1155,BAZE, Pilot.,Rogue One,Male,1
1156,BODHI, No no no.,Rogue One,Male,3
1157,BAZE, Let's go.,Rogue One,Male,2
1158,CASSIAN, Jyn! We've got to go. I know where your father is.,Rogue One,Male,11
1159,SAW GERRERA, Go with him Jyn. You must go.,Rogue One,Male,7
1160,JYN ERSO, Come with us.,Rogue One,Female,3
1161,SAW GERRERA, I will run no longer.,Rogue One,Male,5
1162,CASSIAN, Come on.,Rogue One,Male,2
1163,JYN ERSO, But you must save yourself.,Rogue One,Female,5
1164,CASSIAN, Come on.,Rogue One,Male,2
1165,SAW GERRERA, Go! There's no time! Save the Rebellion! Save the dream!,Rogue One,Male,10
1166,KRENNIC, Oh. It's beautiful.,Rogue One,Male,3
1167,CASSIAN, Get us out of here! Punch it!,Rogue One,Male,7
1168,K-2SO, I'm not very optimistic about our odds.,Rogue One,Droid,7
1169,K-2SO, I'm not very optimistic about our odds.,Rogue One,Droid,7
1170,CASSIAN, Let's not K. Come on! Punch it.,Rogue One,Male,7
1171,K-2SO,I haven't completed my calculation.,Rogue One,Droid,5
1172,K-2SO,I haven't completed my calculation.,Rogue One,Droid,5
1173,CASSIAN, I'll make them for you.,Rogue One,Male,5
1174,TARKIN,I believe I owe you an apology Director Krennic. Your work exceeds all expectations.,Rogue One,Male,14
1175,KRENNIC, And you'll tell the Emperor as much?,Rogue One,Male,7
1176,TARKIN, I will tell him his patience with your misadventures has been rewarded with a weapon that will bring a swift end to the Rebellion.,Rogue One,Male,24
1177,KRENNIC, We stand here amid my achievement not yours!,Rogue One,Male,8
1178,TARKIN,I'm afraid these recent security breaches have laid bare your inadequacies as a military director.,Rogue One,Male,15
1179,KRENNIC, The breaches have been filled Jedha has been silenced.,Rogue One,Male,9
1180,TARKIN,You think this pilot acted alone? He was dispatched from the installation on Eadu. Galen Erso's facility.,Rogue One,Male,17
1181,KRENNIC, We'll see about this.,Rogue One,Male,4
1182,REBEL, A coded message from Captain Andor sir. Weapon confirmed. Jedha destroyed. Mission target located on Eadu. Please advise.,Rogue One,Male,18
1183,GENERAL DRAVEN, Destroyed? Proceed. Tell him my orders still stand. Tell him to proceed with haste and keep to the plan. We have no idea what he is building for the Empire. We have to kill Galen Erso while we have the chance.,Rogue One,,41
1184,CHIRRUT, Baze tell me. All of it? The whole city?Tell me.,Rogue One,Male,10
1185,BODHI, All of it.,Rogue One,Male,3
1186,CASSIAN, Understood. Set a course for Eadu.,Rogue One,Male,6
1187,K-2SO, Setting course for Eadu.,Rogue One,Droid,4
1188,K-2SO, Setting course for Eadu.,Rogue One,Droid,4
1189,JYN ERSO, Is that where my father is?,Rogue One,Female,6
1190,CASSIAN, I think so.,Rogue One,Male,3
1191,BODHI, So you're Galen's daughter.,Rogue One,Male,4
1192,JYN ERSO, You know him?,Rogue One,Female,3
1193,BODHI, I'm Bodhi the pilot.,Rogue One,Male,4
1194,JYN ERSO, You brought the message.,Rogue One,Female,4
1195,BODHI, Yes your father... He said I could get right by myself.He said I could make it right if I was brave enough and listened to what was in my heart. Do something about it. Guess it was too late.,Rogue One,Male,39
1196,JYN ERSO, It wasn't too late.,Rogue One,Female,4
1197,BODHI, Seems pretty late to me.,Rogue One,Male,5
1198,JYN ERSO, No. We can beat the people who did this. My father's message I've seen it.They call it the Death Star. But they have no idea there's a way to defeat it. You're wrong about my father.,Rogue One,Female,36
1199,CASSIAN, He did build it.,Rogue One,Male,4
1200,JYN ERSO, Because he knew they'd do it without him. My father made a choice. He sacrificed himself for the Rebellion. He's rigged a trap inside it.That's why he sent you. To bring that message.,Rogue One,Female,33
1201,CASSIAN, Where is it? Where's the message?,Rogue One,Male,6
1202,JYN ERSO, It was a hologram.,Rogue One,Female,4
1203,CASSIAN, You have that message right?,Rogue One,Male,5
1204,JYN ERSO, Everything happened so fast.,Rogue One,Female,4
1205,CASSIAN, Did you see it?,Rogue One,Male,4
1206,JYN ERSO, You don't believe me.,Rogue One,Female,4
1207,CASSIAN, I'm not the one you've got to convince.,Rogue One,Male,8
1208,CHIRRUT, I believe her.,Rogue One,Male,3
1209,CASSIAN, That's good to know.,Rogue One,Male,4
1210,BAZE,What kind of trap? You said your father made a trap.,Rogue One,Male,11
1211,JYN ERSO, The reactor. He's placed a weakness there. He's been hiding it for years. He said if you can blow the reactor- the module- the whole system goes down. You need to send word to the Alliance.,Rogue One,Female,36
1212,CASSIAN, I've done that.,Rogue One,Male,3
1213,JYN ERSO, They have to know there's a way to destroy this thing. They have to go to Scarif to get the plans.,Rogue One,Female,21
1214,CASSIAN, I can't risk sending that. We're in the heart of Imperial territory.,Rogue One,Male,12
1215,JYN ERSO,Then we'll find him. And bring him back and he can tell them himself.,Rogue One,Female,14
1216,IMPERIAL NAVIGATOR, Course set for Eadu sir.,Rogue One,,5
1217,CHIRRUT, I'm one with the Force and the Force is with me.,Rogue One,Male,11
1218,K-2SO, 20 degrees to the right. 10 degrees up.,Rogue One,Droid,8
1219,K-2SO, 20 degrees to the right. 10 degrees up.,Rogue One,Droid,8
1220,BODHI, No no no lower. Lower!,Rogue One,Male,5
1221,K-2SO, Are you sure this is the way?,Rogue One,Droid,7
1222,K-2SO, Are you sure this is the way?,Rogue One,Droid,7
1223,BODHI, They have landing trackers. They have patrol squadrons. You've got to stay in the canyon keep it low.,Rogue One,Male,18
1224,CASSIAN, Watch your right!,Rogue One,Male,3
1225,K-2SO, There's a 26% chance of failure.,Rogue One,Droid,6
1226,K-2SO, There's a 26% chance of failure.,Rogue One,Droid,6
1227,CASSIAN, How much farther?,Rogue One,Male,3
1228,BODHI, I don't know. I'm not sure I never really come this way but we're close we're close. I know that.,Rogue One,Male,20
1229,K-2SO, Well now there's a 35% chance of failure.,Rogue One,Droid,8
1230,K-2SO, Well now there's a 35% chance of failure.,Rogue One,Droid,8
1231,BODHI, I don't want to know thank you.,Rogue One,Male,7
1232,K-2SO, I understand.,Rogue One,Droid,2
1233,K-2SO, I understand.,Rogue One,Droid,2
1234,BODHI, Now! Put it down now!,Rogue One,Male,5
1235,K-2SO, The wind...,Rogue One,Droid,2
1236,K-2SO, The wind...,Rogue One,Droid,2
1237,BODHI, If you keep going you'll be right over the shuttle depot. Watch out!,Rogue One,Male,13
1238,K-2SO, Hey!,Rogue One,Droid,1
1239,K-2SO, Hey!,Rogue One,Droid,1
