,Characters,Dialogue,Movie
283,THREEPIO,And I am See-Threepio human-cyborg                          relations and this is my counterpart                          Artoo-Detoo.,A New Hope
284,LUKE,Hello.,A New Hope
286,LUKE,You got a lot of carbon scoring here.                          It looks like you boys have seen a                          lot of action.,A New Hope
287,THREEPIO,With all we've been through sometimes                          I'm amazed we're in as good condition                          as we are what with the Rebellion                          and all.,A New Hope
288,LUKE,You know of the Rebellion against                          the Empire?,A New Hope
289,THREEPIO,That's how we came to be in your                          service if you take my meaning                          sir.,A New Hope
290,LUKE,Have you been in many battles?,A New Hope
291,THREEPIO,Several I think. Actually there's                          not much to tell. I'm not much more                          than an interpreter and not very                          good at telling stories. Well not                          at making them interesting anyways.,A New Hope
293,LUKE,Well my little friend you've got                          something jammed in here real good.                          Were you on a cruiser or...,A New Hope
295,LEIA,Help me Obi-Wan Kenobi. You're my                          only hope.,A New Hope
296,LUKE,What's this?,A New Hope
298,THREEPIO,What is what?!? He asked you a                          question...                              (pointing to Leia)                         What is that?,A New Hope
300,LEIA,Help me Obi-Wan Kenobi. You're my                          only hope. Help me Obi-Wan Kenobi.                          You're my only hope.,A New Hope
301,THREEPIO,Oh he says it's nothing sir. Merely                          a malfunction. Old data. Pay it no                          mind.,A New Hope
303,LUKE,Who is she? She's beautiful.,A New Hope
304,THREEPIO,I'm afraid I'm not quite sure sir.,A New Hope
305,LEIA,Help me Obi-Wan Kenobi...,A New Hope
306,THREEPIO,I think she was a passenger on our                          last voyage. A person of some                          importance sir -- I believe. Our                          captain was attached to...,A New Hope
307,LUKE,Is there more to this recording?,A New Hope
309,THREEPIO,Behave yourself Artoo. You're going                          to get us in trouble. It's all right                          you can trust him. He's our new                          master.,A New Hope
311,THREEPIO,He says he's the property of Obi-Wan                          Kenobi a resident of these parts.                          And it's a private message for him.                          Quite frankly sir I don't know what                          he's talking about. Our last master                          was Captain Antilles but with what                          we've been through this little R2                          unit has become a bit eccentric.,A New Hope
312,LUKE,Obi-Wan Kenobi? I wonder if he means                          old Ben Kenobi?,A New Hope
313,THREEPIO,I beg your pardon sir but do you                          know what he's talking about?,A New Hope
314,LUKE,Well I don't know anyone named Obi-                         Wan but old Ben lives out beyond                          the dune sea. He's kind of a strange                          old hermit.,A New Hope
316,LUKE,I wonder who she is. It sounds like                          she's in trouble. I'd better play                          back the whole thing.,A New Hope
318,THREEPIO,He says the restraining bolt has                          short circuited his recording system.                          He suggests that if you remove the                          bolt he might be able to play back                          the entire recording.,A New Hope
320,LUKE,H'm? Oh yeah well I guess you're                          too small to run away on me if I                          take this off! Okay.,A New Hope
322,LUKE,There you go.,A New Hope
324,LUKE,Well wait a minute. Where'd she go?                          Bring her back! Play back the entire                          message.,A New Hope
326,THREEPIO,What message? The one you're carrying                          inside your rusty innards!,A New Hope
328,AUNT BERU,Luke? Luke! Come to dinner!,A New Hope
330,LUKE,All right I'll be right there Aunt                          Beru.,A New Hope
331,THREEPIO,I'm sorry sir but he appears to                          have picked up a slight flutter.,A New Hope
333,LUKE,Well see what you can do with him.                          I'll be right back.,A New Hope
334,THREEPIO,(to Artoo)                         Just you reconsider playing that                          message for him.,A New Hope
336,THREEPIO,No I don't think he likes you at                          all.,A New Hope
338,THREEPIO,No I don't like you either.,A New Hope
342,LUKE,You know I think that R2 unit we                          bought might have been stolen.,A New Hope
343,OWEN,What makes you think that?,A New Hope
344,LUKE,Well I stumbled across a recording                          while I was cleaning him. He says he                          belongs to someone called Obi-Wan                          Kenobi.,A New Hope
346,LUKE,I thought he might have meant old                          Ben. Do you know what he's talking                          about? Well I wonder if he's related                          to Ben.,A New Hope
348,OWEN,That old man's just a crazy old                          wizard. Tomorrow I want you to take                          that R2 unit into Anchorhead and                          have its memory flushed. That'll be                          the end of it. It belongs to us now.,A New Hope
349,LUKE,But what if this Obi-Wan comes looking                          for him?,A New Hope
350,OWEN,He won't I don't think he exists                          any more. He died about the same                          time as your father.,A New Hope
351,LUKE,He knew my father?,A New Hope
352,OWEN,I told you to forget it. Your only                          concern is to prepare the new droids                          for tomorrow. In the morning I want                          them on the south ridge working out                          those condensers.,A New Hope
353,LUKE,Yes sir. I think those new droids                          are going to work out fine. In fact                          I uh was also thinking about our                          agreement about my staying on another                          season. And if these new droids do                          work out I want to transmit my                          application to the Academy this year.,A New Hope
355,OWEN,You mean the next semester before                          harvest?,A New Hope
356,LUKE,Sure there're more than enough                          droids.,A New Hope
357,OWEN,Harvest is when I need you the most.                          Only one more season. This year we'll                          make enough on the harvest so I'll                          be able to hire some more hands. And                          then you can go to the Academy next                          year.,A New Hope
359,OWEN,You must understand I need you here                          Luke.,A New Hope
360,LUKE,But it's a whole 'nother year.,A New Hope
361,OWEN,Look it's only one more season.,A New Hope
363,LUKE,Yeah that's what you said last year                          when Biggs and Tank left.,A New Hope
364,AUNT BERU,Where are you going?,A New Hope
365,LUKE,It looks like I'm going nowhere. I                          have to finish cleaning those droids.,A New Hope
367,AUNT BERU,Owen he can't stay here forever.                          Most of his friends have gone. It                          means so much to him.,A New Hope
368,OWEN,I'll make it up to him next year. I                          promise.,A New Hope
369,AUNT BERU,Luke's just not a farmer Owen. He                          has too much of his father in him.,A New Hope
370,OWEN,That's what I'm afraid of.,A New Hope
375,LUKE,What are you doing hiding there?,A New Hope
377,THREEPIO,It wasn't my fault sir. Please don't                          deactivate me. I told him not to go                          but he's faulty malfunctioning;                          kept babbling on about his mission.,A New Hope
378,LUKE,Oh no!,A New Hope
382,THREEPIO,That R2 unit has always been a                          problem. These astro-droids are                          getting quite out of hand. Even I                          can't understand their logic at times.,A New Hope
383,LUKE,How could I be so stupid? He's nowhere                          in sight. Blast it!,A New Hope
384,THREEPIO,Pardon me sir but couldn't we go                          after him?,A New Hope
385,LUKE,It's too dangerous with all the                          Sandpeople around. We'll have to                          wait until morning.,A New Hope
387,OWEN,Luke I'm shutting the power down                          for the night.,A New Hope
388,LUKE,All right I'll be there in a few                          minutes. Boy am I gonna get it.,A New Hope
390,LUKE,You know that little droid is going                          to cause me a lot of trouble.,A New Hope
