,Characters,Dialogue,Test,Movie
314,ANAKIN,Easy... Official business. Go back to your drinks.,True,Attack of the Clones
317,OBI-WAN,Do you know who it was you were trying to kill?,True,Attack of the Clones
318,ZAM WESSEL,The Senator from Naboo.,True,Attack of the Clones
319,OBI-WAN,Who hired you?,True,Attack of the Clones
321,ZAM WESSEL,It was just a job.,True,Attack of the Clones
322,ANAKIN,Tell us!,True,Attack of the Clones
323,ZAM WESSEL,That Senator's gonna die soon anyway and the next one won't make the same mistake I did...,True,Attack of the Clones
324,OBI-WAN,This wound's going to need treatment.,True,Attack of the Clones
325,ANAKIN,Who hired you? Tell us... tell us now!,True,Attack of the Clones
327,ZAM,It was a Bounty Hunter called...,True,Attack of the Clones
330,OBI-WAN,Toxic Dart...,True,Attack of the Clones
332,PADME,Representative Binks. I know I can count on you.,True,Attack of the Clones
333,JAR JAR,Yousa betchen mesa bottums.,True,Attack of the Clones
334,PADME,What?!,True,Attack of the Clones
335,JAR JAR, It is not every day that I am called upon to...,True,Attack of the Clones
337,PADME,You're a good friend Jar Jar. I don't wish to hold you up. I'm sure you have a great deal to do.,True,Attack of the Clones
338,JAR JAR,Of course M'lady.,True,Attack of the Clones
340,PADME,I do not like this idea of hiding.,True,Attack of the Clones
341,ANAKIN,Don't worry. Now that the Council has ordered an investigation it won't take Master Obi-Wan long to find that bounty hunter.,True,Attack of the Clones
342,PADME," I haven't worked for a year to defeat the ""Military Creation Act"" not to be here when its fate is decided.",True,Attack of the Clones
343,ANAKIN,Sometimes we have to let go of our pride and do what is requested of us.,True,Attack of the Clones
344,PADME,Pride?!? Annie you're young and you don't have a very firm grip on politics. I suggest you reserve your opinions for some other time.,True,Attack of the Clones
345,ANAKIN,Sorry M'lady. I was only trying to...,True,Attack of the Clones
346,PADME,Annie! No!,True,Attack of the Clones
347,ANAKIN,Please don't call me that.,True,Attack of the Clones
348,PADME,What?,True,Attack of the Clones
349,ANAKIN,Annie...,True,Attack of the Clones
350,PADME,I've always called you that... it is your name isn't it?,True,Attack of the Clones
351,ANAKIN,It's Anakin. When you say Annie it's like I'm still a little boy... and I'm not.,True,Attack of the Clones
352,PADME,I'm sorry Anakin. It's impossible to deny you've...  ...that you've grown up.,True,Attack of the Clones
354,ANAKIN,Master Obi-Wan manages not to see it...,True,Attack of the Clones
355,PADME,Mentors have a way of seeing more of our faults than we would like. It's the only way we grow.,True,Attack of the Clones
356,ANAKIN,Don't get me wrong... Obi-Wan is a great mentor. As wise as Master Yoda and as powerful as Master Windu. I am truly thankful to be his apprentice. Only... although I'm a Padawan learner in some ways... a lot of ways... I'm ahead of him. I'm ready for the trials. I know I am! He knows it too. He believes I'm too unpredictable... Other Jedi my age have gone through the trials and made it... I know I started my training late... but he won't let me move on.,True,Attack of the Clones
357,PADME,That must be frustrating.,True,Attack of the Clones
358,ANAKIN,It's worse... he's overly critical. He never listens! He just doesn't understand! It's not fair!,True,Attack of the Clones
360,PADME,I'm sorry... You sounded exactly like that little boy I once knew when he didn't get his way.,True,Attack of the Clones
361,ANAKIN,I'm not whining! I'm not.,True,Attack of the Clones
363,PADME,I didn't say it to hurt you.,True,Attack of the Clones
364,ANAKIN,I know...,True,Attack of the Clones
366,PADME,Anakin...,True,Attack of the Clones
368,PADME, Don't try to grow up too fast.,True,Attack of the Clones
369,ANAKIN,I am grown up. You said it yourself.,True,Attack of the Clones
371,PADME,Please don't look at me like that.,True,Attack of the Clones
372,ANAKIN,Why not?,True,Attack of the Clones
373,PADME,Because I can see what you're thinking.,True,Attack of the Clones
374,ANAKIN, Ahh... so you have Jedi powers too?,True,Attack of the Clones
376,PADME,It makes me feel uncomfortable.,True,Attack of the Clones
377,ANAKIN,Sorry M'lady.,True,Attack of the Clones
381,CAPTAIN TYPHO,Be safe m'lady.,True,Attack of the Clones
382,PADME,Thank you Captain. Take good care of Dorme... the threat's on you two now.,True,Attack of the Clones
383,DORME,He'll be safe with me.,True,Attack of the Clones
385,PADME,You'll be fine.,True,Attack of the Clones
386,DORME,It's not me M'Lady. I worry about you. What if they realise I'm not you?,True,Attack of the Clones
387,PADME, Then my Jedi protector will have to prove how grown up he is.,True,Attack of the Clones
389,OBI-WAN,Anakin you stay put on Naboo. Do not attract any attention. Do absolutely nothing without checking in with me or the Council.,True,Attack of the Clones
390,ANAKIN,Yes Master.,True,Attack of the Clones
391,OBI-WAN, I will get to the bottom of this plot quickly M'Lady. You'll be back here in no time.,True,Attack of the Clones
392,PADME,I will be most grateful for your speed Master Jedi.,True,Attack of the Clones
393,ANAKIN,Time to go.,True,Attack of the Clones
394,PADME,I know. ,True,Attack of the Clones
396,OBI-WAN,May the Force be with you.,True,Attack of the Clones
397,ANAKIN,May the Force be with you Master.,True,Attack of the Clones
399,PADME,Suddenly I'm afraid...,True,Attack of the Clones
400,ANAKIN,I'm kinda scared too. This is my first assignment on my own.,True,Attack of the Clones
401,PADME,There's nothing to worry about... we have Artoo with us.,True,Attack of the Clones
404,OBI-WAN,I hope he doesn't try anything foolish.,True,Attack of the Clones
405,CAPTAIN TYPHO,I'd be more concerned about her doing something than him.,True,Attack of the Clones
409,PK-4,Place the subject for analysis on the sensot tray please.,True,Attack of the Clones
411,OBI-WAN,It's a toxic dart. I need to know where it came from and who made it.,True,Attack of the Clones
412,PK-4,One moment please.,True,Attack of the Clones
414,PK-4, As you can see on your screen subject weapon does not exist in any known culture. Markings cannot be identified. Probablt self-made by a warrior not associated with any known society.,True,Attack of the Clones
415,OBI-WAN,Excuse me? Could you try again please?,True,Attack of the Clones
416,PK-4,Master Jedi our records are very thorough. they cover eight percent of the galaxy. If I can't tell you where it came from nobody can.,True,Attack of the Clones
418,OBI-WAN,Thanks for your assistance! You may not be able to figure this out but I think I know someone who might.,True,Attack of the Clones
421,SERVER,Keep moving! Keep moving!,True,Attack of the Clones
423,FOOD SERVER, Hey! No Droids!,True,Attack of the Clones
425,ANAKIN,No no Mom no...,True,Attack of the Clones
427,ANAKIN, What?,True,Attack of the Clones
428,PADME,You seemed to be having a nightmare.,True,Attack of the Clones
430,PADME, Are you hungry?,True,Attack of the Clones
431,ANAKIN,Thank you.,True,Attack of the Clones
432,PADME,We went into lightspeed a while ago.,True,Attack of the Clones
434,ANAKIN,I look forward to seeing Naboo again. I've thought about it every day since I left. It's by far the most beautiful place I've ever seen...,True,Attack of the Clones
436,PADME,You were just a little boy then. It may not be as you remember it; time changes your perception.,True,Attack of the Clones
437,ANAKIN,I think time has given me much more mature feelings to enhance my perception.,True,Attack of the Clones
438,PADME,It must be difficult having sworn your life to the Jedi... not being able to visit the places you like... or do the things you like...,True,Attack of the Clones
439,ANAKIN,Or be with the people I love.,True,Attack of the Clones
440,PADME,Are you allowed to love? I thought that was forbidden for a Jedi.,True,Attack of the Clones
441,ANAKIN,Attachment is forbidden. Possession is forbidden. Compassion which I would define as unconditional love is central to a Jedi's life so you might say we're encouraged to love.,True,Attack of the Clones
442,PADME,You have changed so much,True,Attack of the Clones
443,ANAKIN,You haven't changed a bit. You're exactly the way I remember you in my dreams. I doubt if Naboo has changed much either.,True,Attack of the Clones
444,PADME,It hasn't...,True,Attack of the Clones
445,ANAKIN,I can't wait to breathe the sweet breeze that comes off the rolling hills. Whenever I try to visualise the Force those hills are what I see.,True,Attack of the Clones
447,ANAKIN, I love Naboo.,True,Attack of the Clones
449,PADME, Were you dreaming about you mother earlier weren't you?,True,Attack of the Clones
450,ANAKIN,Yes... I left Tatooine so long ago my memory of her is fading. I don't want to lose it. Recently I've been seeing her in my dreams... vivid dreams... scary dreams. I worry about her.,True,Attack of the Clones
455,HERMIONE,Can I help ya?,True,Attack of the Clones
456,OBI-WAN,I'm looking for Dexter.,True,Attack of the Clones
458,HERMIONE BAGWA,Waddya want him for?,True,Attack of the Clones
459,OBI-WAN,He's not in trouble. It's personal.,True,Attack of the Clones
461,HERMIONE BAGWA,Someone to see ya honey  A Jedi by the looks of him.,True,Attack of the Clones
463,DEXTER JETTSTER,Obi-Wan!,True,Attack of the Clones
464,OBI-WAN,Hey Dex.,True,Attack of the Clones
465,DEXTER JETTSTER,Take a seat! Be right with ya!,True,Attack of the Clones
467,HERMIONE BAGWA,You want a cup of ardees?,True,Attack of the Clones
468,OBI-WAN,Thank you.,True,Attack of the Clones
470,DEXTER JETTSTER,Hey ol' buddy!,True,Attack of the Clones
471,OBI-WAN,Hey Dex.,True,Attack of the Clones
473,DEXTER JETTSTER,So my friend. What can I do for ya?,True,Attack of the Clones
474,OBI-WAN,You can tell me what this is.,True,Attack of the Clones
476,DEXTER JETTSTER,Well whattaya know...,True,Attack of the Clones
478,DEXTER JETTSTER, I ain't seen one of these since I was prospecting on Subterrel beyond the Outer Rim!,True,Attack of the Clones
479,OBI-WAN,Do you know where it came from?,True,Attack of the Clones
481,DEXTER JETTSTER,This baby belongs to them cloners. What you got here is a Kamino Kyberdart.,True,Attack of the Clones
482,OBI-WAN,Kamino Kyberdart... I wonder why it didn't show up in any analysis archive.,True,Attack of the Clones
483,DEXTER JETTSTER,It's these funny little cuts on the side give it away... Those analysis droids you've got over there only focus on symbols you know. I should think you Jedi would have more respect for the difference between knowledge and wisdom.,True,Attack of the Clones
484,OBI-WAN,Well Dex if droids could think we wouldn't be here would we?  Kamino... doesn't sound familiar. Is it part of the Republic?,True,Attack of the Clones
485,DEXTER JETTSTER,No it's beyond the Outer Rim. I'd say about twelve parsecs outside the Rishi Maze toward the south. It should be easy to find even for those droids in your archive to find. Those Kaminoans keep to themselves. They're cloners. Damned good ones too.,True,Attack of the Clones
487,OBI-WAN,Cloners? Are they friendly?,True,Attack of the Clones
488,DEXTER JETTSTER,It depends.,True,Attack of the Clones
489,OBI-WAN,On what Dex?,True,Attack of the Clones
491,DEXTER JETTSTER,On how good your manners are... and how big your pocketbook is...,True,Attack of the Clones
495,ANAKIN,If I grew up here I don't think I'd ever leave.,True,Attack of the Clones
496,PADME, I doubt that.,True,Attack of the Clones
497,ANAKIN,No really. When I started my training I was very homesick and very lonely. This city and my Mom were the only pleasant things I had to think about... The problem was the more I thought about my Mom the worse I felt. But I would feel better if I thought about the palace - the way it shimmers in the sunlight - the way the air always smells of flowers...,True,Attack of the Clones
498,PADME,...and the soft sound of the distant waterfalls. The first time I saw the Capital I was very young... I'd never seen a waterfall before. I though they were so beautiful... I never dreamed one day I'd live in the palace.,True,Attack of the Clones
499,ANAKIN,Well tell me did you dream of power and politics when you were a little girl?,True,Attack of the Clones
500,PADME," No! That was the last thing I thought of. My dream was to help in the ""Refugee Relief Movement."" I never thought of running for elected office. But the more history I studied the more I realised how much good politicians could do. So when I was eight I joined the ""Apprentice Legislators"" then later on became a Senatorial advisor with such a passion that before I knew it I was elected Queen. Partly because I scored so high on my education certificate but for the most part it was my conviction that reform was possible. I wasn't the youngest Queen ever elected but now that I think back on it I'm not sure I was old enough. I'm not sure I was ready.",True,Attack of the Clones
501,ANAKIN,The people you served thought you did a good job. I heard they tried to amend the Constitution so you could stay in office.,True,Attack of the Clones
