,index,Characters,Dialogue
735,851,Han Solo,So... fugitives huh?
737,853,Rey,The First Order wants the map. Finn is with the Resistance. I'm just a scavenger.
739,855,Han Solo,Let's see what you got.
741,857,Rey,Go ahead.
743,859,Han Solo,This map's not complete. It's just a piece. Ever since Luke disappeared  people have been looking for him.
745,861,Rey,Why did he leave?
747,863,Han Solo,He was training a new generation of Jedi.  One boy an apprentice... turned against him destroyed it all. Luke felt responsible. He just walked away from everything.
749,865,Finn (FN-2187),Do you know what happened to him?
751,867,Han Solo,A lot of rumors. Stories. People that knew him best... think he went looking for the first Jedi temple. Think he went looking for the first Jedi temple.
753,869,Rey,The Jedi were real?
755,871,Han Solo,I used to wonder about that myself. Thought it was a bunch of mumbo-jumbo. A magical power holding together good and evil... the dark side and the light. Crazy thing is... it's true. The Force. The Jedi. All Of it. It's all true. No you rest. You want my help? You're getting it. Gonna see an old friend. She'll get your droid home. This is our stop.
757,879,Rey,I didn't know there was this much green in the whole galaxy.
759,881,Finn (FN-2187),Hey Solo I'm not sure what we're walking into here...
761,883,Han Solo,Did you just call me Solo?
763,885,Finn (FN-2187),Sorry. Han. Mr.  You should know I'm a big deal in the Resistance.  Which puts a real target on my back. Are there any conspirators here? Like First Order sympathizers?
765,887,Han Solo,Listen Big Deal. You got another problem. Women always figure out the truth. Always. You might need this.
767,889,Rey,I think I can handle myself.
769,891,Han Solo,I know you do. That's why I'm giving it to you. Take it. You know how to use one of those?
771,893,Rey,Yeah. You pull the trigger.
773,895,Han Solo,Little bit more to it than that. You got a lot to learn. You got a name?
775,897,Rey,Rey
777,899,Han Solo,Rey. I been thinking about bringing on some more crew Rey. A second mate. Someone to help out. Someone who can keep up with Chewie and me... appreciates the Falcon.
779,901,Rey,Are you offering me a job?
781,903,Han Solo,I wouldn't be nice to you. Doesn't pay much.
783,905,Rey,You're offering me a job.
785,907,Han Solo,I'm thinking about it. Well?
787,909,Rey,If you were I'd be flattered. But I have to get home.
789,911,Han Solo,Where Jakku?
791,913,Rey,I've already been away too long.
793,915,Han Solo,Chewie check out the ship as best you can. That's too bad. Chewie kind of likes you.
795,927,Finn (FN-2187),Solo why are we here again? 
797,929,Han Solo,To get your droid on a clean ship.
799,931,Rey,Clean?
801,933,Han Solo,You think it was luck that Chewie and I found the Falcon?  If we can find it on our scanners... the First Order's not far behind. Wanna get BB-8 to the Resistance? Maz Kanata's our best bet.
803,935,Finn (FN-2187),We can trust her right?
805,937,Han Solo,Relax kid. She's run this watering hole for a thousand years. Maz is a bit of an acquired taste... so let me do the talking. And whatever you do don't stare.
807,939,Rey / Finn,At what?
809,941,Han Solo,Any of it.
811,943,Maz Kanata,Han Solo!
813,945,Han Solo,Oh boy. Hey Maz.
815,947,Maz Kanata,Where's my boyfriend?
817,949,Han Solo,Chewie's working on the Falcon.
819,951,Maz Kanata,I like that Wookiee. I assume you need something. Desperately. Let's get to it.
821,955,Kylo Ren,Forgive me.  I feel it again. The pull to the light. Supreme Leader senses it. Show me again. The power of the darkness. And I will let nothing stand in our way. Show me... Grandfather...  and I Will finish... what you started.
823,971,Maz Kanata,A map. To Skywalker himself? You are right back in the mess.
825,973,Han Solo,Maz I need you to get this droid to Leia. 
827,975,Maz Kanata,Hmm... No. You've been running away from this fight for too long. Han. Go home.
829,977,Han Solo,Leia doesn't wanna see me.
831,979,Finn (FN-2187),Please we came here for your help.
833,981,Rey,What fight?
835,983,Maz Kanata,The only fight. Against the dark side. Through the ages... I've seen evil take many forms. The Sith. The Empire. Today it is the First Order. Their shadow is spreading across the galaxy. We must face them. Fight them. All of us.
837,985,Finn (FN-2187),There is no fight against the First Order. Not one we can win. Look around. There's no chance we haven't been recognized already. I bet you the First Order is on their way right...  What's this? What are you doing? Solo what is she doing?
839,987,Finn (FN-2187),I don't know. But it ain't good.
841,989,Maz Kanata,If you live long enough...   you see the same eyes in different people. I'm looking at the eyes of a man who wants to run.
843,991,Finn (FN-2187),You don't know a thing about me. Where I'm from. We all need to run. What I've seen. You don't know the First Order like I do. They'll slaughter us. We all need to run.
845,993,Maz Kanata,Hmm. You see those two? They'll trade work for transportation... to the Outer Rim. There you can disappear.
847,995,Rey,Finn?
849,997,Finn (FN-2187),Come with me.
851,999,Rey,What about BB-8? We're not done yet. We have to get him back to your base.
853,1001,Finn (FN-2187),I can't.
855,1003,Han Solo,Keep it kid.
857,1005,Maz Kanata,Who's the girl?
859,1007,Finn (FN-2187),I was told you can get me to the Outer Rim.
861,1009,Rey,What are you doing? 
863,1011,Finn (FN-2187),Don't leave without me.
865,1013,Rey,You can't just go. I won't let you.
867,1015,Finn (FN-2187),I'm not who you think I am.
869,1017,Rey,Finn what are you talking about?
871,1019,Finn (FN-2187),I'm not Resistance. I'm not a hero. I'm a stormtrooper. Like all of them I was taken from a family I'll never know. And raised to do one thing. But my first battle I made a choice. I wasn't gonna kill for them. So I ran. Right into you. And you looked at me  like no one ever had. I was ashamed of what I was. But I'm done with the First Order. I'm never going back. Rey come with me. 
873,1021,Rey,Don't go.
875,1023,Finn (FN-2187),Take care of yourself. Please.
877,1025,Rey,No! 
879,1027,Yoda,Its energy...  surrounds us... and binds us...
881,1029,Obi Wan,The Force will be...
883,1031,Rey,No! Come back!
885,1033,Unkar,Quiet girl.
887,1035,Obi Wan,Rey? These are your first steps.
889,1037,Rey,What was that? I shouldn't have gone in there.
891,1039,Maz Kanata,That lightsaber was Luke's. And his father's before him. And now it calls to you.
893,1041,Rey,I have to get back to Jakku. 
895,1043,Maz Kanata,Han told me. Dear child. I see your eyes. You already know the truth. Whomever you're waiting for on Jakku... they're never coming back. But... there's someone who still could. 
897,1045,Rey,Luke. 
899,1048,Maz Kanata,The belonging you seek is not behind you... it is ahead. I am no Jedi but I know the Force.  It moves through and surrounds every living thing.  Close your eyes. Feel it. The light... it's always been there. It will guide you. The saber. Take it.
901,1051,Rey,I'm never touching that thing again. I don't want any part of this.
903,1053,Maz Kanata,Hmm.
905,1061,General Hux,Today is the end of the Republic. The end of a regime that acquiesces to disorder. At this very moment in a system far from here... the New Republic lies to the galaxy... while secretly supporting the treachery... of the loathsome Resistance. This fierce machine which you have built upon which we stand will bring an end to the Senate! To their cherished fleet!  All remaining systems will bow to the First Order! And will remember this as the last day of the Republic!
907,1063,Officer,Confirm transfer to manual control. Configure!
909,1065,General Hux,Fire!
911,1067,Citizen,No. What is it? 
913,1089,Finn (FN-2187),It was the Republic. The First Order they've done it. Where's Rey?
915,1091,Rey,What are you doing? You have to go back. I'm leaving. BB-8... No you can't. You have to go back you're too important. They'll help you.
917,1093,Maz Kanata,I've had this for ages. Kept it locked away.
919,1095,Han Solo,Where'd you get that?
921,1097,Maz Kanata,A good question. For another time. Take it. Find your friend! Those beasts. They're here.
923,1099,Storm Trooper,FN-417 hold position.
925,1101,Rey,Oh safety.
927,1103,Storm Trooper,Sir. The droid was spotted heading west. With a girl.
929,1105,Rey,You have to keep going. Stay out of sight. I'll try to fight them off. I hope so too.
931,1107,Han Solo,Come on Chewie!
933,1109,Rey,Rey and BB-8! They need you! Now! Go!
935,1111,Finn (FN-2187),I need a weapon!
937,1113,Maz Kanata,You have one!
939,1115,Han Solo,Hey can I try that? I like this thing.
941,1117,Storm Trooper,Traitor!
943,1119,Han Solo,You okay Big Deal?
945,1121,Finn (FN-2187),Thanks.
947,1123,Storm Trooper,Don't move- TK-338 we have targets in custody.
949,1125,Storm Trooper 2,We have incoming at 28. 6.
951,1127,Storm Trooper 3,Move! Move! Move! Scramble all squads repeat scramble all squads! Head to higher cover and wait for our position! It's the Resistance.
953,1129,Poe Dameron ,Go straight at them! Don't let these dogs scare you!
955,1131,Unknown Lady,Copy that.
957,1133,Unknown Man,We're with you Poe.
959,1135,Han Solo,Quick!
961,1137,Finn (FN-2187),Whoo! Yeah! That's one hell of a pilot!
963,1139,Poe Dameron ,Whoo-hoo!
965,1145,Kylo Ren,The girl I've heard so much about. The droid. Where is it?
967,1147,Storm Trooper,Request air support.
969,1149,Kylo Ren,The map. You've seen it.
971,1151,Storm Trooper,Sir Resistance fighters. We need more troops.
973,1153,Kylo Ren,Pull the division out. Forget the droid. We have what we need.
975,1155,Storm Trooper,Pull back to tree line!
977,1167,Finn (FN-2187),No! No no! No! No! Rey! He took her. Did you see that? He took her. She's gone.
979,1169,Han Solo,Yeah I know.
981,1171,Commander,Let's go! 
983,1173,C-3PO,Goodness! Han Solo! It is I C-3PO. You probably don't recognize me... because of the red arm. Look who it is did you see who... Uh... Hmm. Excuse me Prin... General. Sorry. Come along BB-8 quickly. Yes I must get my proper arm reinstalled.
985,1175,Han Solo,You changed your hair.
987,1177,Leia,Same jacket.
989,1179,Han Solo,No new jacket. I saw him. Leia I saw our son. He was here.
991,1185,Poe Dameron ,BB-8 my buddy. Oh it's so good to see you. Finn saved you? Where is he?
993,1187,Finn (FN-2187),Poe?
995,1189,Poe Dameron ,Oh No.
997,1191,Finn (FN-2187),Poe Dameron you're alive?
999,1193,Poe Dameron ,Buddy! So are you!
1001,1195,Finn (FN-2187),What happened to you?
1003,1197,Poe Dameron ,I got thrown from the crash.  I woke up at night. No you. No ship. Nothing. BB-8 says that you saved him.
1005,1199,Finn (FN-2187),No no no. It wasn't just me. 
1007,1201,Poe Dameron ,You completed my mission Finn... That's my jacket.
1009,1203,Finn (FN-2187),Oh...
1011,1205,Poe Dameron ,No no no. Keep it. It suits you. You're a good man Finn.
1013,1207,Finn (FN-2187),Poe I need your help.
1015,1225,Announcer,PZ-4CO report to communications.
1017,1227,Poe Dameron ,General Organa... I'm sorry to interrupt. This is Finn. He needs to talk to you.
1019,1229,Leia,And I need to talk to him. That was incredibly brave what you did.  Renouncing the First Order saving this man's life.
1021,1231,Finn (FN-2187),Thank you ma'am. But a friend of mine was taken prisoner.
1023,1233,Leia,Han told me about the girl. I'm sorry.
1025,1235,Poe Dameron ,Finn's familiar with the weapon that destroyed the Hosnian system. He worked on the base.
1027,1237,Leia,We're desperate for anything you can tell us.
1029,1239,Finn (FN-2187),That's where my friend was taken. I've got to get there fast.
1031,1241,Leia,And I will do everything I can to help... but first you need to tell us all you know.
1033,1243,Woman,That sounds very scary. You must be so brave.
1035,1245,C-3PO,General... I regret to inform you...but this map recovered from BB-8... is only partially complete. And even worse it matches no charted system on record. We simply do not have enough information... to locate Master Luke.
1037,1247,Leia,Can't believe I was so foolish to think I could find Luke and bring him home.
1039,1249,Han Solo,Leia.
1041,1251,Leia,Don't do that.
1043,1253,Han Solo,Do what?
1045,1255,Leia,Anything-
1047,1257,C-3PO,Princesses.
1049,1259,Han Solo,I'm trying to be helpful.
1051,1261,Leia,When did that ever help?  And don't say the Death Star.
1053,1263,C-3PO,BB-8. You're wasting your time. It is very doubtful that R2 would have the rest of the map in his backup data. I am afraid not. R2-D2 has been in low-power mode ever since Master Luke went away. Sadly he may never be his old self again.
1055,1265,Han Solo,Listen to me will you? I know every time you... Every time you look at me you're reminded of him.
1057,1267,Leia,You think I want to forget him? I want him back.
1059,1269,Han Solo,There's nothing more we could have done. There's too much Vader in him.
1061,1271,Leia,That's why I wanted him to train with Luke. I just never should have sent him away. That's when I lost him. That's when I lost you both.
1063,1273,Han Solo,We both had to deal with it in our own way. I went back to the only thing I was ever any good at. 
1065,1276,Leia,We both did.
1067,1279,Han Solo,We lost our son. Forever.
1069,1281,Leia,No. It was Snoke. He seduced our son to the dark side. But we can still save him. Me. You.
1071,1283,Han Solo,If Luke couldn't reach him how could I?
1073,1285,Leia,Luke is a Jedi. You're his father. There is still light in him I know it.
1075,1287,Officer,General the reconnaissance report on the enemy base is coming.
1077,1293,Rey,Where am I?
1079,1295,Kylo Ren,You're my guest.
1081,1297,Rey,Where are the others?
1083,1299,Kylo Ren,Do you mean the murderers... traitors and thieves you call friends? You'll be relieved to hear I have no idea. You still want to kill me.
1085,1301,Rey,That happens when you're being hunted by a creature in a mask.
1087,1303,Kylo Ren,Tell me about the droid.
1089,1305,Rey,He's a BB unit with a selenium drive and a thermal hyperscan vindicator.
1091,1307,Kylo Ren,It's carrying a section of a navigational chart. And we have the rest. Recovered from the archives of the Empire but we need the last piece. And somehow you convinced the droid to show it to you. You. A scavenger. You know I can take whatever I want. You're so lonely. So afraid to leave. At night desperate to sleep. You imagine an ocean. I see it. I see the island. And Han Solo. You feel like he's the father you never had. He would have disappointed you.
1093,1309,Rey,Get out of my head.
1095,1311,Kylo Ren,I know you've seen the map. It's in there. And now you'll give it to me. Don't be afraid. I feel it too.
1097,1313,Rey,I'm not giving you anything.
1099,1315,Kylo Ren,We'll see. You. You're afraid. That you will never be as strong as Darth Vader.
1101,1323,Snoke,The scavenger... resisted you?
1103,1325,Kylo Ren,She is strong with the Force. Untrained but stronger than she knows.
1105,1327,Snoke,And the droid?
1107,1329,General Hux,Ren believed it was no longer valuable to us. That the girl was all we needed. As a result the droid has most likely been returned to the hands of the enemy. They may have the map already.
1109,1331,Snoke,Then the Resistance must be destroyed before they get to Skywalker.
1111,1333,General Hux,We have their location. We tracked their reconnaissance ship to the lleenium system.
1113,1335,Snoke,Good. Then we will crush them once and for all. Prepare the weapon.
1115,1337,Kylo Ren,Supreme Leader I can get the map from the girl. I just need your guidance.
