,Country_Residence,Origin,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin,Count
200,Canada,Bangladesh,56.130366,-106.34677099999999,23.684994,90.35633100000001,74
201,Canada,Barbados,56.130366,-106.34677099999999,13.193887,-59.543198,2
202,Canada,Belarus,56.130366,-106.34677099999999,53.709807,27.953389,16
203,Canada,Belgium,56.130366,-106.34677099999999,50.503887,4.469936,15
204,Canada,Belize,56.130366,-106.34677099999999,17.189877,-88.49765,8
205,Canada,Benin,56.130366,-106.34677099999999,9.30769,2.315834,20
206,Canada,Bermuda,56.130366,-106.34677099999999,32.321384,-64.75737,1
207,Canada,Bhutan,56.130366,-106.34677099999999,27.514162,90.433601,6607
208,Canada,Bolivia,56.130366,-106.34677099999999,-16.290154,-63.588653,29
209,Canada,Bosnia and Herzegovina,56.130366,-106.34677099999999,43.915886,17.679076000000002,28226
210,Canada,Botswana,56.130366,-106.34677099999999,-22.328474,24.684866,28
211,Canada,Brazil,56.130366,-106.34677099999999,-14.235004,-51.92528,5
212,Canada,Bulgaria,56.130366,-106.34677099999999,42.733883,25.48583,792
213,Canada,Burkina Faso,56.130366,-106.34677099999999,12.238333,-1.561593,11
214,Canada,Burundi,56.130366,-106.34677099999999,-3.3730559999999996,29.918885999999997,4001
215,Canada,Cambodia,56.130366,-106.34677099999999,12.565679,104.990963,20497
216,Canada,Cameroon,56.130366,-106.34677099999999,7.369722,12.354722,81
217,Canada,Central African Republic,56.130366,-106.34677099999999,6.611111,20.939444,816
218,Canada,Chad,56.130366,-106.34677099999999,15.454166,18.732207,158
219,Canada,Chile,56.130366,-106.34677099999999,-35.675146999999996,-71.542969,7657
220,Canada,China,56.130366,-106.34677099999999,35.86166,104.195397,989
221,Canada,Colombia,56.130366,-106.34677099999999,4.570868,-74.297333,15814
222,Canada,Comoros,56.130366,-106.34677099999999,-11.875001,43.872219,3
223,Canada,Costa Rica,56.130366,-106.34677099999999,9.748917,-83.753428,213
224,Canada,Croatia,56.130366,-106.34677099999999,45.1,15.2,5450
225,Canada,Cuba,56.130366,-106.34677099999999,21.521757,-77.78116700000001,164
226,Canada,Cyprus,56.130366,-106.34677099999999,35.126413,33.429859,19
227,Canada,Czech Republic,56.130366,-106.34677099999999,49.817492,15.472961999999999,23520
228,Canada,Denmark,56.130366,-106.34677099999999,56.26392,9.501785,36
229,Canada,Djibouti,56.130366,-106.34677099999999,11.825138,42.590275,59
230,Canada,Ecuador,56.130366,-106.34677099999999,-1.8312389999999998,-78.183406,218
231,Canada,Egypt,56.130366,-106.34677099999999,26.820553000000004,30.802497999999996,2125
