,Country_Residence,Origin,Year,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
147,Canada,Cte d'Ivoire,2016,152,56.130366,-106.34677099999999,7.539989,-5.54708
150,Canada,Congo [DRC],2016,11,56.130366,-106.34677099999999,-4.038333000000001,21.758664000000003
151,Canada,Colombia,2016,178,56.130366,-106.34677099999999,4.570868,-74.297333
154,Canada,Ecuador,2016,11,56.130366,-106.34677099999999,-1.8312389999999998,-78.183406
155,Canada,Egypt,2016,134,56.130366,-106.34677099999999,26.820553000000004,30.802497999999996
156,Canada,Eritrea,2016,3934,56.130366,-106.34677099999999,15.179383999999999,39.782334000000006
158,Canada,Ethiopia,2016,725,56.130366,-106.34677099999999,9.145,40.489672999999996
159,Canada,Ghana,2016,5,56.130366,-106.34677099999999,7.946527000000001,-1.0231940000000002
161,Canada,Gambia,2016,17,56.130366,-106.34677099999999,13.443182,-15.310139000000001
163,Canada,India,2016,12,56.130366,-106.34677099999999,20.593684,78.96288
164,Canada,Iran,2016,248,56.130366,-106.34677099999999,32.427908,53.68804599999999
165,Canada,Iraq,2016,1650,56.130366,-106.34677099999999,33.223191,43.679291
167,Canada,Jordan,2016,43,56.130366,-106.34677099999999,30.585164000000002,36.238414
170,Canada,Cambodia,2016,7,56.130366,-106.34677099999999,12.565679,104.990963
171,Canada,Lebanon,2016,100,56.130366,-106.34677099999999,33.854721000000005,35.862285
172,Canada,Liberia,2016,114,56.130366,-106.34677099999999,6.4280550000000005,-9.429499
173,Canada,Sri Lanka,2016,9,56.130366,-106.34677099999999,7.873054,80.77179699999999
175,Canada,Myanmar [Burma],2016,368,56.130366,-106.34677099999999,21.913965,95.956223
177,Canada,Nepal,2016,8,56.130366,-106.34677099999999,28.394857000000002,84.12400799999999
178,Canada,Pakistan,2016,226,56.130366,-106.34677099999999,30.375321000000003,69.345116
180,Canada,Palestinian Territories,2016,129,56.130366,-106.34677099999999,31.952162,35.233154
183,Canada,Rwanda,2016,90,56.130366,-106.34677099999999,-1.940278,29.873888
185,Canada,Sudan,2016,190,56.130366,-106.34677099999999,12.862807,30.217636
186,Canada,Senegal,2016,18,56.130366,-106.34677099999999,14.497401000000002,-14.452361999999999
187,Canada,Sierra Leone,2016,43,56.130366,-106.34677099999999,8.460555000000001,-11.779889
188,Canada,Somalia,2016,902,56.130366,-106.34677099999999,5.152149,46.199616
189,Canada,Sudan,2016,65,56.130366,-106.34677099999999,12.862807,30.217636
192,Canada,Syria,2016,33266,56.130366,-106.34677099999999,34.802075,38.996815000000005
193,Canada,Chad,2016,12,56.130366,-106.34677099999999,15.454166,18.732207
194,Canada,Togo,2016,8,56.130366,-106.34677099999999,8.619543,0.824782
195,Canada,Thailand,2016,6,56.130366,-106.34677099999999,15.870032,100.992541
196,Canada,Turkey,2016,10,56.130366,-106.34677099999999,38.963745,35.243322
198,Canada,Uganda,2016,9,56.130366,-106.34677099999999,1.373333,32.290275
200,Canada,United States,2016,9,56.130366,-106.34677099999999,37.09024,-95.712891
202,Canada,Yemen,2016,6,56.130366,-106.34677099999999,15.552726999999999,48.516388
203,Canada,South Africa,2016,10,56.130366,-106.34677099999999,-30.559482,22.937506
206,Switzerland,Iraq,2016,43,46.818188,8.227511999999999,33.223191,43.679291
209,Switzerland,Syria,2016,524,46.818188,8.227511999999999,34.802075,38.996815000000005
211,Czech Republic,Iraq,2016,32,49.817492,15.472961999999999,33.223191,43.679291
212,Germany,Eritrea,2016,20,51.165690999999995,10.451526,15.179383999999999,39.782334000000006
214,Germany,Syria,2016,1215,51.165690999999995,10.451526,34.802075,38.996815000000005
215,Denmark,Burundi,2016,8,56.26392,9.501785,-3.3730559999999996,29.918885999999997
217,Denmark,Central African Republic,2016,8,56.26392,9.501785,6.611111,20.939444
220,Denmark,Myanmar [Burma],2016,7,56.26392,9.501785,21.913965,95.956223
221,Denmark,Rwanda,2016,6,56.26392,9.501785,-1.940278,29.873888
222,Denmark,Sudan,2016,5,56.26392,9.501785,12.862807,30.217636
223,Denmark,Somalia,2016,9,56.26392,9.501785,5.152149,46.199616
225,Denmark,Syria,2016,236,56.26392,9.501785,34.802075,38.996815000000005
226,Spain,Syria,2016,289,40.463667,-3.7492199999999998,34.802075,38.996815000000005
227,Estonia,Syria,2016,11,58.595271999999994,25.013607,34.802075,38.996815000000005
228,Finland,Afghanistan,2016,130,61.92411,25.748151,33.93911,67.709953
234,Finland,Sudan,2016,29,61.92411,25.748151,12.862807,30.217636
235,Finland,Somalia,2016,14,61.92411,25.748151,5.152149,46.199616
238,Finland,Syria,2016,546,61.92411,25.748151,34.802075,38.996815000000005
240,France,Afghanistan,2016,5,46.227638,2.213749,33.93911,67.709953
241,France,Central African Republic,2016,5,46.227638,2.213749,6.611111,20.939444
242,France,Cte d'Ivoire,2016,5,46.227638,2.213749,7.539989,-5.54708
244,France,Congo [DRC],2016,5,46.227638,2.213749,-4.038333000000001,21.758664000000003
245,France,Eritrea,2016,20,46.227638,2.213749,15.179383999999999,39.782334000000006
246,France,Ethiopia,2016,10,46.227638,2.213749,9.145,40.489672999999996
247,France,Iran,2016,10,46.227638,2.213749,32.427908,53.68804599999999
248,France,Iraq,2016,65,46.227638,2.213749,33.223191,43.679291
249,France,Cambodia,2016,5,46.227638,2.213749,12.565679,104.990963
250,France,Sri Lanka,2016,20,46.227638,2.213749,7.873054,80.77179699999999
