year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
1997,PRK,VEN,ALL,3920000,0.0072%
1998,PRK,BEN,ALL,24310,0.000045%
1998,PRK,CAF,ALL,8156,0.000015%
1998,PRK,CIV,ALL,38037,0.000070%
1998,PRK,DZA,ALL,4450,0.0000082%
1998,PRK,EGY,ALL,7377592,0.014%
1998,PRK,GAB,ALL,17731651,0.033%
1998,PRK,KEN,ALL,132950,0.00025%
1998,PRK,MDG,ALL,14023,0.000026%
1998,PRK,MUS,ALL,43369,0.000080%
1998,PRK,SDN,ALL,2231040,0.0041%
1998,PRK,TGO,ALL,39519,0.000073%
1998,PRK,TUN,ALL,381408,0.00070%
1998,PRK,TZA,ALL,83100,0.00015%
1998,PRK,BGD,ALL,65572,0.00012%
1998,PRK,CHN,ALL,352401202,0.65%
1998,PRK,CYP,ALL,63004,0.00012%
1998,PRK,HKG,ALL,15370775,0.028%
1998,PRK,IDN,ALL,2419095,0.0045%
1998,PRK,IND,ALL,18578763,0.034%
1998,PRK,IRN,ALL,25805,0.000048%
1998,PRK,JPN,ALL,146998248,0.27%
1998,PRK,LBN,ALL,1212280,0.0022%
1998,PRK,MAC,ALL,32497,0.000060%
1998,PRK,MNG,ALL,21468,0.000040%
1998,PRK,MYS,ALL,1374134,0.0025%
1998,PRK,PHL,ALL,162304,0.00030%
1998,PRK,SAU,ALL,13372244,0.025%
1998,PRK,SGP,ALL,33078451,0.061%
1998,PRK,THA,ALL,9134021,0.017%
1998,PRK,TUR,ALL,627221,0.0012%
1998,PRK,AUT,ALL,2373001,0.0044%
1998,PRK,BGR,ALL,3426663,0.0063%
1998,PRK,BLR,ALL,1568994,0.0029%
1998,PRK,BLX,ALL,9243700,0.017%
1998,PRK,CHE,ALL,1338447,0.0025%
1998,PRK,CZE,ALL,118144,0.00022%
1998,PRK,DEU,ALL,22217000,0.041%
1998,PRK,DNK,ALL,8035986,0.015%
1998,PRK,ESP,ALL,8307875,0.015%
1998,PRK,FIN,ALL,556692,0.0010%
1998,PRK,FRA,ALL,8778768,0.016%
1998,PRK,GBR,ALL,17074068,0.031%
1998,PRK,GRC,ALL,409138,0.00075%
1998,PRK,HUN,ALL,38000,0.000070%
1998,PRK,IRL,ALL,105665741,0.19%
1998,PRK,ITA,ALL,17231349,0.032%
1998,PRK,LTU,ALL,3186,0.0000059%
1998,PRK,LVA,ALL,83040,0.00015%
1998,PRK,MKD,ALL,18682,0.000034%
1998,PRK,NLD,ALL,9917898,0.018%
1998,PRK,POL,ALL,345000,0.00064%
1998,PRK,PRT,ALL,155773,0.00029%
1998,PRK,ROU,ALL,609000,0.0011%
1998,PRK,RUS,ALL,56479641,0.10%
1998,PRK,SVK,ALL,1322463,0.0024%
1998,PRK,SVN,ALL,30621,0.000056%
1998,PRK,SWE,ALL,912205,0.0017%
1998,PRK,UKR,ALL,1351910,0.0025%
1998,PRK,YUG,ALL,22000,0.000041%
1998,PRK,CAN,ALL,2751934,0.0051%
1998,PRK,CRI,ALL,764588,0.0014%
1998,PRK,HND,ALL,7210179,0.013%
1998,PRK,MEX,ALL,10265926,0.019%
1998,PRK,SLV,ALL,49225,0.000091%
1998,PRK,USA,ALL,4044323,0.0075%
1998,PRK,VCT,ALL,2592,0.0000048%
1998,PRK,AUS,ALL,2943,0.0000054%
1998,PRK,PNG,ALL,441359,0.00081%
1998,PRK,BOL,ALL,39000,0.000072%
1998,PRK,BRA,ALL,65549210,0.12%
1998,PRK,CHL,ALL,7330232,0.014%
1998,PRK,COL,ALL,800643,0.0015%
1998,PRK,ECU,ALL,1123094,0.0021%
1998,PRK,PER,ALL,860014,0.0016%
1998,PRK,URY,ALL,14790,0.000027%
1999,PRK,CIV,ALL,56135,0.00010%
1999,PRK,EGY,ALL,57144,0.00011%
1999,PRK,GAB,ALL,2967364,0.0055%
1999,PRK,GHA,ALL,9770,0.000018%
1999,PRK,KEN,ALL,205972,0.00038%
1999,PRK,MDG,ALL,11200,0.000021%
1999,PRK,MUS,ALL,46592,0.000086%
1999,PRK,NGA,ALL,25093372,0.046%
1999,PRK,SDN,ALL,13299,0.000025%
1999,PRK,TZA,ALL,67568,0.00012%
1999,PRK,ZAF,ALL,5224662,0.0096%
1999,PRK,CHN,ALL,307540404,0.57%
1999,PRK,HKG,ALL,41197455,0.076%
1999,PRK,IDN,ALL,2612809,0.0048%
1999,PRK,IND,ALL,67003042,0.12%
1999,PRK,IRN,ALL,90522,0.00017%
1999,PRK,JPN,ALL,134600229,0.25%
1999,PRK,LBN,ALL,3926675,0.0072%
1999,PRK,LKA,ALL,42691,0.000079%
1999,PRK,MAC,ALL,160311,0.00030%
1999,PRK,MNG,ALL,177695,0.00033%
1999,PRK,MYS,ALL,5370166,0.0099%
1999,PRK,SGP,ALL,46489279,0.086%
1999,PRK,THA,ALL,31587562,0.058%
1999,PRK,TUR,ALL,722833,0.0013%
1999,PRK,AUT,ALL,9368895,0.017%
1999,PRK,BGR,ALL,115706,0.00021%
1999,PRK,BLR,ALL,946800,0.0017%
1999,PRK,BLX,ALL,3971693,0.0073%
1999,PRK,CHE,ALL,2777184,0.0051%
1999,PRK,CZE,ALL,1385437,0.0026%
1999,PRK,DEU,ALL,29116658,0.054%
1999,PRK,DNK,ALL,5517979,0.010%
1999,PRK,ESP,ALL,2521519,0.0046%
1999,PRK,EST,ALL,24561,0.000045%
1999,PRK,FIN,ALL,37821,0.000070%
1999,PRK,FRA,ALL,5770130,0.011%
1999,PRK,GBR,ALL,21693736,0.040%
1999,PRK,GRC,ALL,224387,0.00041%
1999,PRK,HUN,ALL,314000,0.00058%
1999,PRK,IRL,ALL,5115355,0.0094%
1999,PRK,ITA,ALL,15164890,0.028%
1999,PRK,LTU,ALL,6270,0.000012%
1999,PRK,NLD,ALL,13752616,0.025%
1999,PRK,POL,ALL,563000,0.0010%
1999,PRK,PRT,ALL,140681,0.00026%
1999,PRK,ROU,ALL,78000,0.00014%
1999,PRK,RUS,ALL,47328114,0.087%
1999,PRK,SVK,ALL,334191,0.00062%
1999,PRK,SVN,ALL,17245,0.000032%
1999,PRK,SWE,ALL,693691,0.0013%
1999,PRK,UKR,ALL,11489401,0.021%
1999,PRK,CAN,ALL,818563,0.0015%
1999,PRK,CRI,ALL,699902,0.0013%
1999,PRK,CUB,ALL,35156918,0.065%
1999,PRK,GTM,ALL,9128688,0.017%
1999,PRK,HND,ALL,1843698,0.0034%
1999,PRK,MEX,ALL,3452921,0.0064%
1999,PRK,SLV,ALL,106899,0.00020%
1999,PRK,USA,ALL,7479969,0.014%
1999,PRK,AUS,ALL,804230,0.0015%
1999,PRK,BOL,ALL,2646635,0.0049%
1999,PRK,BRA,ALL,139077896,0.26%
1999,PRK,CHL,ALL,1089871,0.0020%
1999,PRK,COL,ALL,399042,0.00074%
1999,PRK,ECU,ALL,1349502,0.0025%
1999,PRK,PER,ALL,1826259,0.0034%
1999,PRK,SUR,ALL,1000,0.0000018%
1999,PRK,URY,ALL,168720,0.00031%
2000,PRK,BEN,ALL,2340,0.0000043%
2000,PRK,CAF,ALL,22012,0.000041%
2000,PRK,CIV,ALL,121346,0.00022%
2000,PRK,GAB,ALL,39224036,0.072%
2000,PRK,GHA,ALL,831866,0.0015%
2000,PRK,GMB,ALL,14932,0.000028%
2000,PRK,KEN,ALL,65900,0.00012%
2000,PRK,MDG,ALL,38299,0.000071%
2000,PRK,MOZ,ALL,3085,0.0000057%
2000,PRK,MUS,ALL,33471,0.000062%
2000,PRK,NGA,ALL,31640873,0.058%
2000,PRK,SDN,ALL,140981,0.00026%
2000,PRK,TUN,ALL,28620,0.000053%
2000,PRK,TZA,ALL,55377,0.00010%
2000,PRK,ZAF,ALL,1341486,0.0025%
2000,PRK,ZMB,ALL,2119,0.0000039%
2000,PRK,AZE,ALL,9290,0.000017%
2000,PRK,BGD,ALL,840739,0.0016%
2000,PRK,CHN,ALL,426108319,0.79%
2000,PRK,CYP,ALL,8226,0.000015%
2000,PRK,GEO,ALL,24840,0.000046%
2000,PRK,HKG,ALL,65433329,0.12%
2000,PRK,IDN,ALL,14269161,0.026%
2000,PRK,IND,ALL,157886171,0.29%
2000,PRK,IRN,ALL,3250,0.0000060%
2000,PRK,JPN,ALL,169654679,0.31%
2000,PRK,KAZ,ALL,63300,0.00012%
