,AB,Age,BB,From,G,H,HR,OPS,PA,R,SB,SO,To,WAR,experience,names,Zero,Year_difference,index,experience_distribution
73,0,22.198,0,2001,2,0,0,,0,0,0,0,2001,0.0,1,Wilfredo Rodriguez,0,0,1,487
74,0,24.298000000000002,0,2001,1,0,0,,0,0,0,0,2001,0.0,1,Pedro Santana,0,0,1,487
75,9,23.125,0,2001,20,1,0,0.222,11,0,0,4,2001,0.0,1,Wascar Serrano,0,0,1,487
76,0,23.346,0,2001,1,0,0,,0,0,0,0,2001,0.0,1,Scott Sobkowiak,0,0,1,487
77,0,26.212,0,2001,2,0,0,,0,0,0,0,2001,0.0,1,Ken Vining,0,0,1,487
78,36,27.113000000000003,0,2001,10,9,2,0.722,36,5,0,13,2001,0.5,1,Chris Wakeland,0,0,1,487
79,0,22.308000000000003,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Steve Bechler,0,0,1,487
80,0,28.305,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Jason Beverlin,0,0,1,487
81,1,23.141,0,2002,4,0,0,0.0,1,0,0,1,2002,0.0,1,Eric Cyr,0,0,1,487
82,0,24.272,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Luis de los Santos,0,0,1,487
83,7,28.124000000000002,1,2002,4,2,1,1.232,8,2,0,2,2002,0.1,1,Juan Diaz,0,0,1,487
84,7,23.105,0,2002,5,1,0,0.28600000000000003,8,0,0,1,2002,0.0,1,Ben Diggins,0,0,1,487
85,0,27.311,0,2002,7,0,0,,0,0,0,0,2002,0.0,1,Matt Duff,0,0,1,487
86,0,26.357,0,2002,2,0,0,,0,0,0,0,2002,0.0,1,Jeff Farnsworth,0,0,1,487
87,0,27.125999999999998,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Brian Fitzgerald,0,0,1,487
88,3,26.25,0,2002,6,1,0,0.667,3,0,0,1,2002,0.1,1,Luis Garcia,0,0,1,487
89,15,25.024,2,2002,10,4,0,0.82,17,2,0,7,2002,0.1,1,Jason Hart,0,0,1,487
90,2,25.173000000000002,0,2002,19,0,0,0.0,2,0,0,0,2002,0.0,1,Hansel Izquierdo,0,0,1,487
91,0,24.269000000000002,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Delvin James,0,0,1,487
92,0,26.261,0,2002,2,0,0,,0,0,0,0,2002,0.0,1,Jason Jimenez,0,0,1,487
93,0,26.024,0,2002,11,0,0,,0,0,0,0,2002,0.0,1,Kevin Joseph,0,0,1,487
94,0,25.340999999999998,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Justin Kaye,0,0,1,487
95,0,24.084,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Kris Keller,0,0,1,487
96,0,23.354,0,2002,2,0,0,,0,0,0,0,2002,0.0,1,Steven Kent,0,0,1,487
97,1,36.361,1,2002,22,0,0,0.5,3,0,0,1,2002,0.1,1,Satoru Komiyama,0,0,1,487
98,0,22.043000000000003,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Ben Kozlowski,0,0,1,487
99,150,25.159000000000002,16,2002,55,27,2,0.508,174,16,2,38,2002,-1.1,1,Joe Lawrence,0,0,1,487
100,0,27.124000000000002,0,2002,5,0,0,,0,0,0,0,2002,0.0,1,Brian Mallette,0,0,1,487
101,16,28.057,0,2002,8,3,0,0.43799999999999994,16,0,0,2,2002,-0.1,1,Mike Moriarty,0,0,1,487
102,34,28.169,4,2002,25,9,0,0.695,39,6,1,1,2002,0.0,1,Bry Nelson,0,0,1,487
103,0,33.125,0,2002,21,0,0,,0,0,0,0,2002,0.0,1,Takahito Nomura,0,0,1,487
104,0,30.154,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Terry Pearson,0,0,1,487
105,8,26.041999999999998,0,2002,3,2,0,0.5,8,0,0,0,2002,-0.1,1,Alex Pelaez,0,0,1,487
106,1,24.125,0,2002,4,0,0,0.0,1,0,0,1,2002,0.0,1,Dave Pember,0,0,1,487
107,5,27.131,0,2002,15,0,0,0.0,5,0,0,3,2002,-0.1,1,Kevin Pickford,0,0,1,487
108,77,28.189,6,2002,23,11,1,0.42200000000000004,84,8,0,9,2002,-1.1,1,Jim Rushford,0,0,1,487
109,6,25.09,0,2002,2,0,0,0.0,6,0,0,4,2002,-0.1,1,Shawn Sedlacek,0,0,1,487
110,9,24.116,0,2002,8,2,0,0.444,10,1,0,1,2002,0.0,1,Steve Smyth,0,0,1,487
111,0,22.318,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,John Stephens,0,0,1,487
112,2,26.108,0,2002,2,0,0,0.0,2,0,0,2,2002,0.0,1,Nate Teut,0,0,1,487
113,0,26.254,0,2002,3,0,0,,0,0,0,0,2002,0.0,1,J.J. Trujillo,0,0,1,487
114,0,23.058000000000003,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Andy Van Hekken,0,0,1,487
