,Movies,count,mean
270,Love Exposure,1,8.0
271,Lumumba,1,6.0
272,"Lust, Caution",1,5.0
273,Mad Max: Fury Road,14,4.928571428571429
274,Madagascar 3: Europe's Most Wanted,1,5.0
275,Making Of,1,4.0
276,Man on Wire,3,7.666666666666667
277,Manakamana,1,6.0
278,Manchester by the Sea,3,7.0
279,Maqbool,2,9.0
280,Margaret,9,4.333333333333333
281,Master and Commander: The Far Side of the World,1,7.0
282,Match Point,1,10.0
283,Me and You and Everyone We Know,1,5.0
284,Meek's Cutoff,1,6.0
285,Melancholia,7,4.142857142857143
286,Memento,11,4.909090909090909
287,Memories of Murder,3,8.666666666666666
288,Men at Work,1,4.0
289,Mia Madre,3,5.666666666666667
290,Miami Vice,1,8.0
291,Michael Clayton,2,6.0
292,Michelangelo Eye to Eye,1,5.0
293,Middle of Nowhere,1,10.0
294,Millennium Actress,1,6.0
295,Millennium Mambo,2,6.5
296,Million Dollar Baby,3,5.333333333333333
297,Miners Shot Down,1,7.0
298,Minority Report,2,8.0
299,Mommy,3,7.0
300,Monsoon Wedding,2,4.5
301,Monster,1,10.0
302,"Monsters, Inc.",1,7.0
303,Moolaadé,5,3.6
304,Moon,1,1.0
305,Moonrise Kingdom,5,6.4
306,Morvern Callar,2,7.5
307,Mosaik mécanique,1,10.0
308,Mother,3,8.666666666666666
309,Moulin Rouge!,6,4.333333333333333
310,Mr Turner,1,5.0
311,Mulholland Drive,47,3.0425531914893615
312,Munich,2,4.5
313,My Golden Days,1,6.0
314,My Heart Beats Only for Her,1,7.0
315,My Winnipeg,3,4.333333333333333
316,Mysteries of Lisbon,2,5.0
317,Mystic River,1,6.0
318,Nebraska,3,7.0
319,Neighboring Sounds,1,1.0
320,Night Across the Street,1,7.0
321,Night Will Fall,1,3.0
322,Nightcrawler,1,5.0
323,Nine Queens,1,3.0
324,No,3,5.333333333333333
325,No Country For Old Men,21,4.857142857142857
326,No Home Movie,1,2.0
327,No Man's Land,2,8.5
328,Nobody Knows,1,5.0
329,"Norte, the End of History",2,7.5
330,Nostalgia for the Light,4,9.0
331,Notre musique,1,1.0
332,"O Brother, Where Art Thou?",3,7.333333333333333
333,Oasis,1,6.0
334,Of Gods and Men,1,8.0
335,Oh! Man,1,10.0
336,Oldboy,11,5.363636363636363
337,Once,1,5.0
338,Once Upon a Time in Anatolia,7,5.285714285714286
339,Only Lovers Left Alive,7,6.428571428571429
340,Open Range,1,10.0
341,Our Daily Bread,1,10.0
342,Paan Singh Tomar,1,6.0
343,Pain & Gain,1,10.0
344,Pan's Labyrinth,17,5.352941176470588
345,Paradise Now,2,7.5
346,Persepolis,3,4.666666666666667
347,Phoenix,3,7.0
348,Platform,3,7.0
349,Poetry,1,8.0
350,"Police, Adjective",1,4.0
351,Primer,1,9.0
352,Profit Motive and the Whispering Wind,1,2.0
353,Psalm III: 'Night of the Meek',1,3.0
354,Pulse,3,6.666666666666667
355,Punch-Drunk Love,3,5.0
356,Quills,1,7.0
357,Ratatouille,4,5.25
358,Red Leaves,1,6.0
359,Red Road,2,9.0
360,Regular Lovers,1,8.0
361,Requiem for a Dream,3,4.0
362,Restless City,1,8.0
363,Revolutionary Road,1,7.0
364,"Right Now, Wrong Then",1,5.0
365,Russian Ark,4,6.5
366,Rust and Bone,1,7.0
367,Samson & Delilah,1,4.0
368,Sangue,1,8.0
369,Saraband,1,1.0
370,Secret Sunshine,4,6.0
371,Secret Things,1,4.0
372,Selma,5,8.4
373,Sembène!,1,7.0
374,Senna,1,8.0
375,Seventh Code,1,10.0
376,"Sexe, gombo et beurre salé",1,4.0
377,Sexy Beast,2,5.5
378,Shame,4,4.0
379,Shara,1,6.0
380,Shaun of the Dead,1,10.0
381,Shoot the Messenger,1,5.0
382,Short Term 12,2,7.5
383,Shrek,1,10.0
384,Shutter Island,1,10.0
385,Sicario,1,5.0
386,Sideways,2,5.0
387,Silent Light,1,10.0
388,Silent Souls,2,9.0
389,Silver Linings Playbook,3,6.0
390,Sin Nombre,1,7.0
391,Sita Sings the Blues,1,8.0
392,Snow White,1,8.0
393,Something Necessary,1,5.0
394,Somewhere,3,5.333333333333333
395,Son of Saul,10,5.3
396,Song of the Sea,1,9.0
397,Songs from the Second Floor,1,5.0
398,Sparrow,1,9.0
399,Spider-Man 2,1,4.0
400,Spirited Away,34,5.117647058823529
401,Spotlight,4,4.75
402,Spring Breakers,7,6.571428571428571
403,"Spring, Summer, Fall, Winter…and Spring",4,2.25
404,Star Trek,1,3.0
405,Star Wars: Episode III – Revenge of the Sith,1,5.0
406,Star Wars: Episode VII – The Force Awakens,1,4.0
407,Step Brothers,1,10.0
408,Still Life,3,6.333333333333333
409,Still Walking,3,6.0
410,Storia di una donna amata e di un assassino gentile,1,6.0
411,Stories We Tell,6,5.5
412,Story of My Death,1,9.0
413,Stranger by the Lake,1,7.0
414,Stray Dogs,1,1.0
415,Sumas y Restas,1,4.0
416,Summer Hours,1,4.0
417,Sweet Sixteen,1,9.0
418,Sympathy for Mr Vengeance,1,9.0
419,Syndromes and a Century,5,3.6
420,"Synecdoche, New York",12,4.416666666666667
421,Tabu,8,6.875
422,Take Shelter,1,6.0
423,Take This Waltz,1,5.0
424,Talk to Her,13,6.076923076923077
425,Talladega Nights: The Ballad of Ricky Bobby,1,9.0
426,Tangerine,1,7.0
427,Taxi Tehran,1,3.0
428,Team America: World Police,1,8.0
429,Ten,4,5.5
430,Terra,1,9.0
431,Tey,3,5.666666666666667
432,The 3 Rooms of Melancholia,1,7.0
433,The Act of Killing,16,4.625
434,The Arbor,1,8.0
435,The Artist,4,7.5
436,The Assassin,5,2.6
437,The Assassination of Jesse James by the Coward Robert Ford,3,3.3333333333333335
