,Characters,Dialogue,Movie
276,HAN,You're gonna die here you know. Convenient.,Return of the Jedi
277,LUKE,Just stick close to Chewie and Lando. I've taken care of everything.,Return of the Jedi
278,HAN,Oh... great!,Return of the Jedi
283,THREEPIO,Oh I'm terribly sor... Artoo! What are you doing here?,Return of the Jedi
285,THREEPIO,Well I can see you're serving drinks but this place is dangerous. They're going to execute Master Luke and if we're not careful us too!,Return of the Jedi
287,THREEPIO,Hmm.  I wish I had your confidence.,Return of the Jedi
292,THREEPIO,Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy the great Jabba the Hutt will now listen to your pleas.,Return of the Jedi
295,HAN,Threepio you tell that slimy piece of... worm-ridden filth he'll get no such pleasure from us. Right?,Return of the Jedi
297,LUKE,Jabba! This is your last chance. Free us or die.,Return of the Jedi
315,LUKE,Easy Chewie.,Return of the Jedi
317,LANDO,Whoa! Whoa! Help!,Return of the Jedi
323,HAN,Chewie you okay? Where is he?,Return of the Jedi
325,HAN,I'm okay pal.,Return of the Jedi
328,LANDO,Han! Chewie?,Return of the Jedi
329,HAN,Lando!,Return of the Jedi
334,HAN,Boba Fett?! Boba Fett?! Where?,Return of the Jedi
341,HAN,Lando grab it!,Return of the Jedi
342,LANDO,Lower it!,Return of the Jedi
343,HAN,I'm trying!,Return of the Jedi
345,HAN,Whoa! Whoa! Grab me Chewie! I'm slipping.,Return of the Jedi
347,HAN,Grab it! L--Lando. Grab!,Return of the Jedi
350,HAN,Grab it! Almost... You almost got it!,Return of the Jedi
352,LANDO,Hold it! Whoa!,Return of the Jedi
354,HAN,Gently now. All... all right. Now easy easy. Hold me Chewie.,Return of the Jedi
356,HAN,Chewie! Chewie give me the gun. Don't move Lando.,Return of the Jedi
357,LANDO,No wait! I thought you were blind!,Return of the Jedi
358,HAN,It's all right. Trust me. Don't move.,Return of the Jedi
359,LANDO,All right! A little higher! Just a little higher!,Return of the Jedi
361,HAN,Chewie Pull us up! Come on! Okay... up Chewie up!,Return of the Jedi
366,LEIA,Come on. We gotta get out of here quick.,Return of the Jedi
368,THREEPIO,Not my eyes! Artoo help! Quickly Artoo. Oh! Ohhh! You beast!,Return of the Jedi
374,LUKE,Point it at the deck!,Return of the Jedi
377,THREEPIO,Artoo where are we going? I couldn't possibly jump.,Return of the Jedi
380,LUKE,Come on!,Return of the Jedi
384,LUKE,Let's go! And don't forget the droids.,Return of the Jedi
385,LANDO,We're on our way.,Return of the Jedi
394,HAN,I don't know. All I can see is a lot of blowing sand!,Return of the Jedi
395,LEIA,That's all any of us can see.,Return of the Jedi
400,HAN,No I'm thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasn't just sleepin'. It was a big wide awake nothing!,Return of the Jedi
403,HAN,Why don't you leave that crate and come with us?,Return of the Jedi
404,LUKE,I have a promise I have to keep first... to an old friend.,Return of the Jedi
407,LANDO,Figured if I left you frozen like that you'd just give me bad luck the rest of my life so I might as well get you unfrozen sooner or later.,Return of the Jedi
408,LEIA,"He means ""You're welcome.""",Return of the Jedi
409,LANDO,Come on let's get off this miserable dust ball.,Return of the Jedi
414,LUKE,I'll meet you back at the fleet.,Return of the Jedi
416,LUKE,I will.,Return of the Jedi
419,LUKE,That's right Artoo. We're going to the Dagobah system. I have a promise to keep... to an old friend.,Return of the Jedi
430,VADER,The Death Star will be completed on schedule.,Return of the Jedi
431,EMPEROR,You have done well Lord Vader. And now I sense you wish to continue your search for young Skywalker.,Return of the Jedi
432,VADER,Yes my Master.,Return of the Jedi
433,EMPEROR,Patience my friend. In time he will seek you out. And when he does you must bring himbefore me. He has grown strong. Only together can we turn him to the dark side of theForce.,Return of the Jedi
434,VADER,As you wish.,Return of the Jedi
435,EMPEROR,Everything is proceeding as I have foreseen.,Return of the Jedi
441,YODA,Hmm. That face you make. Look I so old to young eyes?,Return of the Jedi
443,LUKE,No... of course not.,Return of the Jedi
446,YODA,Soon will I rest. Yes forever sleep. Earned it I have.,Return of the Jedi
448,LUKE,Master Yoda you can't die.,Return of the Jedi
449,YODA,Strong am I with the Force... but not that strong! Twilight is upon me and soon night must fall. That is the way of things... the way of the Force.,Return of the Jedi
