,10,Script,test,Characters,Dialogue,test_2,Movie
4386,,ANAKIN: I swear to you I didn't ask to be put on the Council . . .NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I swear to you I didn't ask to be put on the Council . . .,True,Revenge of the Sith
4387,,OBI-WAN: But it's what you wanted! Your friendship with Chancellor Palpatine seems to have paid off.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, But it's what you wanted! Your friendship with Chancellor Palpatine seems to have paid off.,True,Revenge of the Sith
4388,,ANAKIN: That has nothing to do with this.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, That has nothing to do with this.,True,Revenge of the Sith
4389,,OBI-WAN: Anakin regardless of how it happened you find yourself in a delicate situation.NoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Anakin regardless of how it happened you find yourself in a delicate situation.,True,Revenge of the Sith
4390,,ANAKIN: You mean divided loyalties.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, You mean divided loyalties.,True,Revenge of the Sith
4391,,OBI-WAN: I warned you there was tension between the Council and the Chancellor. I was very clear. Why didn't you listen? You walked right into it.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, I warned you there was tension between the Council and the Chancellor. I was very clear. Why didn't you listen? You walked right into it.,True,Revenge of the Sith
4392,,ANAKIN: The Council is upset I'm the youngest to ever serve.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, The Council is upset I'm the youngest to ever serve.,True,Revenge of the Sith
4393,,OBI-WAN: No it is not. Anakin I worry when you speak of jealousy and pride. Those are not Jedi thoughts. They're dangerous dark thoughts.NoneNoneNoneNoneNoneNone,True,OBI-WAN, No it is not. Anakin I worry when you speak of jealousy and pride. Those are not Jedi thoughts. They're dangerous dark thoughts.,True,Revenge of the Sith
4394,,ANAKIN: Master you of all people should have confidence in my abilities. I know where my loyalties lie.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Master you of all people should have confidence in my abilities. I know where my loyalties lie.,True,Revenge of the Sith
4395,,OBI-WAN: I hope so . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, I hope so . . .,True,Revenge of the Sith
4396,,ANAKIN: I sense there's more to this talk than you're saying.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I sense there's more to this talk than you're saying.,True,Revenge of the Sith
4397,,OBI-WAN: Anakin the only reason the Council has approved your appointment is because the Chancellor trusts you.NoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Anakin the only reason the Council has approved your appointment is because the Chancellor trusts you.,True,Revenge of the Sith
4398,,ANAKIN: And?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, And?,True,Revenge of the Sith
4399,,OBI-WAN: Anakin look I am on your side. I didn't want to see you put in this situation.NoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Anakin look I am on your side. I didn't want to see you put in this situation.,True,Revenge of the Sith
4400,,ANAKIN: What situation?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, What situation?,True,Revenge of the Sith
4401,,OBI-WAN: (takes a deep breath) The Council wants you to report on all of the Chancellor's dealings. They want to know what he's up to.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN,  The Council wants you to report on all of the Chancellor's dealings. They want to know what he's up to.,True,Revenge of the Sith
4402,,ANAKIN: They want me to spy on the Chancellor? That's treason!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, They want me to spy on the Chancellor? That's treason!,True,Revenge of the Sith
4403,,OBI-WAN: We are at war Anakin. The Jedi Council is sworn to uphold the principles of the Republic even if the Chancellor does not.NoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, We are at war Anakin. The Jedi Council is sworn to uphold the principles of the Republic even if the Chancellor does not.,True,Revenge of the Sith
4404,,ANAKIN: Why didn't the Council give me this assignment when we were in session?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Why didn't the Council give me this assignment when we were in session?,True,Revenge of the Sith
4405,,OBI-WAN: This assignment is not to be on record. The Council asked me to approach you on this personally.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, This assignment is not to be on record. The Council asked me to approach you on this personally.,True,Revenge of the Sith
4406,,ANAKIN: The Chancellor is not a bad man Obi-Wan. He befriended me. He's watched out for me ever since I arrived here.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, The Chancellor is not a bad man Obi-Wan. He befriended me. He's watched out for me ever since I arrived here.,True,Revenge of the Sith
4407,,OBI-WAN: That is why you must help us Anakin. Our allegiance is to the Senate not to its leader who has managed to stay in office long after his term has expired.NoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, That is why you must help us Anakin. Our allegiance is to the Senate not to its leader who has managed to stay in office long after his term has expired.,True,Revenge of the Sith
4408,,ANAKIN: Master the Senate demanded that he stay longer.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Master the Senate demanded that he stay longer.,True,Revenge of the Sith
4409,,OBI-WAN: Yes but use your feelings Anakin. Something is out of place.NoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Yes but use your feelings Anakin. Something is out of place.,True,Revenge of the Sith
4410,,ANAKIN: You're asking me to do something against the Jedi Code. Against the Republic. Against a mentor . . . and a friend. That's what's out of place here. Why are you asking this of me?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, You're asking me to do something against the Jedi Code. Against the Republic. Against a mentor . . . and a friend. That's what's out of place here. Why are you asking this of me?,True,Revenge of the Sith
4411,,OBI-WAN: The Council is asking you.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, The Council is asking you.,True,Revenge of the Sith
4416,,OBI-WAN : Anakin did not take to his assignment with much enthusiasm.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Anakin did not take to his assignment with much enthusiasm.,True,Revenge of the Sith
4417,,YODA: Too much under the sway of the Chancellor he is. Much anger there is in him. Too much pride in his powers.NoneNoneNoneNoneNoneNoneNoneNone,True,YODA, Too much under the sway of the Chancellor he is. Much anger there is in him. Too much pride in his powers.,True,Revenge of the Sith
4418,,MACE: It's very dangerous putting them together. I don't think the boy can handle it. I don't trust him.NoneNoneNoneNoneNoneNoneNoneNone,True,MACE, It's very dangerous putting them together. I don't think the boy can handle it. I don't trust him.,True,Revenge of the Sith
4419,,OBI-WAN: He'll be all right. I trust him with my life.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, He'll be all right. I trust him with my life.,True,Revenge of the Sith
4420,,MACE:I wish I did.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE,I wish I did.,True,Revenge of the Sith
4421,,OBI-WAN: With all due respect Master is he not the Chosen One? Is he not to destroy the Sith and bring balance to the Force?NoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, With all due respect Master is he not the Chosen One? Is he not to destroy the Sith and bring balance to the Force?,True,Revenge of the Sith
4422,,MACE: So the prophecy says.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE, So the prophecy says.,True,Revenge of the Sith
4423,,YODA: A prophecy . . . that misread could have been.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,YODA, A prophecy . . . that misread could have been.,True,Revenge of the Sith
4424,,OBI-WAN: He will not let me down. He never has.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, He will not let me down. He never has.,True,Revenge of the Sith
4425,,YODA: I hope right you are. And now destroy the Droid armies on Kashyyyk I will. May the Force be with you.NoneNoneNoneNoneNoneNoneNoneNone,True,YODA, I hope right you are. And now destroy the Droid armies on Kashyyyk I will. May the Force be with you.,True,Revenge of the Sith
4429,,PADME: Thank you Captain.NoneNoneNoneNoneNoneNoneNoneNone,True,PADME, Thank you Captain.,True,Revenge of the Sith
4430,,CAPTAIN TYPHO: Rest well. My Lady.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,CAPTAIN TYPHO, Rest well. My Lady.,True,Revenge of the Sith
4432,,PADME: I'll be up in a while.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, I'll be up in a while.,True,Revenge of the Sith
4433,,MOTEE: Yes my lady.NoneNoneNoneNoneNoneNoneNoneNone,True,MOTEE, Yes my lady.,True,Revenge of the Sith
4435,,C-3PO: Is there anything I might do for you my lady?NoneNoneNoneNoneNoneNoneNoneNone,True,C-3PO, Is there anything I might do for you my lady?,True,Revenge of the Sith
4436,,PADME: Yes make sure all the security droids are working. Thank you Threepio.NoneNoneNoneNoneNoneNoneNone,True,PADME, Yes make sure all the security droids are working. Thank you Threepio.,True,Revenge of the Sith
4439,,ANAKIN: Beautiful isn't it?NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Beautiful isn't it?,True,Revenge of the Sith
4441,,PADME: You startled me.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, You startled me.,True,Revenge of the Sith
4443,,ANAKIN: How are you feeling?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, How are you feeling?,True,Revenge of the Sith
4444,,PADME: He keeps kicking.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, He keeps kicking.,True,Revenge of the Sith
4445,,ANAKIN: He?! Why do you think it's a boy?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, He?! Why do you think it's a boy?,True,Revenge of the Sith
4446,,PADME: (laughs) My motherly intuition.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME,  My motherly intuition.,True,Revenge of the Sith
4448,,ANAKIN: Whoa! With a kick that strong it's got to be a girl.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Whoa! With a kick that strong it's got to be a girl.,True,Revenge of the Sith
4450,,PADME: I heard about your appointment. Anakin. I'm so proud of you.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, I heard about your appointment. Anakin. I'm so proud of you.,True,Revenge of the Sith
4451,,ANAKIN: I may be on the Council but . . . they refused to accept me as a Jedi Master.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I may be on the Council but . . . they refused to accept me as a Jedi Master.,True,Revenge of the Sith
4452,,PADME: Patience. In time they will recognize your skills.NoneNoneNoneNoneNoneNoneNoneNone,True,PADME, Patience. In time they will recognize your skills.,True,Revenge of the Sith
4453,,ANAKIN: They still treat me as if I were a Padawan learner. . . they fear my power that's the problem.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, They still treat me as if I were a Padawan learner. . . they fear my power that's the problem.,True,Revenge of the Sith
4454,,PADME: Anakin . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, Anakin . . .,True,Revenge of the Sith
4455,,ANAKIN: Sometimes I wonder what's happening to the Jedi Order . . . I think this war is destroying the principles of the Republic.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Sometimes I wonder what's happening to the Jedi Order . . . I think this war is destroying the principles of the Republic.,True,Revenge of the Sith
4456,,PADME: Have you ever considered that we may be on the wrong side?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, Have you ever considered that we may be on the wrong side?,True,Revenge of the Sith
4457,,ANAKIN: (suspicious) What do you mean?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN,  What do you mean?,True,Revenge of the Sith
