,10,Script,test,Characters,Dialogue,test_2,Movie
4458,,PADME: What if the democracy we thought we were serving no longer exists and the Republic has become the very evil we have been fighting to destroy?NoneNoneNoneNoneNoneNoneNoneNone,True,PADME, What if the democracy we thought we were serving no longer exists and the Republic has become the very evil we have been fighting to destroy?,True,Revenge of the Sith
4459,,ANAKIN: I don't believe that. And you're sounding like a Separatist!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I don't believe that. And you're sounding like a Separatist!,True,Revenge of the Sith
4460,,PADME: Anakin this war represents a failure to listen . . . Now you're closer to the Chancellor than anyone. Please please ask him to stop the fighting and let diplomacy resume.NoneNoneNoneNoneNoneNone,True,PADME, Anakin this war represents a failure to listen . . . Now you're closer to the Chancellor than anyone. Please please ask him to stop the fighting and let diplomacy resume.,True,Revenge of the Sith
4461,,ANAKIN: (growing angry) Don't ask me to do that Padme. Make a motion in the Senate where that kind of a request belongs. I'm not your errand boy. I'm not anyone's errand boy!NoneNoneNoneNoneNoneNoneNone,True,ANAKIN,  Don't ask me to do that Padme. Make a motion in the Senate where that kind of a request belongs. I'm not your errand boy. I'm not anyone's errand boy!,True,Revenge of the Sith
4462,,PADME: What is it?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, What is it?,True,Revenge of the Sith
4463,,ANAKIN: Nothing.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Nothing.,True,Revenge of the Sith
4464,,PADME: Don't do this . . . don't shut me out. Let me help you.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, Don't do this . . . don't shut me out. Let me help you.,True,Revenge of the Sith
4465,,ANAKIN: You can't help me . . . I'm trying to help you.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, You can't help me . . . I'm trying to help you.,True,Revenge of the Sith
4467,,ANAKIN: (continuing) I sense . . . there are things you are not telling me.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN,  I sense . . . there are things you are not telling me.,True,Revenge of the Sith
4469,,PADME: I sense there are things you are not telling me.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, I sense there are things you are not telling me.,True,Revenge of the Sith
4471,,PADME: (continuing) Hold me . . . like you did by the lake on Naboo so long ago . . . when there was nothing but our love ... No politics no plotting ... no war.NoneNoneNoneNoneNoneNoneNone,True,PADME,  Hold me . . . like you did by the lake on Naboo so long ago . . . when there was nothing but our love ... No politics no plotting ... no war.,True,Revenge of the Sith
4474,,ANAKIN: You wanted to see me Chancellor.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, You wanted to see me Chancellor.,True,Revenge of the Sith
4475,,PALPATINE: Yes Anakin! Come closer. I have good news. Our Clone Intelligence Units have discovered the location of General Grievous. He is hiding in the Utapau system.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Yes Anakin! Come closer. I have good news. Our Clone Intelligence Units have discovered the location of General Grievous. He is hiding in the Utapau system.,True,Revenge of the Sith
4476,,ANAKIN: At last we'll be able to capture that monster and end this war.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, At last we'll be able to capture that monster and end this war.,True,Revenge of the Sith
4477,,PALPATINE: I would worry about the collective wisdom of the Council if they didn't select you for this assignment. You are the best choice by far  but they can't always be trusted to do the right thing.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, I would worry about the collective wisdom of the Council if they didn't select you for this assignment. You are the best choice by far  but they can't always be trusted to do the right thing.,True,Revenge of the Sith
