,Characters,Script,Test,Movie
156,ANAKIN,"  Cha skrundee da pat sleemo. (Don't count on it
slime-ball.)",False,The Phantom Menace
157,ANAKIN,He said I cheated,False,The Phantom Menace
158,ANAKIN,Yes!,False,The Phantom Menace
159,ANAKIN," But it's what I want. What I've always dreamed about. Can I go
Mom?",False,The Phantom Menace
160,ANAKIN,But the money from selling..,False,The Phantom Menace
161,ANAKIN,I want to stay with you. I don't want things to change,False,The Phantom Menace
162,ANAKIN,I...  I... have to go.,False,The Phantom Menace
163,ANAKIN,Well,False,The Phantom Menace
164,ANAKIN,Will I ever see you again,False,The Phantom Menace
165,ANAKIN,Pleased to meet you. Wow! You're a Jedi too?,False,The Phantom Menace
166,ANAKIN,It's very cold.,False,The Phantom Menace
167,ANAKIN,You seem sad,False,The Phantom Menace
168,ANAKIN,I care for you too. Only I...miss...,False,The Phantom Menace
169,ANAKIN,Wow! It's so huge!,False,The Phantom Menace
170,ANAKIN,Don't look at me. I don't know what's going on.,False,The Phantom Menace
171,ANAKIN,I'm...I'm looking for the handmaiden Padme.,False,The Phantom Menace
172,ANAKIN,I'm going to the Jedi temple to start my training I hope.,False,The Phantom Menace
173,ANAKIN,Cold sir,False,The Phantom Menace
174,ANAKIN,All right. They're here!,False,The Phantom Menace
175,ANAKIN,Sure,False,The Phantom Menace
176,ANAKIN,Not if I can help it! Shields up!,False,The Phantom Menace
177,ANAKIN,What will happen to me now,False,The Phantom Menace
178,ANAKIN," An angel. I've heard the deep space pilots talk about them. They
live on the Moons of Iego I thimk. They are the most beautiful creatures in
the universe. They are good and kind and so pretty they make even the most
hardened spice pirate cry.",False,The Phantom Menace
179,ANAKIN," Since I was very little three I think. My Mom and I were sold to
Gardulla the Hutt but she lost us betting on the Podraces to Watto
who's a lot better master than Gardulla I think",False,The Phantom Menace
180,ANAKIN," Guess what? I've found that cooling unit I've been searching for.
It's pretty beat up but I'll have it fixed up for you in no time I
promise",False,The Phantom Menace
181,ANAKIN,You reall like him? He's a protocol droid...to help Mom. Watch!,False,The Phantom Menace
182,ANAKIN," When the storm is over you can see my racer. I'm building a
Podracer!",False,The Phantom Menace
183,ANAKIN,Well ahhh...you're a Jedi Knight aren't you,False,The Phantom Menace
184,ANAKIN,Is that a yes? That is a yes!,False,The Phantom Menace
185,ANAKIN,If your hand gets caught in that beam it will go numb for hours.,False,The Phantom Menace
186,ANAKIN,It will.,False,The Phantom Menace
187,ANAKIN,I've never seen..,False,The Phantom Menace
188,ANAKIN,What?!,False,The Phantom Menace
189,ANAKIN,Yipee!!,False,The Phantom Menace
190,ANAKIN," I'm sorry I wasn't able to finish you Threepio...give you
coverings and all... I'm going to miss working on you. You've been a great
pal. I'll make sure Mom doesn't sell you or anything. Bye.",False,The Phantom Menace
191,ANAKIN,And those control the pitch,False,The Phantom Menace
192,ANAKIN," I'm with Qui-Gon...but...they're not going to let me be a Jedi.
I'm too old",False,The Phantom Menace
193,ANAKIN,Anakin Skywalker,False,The Phantom Menace
194,ANAKIN,To a point.,False,The Phantom Menace
195,ANAKIN,Is it far,False,The Phantom Menace
196,ANAKIN,...and they blow you up...poof!,False,The Phantom Menace
197,ANAKIN,I can help! I can fix anything,False,The Phantom Menace
198,ANAKIN,Bayno Bayno!,False,The Phantom Menace
199,ANAKIN,Has anyone been to them all,False,The Phantom Menace
200,ANAKIN,Just feeling this good was worth it.,False,The Phantom Menace
201,ANAKIN,No,False,The Phantom Menace
202,ANAKIN,I won't forget.,False,The Phantom Menace
203,ANAKIN,I hope so...yes...I guess,False,The Phantom Menace
204,ANAKIN," I'm...I'm not sure what's going to happen to me. I dunno if I'll
ever see you again..  I made this for
you. Sou you'd remember me. I carved it out of a japor snippet... It will
bring you good fortune.",False,The Phantom Menace
205,ANAKIN,No sir,False,The Phantom Menace
206,ANAKIN,I miss her,False,The Phantom Menace
207,ANAKIN,I'll take four pallies today.  You'll like these...,False,The Phantom Menace
208,ANAKIN,I'm building a droid. You wanna see,False,The Phantom Menace
209,ANAKIN,I saw your laser sword. Only Jedi carry that kind of weapon.,False,The Phantom Menace
210,ANAKIN," A Jedi! Mighty blasters you mean I get to go with you in your
starship and everything?!",False,The Phantom Menace
211,ANAKIN,Do you think he'll follow us,False,The Phantom Menace
212,ANAKIN,Is it? I can help... Where are we going,False,The Phantom Menace
213,ANAKIN," You'll never reach the outskirts in time...sandstorms are very
very dangerous. Come with me. Hurry!",False,The Phantom Menace
214,ANAKIN,I think you have...why else would you be here?,False,The Phantom Menace
215,ANAKIN,I want to be the first one to see them all... Ouch!,False,The Phantom Menace
216,ANAKIN,Well...not exactly..,False,The Phantom Menace
217,ANAKIN," I.. will become a Jedi and I will come back and free you Mom...I
promise",False,The Phantom Menace
218,ANAKIN,I don't think so.,False,The Phantom Menace
219,ANAKIN,What's that got to do with anything,False,The Phantom Menace
220,ANAKIN,Master Qui-Gon sir I do not wish to be a problem,False,The Phantom Menace
221,ANAKIN,A sandstorm Mom. Listen.,False,The Phantom Menace
222,ANAKIN,What are we going to do about it?,False,The Phantom Menace
223,ANAKIN,I want to help...I'm glad you're back.,False,The Phantom Menace
224,ANAKIN,I love you so much.,False,The Phantom Menace
225,ANAKIN,I am not afraid,False,The Phantom Menace
