,Scripts,title,Character,negative,positive
118," Well knock it off, you're supposed to be my friend.",The One Where Eddie Won't Go,JOEY,0.0,0.0
119, I am your friend.,The One Where Eddie Won't Go,ROSS,0.0,0.0
120," Well then tell me things like, 'Joey you'll be fine,' and,"", ""'Hang in there,' and, and, 'Somethin' big's fonna come along, I know it.'",The One Where Eddie Won't Go, JOEY,0.0,0.16666666666666666
121, But I don't know it. What I do know is that you owe $2300 at Isn't it Chromantic.,The One Where Eddie Won't Go,ROSS,0.0,0.0
122," Hey Ross, I'm aware of what I owe.",The One Where Eddie Won't Go,JOEY,0.0,0.0
123," Ok, well then get some sense. I mean it took you what, 10 years to get that job, who', ""knows how long it's gonna be till you get another.",The One Where Eddie Won't Go,ROSS,0.0,0.3333333333333333
124," Look, I don't wanna hear this right now.",The One Where Eddie Won't Go,JOEY,0.0,0.0
125," Huh, I'm just saying...",The One Where Eddie Won't Go,ROSS,0.0,0.0
126, Well don't just say.,The One Where Eddie Won't Go,JOEY,0.0,0.0
127," Ya know, maybe, maybe I should just go.",The One Where Eddie Won't Go,ROSS,0.5,0.0
128, Ok.,The One Where Eddie Won't Go,JOEY,0.0,0.25
129," Ok. I'll see ya later. Just think about it, ok.",The One Where Eddie Won't Go,ROSS,0.0,0.0
130," I don't need to think about it. I was Dr. Drake Remoray. That was huge. Big things"", ""are gonna happen, you'll see. Ross, you still there?",The One Where Eddie Won't Go,JOEY,0.0,0.0
132, Hey pal.,The One Where Eddie Won't Go,EDDIE,0.0,0.0
133, Ahhhh-gaaaahhh. Eddie what're you still doin' here?,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
134," Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this', ""thing's fantastic!",The One Where Eddie Won't Go,EDDIE,0.0,0.4
135," Look Eddie, aren't you forgetting anything?",The One Where Eddie Won't Go,CHANDLER,1.0,0.0
136," Oh yeah, that's right, look I got us a new goldfish. He's a"", 'lot fiestier that the last one.",The One Where Eddie Won't Go, EDDIE,0.3333333333333333,0.0
137," Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there"", ""something else you're supposed to be doing right now?",The One Where Eddie Won't Go,CHANDLER,1.0,0.0
138," Well, not unless it's got something to do with dehydrating my man because right now"", ""I'm a dehydrating maniac!",The One Where Eddie Won't Go,EDDIE,0.0,0.0
139," Look you have to help me out here. I thought we had a deal. I thought by the', 'time...",The One Where Eddie Won't Go,CHANDLER,0.0,0.0
140," Ah-ah-ah, you know what that is?",The One Where Eddie Won't Go, EDDIE,0.0,0.0
141, Your last roommate's kidney?,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
142, That's a tomato. This one definitely goes in the display.,The One Where Eddie Won't Go,EDDIE,0.0,0.0
144," Hey Gunther, let me get a lemonade to go.",The One Where Eddie Won't Go,JOEY,0.0,0.0
145, Lemonade? You ok man?,The One Where Eddie Won't Go,GUNTHER,0.0,0.14285714285714285
146," Ah, it's career stuff. I don't know if you heard but they killed off my character on"", 'the show.",The One Where Eddie Won't Go,JOEY,0.0,0.0
147," Oh, that's too bad. How'd they do it?",The One Where Eddie Won't Go,GUNTHER,0.0,0.0
148, I fell down an elevator shaft.,The One Where Eddie Won't Go,JOEY,0.4,0.0
149, That sucks. I was buried in an avalanche.,The One Where Eddie Won't Go,GUNTHER,0.0,0.0
150, What?,The One Where Eddie Won't Go,JOEY,0.0,0.0
151, I used to be Bryce on All My Children.,The One Where Eddie Won't Go,GUNTHER,0.0,0.3333333333333333
154, Daaahhhh!,The One Where Eddie Won't Go, CHANDLER,0.0,0.0
155, Aaahhhhhhh! Aaahhhh!,The One Where Eddie Won't Go,MONICA,0.0,0.0
156," Why must everybody watch me sleep? There'll be no more watching me sleep, no"", 'more watching.",The One Where Eddie Won't Go,CHANDLER,0.0,0.0
157, I wa-,The One Where Eddie Won't Go,MONICA,1.0,0.0
158, Uuuh.,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
160," Hey man, check it out, I got some great stuff to dehydrate', 'here. I got some grapes, got some apricots, I thought it would be really cool to see what', 'happens with these water balloons.",The One Where Eddie Won't Go, EDDIE,0.0,0.4
161," Get out. Get out, get out, get out, get out, get out, get out.",The One Where Eddie Won't Go,CHANDLER,0.0,0.0
162, What?,The One Where Eddie Won't Go,EDDIE,0.14285714285714285,0.2857142857142857
163," You, move out. Take your fruit, your stupid small fruit', 'and GET OUT!",The One Where Eddie Won't Go, CHANDLER,0.0,0.0
164," You, you want, you want me to move out?",The One Where Eddie Won't Go,EDDIE,0.0,0.3333333333333333
165, Uh-huh.,The One Where Eddie Won't Go,CHANDLER,0.2,0.2
166," I uh, I gotta tell you man, I mean, that's uh, it's kinda out of the blue, I mean"", ""don't you think?",The One Where Eddie Won't Go,EDDIE,0.0,0.0
167," This is not out of the blue, this is smack dab in the middle of the blue.",The One Where Eddie Won't Go,CHANDLER,0.0,0.0
168," Ohhhh. Relax, take it easy buddy. Tell me twice, you want me to go? Alright,', ""alright, guess I'll be back for my stuff. walks out the door and after a pause comes back"", ""in But if you think for one second I'm leaving you alone with my fish, you're insane"", 'Jack!",The One Where Eddie Won't Go,EDDIE,0.0,0.0
169, You want some help.,The One Where Eddie Won't Go,CHANDLER,0.0,0.25
170," No help required Chico. reaches into the tank and grabs the fish and puts it in', 'his pocket",The One Where Eddie Won't Go,EDDIE,0.0,0.0
172," All the way to the airport huh? You know that's over 30 miles, that's gonna cost"", 'you about so bucks.",The One Where Eddie Won't Go,JOEY,0.0,0.0
173," Excuse me, that's 50 bucks.",The One Where Eddie Won't Go,CASTING GUY,0.0,0.0
174, What?,The One Where Eddie Won't Go,JOEY,0.0,0.0
175, Five oh dollars.,The One Where Eddie Won't Go,CASTING GUY,0.125,0.125
176," Ohh, you know what it is? It's smudgy 'cause they're fax pages. Now when I was on Days"", ""of Our Lives as Dr. Drake Remoray, they'd send over the whole script on real paper and"", 'everything. ",The One Where Eddie Won't Go,JOEY,0.0,0.0
177, That's great.,The One Where Eddie Won't Go,CASTING GUY,0.0,0.0
178," And, and just so you know, if you wanted to expand this scene', ""like, like have the cab crash or somethin', I could attend to the victims 'cause I have a"", 'background in medical acting.",The One Where Eddie Won't Go, JOEY,0.0,0.0
179," Ok, listen, thanks for coming in.",The One Where Eddie Won't Go, CASTING GUY,0.0,0.0
180," No no, uh, don't thank me for comin' in. Uh, at least let me finish. Uh, we could"", ""take the expressway but uh, this time of day you're better off taking the budge. You"", ""were goin' for the word bridge there weren't ya. I'll have a good day. gets up and"", 'leaves",The One Where Eddie Won't Go,JOEY,0.0,0.0
182," Ok, question number 28, have you ever allowed a lighning', 'bearer to take your wind? I would have to say no.",The One Where Eddie Won't Go, PHOEBE,0.3333333333333333,0.0
183, And I would have to say pah-huh.,The One Where Eddie Won't Go,MONICA,0.0,0.5
184, What?,The One Where Eddie Won't Go,PHOEBE,0.0,1.0
185, Do you not remember the puppet guy?,The One Where Eddie Won't Go,MONICA,0.0,0.0
186, Yeah you like totally let him wash his feet in the pool of your inner power.,The One Where Eddie Won't Go,RACHEL,0.0,0.125
187, And his puppet too.,The One Where Eddie Won't Go,MONICA,0.0,0.0
188," Yeah ok, well at least I didn't let some guy into the forest"", 'of my righteous truth on the first date.",The One Where Eddie Won't Go, PHOEBE,0.16666666666666666,0.3333333333333333
189, Who?,The One Where Eddie Won't Go,MONICA,0.0,0.0
190, Paul.,The One Where Eddie Won't Go,PHOEBE,0.0,0.0
191, Oh.,The One Where Eddie Won't Go,MONICA,0.0,0.0
192," Ok, ok, ok, moving on, moving on, next question. Ok number', '29, have you ever betrayed another goddess for a lightning bearer? Ok, number 30.",The One Where Eddie Won't Go, RACHEL,0.0,1.0
193," Woah, woah, woah, let's go back to 29.",The One Where Eddie Won't Go,MONICA,0.0,0.0
194," Not uh, not to my recollection.",The One Where Eddie Won't Go,RACHEL,0.0,0.0
195," Huuh, alright, Danny Arshak, ninth grade. Oh, c'mon Rach, you know the bottle was"", 'totally pointing at me.",The One Where Eddie Won't Go,MONICA,0.0,0.0
196, Only 'cause you took up half the circle.,The One Where Eddie Won't Go,RACHEL,0.0,0.0
197," Listen to you two. It's so sad. Looks like I'm gonna be"", 'going to the goddess meetings alone.",The One Where Eddie Won't Go, PHOEBE,0.6666666666666666,0.0
198," Well not when they find out you slept with Jason Hurley an hour after he broke up', 'with Monica.",The One Where Eddie Won't Go,RACHEL,0.0,0.0
199, One hour? You are such a leaf blower.,The One Where Eddie Won't Go,MONICA,0.0,0.0
202," Oh hey uh, be careful with that 3-D last supper, Judas is a little loose.",The One Where Eddie Won't Go,JOEY,0.3333333333333333,0.0
203," enters Oh my God, what's goin' on?",The One Where Eddie Won't Go,ROSS,0.0,0.0
204, They're takin all my stuff back. I guess you were right.,The One Where Eddie Won't Go,JOEY,0.0,0.6666666666666666
205," No look I wasn''t right, that's what I came here to tell you."", ""I was totally hung up on, on my own stuff. Listen, I'm someone who needs the whole"", 'security thing, ya know. To know exactly where my next paycheck is coming from buy you,', ""you don't need that and that's amazing to me. I could never do what you do Joey.",The One Where Eddie Won't Go, ROSS,0.0,0.0
206, Thanks Ross.,The One Where Eddie Won't Go,JOEY,0.0,0.0
207," Yeah. And you should hold out for something bigger. I can't tell you how much"", 'respect I have for you not going to that stupid cab driver audition.",The One Where Eddie Won't Go,ROSS,0.0,0.0
208, I went.,The One Where Eddie Won't Go,JOEY,0.0,0.5
209," Great, how did it go?",The One Where Eddie Won't Go,ROSS,0.0,0.0
210, I didn't get it.,The One Where Eddie Won't Go,JOEY,0.0,0.0
211, Good for you.,The One Where Eddie Won't Go,ROSS,0.0,0.0
212, What?,The One Where Eddie Won't Go,JOEY,0.3333333333333333,0.3333333333333333
213, You're livin' the dream.,The One Where Eddie Won't Go,ROSS,0.0,0.0
214, Huh?,The One Where Eddie Won't Go,JOEY,0.0,0.0
215, All right then.,The One Where Eddie Won't Go,ROSS,0.25,0.5
216," movers removing a glass parrot Oh, not my parrot.",The One Where Eddie Won't Go,JOEY,0.0,1.0
217, What?,The One Where Eddie Won't Go,ROSS,0.0,1.0
218, I can't watch this.,The One Where Eddie Won't Go,JOEY,0.0,1.0
219," approaching the mover holding the parrot Hey hold on, hold on. How much for the', 'uh, how much to save the bird?",The One Where Eddie Won't Go,ROSS,0.0,0.0
220, 1200.,The One Where Eddie Won't Go,MOVER,0.0,0.0
221, Dollars? You spent $1200 dollars on a plastic bird?,The One Where Eddie Won't Go, ROSS,0.0,0.0
222," Uhhh, I was an impulse buyer, near the register.",The One Where Eddie Won't Go,JOEY,0.0,0.0
223," Go ahead, go ahead with the bird. Ok, do you have anything for around 200?",The One Where Eddie Won't Go,ROSS,0.08333333333333333,0.16666666666666666
224," Uh, the dog. points to a big poecelain greyhound",The One Where Eddie Won't Go,MOVER,0.0,0.0
225, Huh.,The One Where Eddie Won't Go,ROSS,0.0,0.0
226, Yeah.,The One Where Eddie Won't Go,MOVER,0.08333333333333333,0.0
227, I'll take it. My gift to you man.,The One Where Eddie Won't Go,ROSS,0.0,0.0
228, Thanks Ross. I really like that bird though...I'll take the dog though.,The One Where Eddie Won't Go,JOEY,0.0,0.0
230, Here are your cakes.,The One Where Eddie Won't Go,RACHEL,0.0,0.0
231, We didn't order cake.,The One Where Eddie Won't Go,MONICA,0.0,0.0
232," No, I know, they're from me. Look you guys this is not good. I mean we have enough"", 'trouble with guys stealing our wind without taking it from each other.",The One Where Eddie Won't Go,RACHEL,0.0,0.0
233, You're right.,The One Where Eddie Won't Go,MONICA,0.0,0.0
234, You know.,The One Where Eddie Won't Go,RACHEL,0.0,0.0
235, I love you goddesses. I don't ever want to suck your wind again.,The One Where Eddie Won't Go,PHOEBE,0.0,1.0
236, Thank you. So are we good?,The One Where Eddie Won't Go,RACHEL,0.0,0.3333333333333333
237, We're good.,The One Where Eddie Won't Go,MONICA,0.0,0.5
238, We're good?,The One Where Eddie Won't Go,RACHEL,0.0,0.0
239, Yeah.,The One Where Eddie Won't Go,PHOEBE,0.0,0.0
240," Ok, let me take these cakes back 'cause they're gonna take"", 'that out of my paycheck.",The One Where Eddie Won't Go, RACHEL,0.0,0.0
241," enters Ding dong, the psycho's gone.",The One Where Eddie Won't Go, CHANDLER,0.0,0.0
242, Are you sure this time?,The One Where Eddie Won't Go,MONICA,0.0,0.0
243," Yes, yes I actually saw him leave. I mean that guy is', 'standing in the window holding a human head. He is STANDING IN THE WINDOW HOLDING A HUMAN', 'HEAD!",The One Where Eddie Won't Go, CHANDLER,0.0,0.0
244," enters Check it out man, I tore it off some mannaquin in', ""the alley behind Macy's.",The One Where Eddie Won't Go, EDDIE,0.0,0.0
245, There is no alley behind Macy's.,The One Where Eddie Won't Go,MONICA,0.0,0.0
