,Season,Character,lines
619,5,the security guard,7
620,5,the smoking woman,7
621,5,guy,6
622,5,joey's doctor,6
623,5,stage director,6
624,5,stanley,6
625,5,the lurker,6
626,5,the salesman,6
627,5,elizabeth,5
628,5,jen,5
629,5,man,5
630,5,nurse,5
631,5,woman no. 2,5
632,5,cynthia,4
633,5,dave,4
634,5,kara,4
635,5,teleplay by,4
636,5,the flight attendant,4
637,5,the man,4
638,5,the saleswoman,4
639,5,alice,3
640,5,ben,3
641,5,bob,3
642,5,chandler and monica,3
643,5,dream joey,3
644,5,dream monica,3
645,5,estelle,3
646,5,hotel clerk,3
647,5,joey and ross,3
648,5,the croupier,3
649,5,the hot girl,3
650,5,the woman dealer,3
651,5,tom,3
652,5,woman no. 1,3
653,5,blackjack dealer,2
654,5,chandler and joey,2
655,5,dr. ledbetter,2
656,5,dr. oberman,2
657,5,drunken gambler,2
658,5,gary collins,2
659,5,gary's radio,2
660,5,gate agent,2
661,5,kyle,2
662,5,male nurse,2
663,5,pbs volunteer,2
664,5,ross and joey,2
665,5,the grip,2
666,5,the old man,2
667,5,[suddenly the door opens and ross's mystery girl enters. i'll give you a hint to who it is,1
668,5,a casino boss,1
669,5,a drunken gambler,1
670,5,a female student,1
671,5,a tourist,1
672,5,answering machine,1
673,5,both,1
674,5,chandler and phoebe,1
675,5,chandler and rachel,1
676,5,danny's sister,1
677,5,delivery girl,1
678,5,delivery room nurse,1
679,5,elizabeth hornswoggle,1
680,5,emeril,1
681,5,french phoebe,1
682,5,guest #1,1
683,5,guest #2,1
684,5,guest #3,1
685,5,health inspector,1
686,5,jay leno,1
687,5,joey and rachel,1
688,5,monica and ross,1
689,5,mrs. bing,1
690,5,part i written by,1
691,5,party guests,1
692,5,past life phoebe,1
693,5,phoebe and gary,1
694,5,phoebe and joey,1
695,5,phoebe and rachel,1
696,5,raymond,1
697,5,ross and chandler,1
698,5,ross and rachel,1
699,5,story by,1
700,5,the attendant,1
701,5,the guys,1
702,5,the housekeeper,1
703,5,the husband,1
704,5,the little girl,1
