Name,Opening,Rank,Studio,Total Gross,Years
Why Do Fools Fall in Love?,"$3,946,382",115,WB,"$12,461,773",2017
Barney's Great Adventure,"$2,203,865",116,Poly,"$12,218,638",2017
I'll Be Home for Christmas,"$3,898,293",117,BV,"$12,214,338",2017
Holy Man,"$5,106,919",118,BV,"$12,069,719",2017
Sliding Doors,"$834,817",119,Mira.,"$11,841,544",2017
Deep Rising,"$4,737,793",120,BV,"$11,203,026",2017
Fear and Loathing in Las Vegas,"$3,338,590",121,Uni.,"$10,680,275",2017
Home Fries,"$3,784,023",122,WB,"$10,459,961",2017
The Newton Boys,"$4,010,245",123,Fox,"$10,452,012",2017
Knock Off,"$5,516,231",124,Sony,"$10,319,915",2017
I Got the Hook-Up!,"$3,310,349",125,Mira.,"$10,317,779",2017
Air Bud: Golden Receiver,"$2,603,726",126,Mira.,"$10,224,116",2017
Dirty Work,"$3,634,236",127,MGM,"$10,023,282",2017
Very Bad Things,"$3,245,853",128,Poly,"$9,898,412",2017
Belly,"$3,454,776",129,Art.,"$9,639,390",2017
Wrongfully Accused,"$3,504,630",130,WB,"$9,623,329",2017
The Spanish Prisoner,"$124,011",131,SPC,"$9,584,314",2017
The Red Violin,"$47,415",132,Lions,"$9,495,408",2017
Ringmaster,"$3,344,022",133,Art.,"$9,257,103",2017
Apt Pupil,"$3,583,151",134,Sony,"$8,863,193",2017
Return to Paradise,"$2,465,129",135,Poly,"$8,341,087",2017
Firestorm,"$3,849,308",136,Fox,"$8,165,212",2017
My Giant,"$3,117,795",137,Sony,"$8,072,007",2017
Woo,"$2,517,263",138,NL,"$8,064,972",2017
Krippendorf's Tribe,"$3,316,377",139,BV,"$7,571,115",2017
Star Kid,"$2,958,768",140,Trim.,"$7,029,025",2017
BASEketball,"$3,086,105",141,Uni.,"$7,027,290",2017
Caught Up,"$2,422,631",142,Live,"$6,754,958",2017
Gone with the Wind (Re-issue) (1998),"$1,192,593",143,NL,"$6,750,112",2017
Smoke Signals,"$43,574",144,Mira.,"$6,745,362",2017
American History X,"$156,076",145,NL,"$6,719,864",2017
Gods and Monsters,"$75,508",146,Lions,"$6,451,628",2017
Affliction,"$63,979",147,Lions,"$6,330,054",2017
Almost Heroes,"$2,837,928",148,WB,"$6,136,856",2017
Les Boys 2,"$302,822",149,Lions,"$5,974,732",2017
The Opposite of Sex,"$102,385",150,SPC,"$5,881,367",2017
Palmetto,"$2,876,753",151,Sony,"$5,878,911",2017
Down in the Delta,"$1,080,775",152,Mira.,"$5,672,903",2017
Phantoms,"$3,065,951",153,Mira.,"$5,624,282",2017
Central Station,"$35,708",154,SPC,"$5,596,708",2017
Slums of Beverly Hills,"$125,561",155,FoxS,"$5,502,773",2017
Ride,"$2,513,334",156,Mira.,"$5,485,295",2017
Celebrity,"$1,588,013",157,Mira.,"$5,078,660",2017
Hilary and Jackie,"$92,956",158,Oct.,"$4,912,892",2017
Your Friends and Neighbors,"$340,288",159,Gram.,"$4,714,658",2017
Little Voice,"$93,722",160,Mira.,"$4,611,784",2017
Dangerous Beauty,"$105,989",161,WB,"$4,553,271",2017
Meet the Deedles,"$2,006,751",162,BV,"$4,356,216",2017
Kissing a Fool,"$2,308,145",163,Uni.,"$4,106,588",2017
The Governess,"$57,799",164,Mira.,"$3,719,509",2017
Major League: Back to the Minors,"$2,087,011",165,WB,"$3,572,443",2017
"Next Stop, Wonderland","$123,055",166,Mira.,"$3,395,581",2017
Mrs. Dalloway,"$90,127",167,First,"$3,309,421",2017
Pi,"$31,069",168,Art.,"$3,221,152",2017
The Last Days of Disco,"$277,601",169,Gram.,"$3,020,601",2017
Happiness,"$130,303",170,Good,"$2,807,390",2017
Freeriders,"$264,548",171,WM,"$2,750,064",2017
The Mighty,"$87,705",172,Mira.,"$2,652,246",2017
Love and Death on Long Island,"$78,151",173,Lions,"$2,581,012",2017
Buffalo '66,"$39,555",174,Lions,"$2,375,097",2017
Mark Twain's America in 3-D (IMAX),"$5,346",175,SPC,"$2,297,096",2017
Dancing at Lughnasa,"$83,759",176,SPC,"$2,287,818",2017
Hav Plenty,"$1,102,036",177,Mira.,"$2,284,034",2017
Pecker,"$541,646",178,FL,"$2,281,761",2017
Touch of Evil (re-issue),"$70,725",179,Oct.,"$2,247,465",2017
The Impostors,"$308,767",180,FoxS,"$2,198,044",2017
Chinese Box,"$97,916",181,Trim.,"$2,178,160",2017
Tarzan and the Lost City,"$1,110,564",182,WB,"$2,172,941",2017
Wilde,"$69,424",183,SPC,"$2,158,775",2017
Zero Effect,"$434,840",184,Sony,"$2,087,471",2017
Billy's Hollywood Screen Kiss,N/A,185,Trim.,"$2,070,399",2017
Two Girls and a Guy,"$649,423",186,FoxS,"$2,057,193",2017
The Butcher Boy,"$135,606",187,WB,"$1,995,911",2017
High Art,"$47,499",188,Oct.,"$1,960,216",2017
Oscar and Lucinda,"$83,461",189,FoxS,"$1,897,404",2017
Hurlyburly,"$164,826",190,FL,"$1,798,862",2017
Clay Pigeons,"$167,364",191,Gram.,"$1,794,086",2017
A Soldier's Daughter Never Cries,"$39,517",192,Oct.,"$1,782,005",2017
Suicide Kings,"$558,081",193,Art.,"$1,740,156",2017
Live Flesh,N/A,194,MGM,"$1,713,459",2017
The Gingerbread Man,"$118,278",195,Poly,"$1,677,131",2017
The Celebration,"$50,497",196,Oct.,"$1,656,223",2017
In God's Hands,"$555,342",197,Sony,"$1,546,414",2017
Henry Fool,"$40,939",198,SPC,"$1,338,335",2017
Cousin Bette,"$76,488",199,FoxS,"$1,295,194",2017
One Tough Cop,"$651,350",200,Strat.,"$1,223,034",2017
Tea with Mussolini,"$1,633,183",101,MGM,"$14,401,563",2017
The Messenger: The Story of Joan of Arc,"$6,360,968",102,Sony,"$14,276,317",2017
Virus,"$6,013,640",103,Uni.,"$14,036,005",2017
In Too Deep,"$4,220,297",104,Mira.,"$14,011,454",2017
The Deep End of the Ocean,"$5,558,400",105,Sony,"$13,898,649",2017
The Mod Squad,"$6,064,716",106,MGM,"$13,263,993",2017
Angela's Ashes,"$54,628",107,Par.,"$13,042,112",2017
The Omega Code,"$2,354,362",108,Prov.,"$12,614,346",2017
Black Mask,"$4,449,692",109,Art.,"$12,504,289",2017
Extreme (IMAX),"$90,089",110,Imax,"$12,475,172",2017
In Dreams,"$3,992,449",111,DW,"$12,017,369",2017
The King and I (1999),"$4,007,565",112,WB,"$11,993,021",2017
The Thirteenth Floor,"$3,322,416",113,Sony,"$11,916,661",2017
The Adventures of Elmo in Grouchland,"$3,255,033",114,Sony,"$11,683,047",2017
The Muse,"$3,926,825",115,USA,"$11,614,954",2017
Wing Commander,"$5,114,365",116,Fox,"$11,578,059",2017
Boys Don't Cry,"$73,720",117,FoxS,"$11,540,607",2017
Chill Factor,"$4,529,231",118,WB,"$11,263,966",2017
Cookie's Fortune,"$186,828",119,Oct.,"$10,920,544",2017
The End of the Affair,"$198,535",120,Sony,"$10,827,816",2017
Office Space,"$4,231,727",121,Fox,"$10,827,810",2017
The Astronaut's Wife,"$4,027,003",122,NL,"$10,672,566",2017
Universal Soldier: The Return,"$4,605,167",123,Sony,"$10,667,893",2017
Island of the Sharks (IMAX),"$46,608",124,Imax,"$10,658,505",2017
Drop Dead Gorgeous,"$3,986,269",125,NL,"$10,571,408",2017
Three to Tango,"$4,406,135",126,WB,"$10,570,375",2017
Bats,"$4,717,902",127,Dest.,"$10,155,690",2017
Brokedown Palace,"$3,871,616",128,Fox,"$10,115,013",2017
Dudley Do-Right,"$3,018,345",129,Uni.,"$9,974,410",2017
Trippin',"$2,527,909",130,Oct.,"$9,017,070",2017
Alien Adventure (IMAX),"$38,410",131,NWav,"$8,959,784",2017
Teaching Mrs. Tingle,"$3,326,870",132,Mira.,"$8,951,935",2017
"Mystery, Alaska","$3,102,191",133,BV,"$8,891,623",2017
Play It to the Bone,"$3,366",134,BV,"$8,434,146",2017
Pushing Tin,"$3,555,032",135,Fox,"$8,408,835",2017
Twin Dragons,"$2,829,990",136,Mira.,"$8,359,717",2017
The Love Letter,"$2,692,819",137,DW,"$8,302,478",2017
All About My Mother,"$50,362",138,SPC,"$8,272,296",2017
Outside Providence,"$2,631,411",139,Mira.,"$7,302,522",2017
Run Lola Run,"$123,643",140,SPC,"$7,267,585",2017
Encounter in the 3rd Dimension (IMAX),"$21,653",141,NWav,"$7,195,792",2017
Buena Vista Social Club,"$127,370",142,Art.,"$7,002,182",2017
200 Cigarettes,"$3,244,277",143,Par.,"$6,852,450",2017
Lost and Found (1999),"$3,024,709",144,WB,"$6,552,255",2017
Dick,"$2,210,267",145,Sony,"$6,262,878",2017
Topsy-Turvy,"$31,387",146,USA,"$6,208,548",2017
The Straight Story,"$92,312",147,BV,"$6,203,044",2017
Foolish,"$2,184,633",148,Art.,"$6,033,999",2017
Light it Up,"$2,408,613",149,Fox,"$5,985,690",2017
Siegfried & Roy: The Magic Box (IMAX),"$167,251",150,Imax,"$5,231,283",2017
Sunshine (1999),"$42,700",151,ParC,"$5,096,267",2017
Jakob the Liar,"$2,056,647",152,Sony,"$4,956,401",2017
Wolves (IMAX),"$48,513",153,Imax,"$4,811,282",2017
Mansfield Park,"$85,608",154,Mira.,"$4,775,847",2017
A Walk on the Moon,"$78,709",155,Mira.,"$4,750,660",2017
Mumford,"$1,851,291",156,BV,"$4,555,459",2017
Flawless (1999),"$1,590,155",157,MGM,"$4,488,529",2017
Simply Irresistible,"$2,232,686",158,Fox,"$4,398,989",2017
Detroit Rock City,"$2,005,512",159,NL,"$4,217,115",2017
Gloria,"$2,143,089",160,Sony,"$4,197,729",2017
Sweet and Lowdown,"$94,686",161,SPC,"$4,197,015",2017
Idle Hands,"$1,807,181",162,Sony,"$4,152,230",2017
The Dinner Game,"$25,520",163,Lions,"$4,071,548",2017
Playing by Heart,"$26,669",164,Mira.,"$3,970,078",2017
The Winslow Boy,"$80,553",165,SPC,"$3,957,934",2017
"Lock, Stock and Two Smoking Barrels","$143,321",166,Gram.,"$3,753,929",2017
Liberty Heights,"$95,247",167,WB,"$3,736,868",2017
Fifty (IMAX),"$335,380",168,Imax,"$3,328,240",2017
Elvis Gratton 2,"$470,089",169,Lions,"$3,316,272",2017
The Limey,"$187,122",170,Art.,"$3,204,663",2017
Jawbreaker,"$1,603,425",171,Sony,"$3,117,085",2017
Love Stinks,"$1,339,575",172,IA,"$2,924,635",2017
Cradle Will Rock,"$93,998",173,BV,"$2,903,404",2017
eXistenZ,"$810,262",174,Mira.,"$2,856,712",2017
Princess Mononoke,"$144,446",175,Mira.,"$2,375,308",2017
Autumn Tale,"$33,631",176,Oct.,"$2,205,339",2017
A Dog of Flanders,"$807,873",177,WB,"$2,165,637",2017
Limbo,"$139,634",178,Sony,"$2,160,710",2017
Trick,"$118,594",179,FL,"$2,087,228",2017
Ravenous,"$1,040,727",180,Fox,"$2,062,405",2017
Beyond the Mat,"$9,532",181,Lions,"$2,053,648",2017
Besieged,"$159,289",182,FL,"$2,048,740",2017
Wildfire: Feel the Heat (IMAX),"$32,819",183,Prim.,"$2,040,635",2017
Three Seasons,"$47,542",184,Oct.,"$2,021,698",2017
Taal,"$591,289",185,Eros,"$2,020,532",2017
Better Than Chocolate,"$84,584",186,Trim.,"$2,015,406",2017
Titus,"$22,313",187,FoxS,"$2,007,290",2017
Crazy in Alabama,"$1,010,596",188,Sony,"$2,005,840",2017
Hum Saath-Saath Hain,"$651,575",189,Eros,"$2,005,094",2017
"Happy, Texas","$72,056",190,Mira.,"$1,955,933",2017
Goodbye Lover,"$1,011,175",191,WB,"$1,940,299",2017
Tango,"$78,315",192,SPC,"$1,897,948",2017
Holy Smoke,"$33,307",193,Mira.,"$1,765,545",2017
The Dreamlife of Angels,"$59,333",194,SPC,"$1,726,567",2017
Asterix et Obelix Contre Cesar,"$304,245",195,Lions,"$1,644,060",2017
