Name,Opening,Rank,Studio,Total Gross,Years
A Simple Life,"$43,372",309,CL,"$191,826",2017
Puella Magi Madoka Magica the Movie,"$62,340",310,Elev.,"$180,440",2017
Lost Woods,"$58,240",311,Noct.,"$180,117",2017
Fullmetal Alchemist: The Sacred Star of Milos,"$119,300",312,Elev.,"$177,802",2017
Tere Naal Love Ho Gaya,"$94,583",313,UTV,"$177,743",2017
Monumental: In Search of America's National Treasure,"$28,340",314,AAE,"$177,729",2017
The Hunter (2012),"$19,032",315,Magn.,"$176,669",2017
Grand Illusion (2012 re-release),"$7,526",316,Rialto,"$174,065",2017
Battlefield America,"$113,882",317,CEB&B,"$172,000",2017
Flying Swords of Dragon Gate,"$95,452",318,IM,"$170,276",2017
Joker,"$105,366",319,UTV,"$169,181",2017
Dark Horse,"$13,551",320,BM&DH,"$166,228",2017
The Big Picture (2012),"$13,760",321,MPI,"$158,411",2017
Crazy Horse,"$7,963",322,Zipp.,"$157,782",2017
Elles,"$24,286",323,KL,"$157,508",2017
Deadtime,"$30,240",324,Noct.,"$156,072",2017
Shirin Farhad Ki Toh Nikal Padi,"$119,743",325,Eros,"$155,758",2017
Sister (2012),"$15,401",326,AF,"$154,659",2017
Unforgivable,"$27,857",327,Strand,"$154,189",2017
Once Upon a Time in Anatolia,"$10,952",328,CGld,"$152,408",2017
Bullhead,"$32,267",329,Drft.,"$151,840",2017
Chakravyuh,"$97,896",330,Eros,"$151,778",2017
Hecho En Mexico,"$76,123",331,LGF,"$151,133",2017
Simon and the Oaks,"$9,964",332,TFA,"$150,664",2017
Deadly Renovations,"$42,588",333,Noct.,"$146,146",2017
I Wish,"$10,919",334,Magn.,"$145,808",2017
From Beneath,"$47,628",335,Noct.,"$144,123",2017
This Must Be the Place,"$7,754",336,Wein.,"$143,979",2017
Luv Shuv Tey Chicken Khurana,"$95,364",337,UTV,"$143,507",2017
High School,"$82,832",338,Anch.,"$139,034",2017
Beloved (2012),"$25,825",339,IFC,"$137,515",2017
Slaughter Creek,"$49,392",340,Noct.,"$136,815",2017
Warriors of the Rainbow: Seediq Bale,"$57,183",341,WGUSA,"$136,166",2017
The Other Dream Team,"$19,821",342,TFA,"$135,228",2017
Kumare,"$9,601",343,KL,"$132,160",2017
How to Survive a Plague,"$28,250",344,IFC,"$132,055",2017
The Loneliest Planet,"$15,689",345,IFC,"$129,579",2017
Forgiveness of Blood,"$26,724",346,IFC,"$126,700",2017
Escape Fire,"$30,953",347,RAtt.,"$126,238",2017
"Turn Me On, Dammit!","$10,145",348,NYer,"$126,085",2017
God Bless America,"$27,308",349,Magn.,"$122,550",2017
Iron Sky,N/A,350,EOne,"$122,082",2017
Cowgirls n' Angels,"$54,675",351,Gold.,"$120,680",2017
Bel Ami,"$38,018",352,Magn.,"$120,462",2017
Bullet Vanishes,"$43,444",353,CL,"$117,629",2017
Beware of Mr. Baker,"$12,195",354,SF,"$116,476",2017
The Woman in the Fifth,"$33,011",355,ATO,"$113,800",2017
Burn (2012),"$1,970",356,A23,"$113,173",2017
Follow Me: The Yoni Netanyahu Story,"$7,882",357,ICir,"$112,679",2017
Wild Horse Wild Ride,"$3,610",358,Scre.,"$111,205",2017
The Obama Effect,"$83,896",359,ArcEnt,"$110,904",2017
The Perfect Family,"$14,300",360,Vari.,"$110,313",2017
5 Broken Cameras,"$6,674",361,KL,"$109,983",2017
Hello I Must Be Going,"$23,904",362,Osci.,"$106,709",2017
Butter,"$70,931",363,RTWC,"$105,018",2017
The Magic of Belle Isle,"$10,367",364,Magn.,"$102,388",2017
"Oslo, August 31st","$9,564",365,Strand,"$101,475",2017
Wuthering Heights (2012),"$8,956",366,Osci.,"$100,915",2017
Mugamoodi,"$55,501",367,UTV,"$100,809",2017
V/H/S,"$36,402",368,Magn.,"$100,345",2017
360,"$12,186",369,Magn.,"$100,343",2017
Hardflip,"$49,879",370,RM,"$96,734",2017
Goodbye First Love,"$21,077",371,IFC,"$95,000",2017
The Road (2012),"$56,692",372,Free,"$92,476",2017
Starlet,"$15,662",373,MBox,"$88,212",2017
Marina Abramovic: The Artist is Present,"$11,041",374,MBox,"$86,637",2017
The Eye of the Storm,"$25,785",375,SEG,"$83,566",2017
Hating Breitbart,"$40,673",376,RM,"$81,432",2017
Harvest of Empire,N/A,377,Onyx,"$79,627",2017
The Innkeepers,"$29,557",378,Magn.,"$78,396",2017
This is Not a Film,"$12,608",379,PalT,"$77,016",2017
The Island President,"$13,998",380,Gold.,"$76,398",2017
Hara-Kiri: Death of a Samurai,"$10,920",381,Trib.,"$75,688",2017
On the Ice,"$17,901",382,PMKBNC,"$73,492",2017
Detachment,"$10,739",383,Trib.,"$72,689",2017
The Invisible War,"$16,500",384,Cdgm.,"$71,968",2017
Runaway Slave,"$3,626",385,RM,"$71,737",2017
My Way (2012),"$17,817",386,CJ,"$70,177",2017
Taur Mittran Di,"$49,926",387,Eros,"$69,510",2017
An Inconsistent Truth,"$20,733",388,RM,"$69,394",2017
Intruders,"$40,746",389,MNE,"$69,136",2017
Klown,"$19,683",390,Drft.,"$68,795",2017
Deadfall (2012),"$19,391",391,Magn.,"$66,351",2017
Toys in the Attic,"$19,913",392,Hann.,"$64,918",2017
Girlfriend Boyfriend - GF BF,"$29,016",393,CL,"$64,414",2017
The Details,"$18,528",394,RTWC,"$63,595",2017
Let the Bullets Fly,"$11,287",395,Vari.,"$63,012",2017
Backwards,"$23,190",396,Da.,"$61,465",2017
The Bodyguard (2012 re-release),N/A,397,WB,"$61,020",2017
Neighboring Sounds,"$12,666",398,CGld,"$60,255",2017
Gregory Crewdson: Brief Encounters,"$1,492",399,Zeit.,"$60,064",2017
Declaration of War,"$12,791",400,IFC,"$59,100",2017
Cinco De Mayo: La Batalla,"$83,586",301,LGF,"$173,472",2017
Escape from Tomorrow,"$63,297",302,PDA,"$171,962",2017
Copperhead,"$55,625",303,FC,"$171,740",2017
R... Rajkumar,"$124,669",304,Eros,"$166,503",2017
We Steal Secrets: The Story of Wikileaks,"$27,689",305,Focus,"$166,243",2017
On the Job,"$56,098",306,WGUSA,"$164,620",2017
Mother of George,"$22,500",307,Osci.,"$157,937",2017
Free the Mind,"$12,215",308,ICir,"$157,201",2017
LUV,"$83,194",309,IM,"$156,996",2017
A Touch of Sin,"$19,867",310,KL,"$154,120",2017
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,"$13,802",311,KL,"$152,791",2017
Snake and Mongoose,"$20,254",312,RM,"$152,200",2017
The Patience Stone,"$9,361",313,SPC,"$148,671",2017
Rangeelay,"$73,541",314,Eros,"$148,418",2017
American Promise,"$18,300",315,RFG,"$146,702",2017
Narco Cultura,"$6,093",316,Cdgm.,"$145,088",2017
John Dies at the End,"$12,467",317,Magn.,"$141,951",2017
Good Ol' Freda,"$6,798",318,Magn.,"$138,811",2017
Is the Man Who Is Tall Happy?,"$31,800",319,IFC,"$137,042",2017
Fists of Legend,"$49,252",320,CJ,"$134,213",2017
Drug War,"$5,926",321,Vari.,"$128,195",2017
The Artist and the Model,"$16,900",322,Cohen,"$127,958",2017
A Band Called Death,"$34,839",323,Drft.,"$127,257",2017
Europa Report,"$22,243",324,Magn.,"$125,687",2017
Fukrey,"$74,110",325,Excel,"$125,279",2017
Beyond the Hills,"$14,622",326,IFC,"$124,919",2017
Final: The Rapture,"$31,900",327,RivR,"$124,561",2017
The Square (2013),"$16,359",328,Nou,"$124,244",2017
The Punk Singer,"$24,729",329,IFC,"$122,742",2017
Lost and Found in Armenia,"$49,829",330,HTR,"$122,305",2017
Spark: A Burning Man Story,"$9,366",331,P/FB,"$120,459",2017
Storm Surfers 3D,"$7,299",332,XL,"$117,090",2017
Yossi,"$12,287",333,Strand,"$117,047",2017
Ain't In It For My Health: A Film About Levon Helm,"$7,937",334,KL,"$113,966",2017
Goonies (2013 re-release),N/A,335,WB,"$113,538",2017
Spinning Plates,"$20,717",336,TFA,"$112,449",2017
Ek Thi Daayan,"$65,857",337,Eros,"$112,135",2017
Bettie Page Reveals All,"$4,846",338,MBox,"$108,118",2017
Augustine,"$13,616",339,MBox,"$107,352",2017
Big Star: Nothing Can Hurt Me,"$15,096",340,Magn.,"$105,998",2017
Upside Down,"$28,722",341,MNE,"$105,095",2017
The English Teacher,"$6,001",342,Cdgm.,"$104,810",2017
Gimme the Loot,"$21,065",343,IFC,"$104,442",2017
The Investigator,"$93,690",344,GMF,"$103,739",2017
Stevie Nicks - In Your Dreams,N/A,345,Abr.,"$103,028",2017
Computer Chess,"$9,683",346,KL,"$102,041",2017
Therese,"$20,050",347,MPI,"$101,944",2017
Capital,"$22,400",348,Cohen,"$101,700",2017
Blazing Saddles (2013 re-release),N/A,349,WB,"$101,481",2017
Una Noche,"$17,194",350,IFC,"$100,887",2017
Shadow Dancer,"$10,672",351,Magn.,"$100,616",2017
The United States of Autism,"$3,413",352,JM,"$100,403",2017
One Track Heart: The Story of Krishna Das,"$11,515",353,Zeit.,"$100,401",2017
The Silence,"$7,992",354,MBox,"$100,214",2017
Man of Tai Chi,"$61,054",355,RTWC,"$100,144",2017
Singin' in the Rain (2013 re-release),N/A,356,WB,"$96,763",2017
Blue Caprice,"$13,400",357,IFC,"$93,995",2017
Passion,"$33,400",358,EOne,"$92,181",2017
Kings Faith,"$27,648",359,WG,"$90,106",2017
Somebody Up There Likes Me,"$34,362",360,Trib.,"$89,435",2017
Byzantium,"$16,643",361,IFC,"$89,237",2017
Money for Nothing: Inside the Federal Reserve,N/A,362,LibSt.,"$88,045",2017
Settai,"$52,386",363,UTV,"$87,838",2017
Young Detective Dee: Rise of the Sea Dragon,"$32,795",364,WAMCR,"$87,783",2017
The Rooftop,"$47,259",365,WGUSA,"$85,755",2017
Something in the Air,"$13,288",366,IFC,"$85,154",2017
I Am Divine,N/A,367,TFC,"$81,497",2017
We Are What We Are,"$13,727",368,EOne,"$81,381",2017
Stuck in Love,"$34,967",369,MNE,"$81,071",2017
Winnie Mandela,"$61,847",370,Imag.,"$80,634",2017
Ramaiya Vastavaiya,"$52,514",371,Prab.,"$80,108",2017
More Than Honey,"$5,225",372,KL,"$79,772",2017
Caesar Must Die,N/A,373,AF,"$76,908",2017
Commitment,N/A,374,WGUSA,"$76,543",2017
Leviathan (2013),"$10,000",375,CGld,"$76,211",2017
No One Lives,"$47,800",376,Anch.,"$74,918",2017
Reality (2013),"$7,072",377,Osci.,"$72,577",2017
After Tiller,"$15,500",378,Osci.,"$72,125",2017
An Oversimplification of Her Beauty,"$10,055",379,Vari.,"$71,906",2017
Seasons of Gray,"$31,953",380,ELS,"$70,605",2017
War Witch,"$8,714",381,Trib.,"$70,544",2017
Go For Sisters,"$6,001",382,Vari.,"$70,495",2017
Maidentrip,"$1,622",383,FRun,"$68,243",2017
The Pervert's Guide to Ideology,"$9,165",384,Zeit.,"$67,966",2017
Pandora's Promise,"$23,419",385,Abr.,"$66,680",2017
Let the Fire Burn,"$5,226",386,Zeit.,"$64,489",2017
My Lucky Star,"$47,006",387,CL,"$64,432",2017
Becoming Traviata,"$5,000",388,Distrib.,"$62,652",2017
Sightseers,"$7,384",389,IFC,"$61,782",2017
Don't Stop Believin': Everyman's Journey,"$25,573",390,Cdgm.,"$61,018",2017
The Wicker Man - Final Cut,"$5,493",391,Rialto,"$60,891",2017
It's a Disaster,"$15,305",392,Osci.,"$60,818",2017
How I Live Now,"$28,547",393,Magn.,"$60,213",2017
Sweet Dreams (2013),N/A,394,ICir,"$59,403",2017
The Trials of Muhammad Ali,"$2,980",395,KL,"$59,081",2017
Aftershock,"$40,179",396,RTWC,"$58,510",2017
Faust,"$10,030",397,Leis.,"$58,132",2017
Lost in Thailand,"$32,206",398,WAMCR,"$57,387",2017
The Canyons,"$13,351",399,IFC,"$56,825",2017
Terms and Conditions May Apply,"$4,446",400,Vari.,"$55,824",2017
Ernest & Celestine,"$13,078",301,GK,"$262,075",2017
Blue Ruin,"$32,608",302,RTWC,"$258,384",2017
The Green Prince,"$32,698",303,MBox,"$258,237",2017
The Zero Theorem,"$83,803",304,Ampl.,"$257,706",2017
Action Jackson (2014),"$171,795",305,Eros,"$256,872",2017
Alive Inside,"$7,200",306,B360,"$256,682",2017
The Blue Room,"$21,809",307,IFC,"$254,666",2017
National Gallery,"$10,049",308,Zipp.,"$253,941",2017
Tazza: The Hidden Card,"$24,106",309,CJ,"$251,555",2017
The Galapagos Affair: Satan Came to Eden,"$5,185",310,Zeit.,"$247,159",2017
James Cameron's Deepsea Challenge 3D,"$149,879",311,DLA,"$235,659",2017
Art and Craft,"$20,879",312,Osci.,"$235,037",2017
Diplomacy,"$8,518",313,Zeit.,"$230,880",2017
Dr. Cabbie (U.S. only),"$118,732",314,Eros,"$225,490",2017
The Suspect (2014),"$86,137",315,WGUSA,"$218,693",2017
Supermensch: The Legend of Shep Gordon,"$23,017",316,RTWC,"$213,064",2017
The Breakup Guru,"$62,717",317,CL,"$208,959",2017
Rob the Mob,"$13,833",318,MNE,"$208,693",2017
Under the Electric Sky,N/A,319,Focus,"$207,584",2017
Jinn,"$149,337",320,Free,"$202,348",2017
Bethlehem,"$69,700",321,AF,"$201,700",2017
The Double (2014),"$14,646",322,Magn.,"$200,406",2017
Listen Up Philip,"$23,284",323,Trib.,"$200,126",2017
A Summer's Tale,"$12,863",324,BWP,"$198,126",2017
Code Black,"$6,319",325,Long Shot,"$190,229",2017
We Are The Best!,"$17,664",326,Magn.,"$180,590",2017
Anita,"$44,114",327,Gold.,"$176,979",2017
Evangelion: 3.0 You Can (Not) Redo,"$110,825",328,Elev.,"$174,945",2017
Horns,"$107,544",329,RTWC,"$173,948",2017
Afternoon of a Faun,"$15,292",330,KL,"$172,450",2017
That Demon Within,"$77,130",331,CL,"$172,343",2017
God's Pocket,"$21,482",332,IFC,"$169,976",2017
NAS: Time is Illmatic,"$23,200",333,Trib.,"$164,540",2017
Keep On Keepin' On,"$12,930",334,RTWC,"$163,745",2017
Sinbad: The Fifth Voyage,N/A,335,GFl,"$159,862",2017
Citizen Koch,"$10,200",336,Vari.,"$153,908",2017
Alan Partridge: The Movie,"$12,664",337,Magn.,"$153,426",2017
Dancing in Jaffa,"$10,564",338,IFC,"$151,098",2017
A Coffee in Berlin,"$3,918",339,MBox,"$150,275",2017
Godzilla: The Japanese Original,"$10,903",340,Rialto,"$150,191",2017
Kids For Cash,"$36,639",341,Pala.,"$143,178",2017
Gore Vidal: United States of Amnesia,"$13,744",342,IFC,"$140,164",2017
The Polar Express (2014 re-issue),N/A,343,WB,"$139,055",2017
Mistaken for Strangers,"$87,743",344,Abr.,"$138,991",2017
The Congress,"$28,640",345,Drft.,"$137,815",2017
The Divine Move,"$49,057",346,CJ,"$136,707",2017
Redwood Highway,$30,347,Mont.,"$134,049",2017
The Jewish Cardinal,N/A,348,FM,"$133,663",2017
Raja Natwarlal,"$83,669",349,UTV,"$131,105",2017
Bjork - Biophilia Live,N/A,350,CP,"$127,754",2017
Make Your Move,"$81,172",351,HTR,"$125,106",2017
Knights of Badassdom,"$17,449",352,EOne,"$123,854",2017
Afflicted (2014),"$69,447",353,CBS,"$121,179",2017
Finding Fela,N/A,354,KL,"$120,980",2017
Zero Motivation,"$9,427",355,Zeit.,"$116,044",2017
God the Father,"$15,037",356,RM,"$113,276",2017
The Liberator,"$69,992",357,Cohen,"$113,067",2017
Penton: The John Penton Story,N/A,358,Gathr,"$112,159",2017
Rich Hill,"$9,635",359,Orch.,"$111,376",2017
The Overnighters,"$4,324",360,Drft.,"$110,763",2017
Duran Duran: Unstaged,N/A,361,P4,"$110,746",2017
Anohana The Movie: The Flower We Saw That Day,"$37,480",362,Elev.,"$109,630",2017
Ivory Tower,"$17,857",363,Gold.,"$106,771",2017
Six Dance Lessons in Six Weeks,"$12,542",364,Da.,"$106,323",2017
The Golden Era,"$50,242",365,CL,"$102,931",2017
God Help the Girl,"$11,330",366,Ampl.,"$102,757",2017
Coherence,"$17,000",367,Osci.,"$102,617",2017
The Way He Looks,"$26,334",368,Strand,"$101,451",2017
Korengal,"$14,630",369,Sab.,"$101,310",2017
One Chance,"$33,405",370,Wein.,"$101,196",2017
Beyond Sight: The Derek Rabelo Story,"$26,840",371,WOWF,"$101,074",2017
The Best Offer,"$2,595",372,IFC,"$100,035",2017
Child's Pose,"$12,955",373,Zeit.,"$97,170",2017
Hiroshima Mon Amour (2014 re-release),"$18,494",374,Rialto,"$96,439",2017
Cuban Fury,"$57,105",375,EOne,"$92,384",2017
Generation War,"$7,386",376,MBox,"$91,595",2017
Girl on a Bicycle,"$37,610",377,Mont.,"$91,401",2017
Pump,"$42,200",378,SD,"$89,787",2017
Breathe In,"$15,324",379,Cohen,"$89,661",2017
The Principle,"$8,657",380,RM,"$89,543",2017
Life After Beth,"$15,843",381,A24,"$88,273",2017
Advanced Style,"$6,500",382,B360,"$87,879",2017
Visitors (2014),"$9,094",383,Cdgm.,"$84,577",2017
Watermark,"$7,724",384,EOne,"$84,464",2017
12 O'Clock Boys,"$44,108",385,Osci.,"$82,614",2017
Water & Power,"$39,428",386,NS,"$82,312",2017
Fort McCoy,"$4,070",387,Mont.,"$78,948",2017
Whitey: USA v. James J. Bulger,"$14,287",388,Magn.,"$75,881",2017
Just a Sigh,"$11,500",389,Distrib.,"$75,531",2017
Better Living Through Chemistry,"$46,435",390,Gold.,"$75,143",2017
Veil of Tears,"$44,358",391,WF,"$72,078",2017
"Flamenco, Flamenco","$1,259",392,Da.,"$71,732",2017
"Je T'aime, Je T'aime (2014 re-issue)","$12,869",393,FDesk,"$71,717",2017
A Letter to Momo,"$4,596",394,GK,"$71,712",2017
The Better Angels,"$4,246",395,Ampl.,"$70,918",2017
Take Me to the River,"$25,588",396,Abr.,"$68,598",2017
For No Good Reason,"$4,516",397,SPC,"$67,421",2017
The Notebook (2014),"$3,127",398,SPC,"$66,559",2017
Through a Lens Darkly,"$9,456",399,FRun,"$65,169",2017
Art of the Steal,"$40,003",400,RTWC,"$64,065",2017
The Man in 3B,"$109,043",301,Free,"$291,513",2017
Above and Beyond,"$6,448",302,ICir,"$288,751",2017
Go Away Mr. Tumor,"$50,036",303,CL,"$286,639",2017
Theeb,"$9,181",304,FM,"$283,024",2017
White God,"$16,139",305,Magn.,"$282,358",2017
A Borrowed Identity,"$10,308",306,Strand,"$281,540",2017
In the Name of my Daughter,"$14,294",307,Cohen,"$277,528",2017
Hitchcock/Truffaut,"$28,178",308,Cohen,"$260,430",2017
Love (2015),"$29,301",309,Alc,"$249,083",2017
Carter High,"$87,274",310,PN,"$240,214",2017
Tevar,"$171,026",311,Eros,"$236,002",2017
Hamari Adhuri Kahani,"$131,263",312,FIP,"$235,361",2017
20 Once Again,"$92,827",313,CJ,"$234,573",2017
Slow West,"$67,003",314,A24,"$229,094",2017
The Taking of Tiger Mountain,"$50,621",315,WGUSA,"$228,984",2017
A Royal Night Out,"$100,847",316,ADC,"$228,136",2017
A Pigeon Sat on a Branch Reflecting on Existence,"$25,313",317,Magn.,"$222,989",2017
Pyaar Ka Punchnama 2,"$107,536",318,Rel.,"$222,856",2017
Chocolate City,"$98,829",319,Free,"$212,662",2017
Fall in Love Like a Star,"$120,074",320,CL,"$212,508",2017
Wolf Totem,N/A,321,Sony,"$210,591",2017
Dark Places,N/A,322,A24,"$208,588",2017
Heneral Luna,"$15,485",323,Abr.,"$206,040",2017
Escobar: Paradise Lost,"$106,869",324,RTWC,"$195,792",2017
Gemma Bovery,"$19,095",325,MBox,"$191,533",2017
The Connection,"$10,335",326,Drft.,"$190,980",2017
Love and Lost (Shi Gu),"$86,048",327,CL,"$188,817",2017
Stonewall (2015),"$112,834",328,RAtt.,"$187,674",2017
Maggie,"$131,175",329,RAtt.,"$187,112",2017
Detective K: Secret of the Lost Island,"$57,663",330,CJ,"$185,367",2017
The Priests,N/A,331,CJ,"$185,093",2017
Lambert & Stamp,"$13,500",332,SPC,"$183,320",2017
An Honest Liar,"$13,821",333,Abr.,"$180,590",2017
Serena,"$100,090",334,Magn.,"$176,391",2017
The Young & Prodigious T.S. Spivet,"$33,658",335,Wein.,"$173,564",2017
The Farewell Party,"$7,616",336,Gold.,"$172,860",2017
All Things Must Pass,"$19,001",337,Grav.,"$172,394",2017
A Brilliant Young Mind,"$31,408",338,Gold.,"$171,793",2017
Time Out of Mind,"$18,934",339,IFC,"$166,775",2017
Snow Girl and the Dark Crystal,"$73,817",340,WGUSA,"$165,428",2017
3 Hearts,"$11,794",341,Cohen,"$164,992",2017
C'Est Si Bon,N/A,342,CJ,"$164,167",2017
The Last Women Standing,"$73,344",343,CL,"$163,406",2017
5 to 7,"$18,006",344,IFC,"$162,685",2017
After The Ball,"$31,718",345,Free,"$161,820",2017
Human Capital,N/A,346,FM,"$158,549",2017
Hell and Back,"$104,374",347,Free,"$157,768",2017
Experimenter,"$8,682",348,Magn.,"$155,575",2017
Desert Dancer,"$40,763",349,Rela.,"$155,271",2017
"Buen Dia, Ramon","$51,105",350,FIP,"$154,356",2017
Backstreet Boys: Show 'Em What You're Made Of,"$153,068",351,Grav.,"$153,068",2017
Samba,"$24,588",352,BG,"$151,530",2017
The Tribe,"$11,094",353,Drft.,"$150,564",2017
Forever Young (2015),"$70,047",354,CL,"$149,761",2017
The New Girlfriend,"$39,035",355,Cohen,"$146,754",2017
The Last 5 Years,"$42,042",356,RTWC,"$145,427",2017
Tangerines,"$5,180",357,Gold.,"$144,501",2017
Yellow Day (2015),"$26,260",358,PFP,"$144,163",2017
Manglehorn,"$11,227",359,IFC,"$143,101",2017
Ingrid Bergman: In Her Own Words,"$8,355",360,Rialto,"$138,148",2017
Twenty (2015),N/A,361,CJ,"$136,125",2017
La Sapienza,N/A,362,KL,"$135,392",2017
Cop Car,"$26,146",363,Focus,"$134,552",2017
Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,"$19,206",364,Argo.,"$133,443",2017
A Ballerina's Tale,"$9,388",365,IFC,"$131,995",2017
Devil and Angel (E Gun Tian Shi),"$44,855",366,CL,"$131,058",2017
Mississippi Grind,"$12,434",367,A24,"$130,541",2017
Kung Fu Killer,"$58,664",368,WGUSA,"$129,784",2017
Boy and the World,"$10,077",369,GK,"$129,480",2017
A Journey Through Time with Anthony,"$55,292",370,CL,"$127,381",2017
Boulevard,"$7,000",371,SM,"$126,150",2017
Z for Zachariah,"$56,902",372,RAtt.,"$121,461",2017
In Jackson Heights,"$15,150",373,Zipp.,"$121,094",2017
Do I Sound Gay?,"$10,461",374,IFC,"$119,388",2017
Digging for Fire,"$25,000",375,Orch.,"$119,364",2017
Love Live! The School Idol Movie,"$115,840",376,AZ,"$115,840",2017
Road Hard,"$105,943",377,FB,"$113,169",2017
She's Funny That Way,N/A,378,LGP,"$111,996",2017
1915,"$30,448",379,BM,"$111,682",2017
Memories of the Sword,"$50,240",380,WGUSA,"$111,071",2017
Roar!,"$15,064",381,Drft.,"$110,048",2017
The Look of Silence,"$6,616",382,Drft.,"$109,089",2017
Adult Beginners,"$36,657",383,RTWC,"$108,808",2017
The Beauty Inside,"$50,536",384,WGUSA,"$108,083",2017
The Chronicles of Evil,N/A,385,CJ,"$105,057",2017
Results,"$17,782",386,Magn.,"$104,507",2017
Every Secret Thing,"$97,020",387,SM,"$103,536",2017
A LEGO Brickumentary,"$43,285",388,RTWC,"$101,531",2017
Man From Reno,"$15,158",389,FPE,"$101,438",2017
James White,"$12,007",390,TFA,"$101,368",2017
Ghost in the Shell: The New Movie,N/A,391,FUN,"$101,203",2017
Black Souls (Anime Nere),"$6,286",392,Alc,"$101,088",2017
A Poem Is a Naked Person (2015 re-issue),"$5,526",393,Jan.,"$96,592",2017
Saving Mr. Wu,N/A,394,UEP,"$92,696",2017
The Tales of Hoffmann (2015 re-issue),"$23,340",395,Rialto,"$91,930",2017
Legends from the Sky,"$18,168",396,HHF,"$91,462",2017
Christmas Eve,"$45,260",397,Ampl.,"$91,302",2017
Queen of Earth,"$11,360",398,IFC,"$91,218",2017
Beasts of No Nation,"$51,003",399,BST,"$90,777",2017
Dark Horse (Canada Release),"$1,865",400,Mon,"$90,136",2017
Mr. Donkey,"$86,931",301,CL,"$356,255",2017
Eat That Question: Frank Zappa in His Own Words,"$16,695",302,SPC,"$355,074",2017
Happy Bhaag Jayegi,"$159,895",303,Eros,"$351,840",2017
Kahaani 2,"$279,009",304,Eros,"$350,703",2017
L.O.R.D: Legend of Ravaging Dynasties,"$170,676",305,AR,"$350,456",2017
High-Rise,"$79,887",306,Magn.,"$346,472",2017
Te3n,"$258,066",307,Rel.,"$331,507",2017
Kaashmora,"$298,674",308,CineGalaxy,"$327,959",2017
The Bounce Back,"$227,354",309,VPD,"$321,910",2017
AmeriGeddon,"$125,571",310,Forewarned,"$316,554",2017
Francofonia,"$22,083",311,MBox,"$307,040",2017
Mia Madre,"$34,098",312,MBox,"$303,002",2017
Christine (2016),"$13,384",313,Orch.,"$298,525",2017
April and the Extraordinary World,"$11,413",314,GK,"$295,488",2017
Ixcanul,"$5,980",315,KL,"$295,157",2017
The People vs. Fritz Bauer,"$33,781",316,Cohen,"$288,483",2017
Aquarius,"$29,129",317,Vita.,"$285,930",2017
Kingsglaive: Final Fantasy: XV,"$119,801",318,VE,"$269,980",2017
My Golden Days,"$26,847",319,Magn.,"$269,144",2017
The Family Fang,"$14,506",320,SM,"$262,921",2017
Minimalism: A Documentary About the Important Things,N/A,321,Gathr,"$261,865",2017
Dheepan,"$20,249",322,IFC,"$261,819",2017
Yo-kai Watch: The Movie,N/A,323,Elev.,"$257,343",2017
"Life, Animated","$21,883",324,Orch.,"$255,388",2017
Oasis: Supersonic,"$16,880",325,A24,"$242,867",2017
The Invitation,"$67,877",326,Drft.,"$231,737",2017
Jimmy Vestvood: Amerikan Hero,"$60,860",327,SkyI,"$230,069",2017
The Love Witch,"$17,980",328,Osci.,"$228,894",2017
Tampopo (2016 re-release),"$16,410",329,Jan.,"$224,097",2017
Miss Hokusai,"$24,524",330,GK,"$222,670",2017
Spirit of the Game,"$45,580",331,Gold.,"$222,565",2017
Naam Hai Akira,"$136,644",332,FIP,"$219,401",2017
Ho Mann Jahaan,"$77,548",333,Eros,"$208,611",2017
Seed: The Untold Story,N/A,334,CEye,"$207,825",2017
Kaptaan,"$109,993",335,UTV,"$203,790",2017
El Clan,"$12,519",336,FIP,"$201,227",2017
White Girl,"$34,058",337,FR,"$200,242",2017
The Fallen Idol (2016 re-issue),"$12,136",338,Rialto,"$199,619",2017
Complete Unknown,"$14,149",339,IFC,"$191,761",2017
Digimon Adventure tri.,"$163,005",340,Elev.,"$190,581",2017
The Masked Saint,"$123,839",341,Free,"$182,695",2017
League of Gods,"$84,779",342,Sony,"$181,633",2017
Viva,"$48,995",343,Magn.,"$178,008",2017
The Wave,"$60,321",344,Magn.,"$177,404",2017
Asura: The City of Madness,"$21,253",345,CJ,"$175,702",2017
Hieronymus Bosch: Touched by the Devil,N/A,346,KL,"$172,533",2017
Apparition Hill,"$4,152",347,LFlower,"$170,457",2017
The Fits,"$10,602",348,Osci.,"$166,425",2017
De Palma,"$30,355",349,A24,"$165,237",2017
Louder than Bombs,"$24,259",350,Orch.,"$163,807",2017
Howards End (2016 Restoration),"$23,840",351,Cohen,"$160,282",2017
Beauty and the Beast (2016 re-issue),"$8,264",352,Jan.,"$160,215",2017
Sunset Song,"$12,995",353,Magn.,"$159,714",2017
The Witness,"$14,523",354,FR,"$159,305",2017
Eva Hesse,"$12,780",355,Zeit.,"$157,481",2017
Born to be Blue,"$14,069",356,EOne,"$151,926",2017
Generation Found,N/A,357,Gathr,"$151,751",2017
Kicks,"$32,111",358,FCW,"$150,191",2017
Seasons,"$27,134",359,MBox,"$150,092",2017
Rams (Hr̼tar),"$13,289",360,Cohen,"$149,250",2017
