,Genre,Movies,Release_Date,WGross
1358,Genre: Horror,The Omen (2006),"Release Date: June 6, 2006"," $119,496,523"
1359,Genre: Horror,Final Destination 5,"Release Date: August 12, 2011"," $157,887,643"
1360,Genre: Fantasy Drama,The Prestige,"Release Date: October 20, 2006"," $109,676,311"
1361,Genre: Romance,The Lake House,"Release Date: June 16, 2006"," $114,830,111"
1362,Genre: Period Adventure,Apocalypto,"Release Date: December 8, 2006"," $120,654,337"
1363,Genre: Thriller,Firewall,"Release Date: February 10, 2006"," $82,751,189"
1364,Genre: Romantic Comedy,Date Movie,"Release Date: February 17, 2006"," $84,795,656"
1365,Genre: Horror Thriller,When a Stranger Calls,"Release Date: February 3, 2006"," $66,966,987"
1366,Genre: Horror,Hostel Part II,"Release Date: June 8, 2007"," $35,619,521"
1367,Genre: Family,Nanny McPhee Returns,"Release Date: August 20, 2010"," $93,251,121"
1368,Genre: Horror,Silent Hill:Revelation 3D,"Release Date: October 26, 2012"," $52,302,796"
1370,Genre: Sports Drama,We Are Marshall,"Release Date: December 22, 2006"," $43,545,364"
1372,Genre: Fantasy Drama,Lady in the Water,"Release Date: July 21, 2006"," $72,785,169"
1373,Genre: Horror,The Hills Have Eyes 2,"Release Date: March 23, 2007"," $37,466,538"
1374,Genre: Comedy,John Tucker Must Die,"Release Date: July 28, 2006"," $68,824,526"
1375,Genre: Fantasy Comedy,Stranger Than Fiction,"Release Date: November 10, 2006"," $53,653,224"
1376,Genre: Animation,The Illusionist (2010),"Release Date: December 25, 2010"," $5,602,431"
1377,Genre: Horror,The Texas Chainsaw Massacre:The Beginning,"Release Date: October 6, 2006"," $51,764,406"
1378,Genre: Horror,The Grudge 2,"Release Date: October 13, 2006"," $70,711,175"
1379,Genre: Sports Drama,Gridiron Gang,"Release Date: September 15, 2006"," $41,480,851"
1380,Genre: Comedy / Drama,Last Holiday,"Release Date: January 13, 2006"," $43,343,248"
1381,Genre: Foreign / Horror,Pan's Labyrinth,"Release Date: December 29, 2006"," $83,258,226"
1382,Genre: Period Drama,The Nativity Story,"Release Date: December 1, 2006"," $46,432,264"
1384,Genre: Comedy,Man of the Year,"Release Date: October 13, 2006"," $41,237,648"
1385,Genre: Action Thriller,16 Blocks,"Release Date: March 3, 2006"," $65,664,721"
1386,Genre: Comedy,Accepted,"Release Date: August 18, 2006"," $38,505,009"
1387,Genre: Action Thriller,The Sentinel,"Release Date: April 21, 2006"," $78,084,827"
1388,Genre: Sci-Fi Thriller,Children of Men,"Release Date: December 25, 2006"," $69,959,751"
1389,Genre: Comedy,Deck the Halls,"Release Date: November 22, 2006"," $47,231,070"
1390,Genre: Music Drama,Take the Lead,"Release Date: April 7, 2006"," $65,742,529"
1391,Genre: Drama,Babel,"Release Date: October 27, 2006"," $135,330,182"
1392,Genre: Horror Thriller,Snakes on a Plane,"Release Date: August 18, 2006"," $62,022,014"
1393,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
1394,Genre: War,Flags of Our Fathers,"Release Date: October 20, 2006"," $65,900,249"
1396,Genre: Comedy,Employee of the Month,"Release Date: October 6, 2006"," $38,368,909"
1397,Genre: Family Comedy,Garfield:A Tail of Two Kitties,"Release Date: June 16, 2006"," $141,702,264"
1399,Genre: Action / Crime,Crank:High Voltage,"Release Date: April 17, 2009"," $34,560,577"
1401,Genre: Animation,Shrek the Third,"Release Date: May 18, 2007"," $798,958,162"
1403,Genre: Period Adventure,Pirates of the Caribbean:At World's End,"Release Date: May 25, 2007"," $963,420,425"
1404,Genre: Fantasy,Harry Potter and the Order of the Phoenix,"Release Date: July 11, 2007"," $939,885,929"
1405,Genre: Sci-Fi Horror,I Am Legend,"Release Date: December 14, 2007"," $585,349,010"
1406,Genre: Action Thriller,The Bourne Ultimatum,"Release Date: August 3, 2007"," $442,824,138"
1407,Genre: Adventure,National Treasure:Book of Secrets,"Release Date: December 21, 2007"," $457,364,600"
1408,Genre: Family Comedy,Alvin and the Chipmunks:The Road Chip,"Release Date: December 18, 2015"," $234,798,636"
1410,Genre: Animation,Ratatouille,"Release Date: June 29, 2007"," $620,702,951"
1411,Genre: Animation,The Simpsons Movie,"Release Date: July 27, 2007"," $527,071,022"
1412,Genre: Comedy,Wild Hogs,"Release Date: March 2, 2007"," $253,625,427"
1413,Genre: Romantic Comedy,Knocked Up,"Release Date: June 1, 2007"," $219,076,518"
1414,Genre: Comedy / Drama,Juno,"Release Date: December 5, 2007"," $231,411,584"
1415,Genre: Action Comedy,Rush Hour 3,"Release Date: August 10, 2007"," $258,022,233"
1416,Genre: Action,Live Free or Die Hard,"Release Date: June 27, 2007"," $383,531,464"
1417,Genre: Action / Adventure,Fantastic Four:Rise of the Silver Surfer,"Release Date: June 15, 2007"," $289,047,763"
1418,Genre: Crime Drama,American Gangster,"Release Date: November 2, 2007"," $266,465,037"
1419,Genre: Foreign,Arabian Nights:Volume 3 - The Enchanted One,"Release Date: December 18, 2015"," $4,502"
1420,Genre: Animation,Bee Movie,"Release Date: November 2, 2007"," $287,594,577"
1421,Genre: Comedy,Superbad,"Release Date: August 17, 2007"," $169,871,719"
1422,Genre: Comedy,I Now Pronounce You Chuck and Larry,"Release Date: July 20, 2007"," $186,072,214"
1423,Genre: Musical,Hairspray (2007),"Release Date: July 20, 2007"," $202,548,575"
1424,Genre: Sports Comedy,Blades of Glory,"Release Date: March 30, 2007"," $145,708,642"
1425,Genre: Crime Comedy,Ocean's Thirteen,"Release Date: June 8, 2007"," $311,312,624"
1426,Genre: Action Horror,Ghost Rider:Spirit of Vengeance,"Release Date: February 17, 2012"," $132,563,930"
1427,Genre: Fantasy Comedy,Evan Almighty,"Release Date: June 22, 2007"," $173,418,781"
1428,Genre: Animation,Meet the Robinsons,"Release Date: March 30, 2007"," $169,333,034"
1429,Genre: Romantic Comedy,Norbit,"Release Date: February 9, 2007"," $159,313,561"
1430,Genre: Comedy / Drama,The Bucket List,"Release Date: December 25, 2007"," $175,372,502"
1431,Genre: Family Comedy,The Game Plan,"Release Date: September 28, 2007"," $147,880,543"
1432,Genre: Animation,Beowulf,"Release Date: November 16, 2007"," $196,393,745"
1433,Genre: Fantasy,Bridge to Terabithia,"Release Date: February 16, 2007"," $137,587,063"
1434,Genre: Drama / Thriller,Disturbia,"Release Date: April 13, 2007"," $117,760,134"
1435,Genre: Crime Drama,No Country for Old Men,"Release Date: November 9, 2007"," $171,627,166"
1436,Genre: Comedy,Fred Claus,"Release Date: November 9, 2007"," $97,838,349"
1437,Genre: Horror,1408,"Release Date: June 22, 2007"," $131,998,242"
1438,Genre: Fantasy,The Golden Compass,"Release Date: December 7, 2007"," $372,234,864"
1439,Genre: War Drama,Charlie Wilson's War,"Release Date: December 21, 2007"," $119,000,410"
1440,Genre: Horror,Saw IV,"Release Date: October 26, 2007"," $139,352,633"
1441,Genre: Music Drama,Stomp the Yard,"Release Date: January 12, 2007"," $75,511,123"
1442,Genre: Animation,Surf's Up,"Release Date: June 8, 2007"," $149,044,513"
1444,Genre: Comedy,Tyler Perry's Why Did I Get Married?,"Release Date: October 12, 2007"," $55,862,886"
1445,Genre: Animation,TMNT,"Release Date: March 23, 2007"," $95,608,995"
1446,Genre: Romance,P.S. I Love You,"Release Date: December 21, 2007"," $156,835,339"
1448,Genre: Musical,Sweeney Todd:The Demon Barber of Fleet Street,"Release Date: December 21, 2007"," $152,523,164"
1449,Genre: Period Drama,Atonement,"Release Date: December 7, 2007"," $129,266,061"
1450,Genre: Action Horror,Resident Evil:Extinction,"Release Date: September 21, 2007"," $148,412,065"
1451,Genre: Romantic Comedy,Music and Lyrics,"Release Date: February 14, 2007"," $145,896,422"
1452,Genre: Family Comedy,Are We Done Yet?,"Release Date: April 4, 2007"," $58,388,068"
1453,Genre: Drama,This Christmas,"Release Date: November 21, 2007"," $49,778,552"
1454,Genre: Thriller,Michael Clayton,"Release Date: October 5, 2007"," $92,991,835"
1455,Genre: Thriller,Premonition,"Release Date: March 16, 2007"," $84,146,832"
1456,Genre: Comedy,Dan in Real Life,"Release Date: October 26, 2007"," $68,377,859"
1457,Genre: Action / Adventure,Jurassic World:Fallen Kingdom,"Release Date: June 22, 2018",Composer:
1458,Genre: Action,Shooter,"Release Date: March 23, 2007"," $95,696,996"
1459,Genre: Romantic Comedy,License to Wed,"Release Date: July 3, 2007"," $69,307,224"
1460,Genre: Animation,Underdogs (2015),Release Date: TBD," $25,100,000"
1461,Genre: Romantic Comedy,No Reservations,"Release Date: July 27, 2007"," $92,601,050"
1462,Genre: Romantic Comedy,Because I Said So,"Release Date: February 2, 2007"," $69,485,490"
1463,Genre: Sci-Fi Horror,Aliens Vs. Predator - Requiem,"Release Date: December 25, 2007"," $128,884,494"
1464,Genre: Fantasy,The Water Horse:Legend of the Deep,"Release Date: December 25, 2007"," $103,071,443"
1465,Genre: Drama,There Will Be Blood,"Release Date: December 26, 2007"," $76,181,545"
1466,Genre: Animation,Captain Underpants:The First Epic Movie,"Release Date: June 2, 2017"," $125,328,203"
1467,Genre: Action Comedy,The Hitman's Bodyguard,"Release Date: August 18, 2017"," $176,586,701"
1469,Genre: Thriller,Fracture,"Release Date: April 20, 2007"," $91,354,215"
1470,Genre: Fantasy,Stardust,"Release Date: August 10, 2007"," $135,560,026"
1471,Genre: Drama / Thriller,The Brave One,"Release Date: September 14, 2007"," $69,787,663"
1472,Genre: Romantic Comedy,The Heartbreak Kid,"Release Date: October 5, 2007"," $127,766,650"
1473,Genre: Drama,Freedom Writers,"Release Date: January 5, 2007"," $43,090,741"
1474,Genre: Action Comedy,Smokin' Aces,"Release Date: January 26, 2007"," $57,103,895"
1475,Genre: Horror,The Messengers,"Release Date: February 2, 2007"," $55,010,659"
1476,Genre: Comedy,Jackass:Number Two,"Release Date: September 22, 2006"," $84,618,532"
1477,Genre: Romantic Comedy,Good Luck Chuck,"Release Date: September 21, 2007"," $59,192,128"
1478,Genre: Comedy,Mr. Bean's Holiday,"Release Date: August 24, 2007"," $229,736,344"
1479,Genre: Drama / Thriller,Breach,"Release Date: February 16, 2007"," $40,953,935"
1480,Genre: Thriller,Zodiac,"Release Date: March 2, 2007"," $84,785,914"
1481,Genre: Sports Comedy,Balls of Fury,"Release Date: August 29, 2007"," $41,098,064"
1482,Genre: Fantasy Drama,Mr. Magorium's Wonder Emporium,"Release Date: November 16, 2007"," $69,474,661"
1483,Genre: Fantasy Drama,August Rush,"Release Date: November 21, 2007"," $66,122,026"
1484,Genre: Romantic Comedy,Tyler Perry's Daddy's Little Girls,"Release Date: February 14, 2007"," $31,609,243"
1485,Genre: Drama,The Great Debaters,"Release Date: December 25, 2007"," $30,236,407"
1486,Genre: Horror,28 Weeks Later,"Release Date: May 11, 2007"," $64,238,440"
1487,Genre: Crime Drama,We Own the Night,"Release Date: October 12, 2007"," $54,926,886"
1488,Genre: Thriller,Mr. Brooks,"Release Date: June 1, 2007"," $48,121,900"
1489,Genre: Thriller,Hannibal Rising,"Release Date: February 9, 2007"," $82,169,884"
1490,Genre: Comedy / Drama,The Nanny Diaries,"Release Date: August 24, 2007"," $47,738,099"
1491,Genre: Comedy,Mr. Woodcock,"Release Date: September 14, 2007"," $33,621,851"
1492,Genre: Family Adventure,Nancy Drew,"Release Date: June 15, 2007"," $30,666,930"
1494,Genre: Horror,The Reaping,"Release Date: April 5, 2007"," $62,771,059"
1496,Genre: Documentary,Sicko,"Release Date: June 22, 2007"," $36,088,109"
1497,Genre: Musical,Across the Universe,"Release Date: September 14, 2007"," $29,367,143"
1498,Genre: Thriller,Perfect Stranger,"Release Date: April 13, 2007"," $73,090,611"
1499,Genre: IMAX,Sea Monsters:A Prehistoric Adventure (IMAX),"Release Date: October 5, 2007"," $50,652,463"
1500,Genre: Action Thriller,The Dark Knight Rises,"Release Date: July 20, 2012"," $1,084,939,099"
1501,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
1502,Genre: Period Adventure,Indiana Jones and the Kingdom of the Crystal Skull,"Release Date: May 22, 2008"," $786,636,033"
1503,Genre: Fantasy Drama,Hancock,"Release Date: July 2, 2008"," $624,386,746"
1504,Genre: Animation,WALL-E,"Release Date: June 27, 2008"," $533,281,433"
1505,Genre: Animation,Kung Fu Panda 3,"Release Date: January 29, 2016"," $521,170,825"
1506,Genre: Romance,The Twilight Saga:Breaking Dawn Part 2,"Release Date: November 16, 2012"," $829,746,820"
1507,Genre: Animation,Madagascar:Escape 2 Africa,"Release Date: November 7, 2008"," $603,900,354"
1508,Genre: Action,Quantum of Solace,"Release Date: November 14, 2008"," $586,090,727"
1509,Genre: Animation,Dr. Seuss' Horton Hears a Who!,"Release Date: March 14, 2008"," $297,138,014"
1510,Genre: Romantic Comedy,Sex and the City 2,"Release Date: May 27, 2010"," $288,347,692"
1511,Genre: Action Drama,Gran Torino,"Release Date: December 12, 2008"," $269,958,228"
1512,Genre: Musical,Mamma Mia!,"Release Date: July 18, 2008"," $609,841,637"
1513,Genre: Comedy,Marley and Me,"Release Date: December 25, 2008"," $242,717,113"
1514,Genre: Fantasy,The Chronicles of Narnia:Prince Caspian,"Release Date: May 16, 2008"," $419,665,568"
1515,Genre: Drama,Slumdog Millionaire,"Release Date: November 12, 2008"," $377,910,544"
1516,Genre: Action / Adventure,The Incredible Hulk,"Release Date: June 13, 2008"," $263,427,551"
1518,Genre: Action Comedy,Get Smart,"Release Date: June 20, 2008"," $230,685,453"
1519,Genre: Fantasy Drama,The Curious Case of Benjamin Button,"Release Date: December 25, 2008"," $333,932,083"
1520,Genre: Comedy,Four Christmases,"Release Date: November 26, 2008"," $163,733,697"
1521,Genre: Animation,Bolt,"Release Date: November 21, 2008"," $309,979,994"
1522,Genre: Action Comedy,Tropic Thunder,"Release Date: August 13, 2008"," $188,072,649"
1523,Genre: Family Adventure,Bedtime Stories,"Release Date: December 25, 2008"," $212,874,442"
1524,Genre: Period Adventure,The Mummy:Tomb of the Dragon Emperor,"Release Date: August 1, 2008"," $401,128,639"
1525,Genre: Adventure,Journey to the Center of the Earth,"Release Date: July 11, 2008"," $241,995,151"
1526,Genre: Thriller,Eagle Eye,"Release Date: September 26, 2008"," $178,066,569"
1527,Genre: Comedy,Step Brothers,"Release Date: July 25, 2008"," $128,107,642"
1528,Genre: Comedy,You Don't Mess with the Zohan,"Release Date: June 6, 2008"," $199,936,011"
1529,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
1532,Genre: Musical,High School Musical 3:Senior Year,"Release Date: October 24, 2008"," $252,909,177"
1533,Genre: Action Comedy,Pineapple Express,"Release Date: August 6, 2008"," $101,624,843"
1535,Genre: Comedy,21 and Over,"Release Date: March 1, 2013"," $48,065,672"
1536,Genre: Comedy,What Happens in Vegas,"Release Date: May 9, 2008"," $219,375,797"
1537,Genre: Fantasy,Jumper,"Release Date: February 14, 2008"," $222,231,186"
1539,Genre: Sci-Fi,The Day the Earth Stood Still (2008),"Release Date: December 12, 2008"," $233,093,859"
1540,Genre: Romantic Comedy,27 Dresses,"Release Date: January 18, 2008"," $160,259,319"
1541,Genre: Action Horror,Hellboy II:The Golden Army,"Release Date: July 11, 2008"," $160,388,063"
1542,Genre: Thriller,Vantage Point,"Release Date: February 22, 2008"," $151,161,491"
1543,Genre: Fantasy,The Spiderwick Chronicles,"Release Date: February 14, 2008"," $162,839,667"
1544,Genre: Romantic Adventure,Fool's Gold,"Release Date: February 8, 2008"," $111,231,041"
1545,Genre: Drama,Seven Pounds,"Release Date: December 19, 2008"," $168,168,201"
1546,Genre: Comedy,Role Models,"Release Date: November 7, 2008"," $92,380,927"
1547,Genre: Concert,Hannah Montana/Miley Cyrus:Best of Both Worlds Concert Tour,"Release Date: February 1, 2008"," $70,642,036"
1548,Genre: Thriller,The Happening,"Release Date: June 13, 2008"," $163,403,799"
1549,Genre: Comedy,Forgetting Sarah Marshall,"Release Date: April 18, 2008"," $105,173,115"
1550,Genre: Comedy,Baby Mama,"Release Date: April 25, 2008"," $64,163,648"
1551,Genre: Comedy,Burn After Reading,"Release Date: September 12, 2008"," $163,720,069"
1552,Genre: Music Drama,Step Up 2 the Streets,"Release Date: February 14, 2008"," $150,816,700"
1553,Genre: Horror,Saw V,"Release Date: October 24, 2008"," $113,864,059"
1555,Genre: Action,The Forbidden Kingdom,"Release Date: April 18, 2008"," $127,980,002"
1556,Genre: Fantasy,Tale of Tales,"Release Date: April 22, 2016"," $118,925"
1557,Genre: Period Adventure,Australia,"Release Date: November 26, 2008"," $211,342,221"
1558,Genre: Comedy,The House Bunny,"Release Date: August 22, 2008"," $70,442,940"
1559,Genre: Family Adventure,Nim's Island,"Release Date: April 4, 2008"," $100,076,342"
1560,Genre: Comedy,Made of Honor,"Release Date: May 2, 2008"," $105,962,760"
1561,Genre: Comedy,College Road Trip,"Release Date: March 7, 2008"," $51,549,674"
1562,Genre: Comedy / Drama,The Sisterhood of the Traveling Pants 2,"Release Date: August 6, 2008"," $44,352,417"
1563,Genre: Action,Speed Racer,"Release Date: May 9, 2008"," $93,945,766"
1564,Genre: Horror,Prom Night (2008),"Release Date: April 11, 2008"," $57,197,876"
1565,Genre: Comedy,Son of Rambow,"Release Date: May 2, 2008"," $10,870,249"
1566,Genre: Comedy,Welcome Home Roscoe Jenkins,"Release Date: February 8, 2008"," $43,650,785"
1567,Genre: Comedy,Tyler Perry's Meet the Browns,"Release Date: March 21, 2008"," $41,975,388"
1568,Genre: Romance,Nights in Rodanthe,"Release Date: September 26, 2008"," $84,375,061"
1569,Genre: Action / Crime,Max Payne,"Release Date: October 17, 2008"," $85,416,905"
1570,Genre: Crime Thriller,Righteous Kill,"Release Date: September 12, 2008"," $78,460,699"
1571,Genre: Drama / Thriller,Body of Lies,"Release Date: October 10, 2008"," $115,900,897"
1572,Genre: Drama / Thriller,Lakeview Terrace,"Release Date: September 19, 2008"," $44,653,637"
1573,Genre: Comedy,Meet the Spartans,"Release Date: January 25, 2008"," $84,646,831"
1574,Genre: Comedy,Harold and Kumar Escape from Guantanamo Bay,"Release Date: April 25, 2008"," $43,493,123"
1575,Genre: Crime Comedy,First Sunday,"Release Date: January 11, 2008"," $38,804,615"
1576,Genre: Drama,The Secret Life of Bees,"Release Date: October 17, 2008"," $39,947,322"
1577,Genre: Comedy,Tyler Perry's The Family That Preys,"Release Date: September 12, 2008"," $37,105,289"
1578,Genre: Action Thriller,Death Race,"Release Date: August 22, 2008"," $75,677,515"
1579,Genre: Thriller,Changeling,"Release Date: October 24, 2008"," $113,020,256"
1580,Genre: Animation,Star Wars:The Clone Wars,"Release Date: August 15, 2008"," $68,282,844"
1581,Genre: Foreign,The Face Reader,"Release Date: October 4, 2013"," $54,597,581"
1583,Genre: Drama,Fireproof,"Release Date: September 26, 2008"," $33,473,297"
1585,Genre: Comedy,Drillbit Taylor,"Release Date: March 21, 2008"," $49,690,625"
1587,Genre: Comedy,The Love Guru,"Release Date: June 20, 2008"," $40,863,344"
1588,Genre: Foreign,Bhaag Milkha Bhaag,"Release Date: July 12, 2013"," $1,636,731"
1589,Genre: Action,The Transporter Refueled,"Release Date: September 4, 2015"," $72,629,670"
1590,Genre: Horror Thriller,Quarantine,"Release Date: October 10, 2008"," $41,319,906"
1591,Genre: Drama,Nick and Norah's Infinite Playlist,"Release Date: October 3, 2008"," $33,506,137"
1592,Genre: Comedy,Zack and Miri Make a Porno,"Release Date: October 31, 2008"," $42,105,111"
1593,Genre: Drama,All Eyez on Me,"Release Date: June 16, 2017"," $44,922,302"
1594,Genre: Sports Comedy,Leatherheads,"Release Date: April 4, 2008"," $41,299,492"
1595,Genre: Horror,Mirrors,"Release Date: August 15, 2008"," $77,488,607"
1596,Genre: Animation,Space Chimps,"Release Date: July 18, 2008"," $64,834,964"
1597,Genre: Crime Thriller,The Bank Job,"Release Date: March 7, 2008"," $64,822,796"
1598,Genre: Thriller,Untraceable,"Release Date: January 25, 2008"," $52,659,594"
1599,Genre: War,Defiance,"Release Date: December 31, 2008"," $51,155,219"
1601,Genre: Sci-Fi Action,Transformers:Revenge of the Fallen,"Release Date: June 24, 2009"," $836,303,693"
1602,Genre: Fantasy,Harry Potter and the Half-Blood Prince,"Release Date: July 15, 2009"," $934,416,487"
1603,Genre: Romance,The Twilight Saga:New Moon,"Release Date: November 20, 2009"," $709,711,008"
1605,Genre: Comedy,The Hangover Part III,"Release Date: May 23, 2013"," $362,000,072"
1606,Genre: Sci-Fi Adventure,Star Trek Beyond,"Release Date: July 22, 2016"," $343,471,816"
1607,Genre: Sports Drama,The Blind Side,"Release Date: November 20, 2009"," $309,208,309"
1608,Genre: Family Comedy,Alvin and the Chipmunks:The Squeakquel,"Release Date: December 23, 2009"," $443,140,005"
1609,Genre: Adventure,Sherlock Holmes:A Game of Shadows,"Release Date: December 16, 2011"," $545,448,418"
1610,Genre: Animation,Monsters Vs. Aliens,"Release Date: March 27, 2009"," $381,509,870"
1611,Genre: Animation,Ice Age:Dawn of the Dinosaurs,"Release Date: July 1, 2009"," $886,686,817"
1612,Genre: Action / Adventure,X-Men Origins:Wolverine,"Release Date: May 1, 2009"," $373,062,864"
1613,Genre: Family Adventure,Night at the Museum:Battle of the Smithsonian,"Release Date: May 22, 2009"," $413,106,170"
1614,Genre: Drama,Promised Land (2012),"Release Date: December 28, 2012"," $8,138,788"
1615,Genre: Romantic Comedy,The Proposal,"Release Date: June 19, 2009"," $317,375,031"
1617,Genre: Action,G.I. Joe:The Rise of Cobra,"Release Date: August 7, 2009"," $302,469,017"
1618,Genre: Comedy,Paul Blart:Mall Cop 2,"Release Date: April 17, 2015"," $107,588,225"
1619,Genre: Action,Taken 3,"Release Date: January 9, 2015"," $326,479,141"
1620,Genre: Animation,A Christmas Carol (2009),"Release Date: November 6, 2009"," $325,286,646"
1621,Genre: Thriller,Angels & Demons,"Release Date: May 15, 2009"," $485,930,816"
1622,Genre: Sci-Fi Action,Terminator Salvation,"Release Date: May 21, 2009"," $371,353,001"
1623,Genre: Animation,Cloudy with a Chance of Meatballs 2,"Release Date: September 27, 2013"," $274,325,949"
1624,Genre: War,Inglourious Basterds,"Release Date: August 21, 2009"," $321,455,689"
1625,Genre: Family Adventure,G-Force,"Release Date: July 24, 2009"," $292,817,841"
1626,Genre: Sci-Fi,District 9,"Release Date: August 14, 2009"," $210,819,611"
1627,Genre: Romantic Comedy,It's Complicated,"Release Date: December 25, 2009"," $219,103,655"
1628,Genre: Comedy,Couples Retreat,"Release Date: October 9, 2009"," $171,844,840"
1629,Genre: Horror,Paranormal Activity:The Ghost Dimension,"Release Date: October 23, 2015"," $78,903,124"
1630,Genre: Action / Adventure,Watchmen,"Release Date: March 6, 2009"," $185,258,983"
1631,Genre: Animation,The Princess and the Frog,"Release Date: November 25, 2009"," $267,045,765"
1632,Genre: Crime Drama,Public Enemies,"Release Date: July 1, 2009"," $214,104,620"
1633,Genre: Comedy / Drama,Julie & Julia,"Release Date: August 7, 2009"," $129,540,499"
1634,Genre: Romantic Comedy,He's Just Not That Into You,"Release Date: February 6, 2009"," $178,846,899"
1635,Genre: Comedy,Tyler Perry's Madea Goes to Jail,"Release Date: February 20, 2009"," $90,508,336"
1636,Genre: Romantic Comedy,The Ugly Truth,"Release Date: July 24, 2009"," $205,298,907"
1637,Genre: Comedy / Drama,Up in the Air,"Release Date: December 4, 2009"," $166,842,739"
1638,Genre: Drama / Thriller,Knowing,"Release Date: March 20, 2009"," $183,593,586"
1639,Genre: Family Comedy,Hannah Montana The Movie,"Release Date: April 10, 2009"," $155,545,279"
1640,Genre: Family Adventure,Where the Wild Things Are,"Release Date: October 16, 2009"," $100,086,793"
1641,Genre: Horror Comedy,Zombieland,"Release Date: October 2, 2009"," $102,391,540"
1642,Genre: Animation,Coraline,"Release Date: February 6, 2009"," $124,596,398"
1643,Genre: Thriller,Law Abiding Citizen,"Release Date: October 16, 2009"," $126,690,726"
1644,Genre: Family,Hotel for Dogs,"Release Date: January 16, 2009"," $117,000,198"
1645,Genre: Concert,Michael Jackson's This Is It,"Release Date: October 28, 2009"," $261,183,588"
1647,Genre: Thriller,Obsessed,"Release Date: April 24, 2009"," $73,830,340"
1648,Genre: Family Adventure,Race to Witch Mountain,"Release Date: March 13, 2009"," $106,387,141"
1649,Genre: Horror,Final Destination 5,"Release Date: August 12, 2011"," $157,887,643"
1650,Genre: Action Thriller,The Taking of Pelham 1 2 3,"Release Date: June 12, 2009"," $150,166,126"
1652,Genre: Fantasy Comedy,17 Again,"Release Date: April 17, 2009"," $136,267,476"
1653,Genre: Romance,The Time Traveler's Wife,"Release Date: August 14, 2009"," $101,344,412"
1654,Genre: Comedy,Bruno,"Release Date: July 10, 2009"," $138,805,831"
1655,Genre: Comedy,Bride Wars,"Release Date: January 9, 2009"," $114,663,461"
1656,Genre: Horror,The Haunting in Connecticut,"Release Date: March 27, 2009"," $77,527,732"
1657,Genre: Fantasy Comedy,Ghosts of Girlfriends Past,"Release Date: May 1, 2009"," $102,223,269"
1658,Genre: Comedy,Funny People,"Release Date: July 31, 2009"," $71,585,235"
1659,Genre: Comedy / Drama,Tyler Perry's I Can Do Bad All By Myself,"Release Date: September 11, 2009"," $51,733,921"
1660,Genre: Horror,My Bloody Valentine 3-D,"Release Date: January 16, 2009"," $100,734,718"
1661,Genre: Family Comedy,Old Dogs,"Release Date: November 25, 2009"," $96,753,696"
1662,Genre: Adventure Comedy,Land of the Lost,"Release Date: June 5, 2009"," $68,777,554"
1663,Genre: Drama,My Sister's Keeper,"Release Date: June 26, 2009"," $95,714,875"
1665,Genre: Action Horror,Underworld:Rise of the Lycans,"Release Date: January 23, 2009"," $91,353,501"
1666,Genre: Romantic Comedy,Confessions of a Shopaholic,"Release Date: February 13, 2009"," $108,333,222"
1667,Genre: Drama / Thriller,The Lovely Bones,"Release Date: December 11, 2009"," $93,621,340"
1668,Genre: Documentary,Page One:A Year Inside the New York Times,"Release Date: June 17, 2011"," $1,067,028"
1669,Genre: Horror,The Unborn (2009),"Release Date: January 9, 2009"," $76,514,050"
1670,Genre: Animation,Planet 51,"Release Date: November 20, 2009"," $105,647,102"
1671,Genre: Horror,Drag Me to Hell,"Release Date: May 29, 2009"," $90,842,646"
1672,Genre: Horror,Orphan,"Release Date: July 24, 2009"," $76,699,632"
1673,Genre: Thriller,Duplicity,"Release Date: March 20, 2009"," $78,146,652"
1674,Genre: Drama,Crazy Heart,"Release Date: December 16, 2009"," $47,405,566"
1675,Genre: Sci-Fi Action,Surrogates,"Release Date: September 25, 2009"," $122,444,772"
1676,Genre: Action,Ninja Assassin,"Release Date: November 25, 2009"," $61,601,280"
1677,Genre: Drama,Invictus,"Release Date: December 11, 2009"," $122,233,971"
1678,Genre: Thriller,State of Play,"Release Date: April 17, 2009"," $87,812,371"
1679,Genre: Music Drama,Notorious (2009),"Release Date: January 16, 2009"," $44,371,751"
1680,Genre: Action Comedy,The Pink Panther 2,"Release Date: February 6, 2009"," $75,946,615"
1682,Genre: Comedy,All About Steve,"Release Date: September 4, 2009"," $40,105,542"
1683,Genre: Horror,Halloween II (2009),"Release Date: August 28, 2009"," $39,421,467"
1684,Genre: Drama / Thriller,The Informant!,"Release Date: September 18, 2009"," $41,771,168"
1685,Genre: Horror,The Last House on the Left (2009),"Release Date: March 13, 2009"," $45,286,228"
1686,Genre: Comedy,The Men Who Stare at Goats,"Release Date: November 6, 2009"," $68,968,688"
1687,Genre: Romance,(500) Days of Summer,"Release Date: July 17, 2009"," $60,722,734"
1691,Genre: Music Drama,The Soloist,"Release Date: April 24, 2009"," $38,332,994"
1692,Genre: Animation,Toy Story / Toy Story 2 (3D),"Release Date: October 2, 2009"," $32,284,600"
