,Genre,Movies,Release_Date,WGross
149,Genre: Action,Drop Zone,"Release Date: December 9, 1994",Composer:
150,Genre: Period Drama,The Shawshank Redemption,"Release Date: September 23, 1994",Writer:
151,Genre: Comedy,Guarding Tess,"Release Date: March 11, 1994",Actors:
152,Genre: Romantic Comedy,I.Q.,"Release Date: December 25, 1994",Actors:
154,Genre: Western,Wyatt Earp,"Release Date: June 24, 1994",Writer:
156,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
157,Genre: Sports Drama,Blue Chips,"Release Date: February 18, 1994",Actors:
158,Genre: Period Horror,Mary Shelley's Frankenstein,"Release Date: November 4, 1994"," $112,006,296"
159,Genre: Romance,Intersection,"Release Date: January 21, 1994",Actors:
160,Genre: Sports Comedy,The Air Up There,"Release Date: January 7, 1994",Actor:
162,Genre: Romantic Comedy,Reality Bites,"Release Date: February 18, 1994"," $33,351,557"
163,Genre: Romance,Jason's Lyric,"Release Date: September 30, 1994",Actors:
164,Genre: Romantic Comedy,Speechless,"Release Date: December 16, 1994",Actors:
165,Genre: Action Comedy,The Cowboy Way,"Release Date: June 3, 1994",Actors:
167,Genre: Drama,Thank You for Your Service (2017),"Release Date: October 27, 2017"," $9,479,390"
168,Genre: Drama,With Honors,"Release Date: April 29, 1994",Actors:
169,Genre: Romantic Thriller,Color of Night,"Release Date: August 19, 1994",Writer:
170,Genre: Sports Drama,8 Seconds,"Release Date: February 25, 1994",Actors:
171,Genre: Action / Crime,The Professional,"Release Date: November 18, 1994",Writer:
172,Genre: Family Comedy,Little Giants,"Release Date: October 14, 1994",Actors:
173,Genre: Comedy,House Party 3,"Release Date: January 14, 1994",Actors:
174,Genre: Family Comedy,Getting Even With Dad,"Release Date: June 17, 1994",Actors:
175,Genre: Unknown,An Affair of Love,"Release Date: August 11, 2000"," $359,050"
176,Genre: Crime Drama,Sugar Hill,"Release Date: February 25, 1994",Actor:
177,Genre: Romantic Comedy,Milk Money,"Release Date: September 2, 1994",Actors:
178,Genre: Horror,Wes Craven's New Nightmare,"Release Date: October 14, 1994"," $19,721,741"
