,Age,Athlete,Country,Medal,NOC,Rank,Time,Year,Type,Gender,test
5406,22.0,Igor Laikert,Bosnia and Herzegovina,,BIH,27.0,2:55.70,2014,Combined,Male,False
5405,27.0,Igor Zakurdayev,Kazakhstan,,KAZ,26.0,2:54.64,2014,Combined,Male,False
5404,26.0,FerrÃ¡n Terra,Spain,,ESP,25.0,2:53.54,2014,Combined,Male,False
5403,21.0,Pavel Trikhichev,Russia,,RUS,24.0,2:53.29,2014,Combined,Male,False
5402,24.0,Nikola Chongarov,Bulgaria,,BUL,23.0,2:52.41,2014,Combined,Male,False
4788,20.0,Vladislav Novikov,Russia,,RUS,35.0,2:52.65,2014,Giant Slalom,Male,False
4790,22.0,Klemen Kosi,Slovenia,,SLO,37.0,2:53.36,2014,Giant Slalom,Male,False
4791,22.0,Marc Oliveras,Andorra,,AND,38.0,2:53.74,2014,Giant Slalom,Male,False
4792,20.0,Dominic Demschar,Australia,,AUS,39.0,2:53.77,2014,Giant Slalom,Male,False
4772,22.0,Jared Goldberg,United States,,USA,19.0,2:47.48,2014,Giant Slalom,Male,False
4771,31.0,Philipp SchÃ¶rghofer,Austria,,AUT,18.0,2:47.46,2014,Giant Slalom,Male,False
4770,35.0,Davide Simoncelli,Italy,,ITA,17.0,2:47.35,2014,Giant Slalom,Male,False
4769,26.0,Leif Kristian Haugen,Norway,,NOR,16.0,2:47.15,2014,Giant Slalom,Male,False
4768,29.0,Tim Jitloff,United States,,USA,15.0,2:47.13,2014,Giant Slalom,Male,False
4767,25.0,Matts Olsson,Sweden,,SWE,14.0,2:47.06,2014,Giant Slalom,Male,False
4766,27.0,Carlo Janka,Switzerland,,SUI,13.0,2:47.04,2014,Giant Slalom,Male,False
4765,26.0,Fritz Dopfer,Germany,,GER,12.0,2:46.97,2014,Giant Slalom,Male,False
4764,23.0,Luca De Aliprandini,Italy,,ITA,11.0,2:46.91,2014,Giant Slalom,Male,False
