,Age,Athlete,Country,Medal,NOC,Rank,Time,Year,Type,Gender,test
2088,24.0,Anita Wachter,Austria,,AUT,9.0,1:24.20,1992,Super G,Women,False
2965,23.0,KatjuÅ¡a PuÅ¡nik,Slovenia,,SLO,,,1992,Giant Slalom,Women,False
4321,17.0,Daniel Stahle,Bolivia,,BOL,83.0,3:12.36,1992,Giant Slalom,Male,False
4320,20.0,Nanak Chand Thakur,India,,IND,82.0,3:09.03,1992,Giant Slalom,Male,False
4319,22.0,Chen Tong-Jong,Chinese Taipei,,TPE,81.0,3:05.99,1992,Giant Slalom,Male,False
4318,23.0,Kamel Guerri,Algeria,,ALG,80.0,3:03.77,1992,Giant Slalom,Male,False
4317,19.0,German SÃ¡nchez,Mexico,,MEX,79.0,2:56.71,1992,Giant Slalom,Male,False
4348,21.0,Lasse Kjus,Norway,,NOR,,,1992,Giant Slalom,Male,False
4350,20.0,Didrik Marksten,Norway,,NOR,,,1992,Giant Slalom,Male,False
2093,30.0,Regine MÃ¶senlechner,Germany,,GER,14.0,1:24.85,1992,Super G,Women,False
2085,25.0,Kerrin Lee-Gartner,Canada,,CAN,6.0,1:23.76,1992,Super G,Women,False
4369,21.0,Raymond Keyrouz,Lebanon,,LIB,,,1992,Giant Slalom,Male,False
2080,21.0,Deborah Compagnoni,Italy,Gold,ITA,1.0,1:21.22,1992,Super G,Women,False
2081,28.0,Carole Merle,France,Silver,FRA,2.0,1:22.63,1992,Super G,Women,False
2082,19.0,Katja Seizinger,Germany,Bronze,GER,3.0,1:23.19,1992,Super G,Women,False
2083,22.0,Petra Kronberger,Austria,,AUT,4.0,1:23.20,1992,Super G,Women,False
2084,24.0,Ulrike Maier,Austria,,AUT,5.0,1:23.35,1992,Super G,Women,False
2086,26.0,Michaela Gerg-Leitner,Germany,,GER,7.0,1:23.77,1992,Super G,Women,False
4351,28.0,Markus Wasmeier,Germany,,GER,,,1992,Giant Slalom,Male,False
2087,26.0,Eva Twardokens,United States,,USA,8.0,1:24.19,1992,Super G,Women,False
1284,20.0,Mitja Kunc,Slovenia,,SLO,27,1:16.49,1992,Super G,Male,False
5071,27.0,Lasse Arnesen,Norway,,NOR,10.0,51.93,1992,Combined,Male,False
1285,21.0,Tommy Moe,United States,,USA,28,1:16.54,1992,Super G,Male,False
5076,21.0,Kiminobu Kimura,Japan,,JPN,15.0,64.14,1992,Combined,Male,False
5095,25.0,Alexis Racloz,Chile,,CHI,34.0,235.31,1992,Combined,Male,False
5094,21.0,Pierre KÅszÃ¡li,Hungary,,HUN,33.0,226.57,1992,Combined,Male,False
5093,20.0,Choi Yong-Hee,South Korea,,KOR,32.0,221.6,1992,Combined,Male,False
5092,22.0,Franco Colturi,Italy,,ITA,31.0,176.69,1992,Combined,Male,False
5091,21.0,Achim Vogt,Liechtenstein,,LIE,30.0,172.91,1992,Combined,Male,False
5090,24.0,Markus Foser,Liechtenstein,,LIE,29.0,146.89,1992,Combined,Male,False
5089,24.0,Sean Langmuir,Great Britain,,GBR,28.0,142.32,1992,Combined,Male,False
5088,26.0,Graham Bell,Great Britain,,GBR,27.0,134.03,1992,Combined,Male,False
5086,27.0,Martin Bell,Great Britain,,GBR,25.0,121.83,1992,Combined,Male,False
5085,19.0,Daniel Vogt,Liechtenstein,,LIE,24.0,112.92,1992,Combined,Male,False
5070,20.0,Takuya Ishioka,Japan,,JPN,9.0,51.83,1992,Combined,Male,False
5084,22.0,Ricardo Campo,Spain,,ESP,23.0,104.61,1992,Combined,Male,False
5083,22.0,Petar Dichev,Bulgaria,,BUL,22.0,101.59,1992,Combined,Male,False
5082,24.0,Paul Accola,Switzerland,,SUI,21.0,90.96,1992,Combined,Male,False
5081,22.0,Vitaly Andreyev,Unified Team,,EUN,20.0,85.07,1992,Combined,Male,False
5080,29.0,Steven Lee,Australia,,AUS,19.0,85.05,1992,Combined,Male,False
5079,21.0,Tommy Moe,United States,,USA,18.0,82.15,1992,Combined,Male,False
5078,24.0,Jorge Pujol,Spain,,ESP,17.0,72.07,1992,Combined,Male,False
5077,23.0,Kyle Rasmussen,United States,,USA,16.0,66.7,1992,Combined,Male,False
1283,27.0,GÃ¼nther Marxer,Liechtenstein,,LIE,26,1:16.48,1992,Super G,Male,False
5096,26.0,Emilian FocÈeneanu,Romania,,ROU,35.0,249.41,1992,Combined,Male,False
5087,20.0,Marcin SzafraÅski,Poland,,POL,26.0,133.04,1992,Combined,Male,False
5075,22.0,Cary Mullen,Canada,,CAN,14.0,62.37,1992,Combined,Male,False
5074,19.0,Jure KoÅ¡ir,Slovenia,,SLO,13.0,59.78,1992,Combined,Male,False
5069,25.0,Xavier Gigandet,Switzerland,,SUI,8.0,41.21,1992,Combined,Male,False
5068,25.0,Ole Kristian Furuseth,Norway,,NOR,7.0,40.47,1992,Combined,Male,False
5067,22.0,Kristian Ghedina,Italy,,ITA,6.0,38.96,1992,Combined,Male,False
5066,28.0,Markus Wasmeier,Germany,,GER,5.0,32.77,1992,Combined,Male,False
5065,25.0,Jean-Luc CrÃ©tier,France,,FRA,4.0,18.97,1992,Combined,Male,False
5064,24.0,Steve Locher,Switzerland,Bronze,SUI,3.0,18.16,1992,Combined,Male,False
5063,21.0,Gianfranco Martin,Italy,Silver,ITA,2.0,14.9,1992,Combined,Male,False
5062,23.0,Josef Polig,Italy,Gold,ITA,1.0,14.58,1992,Combined,Male,False
1273,26.0,Luc Alphand,France,,FRA,16,1:15.39,1992,Super G,Male,False
1274,23.0,Kyle Rasmussen,United States,,USA,17,1:15.58,1992,Super G,Male,False
1275,24.0,Patrick Ortlieb,Austria,,AUT,18,1:15.66,1992,Super G,Male,False
1276,21.0,Alberto Senigagliesi,Italy,,ITA,19,1:15.70,1992,Super G,Male,False
1277,21.0,Gregor Grilc,Slovenia,,SLO,20,1:15.71,1992,Super G,Male,False
1278,24.0,HansjÃ¶rg Tauscher,Germany,,GER,21,1:15.98,1992,Super G,Male,False
1279,21.0,Konstantin Chistyakov,Unified Team,,EUN,22,1:16.14,1992,Super G,Male,False
1280,23.0,A J Kitt,United States,,USA,23,1:16.31,1992,Super G,Male,False
1281,29.0,Hubert Strolz,Austria,,AUT,24,1:16.36,1992,Super G,Male,False
1282,25.0,Jean-Luc CrÃ©tier,France,,FRA,24,1:16.36,1992,Super G,Male,False
5073,23.0,Rob Crossan,Canada,,CAN,12.0,57.27,1992,Combined,Male,False
2964,26.0,Michaela Gerg-Leitner,Germany,,GER,,,1992,Giant Slalom,Women,False
1353,21.0,Patrick Holzer,Italy,,ITA,,,1992,Super G,Male,False
2966,23.0,Lara Magoni,Italy,,ITA,,,1992,Giant Slalom,Women,False
1358,20.0,Tsuyoshi Tomii,Japan,,JPN,,,1992,Super G,Male,False
795,24.0,HansjÃ¶rg Tauscher,Germany,,GER,7,1:51.49,1992,DownHill,Male,False
1351,29.0,Franz Heinzer,Switzerland,,SUI,,,1992,Super G,Male,False
831,24.0,PÃ©ter KristÃ¡ly,Hungary,,HUN,43,2:09.88,1992,DownHill,Male,False
1364,26.0,Emilian FocÈeneanu,Romania,,ROU,,,1992,Super G,Male,False
1363,18.0,Carlos Mier y TerÃ¡n,Mexico,,MEX,,,1992,Super G,Male,False
1362,26.0,Alphonse Gomis,Senegal,,SEN,,,1992,Super G,Male,False
1361,20.0,Marcin SzafraÅski,Poland,,POL,,,1992,Super G,Male,False
1360,18.0,Vedran Pavlek,Croatia,,CRO,,,1992,Super G,Male,False
1359,22.0,Vitaly Andreyev,Unified Team,,EUN,,,1992,Super G,Male,False
1357,19.0,Daniel Vogt,Liechtenstein,,LIE,,,1992,Super G,Male,False
793,25.0,Jan Einar Thorsen,Norway,,NOR,5,1:50.79,1992,DownHill,Male,False
1356,21.0,Achim Vogt,Liechtenstein,,LIE,,,1992,Super G,Male,False
1355,23.0,Rob Crossan,Canada,,CAN,,,1992,Super G,Male,False
1354,24.0,Armand Schiele,France,,FRA,,,1992,Super G,Male,False
4323,17.0,Mourad Guerri,Algeria,,ALG,85.0,3:20.33,1992,Giant Slalom,Male,False
1352,27.0,Franck Piccard,France,,FRA,,,1992,Super G,Male,False
796,27.0,Lasse Arnesen,Norway,,NOR,8,1:51.63,1992,DownHill,Male,False
829,29.0,Lothar Christian Munder,Brazil,,BRA,41,2:07.34,1992,DownHill,Male,False
1349,24.0,Brahim Id Abdellah,Morocco,,MAR,92,1:49.65,1992,Super G,Male,False
1348,26.0,El-Hassan Mahta,Morocco,,MAR,91,1:41.06,1992,Super G,Male,False
1371,21.0,Xavier Ubeira,Spain,,ESP,,,1992,Super G,Male,False
2924,26.0,Eva Twardokens,United States,,USA,7.0,2:14.47,1992,Giant Slalom,Women,False
838,24.0,Paul Accola,Switzerland,,SUI,,,1992,DownHill,Male,False
2132,20.0,Astrid LÃ¸demel,Norway,,NOR,,,1992,Super G,Women,False
2123,22.0,Vera GÃ¶nczi,Hungary,,HUN,44.0,1:37.90,1992,Super G,Women,False
2124,23.0,Liu Yali,China,,CHN,45.0,1:43.50,1992,Super G,Women,False
2125,17.0,Evelyn Schuler,Brazil,,BRA,46.0,1:48.74,1992,Super G,Women,False
2126,16.0,Li Xueqin,China,,CHN,47.0,1:48.86,1992,Super G,Women,False
2127,20.0,Nacera Boukamoum,Algeria,,ALG,48.0,1:56.07,1992,Super G,Women,False
2128,24.0,Diann Roffe-Steinrotter,United States,,USA,,,1992,Super G,Women,False
2130,24.0,Chantal Bournissen,Switzerland,,SUI,,,1992,Super G,Women,False
2925,19.0,Katja Seizinger,Germany,,GER,8.0,2:14.96,1992,Giant Slalom,Women,False
2131,24.0,Heidi Zurbriggen,Switzerland,,SUI,,,1992,Super G,Women,False
2133,18.0,Å pela Pretnar,Slovenia,,SLO,,,1992,Super G,Women,False
2923,28.0,Carole Merle,France,,FRA,6.0,2:14.24,1992,Giant Slalom,Women,False
2134,19.0,Barbara Brlec,Slovenia,,SLO,,,1992,Super G,Women,False
2135,22.0,Debbie Pratt,Great Britain,,GBR,,,1992,Super G,Women,False
2136,20.0,Julie Parisien,United States,,USA,,[1:24.45],1992,Super G,Women,False
2137,17.0,UrÅ¡ka Hrovat,Slovenia,,SLO,,[1:26.42],1992,Super G,Women,False
2138,25.0,Nawal Slaoui,Morocco,,MAR,,,1992,Super G,Women,False
2919,24.0,Diann Roffe-Steinrotter,United States,Silver,USA,2.0,2:13.71,1992,Giant Slalom,Women,False
2920,24.0,Anita Wachter,Austria,Silver,AUT,2.0,2:13.71,1992,Giant Slalom,Women,False
2921,24.0,Ulrike Maier,Austria,,AUT,4.0,2:13.77,1992,Giant Slalom,Women,False
2922,20.0,Julie Parisien,United States,,USA,5.0,2:14.10,1992,Giant Slalom,Women,False
1347,23.0,Kamel Guerri,Algeria,,ALG,90,1:38.94,1992,Super G,Male,False
1346,25.0,Brahim Ait Sibrahim,Morocco,,MAR,89,1:38.60,1992,Super G,Male,False
1345,22.0,Cevdet Can,Turkey,,TUR,88,1:37.97,1992,Super G,Male,False
816,23.0,Reggie Crist,United States,,USA,28,1:54.54,1992,DownHill,Male,False
804,23.0,Kyle Rasmussen,United States,,USA,16,1:52.71,1992,DownHill,Male,False
803,25.0,Xavier Gigandet,Switzerland,,SUI,15,1:52.50,1992,DownHill,Male,False
802,21.0,Gianfranco Martin,Italy,,ITA,14,1:52.48,1992,DownHill,Male,False
801,30.0,Daniel Mahrer,Switzerland,,SUI,13,1:52.39,1992,DownHill,Male,False
800,26.0,Luc Alphand,France,,FRA,12,1:52.34,1992,DownHill,Male,False
799,22.0,Kristian Ghedina,Italy,,ITA,11,1:52.28,1992,DownHill,Male,False
798,22.0,Franco Colturi,Italy,,ITA,10,1:52.07,1992,DownHill,Male,False
797,23.0,A J Kitt,United States,,USA,9,1:51.98,1992,DownHill,Male,False
827,20.0,Choi Yong-Hee,South Korea,,KOR,39,2:04.85,1992,DownHill,Male,False
2946,21.0,Ewa Zagata,Poland,,POL,29.0,2:29.42,1992,Giant Slalom,Women,False
1344,20.0,Eduardo Ampudia,Mexico,,MEX,87,1:36.86,1992,Super G,Male,False
818,22.0,Ricardo Campo,Spain,,ESP,30,1:54.89,1992,DownHill,Male,False
821,26.0,Graham Bell,Great Britain,,GBR,33,1:55.82,1992,DownHill,Male,False
819,29.0,Boris Duncan,Great Britain,,GBR,31,1:54.95,1992,DownHill,Male,False
826,33.0,Hubertus von FÃ¼rstenberg-von Hohenlohe,Mexico,,MEX,38,2:02.98,1992,DownHill,Male,False
824,29.0,Steven Lee,Australia,,AUS,36,1:58.55,1992,DownHill,Male,False
823,20.0,Paulo Oppliger,Chile,,CHI,35,1:56.30,1992,DownHill,Male,False
822,27.0,MariÃ¡n BÃ­reÅ¡,Czechoslovakia,,TCH,34,1:56.21,1992,DownHill,Male,False
825,22.0,Petar Dichev,Bulgaria,,BUL,37,2:01.21,1992,DownHill,Male,False
820,21.0,Tom Stiansen,Norway,,NOR,32,1:55.62,1992,DownHill,Male,False
817,27.0,Martin Bell,Great Britain,,GBR,29,1:54.83,1992,DownHill,Male,False
805,32.0,Helmut HÃ¶flehner,Austria,,AUT,17,1:53.10,1992,DownHill,Male,False
807,24.0,Berni Huber,Germany,,GER,19,1:53.38,1992,DownHill,Male,False
808,21.0,Tommy Moe,United States,,USA,20,1:53.40,1992,DownHill,Male,False
1343,29.0,Hans Egger,Brazil,,BRA,86,1:35.88,1992,Super G,Male,False
1342,18.0,ÃÃ±igo Domenech,Mexico,,MEX,85,1:35.29,1992,Super G,Male,False
1341,20.0,Andreas Vasili,Cyprus,,CYP,84,1:32.78,1992,Super G,Male,False
1340,17.0,Mourad Guerri,Algeria,,ALG,83,1:32.76,1992,Super G,Male,False
1339,24.0,Yakup Kadri Birinci,Turkey,,TUR,82,1:30.40,1992,Super G,Male,False
1338,24.0,Alekhis Fotiadis,Cyprus,,CYP,81,1:30.31,1992,Super G,Male,False
1337,21.0,Sokratis Aristodimou,Cyprus,,CYP,80,1:30.13,1992,Super G,Male,False
1336,24.0,Keith Fraser,Swaziland,,SWZ,79,1:29.39,1992,Super G,Male,False
830,26.0,Emilian FocÈeneanu,Romania,,ROU,42,2:08.81,1992,DownHill,Male,False
1350,25.0,Brahim Izdag,Morocco,,MAR,93,2:08.31,1992,Super G,Male,False
828,25.0,Alexis Racloz,Chile,,CHI,40,2:05.61,1992,DownHill,Male,False
806,30.0,Felix Belczyk,Canada,,CAN,18,1:53.37,1992,DownHill,Male,False
815,25.0,Denis Rey,France,,FRA,27,1:54.28,1992,DownHill,Male,False
814,20.0,Kjetil AndrÃ© Aamodt,Norway,,NOR,26,1:54.24,1992,DownHill,Male,False
813,20.0,Tsuyoshi Tomii,Japan,,JPN,25,1:54.23,1992,DownHill,Male,False
812,21.0,Konstantin Chistyakov,Unified Team,,EUN,24,1:53.93,1992,DownHill,Male,False
811,25.0,Brian Stemmle,Canada,,CAN,23,1:53.77,1992,DownHill,Male,False
810,26.0,Aleksey Maslov,Unified Team,,EUN,22,1:53.68,1992,DownHill,Male,False
809,22.0,Vitaly Andreyev,Unified Team,,EUN,21,1:53.52,1992,DownHill,Male,False
2122,18.0,AnnamÃ¡ria BÃ³nis,Hungary,,HUN,43.0,1:37.68,1992,Super G,Women,False
2121,20.0,Thomai Lefousi,Greece,,GRE,42.0,1:37.61,1992,Super G,Women,False
2120,18.0,Marina VidoviÄ,Yugoslavia,,YUG,41.0,1:34.35,1992,Super G,Women,False
1259,28.0,Marc Girardelli,Luxembourg,Silver,LUX,2,1:13.77,1992,Super G,Male,False
5101,23.0,A J Kitt,United States,,USA,,,1992,Combined,Male,False
5122,30.0,Felix Belczyk,Canada,,CAN,,,1992,Combined,Male,False
5123,29.0,Hubert Strolz,Austria,,AUT,,,1992,Combined,Male,False
5124,20.0,Paulo Oppliger,Chile,,CHI,,,1992,Combined,Male,False
1264,27.0,GÃ¼nther Mader,Austria,,AUT,7,1:14.08,1992,Super G,Male,False
834,33.0,Leonhard Stock,Austria,,AUT,,,1992,DownHill,Male,False
833,31.0,Lamine GuÃ¨ye,Senegal,,SEN,45,2:12.84,1992,DownHill,Male,False
832,24.0,Aurel Foiciuc,Romania,,ROU,44,2:09.94,1992,DownHill,Male,False
1258,20.0,Kjetil AndrÃ© Aamodt,Norway,Gold,NOR,1,1:13.04,1992,Super G,Male,False
1260,25.0,Jan Einar Thorsen,Norway,Bronze,NOR,3,1:13.83,1992,Super G,Male,False
1271,25.0,Urs KÃ¤lin,Switzerland,,SUI,14,1:15.22,1992,Super G,Male,False
1261,25.0,Ole Kristian Furuseth,Norway,,NOR,4,1:13.87,1992,Super G,Male,False
1262,23.0,Josef Polig,Italy,,ITA,5,1:13.88,1992,Super G,Male,False
1263,24.0,Marco Hangl,Switzerland,,SUI,6,1:13.90,1992,Super G,Male,False
1265,21.0,Tom Stiansen,Norway,,NOR,8,1:14.51,1992,Super G,Male,False
5125,24.0,Aurel Foiciuc,Romania,,ROU,,,1992,Combined,Male,False
1266,28.0,Markus Wasmeier,Germany,,GER,9,1:14.58,1992,Super G,Male,False
1267,24.0,Paul Accola,Switzerland,,SUI,10,1:14.60,1992,Super G,Male,False
1268,22.0,Fredrik Nyberg,Sweden,,SWE,11,1:14.61,1992,Super G,Male,False
1269,21.0,Gianfranco Martin,Italy,,ITA,12,1:14.81,1992,Super G,Male,False
5102,23.0,William Besse,Switzerland,,SUI,,,1992,Combined,Male,False
5103,22.0,Stephan Eberharter,Austria,,AUT,,,1992,Combined,Male,False
5104,24.0,Rainer Salzgeber,Austria,,AUT,,,1992,Combined,Male,False
5105,21.0,Konstantin Chistyakov,Unified Team,,EUN,,,1992,Combined,Male,False
836,28.0,Marc Girardelli,Luxembourg,,LUX,,,1992,DownHill,Male,False
5100,29.0,Lothar Christian Munder,Brazil,,BRA,,,1992,Combined,Male,False
835,31.0,Danilo Sbardellotto,Italy,,ITA,,,1992,DownHill,Male,False
5121,24.0,Abraham FernÃ¡ndez,Spain,,ESP,,,1992,Combined,Male,False
5120,21.0,Tom Stiansen,Norway,,NOR,,,1992,Combined,Male,False
5119,29.0,Boris Duncan,Great Britain,,GBR,,,1992,Combined,Male,False
5118,27.0,GÃ¼nther Mader,Austria,,AUT,,,1992,Combined,Male,False
5117,28.0,Marc Girardelli,Luxembourg,,LUX,,,1992,Combined,Male,False
5116,21.0,Zoran PeruÅ¡ina,Yugoslavia,,YUG,,,1992,Combined,Male,False
5115,31.0,Lamine GuÃ¨ye,Senegal,,SEN,,,1992,Combined,Male,False
5114,26.0,Alphonse Gomis,Senegal,,SEN,,,1992,Combined,Male,False
5113,22.0,Edin TerziÄ,Yugoslavia,,YUG,,,1992,Combined,Male,False
5112,20.0,Igor LatinoviÄ,Yugoslavia,,YUG,,,1992,Combined,Male,False
5111,24.0,Peter Jurko,Czechoslovakia,,TCH,,,1992,Combined,Male,False
5110,19.0,Hur Seung-Wook,South Korea,,KOR,,,1992,Combined,Male,False
5109,21.0,Mauricio Rotella,Chile,,CHI,,,1992,Combined,Male,False
5108,27.0,MariÃ¡n BÃ­reÅ¡,Czechoslovakia,,TCH,,,1992,Combined,Male,False
5107,26.0,Aleksey Maslov,Unified Team,,EUN,,,1992,Combined,Male,False
5106,26.0,Jeff Olson,United States,,USA,,,1992,Combined,Male,False
1270,26.0,Jeff Olson,United States,,USA,13,1:15.06,1992,Super G,Male,False
1272,24.0,Rainer Salzgeber,Austria,,AUT,15,1:15.31,1992,Super G,Male,False
2119,23.0,Astrid Steverlynck,Argentina,,ARG,40.0,1:33.48,1992,Super G,Women,False
790,27.0,Franck Piccard,France,Silver,FRA,2,1:50.42,1992,DownHill,Male,False
2936,21.0,Sophie Lefranc-Duvillard,France,,FRA,19.0,2:18.67,1992,Giant Slalom,Women,False
2937,23.0,Lucia MedzihradskÃ¡,Czechoslovakia,,TCH,20.0,2:19.27,1992,Giant Slalom,Women,False
2938,26.0,Anne Berge,Norway,,NOR,21.0,2:19.51,1992,Giant Slalom,Women,False
2939,16.0,Emma Carrick-Anderson,Great Britain,,GBR,22.0,2:21.76,1992,Giant Slalom,Women,False
2940,17.0,Zali Steggall,Australia,,AUS,23.0,2:22.20,1992,Giant Slalom,Women,False
2941,20.0,Emma Bosch,Spain,,ESP,24.0,2:22.82,1992,Giant Slalom,Women,False
2942,23.0,Ainhoa Ibarra,Spain,,ESP,24.0,2:22.82,1992,Giant Slalom,Women,False
2943,20.0,Silvia del Rincon,Spain,,ESP,26.0,2:23.20,1992,Giant Slalom,Women,False
789,24.0,Patrick Ortlieb,Austria,Gold,AUT,1,1:50.37,1992,DownHill,Male,False
791,27.0,GÃ¼nther Mader,Austria,Bronze,AUT,3,1:50.47,1992,DownHill,Male,False
5127,23.0,Adrien Duvillard,France,,FRA,,,1992,Combined,Male,False
792,28.0,Markus Wasmeier,Germany,,GER,4,1:50.62,1992,DownHill,Male,False
1374,24.0,Lyubomir Popov,Bulgaria,,BUL,,,1992,Super G,Male,False
2926,26.0,Sylvia Eder,Austria,,AUT,9.0,2:15.05,1992,Giant Slalom,Women,False
794,29.0,Franz Heinzer,Switzerland,,SUI,6,1:51.39,1992,DownHill,Male,False
2129,23.0,Merete Fjeldavlie,Norway,,NOR,,,1992,Super G,Women,False
2115,24.0,Valerie Scott,Great Britain,,GBR,36.0,1:29.74,1992,Super G,Women,False
2116,16.0,Vicky Grau,Andorra,,AND,37.0,1:30.07,1992,Super G,Women,False
2117,21.0,Mihaela Fera,Romania,,ROU,38.0,1:31.78,1992,Super G,Women,False
2118,22.0,Carolina Eiras,Argentina,,ARG,39.0,1:32.33,1992,Super G,Women,False
2935,30.0,ZoÃ« Haas,Switzerland,,SUI,18.0,2:17.89,1992,Giant Slalom,Women,False
2934,19.0,Corinne Rey-Bellet,Switzerland,,SUI,17.0,2:17.59,1992,Giant Slalom,Women,False
1375,17.0,Victor GÃ³mez,Andorra,,AND,,,1992,Super G,Male,False
2933,20.0,Barbara Merlin,Italy,,ITA,16.0,2:17.32,1992,Giant Slalom,Women,False
5126,25.0,Denis Rey,France,,FRA,,,1992,Combined,Male,False
1332,19.0,SÃ©rgio Schuler,Brazil,,BRA,75,1:27.41,1992,Super G,Male,False
1334,20.0,Taner ÃstÃ¼ndaÄ,Turkey,,TUR,77,1:28.24,1992,Super G,Male,False
2945,21.0,Mihaela Fera,Romania,,ROU,28.0,2:28.58,1992,Giant Slalom,Women,False
2932,23.0,Merete Fjeldavlie,Norway,,NOR,15.0,2:17.23,1992,Giant Slalom,Women,False
1373,20.0,Nahum Orobitg,Andorra,,AND,,,1992,Super G,Male,False
1372,21.0,Gerard Escoda,Andorra,,AND,,,1992,Super G,Male,False
1335,31.0,Lamine GuÃ¨ye,Senegal,,SEN,78,1:29.18,1992,Super G,Male,False
1370,17.0,Jakub Malczewski,Poland,,POL,,,1992,Super G,Male,False
1369,20.0,Igor LatinoviÄ,Yugoslavia,,YUG,,,1992,Super G,Male,False
1368,24.0,Ahmet Demir,Turkey,,TUR,,,1992,Super G,Male,False
1367,27.0,Tang Wei-Tsu,Chinese Taipei,,TPE,,,1992,Super G,Male,False
1366,22.0,BalÃ¡zs Tornay,Hungary,,HUN,,,1992,Super G,Male,False
1365,18.0,Jason Gasperoni,San Marino,,SMR,,,1992,Super G,Male,False
2927,26.0,Kristina Andersson,Sweden,,SWE,10.0,2:15.23,1992,Giant Slalom,Women,False
2928,25.0,Christina Meier-HÃ¶ck,Germany,,GER,11.0,2:15.33,1992,Giant Slalom,Women,False
2929,28.0,Blanca FernÃ¡ndez Ochoa,Spain,,ESP,12.0,2:15.41,1992,Giant Slalom,Women,False
2930,24.0,NataÅ¡a Bokal,Slovenia,,SLO,13.0,2:15.64,1992,Giant Slalom,Women,False
2931,29.0,Traudl HÃ¤cher-Gavet,Germany,,GER,14.0,2:16.13,1992,Giant Slalom,Women,False
4322,23.0,Mustapha Naitlhou,Morocco,,MAR,84.0,3:17.32,1992,Giant Slalom,Male,False
2813,25.0,Brahim Izdag,Morocco,,MAR,,,1992,Slalom,Male,False
4324,21.0,Noureddine Bouchaal,Morocco,,MAR,86.0,3:22.30,1992,Giant Slalom,Male,False
2728,22.0,StÃ©phane Exartier,France,,FRA,30,1:53.90,1992,Slalom,Male,False
2719,23.0,Konrad LadstÃ¤tter,Italy,,ITA,21,1:49.87,1992,Slalom,Male,False
2720,21.0,Gregor Grilc,Slovenia,,SLO,22,1:49.95,1992,Slalom,Male,False
2721,24.0,Kyle Wieche,United States,,USA,23,1:51.12,1992,Slalom,Male,False
2722,25.0,Klemen Bergant,Slovenia,,SLO,24,1:52.52,1992,Slalom,Male,False
2723,24.0,Peter Jurko,Czechoslovakia,,TCH,25,1:52.80,1992,Slalom,Male,False
2724,22.0,Petar Dichev,Bulgaria,,BUL,26,1:52.91,1992,Slalom,Male,False
2725,24.0,Abraham FernÃ¡ndez,Spain,,ESP,27,1:52.97,1992,Slalom,Male,False
2726,24.0,Jorge Pujol,Spain,,ESP,28,1:53.01,1992,Slalom,Male,False
2727,22.0,Willy Raine,Canada,,CAN,29,1:53.32,1992,Slalom,Male,False
2729,22.0,Ricardo Campo,Spain,,ESP,31,1:54.52,1992,Slalom,Male,False
4270,22.0,Ricardo Campo,Spain,,ESP,32.0,2:17.77,1992,Giant Slalom,Male,False
2730,21.0,Gerard Escoda,Andorra,,AND,32,1:54.71,1992,Slalom,Male,False
2731,23.0,Borislav Dimitrachkov,Bulgaria,,BUL,33,1:55.15,1992,Slalom,Male,False
2732,24.0,Sean Langmuir,Great Britain,,GBR,34,1:55.73,1992,Slalom,Male,False
2733,27.0,ÃrnÃ³lfur Valdimarsson,Iceland,,ISL,35,1:56.48,1992,Slalom,Male,False
2734,18.0,Vedran Pavlek,Croatia,,CRO,36,1:57.28,1992,Slalom,Male,False
2735,20.0,Attila BÃ³nis,Hungary,,HUN,37,1:59.02,1992,Slalom,Male,False
2736,22.0,BalÃ¡zs Tornay,Hungary,,HUN,38,2:00.52,1992,Slalom,Male,False
2766,20.0,Kjetil AndrÃ© Aamodt,Norway,,NOR,,,1992,Slalom,Male,False
2113,24.0,Ä½udmila MilanovÃ¡,Czechoslovakia,,TCH,34.0,1:27.61,1992,Super G,Women,False
2718,23.0,Rob Crossan,Canada,,CAN,20,1:49.86,1992,Slalom,Male,False
2737,22.0,Federico van Ditmar,Argentina,,ARG,39,2:01.49,1992,Slalom,Male,False
2738,20.0,Choi Yong-Hee,South Korea,,KOR,40,2:03.05,1992,Slalom,Male,False
2739,24.0,Aurel Foiciuc,Romania,,ROU,41,2:04.34,1992,Slalom,Male,False
811,22.0,Petra Kronberger,Austria,Gold,AUT,1.0,2.55,1992,Combine,Women,False
812,24.0,Anita Wachter,Austria,Silver,AUT,2.0,19.39,1992,Combine,Women,False
813,23.0,Florence Masnada,France,Bronze,FRA,3.0,21.38,1992,Combine,Women,False
814,24.0,Chantal Bournissen,Switzerland,,SUI,4.0,24.98,1992,Combine,Women,False
815,26.0,Anne Berge,Norway,,NOR,5.0,35.28,1992,Combine,Women,False
816,24.0,Michelle McKendry-Ruthven,Canada,,CAN,6.0,39.02,1992,Combine,Women,False
817,24.0,NataÅ¡a Bokal,Slovenia,,SLO,7.0,42.6,1992,Combine,Women,False
819,24.0,Miriam Vogt,Germany,,GER,9.0,48.52,1992,Combine,Women,False
2717,19.0,Jure KoÅ¡ir,Slovenia,,SLO,19,1:49.49,1992,Slalom,Male,False
820,21.0,RÃ©gine Cavagnoud,France,,FRA,10.0,51.13,1992,Combine,Women,False
821,21.0,Krista Schmidinger,United States,,USA,11.0,51.56,1992,Combine,Women,False
822,20.0,Svetlana Gladysheva,Unified Team,,EUN,12.0,61.25,1992,Combine,Women,False
823,21.0,Emi Kawabata,Japan,,JPN,13.0,66.1,1992,Combine,Women,False
