,Age,Athlete,Country,Medal,NOC,Rank,Time,Year
127,21,Beni ObermÃ¼ller,Germany,,GER,17,2:42.9,1952
128,20,Ilio Colli,Italy,,ITA,18T,2:43.2,1952
129,24,Robert Richardson,Canada,,CAN,18T,2:43.2,1952
130,30,Silvio AlverÃ,Italy,,ITA,20T,2:43.6,1952
131,28,Johnny Lunde,Norway,,NOR,20T,2:43.6,1952
132,21,Andrzej GÄsienica Roj,Poland,,POL,22,2:44.3,1952
133,28,John Fredriksson,Sweden,,SWE,23,2:44.5,1952
134,20,Chiharu Igaya,Japan,,JPN,24,2:45.0,1952
135,24,Maurice Sanglard,France,,FRA,25,2:45.4,1952
136,23,Bernhard Perren,Switzerland,,SUI,26,2:46.1,1952
137,24,Ãke Nilsson,Sweden,,SWE,27,2:47.0,1952
138,29,Otto Linher,Austria,,AUT,28,2:47.9,1952
139,24,Stefan Dziedzic,Poland,,POL,29,2:49.4,1952
140,21,Georgi Dimitrov,Bulgaria,,BUL,30,2:49.9,1952
141,20,Gordon Morrison,Canada,,CAN,31,2:51.1,1952
142,22,"Brooks Dodge, Jr.",United States,,USA,32T,2:52.2,1952
143,22,Jack Griffin,Canada,,CAN,32T,2:52.2,1952
144,31,Sixten Isberg,Sweden,,SWE,34,2:53.4,1952
145,26,Guy de Huertas,France,,FRA,35T,2:54.4,1952
146,22,"Mihai BÃ®rÄ, Sr.",Romania,,ROU,35T,2:54.4,1952
147,20,Francisco Viladomat,Spain,,ESP,37,2:55.4,1952
148,21,Peppi Schwaiger,Germany,,GER,38,2:55.5,1952
149,24,John Boyagis,Great Britain,,GBR,39T,2:55.6,1952
150,27,Dimitar Drazhev,Bulgaria,,BUL,39T,2:55.6,1952
151,20,AndrÃ© Bertrand,Canada,,CAN,41,2:56.0,1952
152,20,Andrzej Czarniak,Poland,,POL,42,2:56.4,1952
153,26,JÃ³zef Marusarz,Poland,,POL,43,2:58.7,1952
154,26,Pentti Alonen,Finland,,FIN,44,2:59.7,1952
155,22,Dick Pappenheim,Netherlands,,NED,45,3:00.0,1952
156,23,Luis de Ridder,Argentina,,ARG,46,3:01.8,1952
157,21,Pablo Rosenkjer,Argentina,,ARG,47,3:02.9,1952
158,25,Peter Pappenheim,Netherlands,,NED,48,3:05.7,1952
159,21,Haukur SigurÃ°sson,Iceland,,ISL,49,3:06.0,1952
160,27,StefÃ¡n KristjÃ¡nsson,Iceland,,ISL,50,3:06.1,1952
161,30,Dumitru SulicÄ,Romania,,ROU,51,3:07.3,1952
162,22,Ãsgeir EyjÃ³lfsson,Iceland,,ISL,52,3:08.3,1952
163,21,Luis Arias,Spain,,ESP,53,3:09.2,1952
164,24,Juan Poll,Spain,,ESP,54T,3:10.1,1952
165,19,JÃ³n Karl SigurÃ°sson,Iceland,,ISL,54T,3:10.1,1952
166,25,Eino Kalpala,Finland,,FIN,56,3:16.2,1952
167,27,Ibrahim Geagea,Lebanon,,LIB,57,3:20.2,1952
168,18,Noel Harrison,Great Britain,,GBR,58,3:21.5,1952
169,25,Ion CaÈa,Romania,,ROU,59,3:26.4,1952
170,18,Bill Day,Australia,,AUS,60,3:31.4,1952
171,28,Michel Feron,Belgium,,BEL,61,3:31.5,1952
172,21,Otto Jung,Argentina,,ARG,62,3:34.9,1952
173,23,Denis Feron,Belgium,,BEL,63,3:36.5,1952
174,19,Georgi Mitrov,Bulgaria,,BUL,64,3:44.5,1952
175,23,Herbie Familton,New Zealand,,NZL,65,3:44.6,1952
176,23,Eduardo Silva,Chile,,CHI,66,3:52.3,1952
177,24,Barry Patten,Australia,,AUS,67,3:53.1,1952
178,28,Jaime ErrÃ¡zuriz,Chile,,CHI,68,3:53.3,1952
179,27,Duarte Silva,Portugal,,POR,69,3:58.4,1952
180,25,Gino de PellegrÃ­n,Argentina,,ARG,70,4:02.0,1952
181,29,Bob Arnott,Australia,,AUS,71,4:13.5,1952
182,32,Alexandros Vouxinos,Greece,,GRE,72,6:10.8,1952
183,26,Egon SchÃ¶pf,Austria,,AUT,AC,,1952
184,25,Stig Sollander,Sweden,,SWE,AC,,1952
185,30,Sverre Johannessen,Norway,,NOR,AC,,1952
186,26,Hisashi Mizugami,Japan,,JPN,AC,,1952
187,25,Radu ScÃ®rneci,Romania,,ROU,AC,,1952
188,34,Angelos Lembesi,Greece,,GRE,AC,,1952
189,19,Carlos Eiras,Argentina,,ARG,AC,,1952
190,25,Aristeo BenavÃ­dez,Argentina,,ARG,AC,,1952
191,27,Antonios Myliordos,Greece,,GRE,AC,,1952
192,24,Pepi Erben,Germany,,GER,AC,,1952
193,20,Toni Sailer,Austria,Gold,AUT,1,2:52.2,1956
194,24,Raymond Fellay,Switzerland,Silver,SUI,2,2:55.7,1956
195,24,Anderl Molterer,Austria,Bronze,AUT,3,2:56.2,1956
196,19,Roger Staub,Switzerland,,SUI,4,2:57.1,1956
197,20,Hans Peter Lanig,Germany,,GER,5,2:59.8,1956
198,21,Gino Burrini,Italy,,ITA,6,3:00.2,1956
