Age,Athlete,Country,Medal,NOC,Rank,Time,Year
22,Gonzalo DomÃ­nguez,Chile,,CHI,,,1948
22,Dursun Bozkurt,Turkey,,TUR,,,1948
18,Osman YÃ¼ce,Turkey,,TUR,,,1948
21,JosÃ© VilÃ,Spain,,ESP,,,1948
27,Fotis Mavriplis,Greece,,GRE,,,1948
20,Fernando ArmiÃ±Ã¡n,Spain,,ESP,,,1948
,Munir Itani,Lebanon,,LIB,,,1948
20,Aimo Vartiainen,Finland,,FIN,,,1948
25,Hubert Strolz,Austria,Gold,AUT,1,36.55,1988
22,Bernhard Gstrein,Austria,Silver,AUT,2,43.45,1988
20,Paul Accola,Switzerland,Bronze,SUI,3,48.24,1988
22,Luc Alphand,France,,FRA,4,57.73,1988
20,Peter Jurko,Czechoslovakia,,TCH,5,58.56,1988
21,Jean-Luc CrÃ©tier,France,,FRA,6,62.98,1988
24,Markus Wasmeier,West Germany,,FRG,7,65.44,1988
18,AdriÃ¡n BÃ­reÅ¡,Czechoslovakia,,TCH,8,68.5,1988
21,Finn Christian Jagge,Norway,,NOR,9,95.21,1988
23,Niklas Henning,Sweden,,SWE,10,96.25,1988
23,Armin Bittner,West Germany,,FRG,11,99.65,1988
21,Christophe PlÃ©,France,,FRA,12,103.12,1988
22,Thomas Stangassinger,Austria,,AUT,13,107.87,1988
23,Gregor Hoop,Liechtenstein,,LIE,14,114.62,1988
24,Bernhard Fahner,Switzerland,,SUI,15,120.45,1988
30,Paul Frommelt,Liechtenstein,,LIE,16,122.12,1988
28,Peter DÃ¼rr,West Germany,,FRG,17,123.92,1988
24,Oswald TÃ¶tsch,Italy,,ITA,18,134.14,1988
24,Don Stevens,Canada,,CAN,19,135.81,1988
19,Robert BÃ¼chel,Liechtenstein,,LIE,20,136.7,1988
23,Katsuhito Kumagai,Japan,,JPN,21,144.65,1988
22,Hannes Zehentner,West Germany,,FRG,22,197.87,1988
19,Juan Pablo Santiagos,Chile,,CHI,23,224.2,1988
23,Jorge Birkner,Argentina,,ARG,24,243.99,1988
25,Giannis Stamatiou,Greece,,GRE,25,347.41,1988
23,Martin Bell,Great Britain,,GBR,26,422.79,1988
25,Pirmin Zurbriggen,Switzerland,,SUI,,,1988
23,Niklas Lindqvist,Sweden,,SWE,,,1988
19,A J Kitt,United States,,USA,,,1988
16,Paulo Oppliger,Chile,,CHI,,,1988
23,Franck Piccard,France,,FRA,,,1988
26,Felix Belczyk,Canada,,CAN,,,1988
21,Lars-BÃ¶rje Eriksson,Sweden,,SWE,,,1988
23,GÃ¼nther Mader,Austria,,AUT,,,1988
22,Graham Bell,Great Britain,,GBR,,,1988
25,Martin Hangl,Switzerland,,SUI,,,1988
24,Felix McGrath,United States,,USA,,,1988
20,Sergey Petrik,Soviet Union,,URS,,,1988
17,Konstantin Chistyakov,Soviet Union,,URS,,,1988
29,Hubertus von FÃ¼rstenberg-von Hohenlohe,Mexico,,MEX,,,1988
17,Javier Rivara,Argentina,,ARG,,,1988
