,Age,Athlete,Country,Medal,NOC,Rank,Time
62,33,FÃ©lix Flechas,Puerto Rico,,PUR,AC,
63,28,Kevin Wilson,Puerto Rico,,PUR,AC,
64,20,Kang Nak-Youn,South Korea,,KOR,AC,
65,20,Alekhis Fotiadis,Cyprus,,CYP,AC,
66,17,Gerard Escoda,Andorra,,AND,AC,
67,21,Delfin Campo,Spain,,ESP,AC,
68,20,Nils Linneberg,Chile,,CHI,AC,
69,17,Konstantin Chistyakov,Soviet Union,,URS,AC,
70,22,Alain Villiard,Canada,,CAN,AC,
71,28,Frank WÃ¶rndl,West Germany,,FRG,AC,
72,20,Sergey Petrik,Soviet Union,,URS,AC,
73,21,Simon Wi Rutene,New Zealand,,NZL,AC,
74,21,Finn Christian Jagge,Norway,,NOR,AC,
75,23,Niklas Henning,Sweden,,SWE,AC,
76,19,Robert BÃ¼chel,Liechtenstein,,LIE,AC,
77,23,Katsuhito Kumagai,Japan,,JPN,AC,
78,23,Luis FernÃ¡ndez Ochoa,Spain,,ESP,AC,
79,25,Philippe Verneret,France,,FRA,AC,
80,25,Steven Lee,Australia,,AUS,AC,
81,21,Atle SkÃ¥rdal,Norway,,NOR,AC,
82,21,Jan Einar Thorsen,Norway,,NOR,AC,
83,26,Daniel Mahrer,Switzerland,,SUI,AC,
84,25,Martin Hangl,Switzerland,,SUI,AC,
85,21,Alberto Tomba,Italy,,ITA,AC,
86,27,Peter Roth,West Germany,,FRG,AC,
87,24,Markus Wasmeier,West Germany,,FRG,AC,
88,24,Marc Girardelli,Luxembourg,,LUX,AC,
89,26,Michael Eder,West Germany,,FRG,AC,
90,23,Tang Wei-Tsu,Chinese Taipei,,TPE,AC,
91,16,Ignacio Birkner,Argentina,,ARG,AC,
92,22,Riccardo Stacchini,San Marino,,SMR,AC,
93,19,A J Kitt,United States,,USA,AC,
94,20,Kjetil AndrÃ© Aamodt,Norway,Gold,NOR,1,1:13.04
95,28,Marc Girardelli,Luxembourg,Silver,LUX,2,1:13.77
96,25,Jan Einar Thorsen,Norway,Bronze,NOR,3,1:13.83
97,25,Ole Kristian Furuseth,Norway,,NOR,4,1:13.87
98,23,Josef Polig,Italy,,ITA,5,1:13.88
99,24,Marco Hangl,Switzerland,,SUI,6,1:13.90
100,27,GÃ¼nther Mader,Austria,,AUT,7,1:14.08
101,21,Tom Stiansen,Norway,,NOR,8,1:14.51
102,28,Markus Wasmeier,Germany,,GER,9,1:14.58
103,24,Paul Accola,Switzerland,,SUI,10,1:14.60
104,22,Fredrik Nyberg,Sweden,,SWE,11,1:14.61
105,21,Gianfranco Martin,Italy,,ITA,12,1:14.81
106,26,Jeff Olson,United States,,USA,13,1:15.06
107,25,Urs KÃ¤lin,Switzerland,,SUI,14,1:15.22
108,24,Rainer Salzgeber,Austria,,AUT,15,1:15.31
109,26,Luc Alphand,France,,FRA,16,1:15.39
110,23,Kyle Rasmussen,United States,,USA,17,1:15.58
111,24,Patrick Ortlieb,Austria,,AUT,18,1:15.66
112,21,Alberto Senigagliesi,Italy,,ITA,19,1:15.70
113,21,Gregor Grilc,Slovenia,,SLO,20,1:15.71
114,24,HansjÃ¶rg Tauscher,Germany,,GER,21,1:15.98
115,21,Konstantin Chistyakov,Unified Team,,EUN,22,1:16.14
116,23,A J Kitt,United States,,USA,23,1:16.31
117,29,Hubert Strolz,Austria,,AUT,24T,1:16.36
118,25,Jean-Luc CrÃ©tier,France,,FRA,24T,1:16.36
119,27,GÃ¼nther Marxer,Liechtenstein,,LIE,26,1:16.48
120,20,Mitja Kunc,Slovenia,,SLO,27,1:16.49
121,21,Tommy Moe,United States,,USA,28,1:16.54
122,19,Jure KoÅ¡ir,Slovenia,,SLO,29,1:16.56
123,29,Steven Lee,Australia,,AUS,30,1:16.58
124,24,Berni Huber,Germany,,GER,31,1:16.78
125,20,Paulo Oppliger,Chile,,CHI,32,1:16.81
126,21,Kiminobu Kimura,Japan,,JPN,33,1:17.06
127,22,Ricardo Campo,Spain,,ESP,34,1:17.11
128,24,Jorge Pujol,Spain,,ESP,35,1:17.15
129,20,Marco BÃ¼chel,Liechtenstein,,LIE,36,1:17.25
130,27,MariÃ¡n BÃ­reÅ¡,Czechoslovakia,,TCH,37,1:17.47
131,22,Vicente Tomas,Spain,,ESP,38,1:17.54
132,24,Peter Jurko,Czechoslovakia,,TCH,39,1:17.68
133,29,Boris Duncan,Great Britain,,GBR,40,1:17.76
134,20,Takuya Ishioka,Japan,,JPN,41,1:17.81
135,25,Simon Wi Rutene,New Zealand,,NZL,42,1:17.86
136,19,Kristinn BjÃ¶rnsson,Iceland,,ISL,43,1:17.89
137,22,Gavin Forsyth,Great Britain,,GBR,44,1:17.91
138,22,Petar Dichev,Bulgaria,,BUL,45,1:18.87
139,22,Federico van Ditmar,Argentina,,ARG,46,1:19.07
140,20,Ramon Rossell,Andorra,,AND,47,1:19.10
141,22,Willy Raine,Canada,,CAN,48,1:19.12
142,26,Aleksey Maslov,Unified Team,,EUN,49,1:19.71
143,27,Martin Bell,Great Britain,,GBR,50,1:19.74
144,27,ÃrnÃ³lfur Valdimarsson,Iceland,,ISL,51,1:20.64
145,23,Borislav Dimitrachkov,Bulgaria,,BUL,52,1:20.67
146,26,Graham Bell,Great Britain,,GBR,53,1:20.87
147,19,Hur Seung-Wook,South Korea,,KOR,54,1:20.96
148,29,Lothar Christian Munder,Brazil,,BRA,55,1:21.07
149,20,Attila BÃ³nis,Hungary,,HUN,56,1:21.10
150,21,Pierre KÅszÃ¡li,Hungary,,HUN,57,1:21.45
151,25,Elias Majdalani,Lebanon,,LIB,58,1:22.13
