,Age,Athlete,Country,Medal,NOC,Rank,Time
204,25,Jean-Luc CrÃ©tier,France,,FRA,4,18.97
205,28,Markus Wasmeier,Germany,,GER,5,32.77
206,22,Kristian Ghedina,Italy,,ITA,6,38.96
207,25,Ole Kristian Furuseth,Norway,,NOR,7,40.47
208,25,Xavier Gigandet,Switzerland,,SUI,8,41.21
209,20,Takuya Ishioka,Japan,,JPN,9,51.83
210,27,Lasse Arnesen,Norway,,NOR,10,51.93
211,25,Jan Einar Thorsen,Norway,,NOR,11,52.75
212,23,Rob Crossan,Canada,,CAN,12,57.27
213,19,Jure KoÅ¡ir,Slovenia,,SLO,13,59.78
214,22,Cary Mullen,Canada,,CAN,14,62.37
215,21,Kiminobu Kimura,Japan,,JPN,15,64.14
216,23,Kyle Rasmussen,United States,,USA,16,66.70
217,24,Jorge Pujol,Spain,,ESP,17,72.07
218,21,Tommy Moe,United States,,USA,18,82.15
219,29,Steven Lee,Australia,,AUS,19,85.05
220,22,Vitaly Andreyev,Unified Team,,EUN,20,85.07
221,24,Paul Accola,Switzerland,,SUI,21,90.96
222,22,Petar Dichev,Bulgaria,,BUL,22,101.59
223,22,Ricardo Campo,Spain,,ESP,23,104.61
224,19,Daniel Vogt,Liechtenstein,,LIE,24,112.92
225,27,Martin Bell,Great Britain,,GBR,25,121.83
226,20,Marcin SzafraÅski,Poland,,POL,26,133.04
227,26,Graham Bell,Great Britain,,GBR,27,134.03
228,24,Sean Langmuir,Great Britain,,GBR,28,142.32
229,24,Markus Foser,Liechtenstein,,LIE,29,146.89
230,21,Achim Vogt,Liechtenstein,,LIE,30,172.91
231,22,Franco Colturi,Italy,,ITA,31,176.69
232,20,Choi Yong-Hee,South Korea,,KOR,32,221.60
233,21,Pierre KÅszÃ¡li,Hungary,,HUN,33,226.57
234,25,Alexis Racloz,Chile,,CHI,34,235.31
235,26,Emilian FocÈeneanu,Romania,,ROU,35,249.41
236,33,Hubertus von FÃ¼rstenberg-von Hohenlohe,Mexico,,MEX,36,259.10
237,24,PÃ©ter KristÃ¡ly,Hungary,,HUN,37,265.18
238,24,Lyubomir Popov,Bulgaria,,BUL,,
239,29,Lothar Christian Munder,Brazil,,BRA,,
240,23,A J Kitt,United States,,USA,,
241,23,William Besse,Switzerland,,SUI,,
242,22,Stephan Eberharter,Austria,,AUT,,
243,24,Rainer Salzgeber,Austria,,AUT,,
244,21,Konstantin Chistyakov,Unified Team,,EUN,,
245,26,Jeff Olson,United States,,USA,,
246,26,Aleksey Maslov,Unified Team,,EUN,,
247,27,MariÃ¡n BÃ­reÅ¡,Czechoslovakia,,TCH,,
248,21,Mauricio Rotella,Chile,,CHI,,
249,19,Hur Seung-Wook,South Korea,,KOR,,
250,24,Peter Jurko,Czechoslovakia,,TCH,,
251,20,Igor LatinoviÄ,Yugoslavia,,YUG,,
252,22,Edin TerziÄ,Yugoslavia,,YUG,,
253,26,Alphonse Gomis,Senegal,,SEN,,
254,31,Lamine GuÃ¨ye,Senegal,,SEN,,
255,21,Zoran PeruÅ¡ina,Yugoslavia,,YUG,,
256,28,Marc Girardelli,Luxembourg,,LUX,,
257,27,GÃ¼nther Mader,Austria,,AUT,,
258,29,Boris Duncan,Great Britain,,GBR,,
259,21,Tom Stiansen,Norway,,NOR,,
260,24,Abraham FernÃ¡ndez,Spain,,ESP,,
261,30,Felix Belczyk,Canada,,CAN,,
262,29,Hubert Strolz,Austria,,AUT,,
263,20,Paulo Oppliger,Chile,,CHI,,
264,24,Aurel Foiciuc,Romania,,ROU,,
265,25,Denis Rey,France,,FRA,,
266,23,Adrien Duvillard,France,,FRA,,
267,23,Lasse Kjus,Norway,Gold,NOR,1,3:17.53
268,22,Kjetil AndrÃ© Aamodt,Norway,Silver,NOR,2,3:18.55
269,22,Harald Christian Strand Nilsen,Norway,Bronze,NOR,3,3:19.14
270,29,GÃ¼nther Mader,Austria,,AUT,4,3:19.23
271,23,Tommy Moe,United States,,USA,5,3:19.41
272,26,Paul Accola,Switzerland,,SUI,6,3:19.44
273,22,Mitja Kunc,Slovenia,,SLO,7,3:19.55
274,24,Fredrik Nyberg,Sweden,,SWE,8,3:20.30
275,30,Marc Girardelli,Luxembourg,,LUX,9,3:20.47
276,21,Jure KoÅ¡ir,Slovenia,,SLO,10,3:20.58
277,21,Miran Ravter,Slovenia,,SLO,11,3:20.68
278,26,Steve Locher,Switzerland,,SUI,12,3:21.21
279,21,Tobias Hellman,Sweden,,SWE,13,3:21.74
280,24,Tobias Barnerssoi,Germany,,GER,14,3:22.49
281,23,Gianfranco Martin,Italy,,ITA,15,3:22.69
282,24,Kristian Ghedina,Italy,,ITA,16,3:23.17
283,26,Marcel Sulliger,Switzerland,,SUI,17,3:24.00
284,27,Atle SkÃ¥rdal,Norway,,NOR,18,3:24.28
285,26,Lyubomir Popov,Bulgaria,,BUL,19,3:25.04
286,27,Simon Wi Rutene,New Zealand,,NZL,20,3:25.48
287,21,Mika Marila,Finland,,FIN,21,3:25.52
288,22,Janne Leskinen,Finland,,FIN,22,3:25.53
289,23,Gregor Grilc,Slovenia,,SLO,23,3:26.03
290,23,Achim Vogt,Liechtenstein,,LIE,24,3:26.23
291,23,Xavier Ubeira,Spain,,ESP,25,3:26.92
292,24,Petar Dichev,Bulgaria,,BUL,26,3:28.61
293,22,Marcin SzafraÅski,Poland,,POL,27,3:31.27
294,24,Vicente Tomas,Spain,,ESP,28,3:31.61
295,22,Andrey Kolotvin,Kazakhstan,,KAZ,29,3:34.59
296,22,Attila BÃ³nis,Hungary,,HUN,30,3:34.76
297,25,Kyle Rasmussen,United States,,USA,31,3:37.54
298,23,Diego Margozzini,Chile,,CHI,32,3:42.39
299,22,Marco BÃ¼chel,Liechtenstein,,LIE,33,3:47.85
300,20,Alessandro Fattori,Italy,,ITA,,
301,23,Kiminobu Kimura,Japan,,JPN,,
302,23,Gerard Escoda,Andorra,,AND,,
303,24,Cary Mullen,Canada,,CAN,,
304,23,Ed Podivinsky,Canada,,CAN,,
305,19,Andrey Filichkin,Russia,,RUS,,
306,19,Vasily Bezsmelnitsyn,Russia,,RUS,,
307,22,Takuya Ishioka,Japan,,JPN,,
308,20,Zurab Dzhidzhishvili,Georgia,,GEO,,
309,27,Alexis Racloz,Chile,,CHI,,
310,19,MarÃ­ano Puricelli,Argentina,,ARG,,
311,22,Christian Mayer,Austria,,AUT,,
312,23,Hans KnauÃ,Austria,,AUT,,
313,26,Bill Gaylord,Great Britain,,GBR,,
314,28,Graham Bell,Great Britain,,GBR,,
315,30,Markus Wasmeier,Germany,,GER,,
316,22,Chad Fleischer,United States,,USA,,
317,19,Georges Mendes,Portugal,,POR,,
318,23,Craig Thrasher,United States,,USA,,
319,26,Nils Linneberg,Chile,,CHI,,
320,27,Jean-Luc CrÃ©tier,France,,FRA,,
321,24,Patrik JÃ¤rbyn,Sweden,,SWE,,
322,25,Ovidio GarcÃ­a,Spain,,ESP,,
323,27,Mario Reiter,Austria,Gold,AUT,1,3:08.06
324,27,Lasse Kjus,Norway,Silver,NOR,2,3:08.65
325,26,Christian Mayer,Austria,Bronze,AUT,3,3:10.11
326,33,GÃ¼nther Mader,Austria,,AUT,4,3:10.19
327,23,Andrzej Bachleda-CuruÅ,Poland,,POL,5,3:11.53
328,24,Alessandro Fattori,Italy,,ITA,6,3:17.00
329,25,AleÅ¡ BrezavÅ¡Äek,Slovenia,,SLO,7,3:20.09
330,25,Peter Pen,Slovenia,,SLO,8,3:20.81
331,24,JÃ¼rgen Hasler,Liechtenstein,,LIE,9,3:23.15
332,22,Erik Seletto,Italy,,ITA,10,3:23.23
333,21,ThomÃ¡s Grob,Chile,,CHI,11,3:28.60
334,19,Mykola Skriabin,Ukraine,,UKR,12,3:30.25
335,24,Rainer Grob,Chile,,CHI,13,3:34.49
336,24,Zurab Dzhidzhishvili,Georgia,,GEO,14,3:35.65
337,25,Patrick-Paul Schwarzacher-Joyce,Ireland,,IRL,15,3:39.03
338,26,Kjetil AndrÃ© Aamodt,Norway,,NOR,,
339,31,Finn Christian Jagge,Norway,,NOR,,
340,25,Hermann Maier,Austria,,AUT,,
341,28,Kristian Ghedina,Italy,,ITA,,
342,25,Luca Cattaneo,Italy,,ITA,,
343,27,Matt Grosjean,United States,,USA,,
344,30,Paul Accola,Switzerland,,SUI,,
345,28,Petar Dichev,Bulgaria,,BUL,,
346,27,Ed Podivinsky,Canada,,CAN,,
347,24,Linas Vaitkus,Lithuania,,LTU,,
348,26,Jernej Koblar,Slovenia,,SLO,,
349,20,Kalle Palander,Finland,,FIN,,
350,25,Bruno Kernen,Switzerland,,SUI,,
351,24,James Ormond,Great Britain,,GBR,,
352,24,JÃ¼rg GrÃ¼nenfelder,Switzerland,,SUI,,
353,24,Arne Hardenberg,Denmark,,DEN,,
354,28,Patrik JÃ¤rbyn,Sweden,,SWE,,
355,21,Tejs Broberg,Denmark,,DEN,,
356,22,Jason Rosener,United States,,USA,,
357,22,Yasuyuki Takishita,Japan,,JPN,,
358,24,Andrew Freshwater,Great Britain,,GBR,,
359,26,Chad Fleischer,United States,,USA,,
360,23,Marcel Maxa,Czech Republic,,CZE,,
361,30,Kjetil AndrÃ© Aamodt,Norway,Gold,NOR,1,3:17.56
362,24,Bode Miller,United States,Silver,USA,2,3:17.84
363,23,Benjamin Raich,Austria,Bronze,AUT,3,3:18.26
364,24,Rainer SchÃ¶nfelder,Austria,,AUT,4,3:18.67
365,31,Lasse Kjus,Norway,,NOR,5,3:19.80
366,34,Paul Accola,Switzerland,,SUI,6,3:22.26
