,Age,Athlete,Country,Medal,NOC,Rank,Time
380,20,Ivana ValeÅ¡ovÃ¡,Czechoslovakia,,TCH,24,1:16.43
381,18,Jolanda Kindle,Liechtenstein,,LIE,25,1:16.89
382,21,Christine Grant,New Zealand,,NZL,26,1:17.52
383,28,MichÃ¨le Brigitte Dombard,Belgium,,BEL,27,1:18.92
384,20,Marilla Guss,Australia,,AUS,28,1:19.75
385,21,Kate Rattray,New Zealand,,NZL,29,1:20.18
386,21,Teresa Bustamante,Argentina,,ARG,30,1:21.62
387,19,Clare Booth,Great Britain,,GBR,,
388,23,Ãlisabeth Chaud,France,,FRA,,
389,23,Marina Kiehl,West Germany,Gold,FRG,1,1:25.86
390,25,Brigitte Oertli,Switzerland,Silver,SUI,2,1:26.61
391,21,Karen Percy,Canada,Bronze,CAN,3,1:26.62
392,24,Maria Walliser,Switzerland,,SUI,4,1:26.89
393,27,Laurie Graham,Canada,,CAN,5,1:26.99
394,18,Petra Kronberger,Austria,,AUT,6,1:27.03
395,26,Regine MÃ¶senlechner,West Germany,,FRG,7,1:27.16
396,24,Lisi Kirchler,Austria,,AUT,8,1:27.19
397,21,Michela Figini,Switzerland,,SUI,9,1:27.26
398,19,Lucia MedzihradskÃ¡,Czechoslovakia,,TCH,10,1:27.28
399,20,Chantal Bournissen,Switzerland,,SUI,11,1:27.46
400,24,Carole Merle,France,,FRA,12,1:27.53
401,22,Michaela Gerg-Leitner,West Germany,,FRG,13,1:27.83
402,18,Emi Kawabata,Japan,,JPN,14,1:27.85
403,21,Kerrin Lee-Gartner,Canada,,CAN,15,1:28.07
404,23,Golnur Postnikova,Soviet Union,,URS,16,1:28.23
405,26,Claudine Emonet,France,,FRA,17,1:28.36
406,21,Edie Thys,United States,,USA,18,1:28.53
407,21,Michaela Marzola,Italy,,ITA,19,1:28.69
408,19,Kristin Krone,United States,,USA,20,1:29.13
409,21,Christina Meier-HÃ¶ck,West Germany,,FRG,21,1:29.30
410,21,Wendy Lumby,Great Britain,,GBR,22,1:29.76
411,17,Sachiko Yamamoto,Japan,,JPN,23,1:30.15
412,20,Ä½udmila MilanovÃ¡,Czechoslovakia,,TCH,24,1:30.42
413,23,Clare Booth,Great Britain,,GBR,25,1:32.50
414,22,Jolanda Kindle,Liechtenstein,,LIE,26,1:32.88
415,18,Carolina Eiras,Argentina,,ARG,27,1:37.37
416,19,Astrid Steverlynck,Argentina,,ARG,28,1:41.64
417,17,Mariela Vallecillo,Argentina,,ARG,,
418,17,Mihaela Fera,Romania,,ROU,,
419,18,Jacqueline Vogt,Liechtenstein,,LIE,,
420,18,Hilary Lindh,United States,,USA,,
421,21,Anita Wachter,Austria,,AUT,,
422,22,Kellie Casey,Canada,,CAN,,
423,23,Sigrid Wolf,Austria,,AUT,,
424,25,Kerrin Lee-Gartner,Canada,Gold,CAN,1,1:52.55
425,22,Hilary Lindh,United States,Silver,USA,2,1:52.61
426,25,Veronika Wallinger-Stallmaier,Austria,Bronze,AUT,3,1:52.64
427,19,Katja Seizinger,Germany,,GER,4,1:52.67
428,22,Petra Kronberger,Austria,,AUT,5,1:52.73
429,25,Katrin Gutensohn,Germany,,GER,6,1:53.71
430,24,Barbara Sadleder,Austria,,AUT,7,1:53.81
431,20,Svetlana Gladysheva,Unified Team,,EUN,8,1:53.85
432,24,Miriam Vogt,Germany,,GER,9,1:53.89
433,24,Heidi Zurbriggen,Switzerland,,SUI,10,1:54.04
434,21,Emi Kawabata,Japan,,JPN,11,1:54.52
435,21,Krista Schmidinger,United States,,USA,12,1:54.59
436,24,Heidi Zeller-BÃ¤hler,Switzerland,,SUI,13,1:54.73
437,28,Carole Merle,France,,FRA,13,1:54.73
438,20,Astrid LÃ¸demel,Norway,,NOR,15,1:54.76
439,23,Lucia MedzihradskÃ¡,Czechoslovakia,,TCH,16,1:54.78
440,21,RÃ©gine Cavagnoud,France,,FRA,17,1:54.94
441,26,Michaela Gerg-Leitner,Germany,,GER,18,1:54.99
442,18,Tetiana Lebedeva,Unified Team,,EUN,19,1:55.15
443,24,Michelle McKendry-Ruthven,Canada,,CAN,20,1:55.61
444,24,Marlis Spescha,Switzerland,,SUI,21,1:55.83
445,23,Cathy Chedal,France,,FRA,22,1:55.91
446,23,Marie-Pierre Gatel,France,,FRA,23,1:56.25
447,24,Ä½udmila MilanovÃ¡,Czechoslovakia,,TCH,24,1:57.85
448,25,Edie Thys,United States,,USA,25,1:58.13
449,21,Sachiko Yamamoto,Japan,,JPN,26,1:58.52
450,17,Svetlana Novikova,Unified Team,,EUN,27,1:59.18
451,21,Mihaela Fera,Romania,,ROU,28,2:01.27
452,22,Carolina Eiras,Argentina,,ARG,29,2:02.81
453,24,Chantal Bournissen,Switzerland,,SUI,,
454,21,Katja Seizinger,Germany,Gold,GER,1,1:35.93
455,22,Picabo Street,United States,Silver,USA,2,1:36.59
456,18,Isolde Kostner,Italy,Bronze,ITA,3,1:36.85
457,20,Martina Ertl-Renz,Germany,,GER,4,1:37.10
458,24,Kate Pace-Lindsay,Canada,,CAN,5,1:37.17
459,17,MÃ©lanie Suchet,France,,FRA,6,1:37.34
460,24,Hilary Lindh,United States,,USA,7,1:37.44
461,21,Varvara Zelenskaya,Russia,,RUS,8,1:37.48
462,23,Pernilla Wiberg,Sweden,,SWE,9,1:37.61
463,18,Katja Koren,Slovenia,,SLO,10,1:37.69
464,21,Jeanette Lunde,Norway,,NOR,11,1:37.80
465,26,Miriam Vogt,Germany,,GER,12,1:37.86
466,25,Florence Masnada,France,,FRA,13,1:37.92
467,27,Veronika Wallinger-Stallmaier,Austria,,AUT,14,1:37.94
468,20,Morena Gallizio,Italy,,ITA,14,1:37.94
469,18,Alenka DovÅ¾an,Slovenia,,SLO,16,1:38.07
470,22,Svetlana Gladysheva,Russia,,RUS,17,1:38.10
471,27,Katrin Gutensohn,Germany,,GER,18,1:38.14
472,27,Kerrin Lee-Gartner,Canada,,CAN,19,1:38.22
473,22,Megan Gerety,United States,,USA,20,1:38.24
474,23,Emi Kawabata,Japan,,JPN,21,1:38.29
475,26,Heidi Zurbriggen,Switzerland,,SUI,22,1:38.46
476,20,Å pela Pretnar,Slovenia,,SLO,23,1:38.50
477,23,Olga Vedyacheva,Kazakhstan,,KAZ,24,1:38.58
478,22,Barbara Merlin,Italy,,ITA,25,1:38.65
479,23,RÃ©gine Cavagnoud,France,,FRA,26,1:38.69
480,23,Krista Schmidinger,United States,,USA,27,1:38.76
481,26,Heidi Zeller-BÃ¤hler,Switzerland,,SUI,28,1:38.78
482,24,Nathalie Bouvier,France,,FRA,29,1:38.85
483,26,Michelle McKendry-Ruthven,Canada,,CAN,30,1:38.88
484,22,Anja Haas,Austria,,AUT,31,1:38.98
485,25,Lucia MedzihradskÃ¡,Slovakia,,SVK,32,1:39.22
486,29,Vreni Schneider,Switzerland,,SUI,33,1:39.35
487,20,Erika Hansson,Sweden,,SWE,34,1:39.40
488,22,Nataliya Buga,Russia,,RUS,35,1:40.93
489,23,Mihaela Fera,Romania,,ROU,36,1:41.07
490,28,Olha Lohinova,Ukraine,,UKR,37,1:43.07
491,18,Mira Golub,Russia,,RUS,38,1:43.21
492,22,Szvetlana Keszthelyi,Hungary,,HUN,39,1:43.33
493,16,Maria Zaruc,Romania,,ROU,40,1:45.73
494,19,Francisca Steverlynck,Argentina,,ARG,41,1:46.76
495,16,Khrystyna Podrushna,Ukraine,,UKR,42,1:46.96
496,18,Gabriela Quijano,Argentina,,ARG,43,1:49.26
497,18,Jennifer Taylor,Argentina,,ARG,44,1:49.53
498,23,Bibiana Perez,Italy,,ITA,,
499,18,Renate GÃ¶tschl,Austria,,AUT,,
500,24,Ingrid StÃ¶ckl,Austria,,AUT,,
501,26,VÃ©ronique Dugailly,Belgium,,BEL,,
502,25,Katja Seizinger,Germany,Gold,GER,1,1:29.89
503,27,Pernilla Wiberg,Sweden,Silver,SWE,2,1:29.18
504,29,Florence Masnada,France,Bronze,FRA,3,1:29.37
505,21,MÃ©lanie Suchet,France,,FRA,4,1:29.48
506,26,Svetlana Gladysheva,Russia,,RUS,5,1:29.50
507,26,Picabo Street,United States,,USA,6,1:29.54
508,27,RÃ©gine Cavagnoud,France,,FRA,7,1:29.72
509,24,Alexandra Meissnitzer,Austria,,AUT,8,1:29.84
510,31,Katrin Gutensohn,Germany,,GER,9,1:29.96
511,22,Hilde Gerg,Germany,,GER,9,1:29.96
512,23,Ingeborg Helen Marken,Norway,,NOR,11,1:30.19
513,30,Heidi Zurbriggen,Switzerland,,SUI,12,1:30.25
514,25,Varvara Zelenskaya,Russia,,RUS,13,1:30.38
515,24,Carole Montillet-Carles,France,,FRA,14,1:30.65
516,28,Steffi Schuster,Austria,,AUT,15,1:30.73
517,23,Trude Gimle,Norway,,NOR,16,1:30.87
518,18,Jonna Mendes,United States,,USA,17,1:30.89
519,24,Michaela Dorfmeister,Austria,,AUT,18,1:31.17
520,28,Kate Pace-Lindsay,Canada,,CAN,19,1:31.30
521,27,Bibiana Perez,Italy,,ITA,20,1:31.43
522,22,Alessandra Merlin,Italy,,ITA,21,1:31.44
523,21,Catherine Borghi,Switzerland,,SUI,22,1:31.45
524,21,MÃ©lanie Turgeon,Canada,,CAN,22,1:31.45
525,20,Å pela BraÄun,Slovenia,,SLO,24,1:31.54
526,16,Janica KosteliÄ,Croatia,,CRO,25,1:31.97
527,24,Morena Gallizio,Italy,,ITA,26,1:32.22
528,25,Katie Monahan,United States,,USA,26,1:32.22
529,20,Kirsten Clark,United States,,USA,28,1:32.25
530,21,Yekaterina Nesterenko,Russia,,RUS,29,1:32.54
531,25,Corinne Rey-Bellet,Switzerland,,SUI,30,1:32.92
532,16,Lucie HrstkovÃ¡,Czech Republic,,CZE,31,1:33.00
533,22,Anna Larionova,Russia,,RUS,32,1:34.36
534,21,Yuliya Kharkivska,Ukraine,,UKR,33,1:35.60
535,20,Carola Calello,Argentina,,ARG,34,1:36.71
536,22,Renate GÃ¶tschl,Austria,,AUT,,
537,22,Isolde Kostner,Italy,,ITA,,
538,24,Regina HÃ¤usl,Germany,,GER,,
539,22,Kristine Kristiansen,Norway,,NOR,,
540,21,MÃ³nika KovÃ¡cs,Hungary,,HUN,,[1:37.03]
541,28,Carole Montillet-Carles,France,Gold,FRA,1,1:39.56
542,26,Isolde Kostner,Italy,Silver,ITA,2,1:40.01
543,26,Renate GÃ¶tschl,Austria,Bronze,AUT,3,1:40.39
544,26,Hilde Gerg,Germany,,GER,4,1:40.49
545,29,Corinne Rey-Bellet,Switzerland,,SUI,5,1:40.54
546,24,Selina Heregger,Austria,,AUT,6,1:40.56
547,24,Sylviane Berthod,Switzerland,,SUI,7,1:40.67
548,25,MÃ©lanie Turgeon,Canada,,CAN,8,1:40.71
549,28,Michaela Dorfmeister,Austria,,AUT,9,1:40.83
550,28,Regina HÃ¤usl,Germany,,GER,10,1:40.84
551,22,Jonna Mendes,United States,,USA,11,1:40.97
552,24,Kirsten Clark,United States,,USA,12,1:41.03
553,27,Ingeborg Helen Marken,Norway,,NOR,13,1:41.08
554,31,Pernilla Wiberg,Sweden,,SWE,14,1:41.09
555,25,MÃ©lanie Suchet,France,,FRA,15,1:41.15
556,30,Picabo Street,United States,,USA,16,1:41.17
557,28,Patrizia Bassis,Italy,,ITA,17,1:41.56
558,25,Brigitte Obermoser,Austria,,AUT,18,1:41.64
559,25,Catherine Borghi,Switzerland,,SUI,19,1:41.88
560,26,Daniela Ceccarelli,Italy,,ITA,20,1:42.03
561,29,Varvara Zelenskaya,Russia,,RUS,21,1:42.43
562,24,Å pela BraÄun,Slovenia,,SLO,22,1:42.48
563,23,Ingrid Jacquemod,France,,FRA,23,1:42.70
564,22,Lucia Recchia,Italy,,ITA,24,1:42.80
565,24,Janette Hargin,Sweden,,SWE,25,1:42.83
566,26,Sibylle Brauner,Germany,,GER,26,1:42.97
567,25,Alice Jones,Australia,,AUS,27,1:43.07
568,27,Mojca Suhadolc,Slovenia,,SLO,28,1:43.10
569,23,Jenny Owens,Australia,,AUS,29,1:44.15
