,Age,Athlete,Country,Medal,NOC,Rank,Time_end,Year,Type,Gender,test,Time_start,test_time
4936,27.0,Edy Reinalter,Switzerland,,SUI,10.0,12.01,1948,Combine,Male,False,0:00.0,False
4937,31.0,Eberhard Kneisl,Austria,,AUT,11.0,12.36,1948,Combine,Male,False,0:00.0,False
4938,21.0,Jack Reddish,United States,,USA,12.0,13.24,1948,Combine,Male,False,0:00.0,False
4939,25.0,Engelbert Haider,Austria,,AUT,13.0,13.26,1948,Combine,Male,False,0:00.0,False
750,25.0,Anneliese Schuh-Proxauf,Austria,,AUT,7.0,9.76,1948,Combine,Women,False,0:00.0,False
4940,27.0,LuboÅ¡ Brchel,Czechoslovakia,,TCH,14.0,14.85,1948,Combine,Male,False,0:00.0,False
751,24.0,Hedy Schlunegger,Switzerland,,SUI,8.0,10.2,1948,Combine,Women,False,0:00.0,False
754,23.0,Suzanne ThiolliÃ¨re,France,,FRA,10.0,11.5,1948,Combine,Women,False,0:00.0,False
1765,24.0,Daniel Å lachta,Czechoslovakia,,TCH,33,2:38.7,1948,Slalom,Male,False,0:00.0,True
1766,23.0,Claude Penz,France,,FRA,34,2:40.1,1948,Slalom,Male,False,0:00.0,True
1767,24.0,TamÃ¡s SzÃ©kely,Hungary,,HUN,35,2:42.7,1948,Slalom,Male,False,0:00.0,True
1768,33.0,Franci Äop,Yugoslavia,,YUG,36,2:43.7,1948,Slalom,Male,False,0:00.0,True
1769,30.0,Bert Irwin,Canada,,CAN,37,2:46.0,1948,Slalom,Male,False,0:00.0,True
1770,26.0,Dumitru SulicÄ,Romania,,ROU,38,2:47.9,1948,Slalom,Male,False,0:00.0,True
1771,22.0,Ion Coliban,Romania,,ROU,39,2:48.9,1948,Slalom,Male,False,0:00.0,True
1772,27.0,Tine Mulej,Yugoslavia,,YUG,40,2:51.0,1948,Slalom,Male,False,0:00.0,True
1773,27.0,Alf Opheim,Norway,,NOR,41,2:51.4,1948,Slalom,Male,False,0:00.0,True
1774,19.0,Luis de Ridder,Argentina,,ARG,42,2:52.4,1948,Slalom,Male,False,0:00.0,True
1775,21.0,Gino de PellegrÃ­n,Argentina,,ARG,43,2:53.3,1948,Slalom,Male,False,0:00.0,True
1776,23.0,Dimitar Drazhev,Bulgaria,,BUL,44,2:54.0,1948,Slalom,Male,False,0:00.0,True
1777,25.0,JosÃ© Arias,Spain,,ESP,45,2:55.9,1948,Slalom,Male,False,0:00.0,True
1778,20.0,Juan Poll,Spain,,ESP,45,2:55.9,1948,Slalom,Male,False,0:00.0,True
1779,27.0,David Madzhar,Bulgaria,,BUL,47,2:58.3,1948,Slalom,Male,False,0:00.0,True
1780,19.0,Lajos MÃ¡tÃ©,Hungary,,HUN,48,3:00.6,1948,Slalom,Male,False,0:00.0,True
1781,30.0,Donald Garrow,Great Britain,,GBR,49,3:01.3,1948,Slalom,Male,False,0:00.0,True
1782,27.0,Bill Irwin,Canada,,CAN,50,3:01.6,1948,Slalom,Male,False,0:00.0,True
1783,25.0,Thomas de Morawitz,Spain,,ESP,51,3:07.8,1948,Slalom,Male,False,0:00.0,True
1784,22.0,HernÃ¡n Oelckers,Chile,,CHI,52,3:09.0,1948,Slalom,Male,False,0:00.0,True
1785,17.0,Otto Jung,Argentina,,ARG,53,3:15.7,1948,Slalom,Male,False,0:00.0,True
1786,25.0,Arturo Hammersley,Chile,,CHI,54,3:16.1,1948,Slalom,Male,False,0:00.0,True
1787,24.0,Ian Appleyard,Great Britain,,GBR,55,3:20.1,1948,Slalom,Male,False,0:00.0,True
1788,17.0,Pablo Rosenkjer,Argentina,,ARG,56,3:27.9,1948,Slalom,Male,False,0:00.0,True
1789,28.0,Bela Imre,Romania,,ROU,57,3:37.7,1948,Slalom,Male,False,0:00.0,True
1790,27.0,RaÅit Tolun,Turkey,,TUR,58,3:42.0,1948,Slalom,Male,False,0:00.0,True
1791,27.0,GuÃ°mundur GuÃ°mundsson,Iceland,,ISL,59,3:54.6,1948,Slalom,Male,False,0:00.0,True
1764,22.0,Pentti Alonen,Finland,,FIN,32,2:35.8,1948,Slalom,Male,False,0:00.0,True
1763,22.0,JÃ³zef Marusarz,Poland,,POL,31,2:33.2,1948,Slalom,Male,False,0:00.0,True
1762,30.0,Vittorio Chierroni,Italy,,ITA,30,2:32.5,1948,Slalom,Male,False,0:00.0,True
1761,20.0,Stein Eriksen,Norway,,NOR,29,2:32.4,1948,Slalom,Male,False,0:00.0,True
1733,27.0,Edy Reinalter,Switzerland,Gold,SUI,1,2:10.3,1948,Slalom,Male,False,0:00.0,True
1734,26.0,James Couttet,France,Silver,FRA,2,2:10.8,1948,Slalom,Male,False,0:00.0,True
1735,22.0,Henri Oreiller,France,Bronze,FRA,3,2:12.8,1948,Slalom,Male,False,0:00.0,True
1736,26.0,Silvio AlverÃ,Italy,,ITA,4,2:13.2,1948,Slalom,Male,False,0:00.0,True
1737,25.0,Olle Dalman,Sweden,,SWE,5,2:13.6,1948,Slalom,Male,False,0:00.0,True
1738,22.0,Egon SchÃ¶pf,Austria,,AUT,6,2:14.2,1948,Slalom,Male,False,0:00.0,True
1739,21.0,Jack Reddish,United States,,USA,7,2:15.5,1948,Slalom,Male,False,0:00.0,True
