,Age,Athlete,Country,Medal,NOC,Rank,Time
182,16,Maria Zaruc,Romania,,ROU,,
183,24,Ingrid StÃ¶ckl,Austria,,AUT,,
184,22,Julie Parisien,United States,,USA,,
185,25,Katja Seizinger,Germany,Gold,GER,1,2:40.74
186,24,Martina Ertl-Renz,Germany,Silver,GER,2,2:40.92
187,22,Hilde Gerg,Germany,Bronze,GER,3,2:41.50
188,28,Steffi Schuster,Austria,,AUT,4,2:42.25
189,24,Morena Gallizio,Italy,,ITA,5,2:42.52
190,29,Florence Masnada,France,,FRA,6,2:42.84
191,18,Caroline Lalive,United States,,USA,7,2:44.76
192,16,Janica KosteliÄ,Croatia,,CRO,8,2:45.23
193,22,Alex Shaffer,United States,,USA,9,2:45.24
194,21,Catherine Borghi,Switzerland,,SUI,10,2:45.33
195,21,Brigitte Obermoser,Austria,,AUT,11,2:45.48
196,19,Monika Bergmann-Schmuderer,Germany,,GER,12,2:45.84
197,23,Ingeborg Helen Marken,Norway,,NOR,13,2:47.19
198,18,Jonna Mendes,United States,,USA,14,2:48.59
199,16,Lucie HrstkovÃ¡,Czech Republic,,CZE,15,2:49.96
200,22,Junko Yamakawa,Japan,,JPN,16,2:50.36
201,20,Tamara SchÃ¤dler,Liechtenstein,,LIE,17,2:52.18
202,20,Kirsten Clark,United States,,USA,18,2:52.25
203,20,Carola Calello,Argentina,,ARG,19,2:53.77
204,21,Yuliya Kharkivska,Ukraine,,UKR,20,2:57.11
205,21,MÃ³nika KovÃ¡cs,Hungary,,HUN,21,3:06.31
206,22,Kristine Kristiansen,Norway,,NOR,,
207,20,Brynja ÃorsteinsdÃ³ttir,Iceland,,ISL,,
208,24,Michaela Dorfmeister,Austria,,AUT,,
209,27,Pernilla Wiberg,Sweden,,SWE,,
210,22,Renate GÃ¶tschl,Austria,,AUT,,
211,27,Bibiana Perez,Italy,,ITA,,
212,21,MÃ©lanie Turgeon,Canada,,CAN,,
213,23,Trude Gimle,Norway,,NOR,,
214,20,Janica KosteliÄ,Croatia,Gold,CRO,1,2:43.28
215,26,Renate GÃ¶tschl,Austria,Silver,AUT,2,2:44.77
216,28,Martina Ertl-Renz,Germany,Bronze,GER,3,2:45.16
217,25,Marlies Oester,Switzerland,,SUI,4,2:46.61
218,28,Michaela Dorfmeister,Austria,,AUT,5,2:46.85
219,17,Lindsey Kildow-Vonn,United States,,USA,6,2:48.05
220,21,GeneviÃ¨ve Simard,Canada,,CAN,7,2:48.14
221,25,Catherine Borghi,Switzerland,,SUI,8,2:48.79
222,23,Jenny Owens,Australia,,AUS,9,2:49.31
223,22,Sara-Maude Boucher,Canada,,CAN,10,2:49.37
224,24,Selina Heregger,Austria,,AUT,11,2:49.69
225,25,Alice Jones,Australia,,AUS,12,2:50.22
226,17,Julia Mancuso,United States,,USA,13,2:51.33
227,19,Chemmy Alcott,Great Britain,,GBR,14,2:51.34
228,26,Daniela Ceccarelli,Italy,,ITA,15,2:51.81
229,23,Petra ZakouÅilovÃ¡,Czech Republic,,CZE,16,2:51.83
230,17,Macarena Simari Birkner,Argentina,,ARG,17,2:52.90
231,22,Lucia Recchia,Italy,,ITA,18,2:53.10
232,24,Elena Tagliabue,Italy,,ITA,19,2:53.96
233,19,MarÃ­a BelÃ©n Simari Birkner,Argentina,,ARG,20,2:55.92
234,28,Patrizia Bassis,Italy,,ITA,21,2:58.08
235,22,Alexandra Munteanu,Romania,,ROU,22,2:58.53
236,20,Gabriela MartinovovÃ¡,Czech Republic,,CZE,23,2:58.66
237,21,Rowena Bright,Australia,,AUS,24,3:10.68
238,24,Janette Hargin,Sweden,,SWE,,
239,26,Petra Haltmayr,Germany,,GER,,
240,26,Hilde Gerg,Germany,,GER,,
241,21,DagnÃ½ Linda KristjÃ¡nsdÃ³ttir,Iceland,,ISL,,
242,22,Caroline Lalive,United States,,USA,,
243,18,Christine Sponring,Austria,,AUT,,
244,20,Lucie HrstkovÃ¡,Czech Republic,,CZE,,
245,24,Janica KosteliÄ,Croatia,Gold,CRO,1,2:51.08
246,24,Marlies Schild,Austria,Silver,AUT,2,2:51.58
247,24,Anja PÃ¤rson,Sweden,Bronze,SWE,3,2:51.63
248,19,Kathrin Zettel,Austria,,AUT,4,2:52.41
249,22,Nicole Hosp,Austria,,AUT,5,2:53.21
250,20,Michaela Kirchgasser,Austria,,AUT,6,2:53.48
251,32,Martina Ertl-Renz,Germany,,GER,7,2:54.28
252,22,Jessica Lindell-Vikarby,Sweden,,SWE,8,2:55.19
253,21,Julia Mancuso,United States,,USA,9,2:55.44
