,Age,Athlete,Country,Medal,NOC,Rank,Time_end,Year,Type,Gender,test,Time_start,test_time
50,21.0,Rosemarie Schutz,Canada,,CAN,14.0,1:54.6,1952,Downhill,Women,False,0:00.0,True
51,31.0,Celina Seghi,Italy,,ITA,15.0,1:54.9,1952,Downhill,Women,False,0:00.0,True
52,21.0,Silvia Glatthard,Switzerland,,SUI,15.0,1:54.9,1952,Downhill,Women,False,0:00.0,True
69,22.0,Fiona Campbell,Great Britain,,GBR,33.0,2:26.1,1952,Downhill,Women,False,0:00.0,True
68,21.0,IldikÃ³ SzendrÅdi-KÅvÃ¡ri,Hungary,,HUN,32.0,2:18.5,1952,Downhill,Women,False,0:00.0,True
67,21.0,Karen-Sofie Styrmoe,Norway,,NOR,31.0,2:15.5,1952,Downhill,Women,False,0:00.0,True
66,22.0,AndrÃ©e Bermond,France,,FRA,30.0,2:03.1,1952,Downhill,Women,False,0:00.0,True
65,25.0,Ingrid Englund,Sweden,,SWE,29.0,2:01.3,1952,Downhill,Women,False,0:00.0,True
64,22.0,Ana MarÃ­a Dellai,Argentina,,ARG,28.0,2:00.3,1952,Downhill,Women,False,0:00.0,True
63,17.0,Lucile Wheeler,Canada,,CAN,27.0,1:59.5,1952,Downhill,Women,False,0:00.0,True
62,23.0,Sheena Mackintosh,Great Britain,,GBR,26.0,1:58.6,1952,Downhill,Women,False,0:00.0,True
60,26.0,Trude Klecker,Austria,,AUT,24.0,1:57.9,1952,Downhill,Women,False,0:00.0,True
59,21.0,Katy Rodolph,United States,,USA,23.0,1:57.4,1952,Downhill,Women,False,0:00.0,True
58,25.0,Marysette Agnel,France,,FRA,22.0,1:56.8,1952,Downhill,Women,False,0:00.0,True
57,22.0,Dagny JÃ¸rgensen,Norway,,NOR,21.0,1:56.5,1952,Downhill,Women,False,0:00.0,True
56,30.0,Rhoda Wurtele-Eaves,Canada,,CAN,20.0,1:56.4,1952,Downhill,Women,False,0:00.0,True
55,27.0,Betty Weir,United States,,USA,19.0,1:55.7,1952,Downhill,Women,False,0:00.0,True
