,Episodes_First,Characters,Episodes_deaths,Deaths,Difference
54,13,Amory Lorch,16,Dead,-3
326,13,Colen of Greenpools,13,Unknown fate,0
30,13,Brienne of Tarth,64,Alive,-51
193,13,Polliver,31,Dead,-18
212,14,Roose Bolton,52,Dead,-38
237,14,The Spice,17,Dead,-3
233,14,The Copper,17,Dead,-3
328,14,Weasel,14,Unknown fate,0
499,14,Xaro Xhoan Daxos,20,Dead,-6
244,14,Tortured prisoner,14,Dead,0
205,14,Rennick,14,Dead,0
238,14,The Tickler,15,Dead,-1
126,14,Lannister guardsman,14,Dead,0
236,14,The Silk,17,Dead,-3
231,14,Talisa Maegyr,29,Dead,-15
195,14,Pyat Pree,20,Dead,-6
66,15,Borba,18,Dead,-3
332,15,Dagmer,15,Unknown fate,0
80,15,Drennan,16,Dead,-1
84,15,Emmon Cuy,15,Dead,0
333,15,Malakho,15,Unknown fate,0
209,15,Robar Royce,15,Dead,0
329,15,Reginald Lannister,15,Unknown fate,0
136,15,Quaithe,17,Last seen,-2
96,15,Harker,18,Dead,-3
331,15,Lorren,15,Unknown fate,0
227,15,Stonesnake,18,Dead,-3
330,15,Wisdom Hallyne,15,Unknown fate,0
197,15,Qhorin Halfhand,20,Dead,-5
334,16,Farlen,16,Unknown fate,0
335,16,Palla,16,Unknown fate,0
337,16,Quent,16,Unknown fate,0
336,16,Jacks,16,Unknown fate,0
234,16,The High Septon,16,Dead,0
500,16,Ygritte,39,Dead,-23
103,17,Jack,17,Dead,0
243,17,Torrhen Karstark,17,Dead,0
62,17,Billy,17,Dead,0
57,19,Baratheon Officer,19,Dead,0
339,19,Imry Florent,19,Unknown fate,0
338,19,Boros Blount (first identified),19,Unknown fate,0
340,20,Gelmarr (first identified),20,Unknown fate,0
341,20,Stygg (first identified),20,Unknown fate,0
241,20,Tom,20,Dead,0
31,21,Tormund Giantsbane,64,Alive,-43
121,21,Kraznys mo Nakloz,24,Dead,-3
33,21,Missandei,64,Alive,-43
346,21,Unsullied,21,Unknown fate,0
32,21,Qyburn,64,Alive,-43
342,21,Mirelle,21,Unknown fate,0
343,21,Boat commander,21,Unknown fate,0
106,21,Jaremy Mallister,21,Dead,0
344,21,Margaery's handmaiden,21,Unknown fate,0
345,21,Orphan kid,21,Unknown fate,0
161,21,Mance Rayder,41,Dead,-20
75,21,Dongo,39,Dead,-18
349,22,Brotherhood Member,22,Unknown fate,0
85,22,Anguy,22,Dead,0
201,22,Ramsay Bolton,59,Dead,-37
348,22,Tyrell server,22,Unknown fate,0
185,22,Olenna Tyrell,63,Dead,-41
34,22,Meera Reed,64,Alive,-42
166,22,Master Torturer,23,Dead,-1
347,22,Riverrun traveller,22,Unknown fate,0
109,22,Jojen Reed,40,Dead,-18
148,22,Locke,35,Dead,-13
188,22,Orell,29,Dead,-7
35,22,Thoros of Myr,64,Alive,-42
164,23,Martyn Lannister,25,Dead,-2
355,23,Kayla,23,Unknown fate,0
350,23,Karl Tanner,35,Dead,-12
496,23,Willem Lannister,25,Dead,-2
353,23,Tortured slave,23,Unknown fate,0
91,23,Greizhen mo Ullhor,24,Dead,-1
352,23,Gilly's baby,23,Unknown fate,0
351,23,Craster's wife,23,Unknown fate,0
354,23,Genna,23,Unknown fate,0
137,23,Edmure Tully,58,Last seen,-35
70,23,"Brynden ""The Blackfish"" Tully",58,Dead,-35
356,24,Sorcerer,24,Unknown fate,0
358,24,Tyrell lady,24,Unknown fate,0
357,24,Bolton soldier,24,Unknown fate,0
138,25,Olyvar,56,Last seen,-31
83,25,Edric Baratheon,25,Dead,0
36,25,Grey Worm,64,Alive,-39
112,25,Karstark lookout,25,Dead,0
220,25,Shireen Baratheon,49,Dead,-24
359,26,Black Walder Rivers,26,Unknown fate,0
151,26,Lothar Frey,60,Dead,-34
203,27,Razdal mo Eraz,59,Dead,-32
362,27,Balon Swann,27,Unknown fate,0
360,27,Violet,27,Unknown fate,0
178,27,Myranda,50,Dead,-23
361,27,Steelshanks,27,Unknown fate,0
139,28,Daario Naharis,60,Last seen,-32
194,28,Prendahl na Ghezn,28,Dead,0
170,28,Mero,28,Dead,0
140,28,High Septon,43,Last seen,-15
363,29,Walda Frey,29,Unknown fate,0
184,29,Old man,29,Dead,0
364,29,Arwaya Frey (first identified),29,Unknown fate,0
372,29,Merry Frey,29,Unknown fate,0
376,29,Roslin Frey,29,Unknown fate,0
487,29,Wendel Manderly,29,Dead,0
368,29,Neyela Frey,29,Unknown fate,0
366,29,Waldra Frey,29,Unknown fate,0
373,29,Shirei Frey,29,Unknown fate,0
375,29,Hog farmer,29,Unknown fate,0
365,29,Derwa Frey,29,Unknown fate,0
369,29,Sarra Frey,29,Unknown fate,0
377,29,Drummer,29,Unknown fate,0
370,29,Marianne Frey,29,Unknown fate,0
371,29,Freya Frey,29,Unknown fate,0
374,29,Frey guard,29,Unknown fate,0
367,29,Janeya Frey,29,Unknown fate,0
388,30,Yunkai'i slave #5,30,Unknown fate,0
387,30,Yunkai'i slave #4,30,Unknown fate,0
386,30,Yunkai'i slave #3,30,Unknown fate,0
385,30,Yunkai'i slave #2,30,Unknown fate,0
380,30,Desmond Crakehall,30,Unknown fate,0
379,30,Frey soldier #2,30,Unknown fate,0
382,30,Night's Watchman,30,Unknown fate,0
378,30,Frey soldier #1,30,Unknown fate,0
381,30,Eldrick Sarsfield,30,Unknown fate,0
384,30,Yunkai'i slave #1,30,Unknown fate,0
383,30,Fruit vendor,30,Unknown fate,0
228,31,Styr,39,Dead,-8
394,31,A Thenn Warg,31,Unknown fate,0
390,31,Dagos Manwoody,31,Unknown fate,0
391,31,Deziel Dalt,31,Unknown fate,10
183,31,Oberyn Martell,38,Dead,-7
152,31,Lowell,31,Dead,0
393,31,Magnar of Thenn,31,Unknown fate,0
389,31,Blackmont,31,Unknown fate,0
174,31,Morgan,58,Dead,-27
37,31,Ellaria Sand,64,Alive,-33
392,31,Endrew Tarth,31,Unknown fate,0
395,32,Dwarf 1,32,Unknown fate,0
396,32,Dwarf 2,32,Unknown fate,0
483,32,Walda Bolton,52,Dead,-20
397,32,Dwarf 3,32,Unknown fate,0
398,32,Dwarf 4,32,Unknown fate,0
399,32,Dwarf 5,32,Unknown fate,0
154,32,Mace Tyrell,60,Dead,-28
55,32,Axell Florent,32,Dead,0
232,32,Tansy,32,Dead,0
407,33,Slave,33,Unknown fate,0
187,33,Olly's mother,33,Dead,0
94,33,Guymon,33,Dead,0
401,33,Sally,33,Unknown fate,0
98,33,Hizdahr zo Loraq,49,Dead,-16
404,33,Hizdahr zo Loraq's manservant,33,Unknown fate,0
408,33,Slave master,33,Unknown fate,0
406,33,Slave master,33,Unknown fate,0
405,33,Slave master,33,Unknown fate,0
400,33,Farmer,33,Unknown fate,0
186,33,Olly,53,Dead,-20
173,33,Mole's Town whore,38,Dead,-5
402,33,Mole's Town madam,33,Unknown fate,0
192,33,Oznak zo Pahl,33,Dead,0
403,33,Whore,33,Unknown fate,0
490,34,White Walker,28,Dead,6
489,34,White Walker,55,Dead,-21
491,34,White Walker,48,Dead,-14
412,34,Mossador,34,Unknown fate,0
409,34,Pounce,34,Unknown fate,0
410,34,Morag,34,Unknown fate,0
411,34,Craster's last son,34,Unknown fate,0
413,35,Donnel Waynwood,35,Unknown fate,0
414,36,Goatherd,36,Unknown fate,0
141,36,Lhara,49,Last seen,-13
38,36,Tycho Nestoris,64,Alive,-28
81,37,Dying man,37,Dead,0
176,38,Mully,38,Dead,0
64,38,Black Jack Bulwer,38,Dead,0
39,38,Yohn Royce,64,Alive,-26
0,38,Adrack Humble,38,Dead,0
113,38,Kegs,38,Dead,0
417,38,Daemon Sand,38,Unknown fate,0
416,38,Vance Corbray,38,Unknown fate,0
200,38,Ralf Kenning,38,Dead,0
415,38,Lady Anya Waynwood,38,Unknown fate,0
72,39,Cooper,39,Dead,0
76,39,Donnel Hill,39,Dead,0
223,39,Smitty,39,Dead,0
159,39,Mag Mar Tun Doh Weg,39,Dead,0
420,40,Goatherd,40,Unknown fate,0
240,40,Three-eyed raven,55,Dead,-15
502,40,Zalla,40,Dead,0
142,40,Ternesio Terys,52,Last seen,-12
419,40,Fennesz,40,Unknown fate,0
418,40,Kullback,40,Unknown fate,0
146,40,Leaf,55,Dead,-15
423,41,Vala,41,Unknown fate,0
422,41,Maggy,41,Unknown fate,0
424,41,Samwell Stone,41,Unknown fate,0
421,41,Melara Hetherspoon,41,Unknown fate,0
488,41,White Rat,41,Dead,0
67,41,Bowen Marsh,53,Dead,-12
425,42,Captain Areo Hotah,42,Unknown fate,0
78,42,Doran Martell,51,Dead,-9
245,42,Trystane Martell,51,Dead,-9
426,42,Denys Mallister,42,Unknown fate,0
143,42,Lollys Stokeworth,42,Last seen,0
427,43,Red Priestess,43,Unknown fate,0
239,43,The Waif,58,Dead,-15
168,43,Medger Cerwyn,43,Dead,0
428,43,Clea,43,Unknown fate,0
235,43,The High Sparrow,60,Dead,-17
246,44,Tyene Sand,63,Dead,-19
68,44,Brother Boake,60,Dead,-16
182,44,Obara Sand,62,Dead,-18
181,44,Nymeria Sand,62,Dead,-18
145,44,Lead Dornish Guard,44,Dead,0
169,44,Merchant captain,44,Dead,0
429,45,Stone men,45,Unknown fate,0
165,45,Master Eaton,45,Dead,0
430,45,Elboneno,45,Unknown fate,0
87,46,Ghita,46,Dead,0
431,46,Joss,46,Unknown fate,0
432,46,Malko,46,Unknown fate,0
217,47,Septa Unella,60,Dead,-13
440,47,Scolera,47,Unknown fate,0
433,47,Brant,47,Unknown fate,0
434,47,Derek,47,Unknown fate,0
438,47,Boake,47,Unknown fate,0
436,47,Erryk,47,Unknown fate,0
439,47,Moelle,47,Unknown fate,0
437,47,Yezzan zo Qaggaz,47,Unknown fate,0
435,47,Arryk,47,Unknown fate,0
445,48,Dim Dalba,48,Unknown fate,0
40,48,Wun Wun,64,Alive,-16
442,48,Duncan Liddle,48,Unknown fate,0
444,48,Willa,48,Unknown fate,0
493,48,White Walker,28,Dead,20
443,48,Johnna,48,Unknown fate,0
494,48,White Walker,48,Dead,0
492,48,White Walker,55,Dead,-7
441,48,The Thin Man,48,Unknown fate,0
147,48,Loboda,48,Dead,0
111,48,Karsi,48,Dead,0
446,49,Brusco,49,Unknown fate,0
448,49,Brea,49,Unknown fate,0
449,49,Anara,49,Unknown fate,0
447,49,Braavosi madam,49,Unknown fate,0
450,49,Aya,49,Unknown fate,0
221,50,Simpson,50,Dead,0
88,50,Gordy,50,Dead,0
156,51,Maester Caleotte,51,Dead,0
454,51,Zanrush,51,Unknown fate,0
1,51,Akho,54,Dead,-3
118,51,Khal Moro,54,Dead,-3
41,51,Maester Wolkan,64,Alive,-13
452,51,Khal Moro's 1st wife,51,Unknown fate,0
453,51,Khal Moro's 2nd wife,51,Unknown fate,0
451,51,Qhono,51,Unknown fate,0
65,51,Bolton Officer,51,Dead,0
144,52,Aeron Greyjoy,55,Last seen,-3
180,52,Newborn Bolton,52,Dead,0
214,52,s Landing boaster,52,Dead,0
95,52,Harald Karstark,59,Dead,-7
42,52,Euron Greyjoy,64,Alive,-12
456,53,Ornela,53,Unknown fate,0
222,53,Smalljon Umber,59,Dead,-6
455,53,High Priestess of the Dosh Khaleen,53,Unknown fate,0
120,54,Khal Rhalko,54,Dead,0
458,54,Kesh,54,Unknown fate,0
101,54,Iggo,54,Dead,0
115,54,Khal Brozho,54,Dead,0
117,54,Khal Forzho,54,Dead,0
60,54,Belicho Paenymion,59,Dead,-5
119,54,Khal Qorro,54,Dead,0
457,54,Ash,54,Unknown fate,0
465,55,Kinvara,55,Unknown fate,0
461,55,Lady Crane,55,Unknown fate,0
463,55,Bobono,55,Unknown fate,0
464,55,Bianca,55,Unknown fate,0
459,55,Izembaro,55,Unknown fate,0
462,55,Camello,55,Unknown fate,0
460,55,Clarenzo,55,Unknown fate,0
469,56,Lady Kitty Frey,56,Unknown fate,0
467,56,Talla Tarly,56,Unknown fate,0
43,56,Dickon Tarly,64,Alive,-8
44,56,Randyll Tarly,64,Alive,-8
466,56,Lady Melessa Tarly,56,Unknown fate,0
468,56,Tyrell bannerman,56,Unknown fate,0
470,57,Bear Island maester,57,Unknown fate,0
472,57,Gat,57,Unknown fate,0
175,57,Morgan,58,Dead,-1
69,57,Brother Ray,57,Dead,0
45,57,Lady Lyanna Mormont,64,Alive,-7
46,57,Robett Glover,64,Alive,-7
471,57,Lem,57,Unknown fate,0
225,58,Steve,58,Dead,0
475,58,Tully Bannerman,58,Unknown fate,0
474,58,Lannister soldier,58,Unknown fate,0
208,58,Riddell,58,Dead,0
473,58,Red Priestess,58,Unknown fate,0
476,59,Bolton general,59,Unknown fate,0
477,59,Captain of the Bolton archers,59,Unknown fate,0
48,60,Wyman Manderly,64,Alive,-4
478,60,Citadel maester,60,Unknown fate,0
47,60,Cley Cerwyn,64,Alive,-4
50,61,Alys Karstark,64,Alive,-3
49,61,Ned Umber,64,Alive,-3
51,61,Archmaester Ebrose,64,Alive,-3
