,Unnamed: 0,Episodes_First,Characters,Episodes_deaths,Deaths,Difference
219,143,42,Lollys Stokeworth,42,Last seen,0
220,78,42,Doran Martell,51,Dead,-9
221,245,42,Trystane Martell,51,Dead,-9
222,239,43,The Waif,58,Dead,-15
223,168,43,Medger Cerwyn,43,Dead,0
224,235,43,The High Sparrow,60,Dead,-17
225,145,44,Lead Dornish Guard,44,Dead,0
226,246,44,Tyene Sand,63,Dead,-19
227,169,44,Merchant captain,44,Dead,0
228,181,44,Nymeria Sand,62,Dead,-18
229,182,44,Obara Sand,62,Dead,-18
230,68,44,Brother Boake,60,Dead,-16
231,165,45,Master Eaton,45,Dead,0
232,87,46,Ghita,46,Dead,0
233,217,47,Septa Unella,60,Dead,-13
234,492,48,White Walker,55,Dead,-7
235,494,48,White Walker,48,Dead,0
237,40,48,Wun Wun,64,Alive,-16
238,111,48,Karsi,48,Dead,0
239,147,48,Loboda,48,Dead,0
240,88,50,Gordy,50,Dead,0
241,221,50,Simpson,50,Dead,0
242,156,51,Maester Caleotte,51,Dead,0
243,65,51,Bolton Officer,51,Dead,0
244,118,51,Khal Moro,54,Dead,-3
245,1,51,Akho,54,Dead,-3
246,41,51,Maester Wolkan,64,Alive,-13
247,144,52,Aeron Greyjoy,55,Last seen,-3
248,214,52,s Landing boaster,52,Dead,0
249,95,52,Harald Karstark,59,Dead,-7
250,180,52,Newborn Bolton,52,Dead,0
251,42,52,Euron Greyjoy,64,Alive,-12
252,222,53,Smalljon Umber,59,Dead,-6
253,101,54,Iggo,54,Dead,0
254,115,54,Khal Brozho,54,Dead,0
255,117,54,Khal Forzho,54,Dead,0
256,119,54,Khal Qorro,54,Dead,0
257,120,54,Khal Rhalko,54,Dead,0
258,60,54,Belicho Paenymion,59,Dead,-5
259,43,56,Dickon Tarly,64,Alive,-8
260,44,56,Randyll Tarly,64,Alive,-8
261,46,57,Robett Glover,64,Alive,-7
262,69,57,Brother Ray,57,Dead,0
263,45,57,Lady Lyanna Mormont,64,Alive,-7
264,175,57,Morgan,58,Dead,-1
265,225,58,Steve,58,Dead,0
266,208,58,Riddell,58,Dead,0
267,48,60,Wyman Manderly,64,Alive,-4
268,47,60,Cley Cerwyn,64,Alive,-4
269,51,61,Archmaester Ebrose,64,Alive,-3
270,50,61,Alys Karstark,64,Alive,-3
271,49,61,Ned Umber,64,Alive,-3
