Episodes_First,Characters,Episodes_deaths,Deaths
8,Shagga,8,Unknown fate
8,Timett,8,Unknown fate
8,Chella,8,Unknown fate
8,Lady Maege Mormont,8,Unknown fate
8,Aron Santagar,8,Unknown fate
9,Leo Lefford,9,Unknown fate
9,Lady Joyeuse Erenford,9,Unknown fate
9,Arwaya Frey,9,Unknown fate
10,Jonos Bracken,10,Unknown fate
10,Addam Marbrand,10,Unknown fate
10,Harys Swyft,10,Unknown fate
11,Lothor Brune,11,Unknown fate
11,Septa Eglantine,11,Unknown fate
11,Portan,11,Unknown fate
11,Kovarro,11,Unknown fate
11,Aggo,11,Unknown fate
11,Night's Watch Officer,11,Unknown fate
11,Stark Officer 1,11,Unknown fate
11,Stark Officer 2,11,Unknown fate
11,Daisy,11,Unknown fate
12,Rorge (as played by Andy Beckwith),12,Unknown fate
12,Captain's daughter,12,Unknown fate
13,Colen of Greenpools,13,Unknown fate
13,Gerald,13,Unknown fate
14,Weasel,14,Unknown fate
15,Reginald Lannister,15,Unknown fate
15,Wisdom Hallyne,15,Unknown fate
15,Lorren,15,Unknown fate
15,Dagmer,15,Unknown fate
15,Malakho,15,Unknown fate
16,Farlen,16,Unknown fate
16,Palla,16,Unknown fate
16,Jacks,16,Unknown fate
16,Quent,16,Unknown fate
19,Boros Blount (first identified),19,Unknown fate
19,Imry Florent,19,Unknown fate
20,Gelmarr (first identified),20,Unknown fate
20,Stygg (first identified),20,Unknown fate
21,Mirelle,21,Unknown fate
21,Boat commander,21,Unknown fate
21,Margaery's handmaiden,21,Unknown fate
21,Orphan kid,21,Unknown fate
21,Unsullied,21,Unknown fate
22,Riverrun traveller,22,Unknown fate
22,Tyrell server,22,Unknown fate
22,Brotherhood Member,22,Unknown fate
23,Karl Tanner,35,Unknown fate
23,Craster's wife,23,Unknown fate
23,Gilly's baby,23,Unknown fate
23,Tortured slave,23,Unknown fate
23,Genna,23,Unknown fate
23,Kayla,23,Unknown fate
24,Sorcerer,24,Unknown fate
24,Bolton soldier,24,Unknown fate
24,Tyrell lady,24,Unknown fate
26,Black Walder Rivers,26,Unknown fate
27,Violet,27,Unknown fate
27,Steelshanks,27,Unknown fate
27,Balon Swann,27,Unknown fate
29,Walda Frey,29,Unknown fate
29,Arwaya Frey (first identified),29,Unknown fate
29,Derwa Frey,29,Unknown fate
29,Waldra Frey,29,Unknown fate
29,Janeya Frey,29,Unknown fate
29,Neyela Frey,29,Unknown fate
29,Sarra Frey,29,Unknown fate
29,Marianne Frey,29,Unknown fate
29,Freya Frey,29,Unknown fate
29,Merry Frey,29,Unknown fate
29,Shirei Frey,29,Unknown fate
29,Frey guard,29,Unknown fate
29,Hog farmer,29,Unknown fate
29,Roslin Frey,29,Unknown fate
29,Drummer,29,Unknown fate
30,Frey soldier #1,30,Unknown fate
30,Frey soldier #2,30,Unknown fate
30,Desmond Crakehall,30,Unknown fate
30,Eldrick Sarsfield,30,Unknown fate
30,Night's Watchman,30,Unknown fate
30,Fruit vendor,30,Unknown fate
30,Yunkai'i slave #1,30,Unknown fate
30,Yunkai'i slave #2,30,Unknown fate
30,Yunkai'i slave #3,30,Unknown fate
30,Yunkai'i slave #4,30,Unknown fate
30,Yunkai'i slave #5,30,Unknown fate
31,Blackmont,31,Unknown fate
31,Dagos Manwoody,31,Unknown fate
31,Deziel Dalt,21,Unknown fate
31,Endrew Tarth,31,Unknown fate
31,Magnar of Thenn,31,Unknown fate
31,A Thenn Warg,31,Unknown fate
32,Dwarf 1,32,Unknown fate
32,Dwarf 2,32,Unknown fate
32,Dwarf 3,32,Unknown fate
32,Dwarf 4,32,Unknown fate
32,Dwarf 5,32,Unknown fate
33,Farmer,33,Unknown fate
33,Sally,33,Unknown fate
33,Mole's Town madam,33,Unknown fate
33,Whore,33,Unknown fate
33,Hizdahr zo Loraq's manservant,33,Unknown fate
33,Slave master,33,Unknown fate
33,Slave master,33,Unknown fate
33,Slave,33,Unknown fate
33,Slave master,33,Unknown fate
34,Pounce,34,Unknown fate
34,Morag,34,Unknown fate
34,Craster's last son,34,Unknown fate
34,Mossador,34,Unknown fate
35,Donnel Waynwood,35,Unknown fate
36,Goatherd,36,Unknown fate
38,Lady Anya Waynwood,38,Unknown fate
38,Vance Corbray,38,Unknown fate
38,Daemon Sand,38,Unknown fate
40,Kullback,40,Unknown fate
40,Fennesz,40,Unknown fate
40,Goatherd,40,Unknown fate
41,Melara Hetherspoon,41,Unknown fate
41,Maggy,41,Unknown fate
41,Vala,41,Unknown fate
41,Samwell Stone,41,Unknown fate
42,Captain Areo Hotah,42,Unknown fate
42,Denys Mallister,42,Unknown fate
43,Red Priestess,43,Unknown fate
43,Clea,43,Unknown fate
45,Stone men,45,Unknown fate
45,Elboneno,45,Unknown fate
46,Joss,46,Unknown fate
46,Malko,46,Unknown fate
47,Brant,47,Unknown fate
47,Derek,47,Unknown fate
47,Arryk,47,Unknown fate
47,Erryk,47,Unknown fate
47,Yezzan zo Qaggaz,47,Unknown fate
47,Boake,47,Unknown fate
47,Moelle,47,Unknown fate
47,Scolera,47,Unknown fate
48,The Thin Man,48,Unknown fate
48,Duncan Liddle,48,Unknown fate
48,Johnna,48,Unknown fate
48,Willa,48,Unknown fate
48,Dim Dalba,48,Unknown fate
49,Brusco,49,Unknown fate
49,Braavosi madam,49,Unknown fate
49,Brea,49,Unknown fate
49,Anara,49,Unknown fate
49,Aya,49,Unknown fate
51,Qhono,51,Unknown fate
51,Khal Moro's 1st wife,51,Unknown fate
51,Khal Moro's 2nd wife,51,Unknown fate
51,Zanrush,51,Unknown fate
53,High Priestess of the Dosh Khaleen,53,Unknown fate
53,Ornela,53,Unknown fate
54,Ash,54,Unknown fate
54,Kesh,54,Unknown fate
55,Izembaro,55,Unknown fate
55,Clarenzo,55,Unknown fate
55,Lady Crane,55,Unknown fate
55,Camello,55,Unknown fate
55,Bobono,55,Unknown fate
55,Bianca,55,Unknown fate
55,Kinvara,55,Unknown fate
56,Lady Melessa Tarly,56,Unknown fate
56,Talla Tarly,56,Unknown fate
56,Tyrell bannerman,56,Unknown fate
56,Lady Kitty Frey,56,Unknown fate
57,Bear Island maester,57,Unknown fate
57,Lem,57,Unknown fate
57,Gat,57,Unknown fate
58,Red Priestess,58,Unknown fate
58,Lannister soldier,58,Unknown fate
58,Tully Bannerman,58,Unknown fate
59,Bolton general,59,Unknown fate
59,Captain of the Bolton archers,59,Unknown fate
60,Citadel maester,60,Unknown fate
5,Vardis Egen,6,Dead
7,Varly,7,Dead
8,Vayon Poole,8,Dead
1,Viserys Targaryen,6,Dead
32,Walda Bolton,52,Dead
9,Walder Frey,60,Dead
6,Wallen,6,Dead
1,Waymar Royce,1,Dead
29,Wendel Manderly,29,Dead
41,White Rat,41,Dead
34,White Walker,55,Dead
34,White Walker,28,Dead
34,White Walker,48,Dead
48,White Walker,55,Dead
48,White Walker,28,Dead
48,White Walker,48,Dead
1,Will,1,Dead
23,Willem Lannister,25,Dead
4,Willis Wode,5,Dead
5,Wyl,5,Dead
14,Xaro Xhoan Daxos,20,Dead
16,Ygritte,39,Dead
3,Yoren,13,Dead
40,Zalla,40,Dead
