,Exporter,Importer,Latitude_exp,Longitude_exp,Latitude_imp,Longitude_imp,Millions,Millions_Total
734,United States,Pakistan,37.09024,-95.712891,30.375321000000003,69.345116,735.0,43021.0
727,United States,New Zealand,37.09024,-95.712891,-40.900557,174.88597099999996,136.0,43021.0
741,United States,Poland,37.09024,-95.712891,51.919438,19.145136,37.0,43021.0
740,United States,Philippines,37.09024,-95.712891,12.879721,121.774017,201.0,43021.0
739,United States,Peru,37.09024,-95.712891,-9.189967,-75.015152,24.0,43021.0
737,United States,Papua New Guinea,37.09024,-95.712891,-6.314993,143.95555,0.0,43021.0
736,United States,Panama,37.09024,-95.712891,8.537981,-80.782127,15.0,43021.0
742,United States,Portugal,37.09024,-95.712891,39.399872,-8.224454,31.0,43021.0
735,United States,Palau,37.09024,-95.712891,7.51498,134.58252,0.0,43021.0
733,United States,Oman,37.09024,-95.712891,21.512583,55.92325500000001,646.0,43021.0
732,United States,Norway,37.09024,-95.712891,60.472024,8.468946,319.0,43021.0
731,United States,North Korea,37.09024,-95.712891,40.339852,127.510093,0.0,43021.0
730,United States,Nigeria,37.09024,-95.712891,9.081999,8.675277000000001,79.0,43021.0
729,United States,Niger,37.09024,-95.712891,17.607789,8.081666,11.0,43021.0
728,United States,Nicaragua,37.09024,-95.712891,12.865416,-85.207229,0.0,43021.0
454,Russian Federation,Hungary,61.52401,105.318756,47.162494,19.503304,7.0,32995.0
453,Russian Federation,Guinea,61.52401,105.318756,9.945587,-9.696645,0.0,32995.0
452,Russian Federation,Greece,61.52401,105.318756,39.074208,21.824312,0.0,32995.0
451,Russian Federation,Ghana,61.52401,105.318756,7.9465270000000015,-1.0231940000000002,41.0,32995.0
465,Russian Federation,Latvia,61.52401,105.318756,56.879635,24.603189,0.0,32995.0
450,Russian Federation,Germany,61.52401,105.318756,51.165691,10.451526,0.0,32995.0
449,Russian Federation,Georgia,61.52401,105.318756,42.315407,43.356892,0.0,32995.0
456,Russian Federation,Indonesia,61.52401,105.318756,-0.789275,113.921327,426.0,32995.0
448,Russian Federation,Finland,61.52401,105.318756,61.92411,25.748151,0.0,32995.0
455,Russian Federation,India,61.52401,105.318756,20.593684,78.96288,12456.0,32995.0
464,Russian Federation,Laos,61.52401,105.318756,19.85627,102.495496,0.0,32995.0
457,Russian Federation,Iran,61.52401,105.318756,32.427908,53.68804599999999,419.0,32995.0
458,Russian Federation,Iraq,61.52401,105.318756,33.223191,43.679291,1072.0,32995.0
459,Russian Federation,Jordan,61.52401,105.318756,30.585164,36.238414,44.0,32995.0
460,Russian Federation,Kazakhstan,61.52401,105.318756,48.019573,66.923684,745.0,32995.0
461,Russian Federation,Kenya,61.52401,105.318756,-0.023559,37.906193,0.0,32995.0
462,Russian Federation,Kuwait,61.52401,105.318756,29.31166,47.481766,48.0,32995.0
463,Russian Federation,Kyrgyzstan,61.52401,105.318756,41.20438,74.766098,13.0,32995.0
466,Russian Federation,Libya,61.52401,105.318756,26.3351,17.228331,46.0,32995.0
446,Russian Federation,Eritrea,61.52401,105.318756,15.179384,39.78233400000001,0.0,32995.0
447,Russian Federation,Ethiopia,61.52401,105.318756,9.145,40.489673,0.0,32995.0
427,Russian Federation,Azerbaijan,61.52401,105.318756,40.143105,47.57692700000001,1341.0,32995.0
445,Russian Federation,Egypt,61.52401,105.318756,26.820553000000004,30.802498,213.0,32995.0
443,Russian Federation,Djibouti,61.52401,105.318756,11.825138,42.590275,0.0,32995.0
424,Russian Federation,Angola,61.52401,105.318756,-11.202692,17.873887,66.0,32995.0
468,Russian Federation,Macedonia,61.52401,105.318756,41.608635,21.745275,0.0,32995.0
425,Russian Federation,Argentina,61.52401,105.318756,-38.416097,-63.616672,0.0,32995.0
426,Russian Federation,Armenia,61.52401,105.318756,40.069099,45.038189,95.0,32995.0
428,Russian Federation,Bangladesh,61.52401,105.318756,23.684994,90.356331,273.0,32995.0
429,Russian Federation,Belarus,61.52401,105.318756,53.709807,27.953389,475.0,32995.0
430,Russian Federation,Bosnia and Herzegovina,61.52401,105.318756,43.915886,17.679076000000006,0.0,32995.0
431,Russian Federation,Botswana,61.52401,105.318756,-22.328474,24.684866,0.0,32995.0
432,Russian Federation,Brazil,61.52401,105.318756,-14.235004,-51.92528,82.0,32995.0
433,Russian Federation,Bulgaria,61.52401,105.318756,42.733883,25.48583,0.0,32995.0
434,Russian Federation,Burkina Faso,61.52401,105.318756,12.238333,-1.561593,2.0,32995.0
435,Russian Federation,Cameroon,61.52401,105.318756,7.369722,12.354722,45.0,32995.0
436,Russian Federation,Chad,61.52401,105.318756,15.454166,18.732207,0.0,32995.0
437,Russian Federation,China,61.52401,105.318756,35.86166,104.195397,3658.0,32995.0
438,Russian Federation,Colombia,61.52401,105.318756,4.570868,-74.297333,0.0,32995.0
439,Russian Federation,Congo,61.52401,105.318756,-0.228021,15.827659,14.0,32995.0
440,Russian Federation,Croatia,61.52401,105.318756,45.1,15.2,0.0,32995.0
441,Russian Federation,Cyprus,61.52401,105.318756,35.126413,33.429859,6.0,32995.0
442,Russian Federation,Czech Republic,61.52401,105.318756,49.817492,15.472962,0.0,32995.0
467,Russian Federation,Lithuania,61.52401,105.318756,55.169438,23.881275,0.0,32995.0
444,Russian Federation,Ecuador,61.52401,105.318756,-1.831239,-78.183406,0.0,32995.0
469,Russian Federation,Madagascar,61.52401,105.318756,-18.766947,46.869107,0.0,32995.0
470,Russian Federation,Malaysia,61.52401,105.318756,4.210483999999999,101.975766,14.0,32995.0
494,Russian Federation,South Korea,61.52401,105.318756,35.90775700000001,127.766922,0.0,32995.0
495,Russian Federation,Sri Lanka,61.52401,105.318756,7.873054,80.77179699999998,20.0,32995.0
